E(MeV),xs(mb)
1.0e-11,555867.0
1.03223e-11,547132.0
1.06549e-11,538538.0
1.0998399999999998e-11,530076.0
1.13527e-11,521751.0
1.1718599999999999e-11,513553.0
1.2096199999999998e-11,505488.0
1.24861e-11,497546.99999999994
1.2888399999999999e-11,489735.00000000006
1.3303799999999998e-11,482042.00000000006
1.37325e-11,474474.0
1.41751e-11,467021.99999999994
1.4631799999999997e-11,459690.0
1.51034e-11,452471.0
1.5590099999999998e-11,445369.0
1.6092599999999998e-11,438375.99999999994
1.66111e-11,431496.0
1.71465e-11,424721.0
1.7699e-11,418056.0
1.8269399999999998e-11,411494.0
1.88581e-11,405037.99999999994
1.94659e-11,398681.0
2.00931e-11,392427.0
2.0740699999999998e-11,386269.0
2.1408999999999998e-11,380211.0
2.2099099999999997e-11,374246.0
2.28111e-11,368377.0
2.3546399999999998e-11,362599.0
2.4305099999999997e-11,356914.0
2.50884e-11,351317.0
2.5896799999999997e-11,345810.0
2.67315e-11,340388.0
2.75928e-11,335054.0
2.8482199999999998e-11,329802.0
2.93999e-11,324635.0
3.0347499999999995e-11,319548.0
3.13253e-11,314542.0
3.2335e-11,309615.0
3.33769e-11,304766.0
3.44526e-11,299993.0
3.55627e-11,295297.0
3.67089e-11,290673.0
3.7891799999999997e-11,286124.0
3.9113e-11,281646.0
4.0373400000000003e-11,277239.0
4.1674599999999996e-11,272902.0
4.3017399999999996e-11,268633.0
4.440389999999999e-11,264432.0
4.58347e-11,260298.0
4.7311899999999994e-11,256228.0
4.883639999999999e-11,252224.0
5.0410399999999995e-11,248281.99999999997
5.20348e-11,244404.00000000003
5.37119e-11,240586.0
5.54426e-11,236829.0
5.7229499999999995e-11,233131.00000000003
5.907359999999999e-11,229493.0
6.09775e-11,225911.99999999997
6.29424e-11,222388.0
6.497099999999999e-11,218919.0
6.70645e-11,215506.00000000003
6.9226e-11,212146.0
7.145659999999999e-11,208840.0
7.37596e-11,205587.0
7.61364e-11,202385.0
7.85902e-11,199234.0
8.11227e-11,196133.0
8.37372e-11,193081.0
8.643549999999999e-11,190078.0
8.922119999999998e-11,187123.0
9.209619999999999e-11,184215.0
9.506439999999999e-11,181352.0
9.81277e-11,178536.0
1.01291e-10,175764.0
1.04554e-10,173037.0
1.07924e-10,170352.0
1.11402e-10,167711.0
1.1499200000000001e-10,165112.0
1.1869700000000001e-10,162554.0
1.22523e-10,160037.0
1.26471e-10,157560.0
1.30547e-10,155123.0
1.34754e-10,152725.0
1.3909700000000002e-10,150364.0
1.43579e-10,148042.0
1.48207e-10,145757.0
1.52982e-10,143508.0
1.57913e-10,141295.0
1.6300100000000001e-10,139118.0
1.68254e-10,136975.0
1.73676e-10,134867.0
1.79274e-10,132793.0
1.8505000000000002e-10,130752.0
1.91014e-10,128743.00000000001
1.97169e-10,126767.00000000001
2.03524e-10,124823.0
2.1008200000000003e-10,122910.00000000001
2.16853e-10,121027.0
2.2384e-10,119175.00000000001
2.31055e-10,117351.99999999999
2.385e-10,115558.99999999999
2.46187e-10,113794.0
2.5412e-10,112059.0
2.6231e-10,110351.0
2.70762e-10,108670.0
2.7948900000000003e-10,107017.0
2.88494e-10,105390.0
2.9779300000000004e-10,103789.0
3.07388e-10,102214.99999999999
3.1729500000000004e-10,100666.00000000001
3.27519e-10,99141.5
3.38075e-10,97641.7
3.4896900000000003e-10,96166.5
3.6021600000000004e-10,94714.8
3.7182300000000004e-10,93287.0
3.83807e-10,91881.90000000001
3.96174e-10,90499.8
4.08943e-10,89139.9
4.2212e-10,87802.2
4.3572499999999996e-10,86486.0
4.4976500000000005e-10,85191.3
4.6426100000000007e-10,83917.40000000001
4.79221e-10,82664.4
4.94666e-10,81431.5
5.10605e-10,80218.79999999999
5.270620000000001e-10,79025.6
5.440450000000001e-10,77852.0
5.6158e-10,76697.2
5.796750000000001e-10,75561.4
5.98358e-10,74443.8
6.176389999999999e-10,73344.6
6.37545e-10,72263.0
6.58089e-10,71199.2
6.79298e-10,70152.5
7.01188e-10,69123.09999999999
7.237860000000001e-10,68110.09999999999
7.47109e-10,67113.8
7.71188e-10,66133.6
7.960380000000001e-10,65169.4
8.21693e-10,64220.7
8.48171e-10,63287.7
8.773580000000001e-10,62309.0
9.07549e-10,61347.3
9.38778e-10,60402.3
9.71083e-10,59473.6
1.0045e-9,58561.0
1.0390600000000001e-9,57664.200000000004
1.0748200000000002e-9,56783.0
1.1118100000000001e-9,55917.0
1.15006e-9,55065.9
1.18964e-9,54229.6
1.2305800000000001e-9,53407.799999999996
1.2729200000000002e-9,52600.2
1.31673e-9,51806.5
1.36204e-9,51026.6
1.4089000000000002e-9,50260.100000000006
1.45739e-9,49506.9
1.5075400000000002e-9,48766.7
1.55941e-9,48039.2
1.61307e-9,47324.299999999996
1.66858e-9,46621.7
1.726e-9,45931.3
1.7853900000000002e-9,45252.7
1.8468300000000001e-9,44585.8
1.91038e-9,43930.4
1.9761200000000004e-9,43286.3
2.04412e-9,42653.299999999996
2.1144599999999997e-9,42031.200000000004
2.1872200000000002e-9,41419.7
2.26249e-9,40818.8
2.3403400000000002e-9,40228.200000000004
2.42088e-9,39647.700000000004
2.50418e-9,39077.2
2.59036e-9,38516.5
2.6794900000000002e-9,37965.4
2.7717000000000003e-9,37423.700000000004
2.86707e-9,36891.4
2.9657300000000003e-9,36368.200000000004
3.0677900000000002e-9,35853.9
3.1733500000000004e-9,35348.4
3.2825500000000004e-9,34851.6
3.39551e-9,34363.299999999996
3.51235e-9,33883.4
3.6332200000000004e-9,33411.6
3.75824e-9,32948.0
3.88757e-9,32492.2
4.02986e-9,32016.5
4.17735e-9,31549.5
4.330250000000001e-9,31090.8
4.4887300000000005e-9,30640.6
4.65304e-9,30198.399999999998
4.8233300000000005e-9,29764.300000000003
4.999880000000001e-9,29338.1
5.182870000000001e-9,28919.600000000002
5.3725800000000005e-9,28508.6
5.569200000000001e-9,28105.1
5.77305e-9,27708.9
5.984340000000001e-9,27319.9
6.2033800000000006e-9,26937.8
6.43042e-9,26562.800000000003
6.665790000000001e-9,26194.4
6.90975e-9,25832.8
7.162670000000001e-9,25477.6
7.42481e-9,25128.9
7.696580000000001e-9,24786.5
7.97826e-9,24450.2
8.27029e-9,24120.1
8.57297e-9,23795.899999999998
8.886770000000002e-9,23477.5
9.21201e-9,23164.899999999998
9.549200000000001e-9,22857.9
9.89869e-9,22556.5
1.0261e-8,22260.5
1.06591e-8,21952.9
1.10726e-8,21651.1
1.15022e-8,21355.2
1.1948399999999999e-8,21064.8
1.24119e-8,20780.0
1.28935e-8,20500.699999999997
1.33937e-8,20226.600000000002
1.39133e-8,19957.800000000003
1.4453e-8,19694.100000000002
1.50137e-8,19435.4
1.55962e-8,19181.600000000002
1.62012e-8,18932.7
1.6829799999999998e-8,18688.5
1.74827e-8,18448.899999999998
1.81609e-8,18213.9
1.88655e-8,17983.4
1.9597400000000002e-8,17757.3
2.0357599999999998e-8,17535.4
2.1192099999999998e-8,17305.9
2.2060900000000003e-8,17080.9
2.2965200000000002e-8,16860.5
2.39067e-8,16644.5
2.48867e-8,16432.8
2.52522e-8,16357.0
2.5299999999999998e-8,16347.3
2.63372e-8,16141.5
2.7416800000000002e-8,15939.9
2.8540800000000003e-8,15742.400000000001
2.97107e-8,15548.800000000001
3.09288e-8,15359.0
3.2196600000000005e-8,15173.099999999999
3.35165e-8,14990.9
3.4890400000000005e-8,14812.300000000001
3.63976e-8,14628.2
3.79699e-8,14448.0
3.96101e-8,14271.5
4.13211e-8,14098.800000000001
4.3106099999999994e-8,13929.800000000001
4.4968199999999994e-8,13764.300000000001
4.69107e-8,13602.300000000001
4.8937099999999996e-8,13443.7
5.1051000000000005e-8,13288.5
5.325630000000001e-8,13136.6
5.56746e-8,12980.5
5.82024e-8,12827.800000000001
6.084520000000001e-8,12678.5
6.36078e-8,12532.5
6.649610000000001e-8,12389.699999999999
6.95153e-8,12250.099999999999
7.267179999999999e-8,12113.5
7.59713e-8,11980.0
7.942100000000001e-8,11849.400000000001
8.32029e-8,11715.7
8.716490000000001e-8,11585.0
9.13156e-8,11457.5
9.566390000000001e-8,11332.9
1.0021899999999999e-7,11211.1
1.0499199999999999e-7,11092.3
1.09991e-7,10976.1
1.1547199999999999e-7,10857.5
1.2122699999999998e-7,10741.8
1.27269e-7,10628.9
1.33611e-7,10518.6
1.4027e-7,10411.1
1.4726099999999998e-7,10306.1
1.54927e-7,10199.3
1.62992e-7,10095.199999999999
1.71477e-7,9993.68
1.80404e-7,9894.74
1.8979499999999999e-7,9798.3
2.0009800000000002e-7,9700.44
2.1096099999999998e-7,9605.17
2.22412e-7,9512.4
2.3448699999999997e-7,9422.01
2.47215e-7,9333.98
2.61187e-7,9244.859999999999
2.75949e-7,9158.17
2.91544e-7,9073.84
3.0802200000000003e-7,8991.81
3.2612e-7,8908.97
3.4527899999999995e-7,8828.480000000001
3.65567e-7,8750.25
3.8704399999999996e-7,8674.23
4.1065199999999994e-7,8597.67
4.3569899999999994e-7,8523.38
4.632539999999999e-7,8448.64
4.925489999999999e-7,8376.14
5.236989999999999e-7,8305.820000000002
5.568170000000001e-7,8237.619999999999
5.93283e-7,8169.219999999999
6.32138e-7,8102.93
6.73537e-7,8038.700000000001
7.19169e-7,7974.45
7.67888e-7,7912.17
8.21645e-7,7849.929999999999
8.79165e-7,7789.71
9.40713e-7,7731.429999999999
1.0065699999999998e-6,7675.03
1.09484e-6,7607.58
1.22468e-6,7521.57
1.40886e-6,7420.4400000000005
1.69029e-6,7298.02
2.1448399999999996e-6,7152.38
2.79896e-6,7005.46
3.7041e-6,6865.96
5.00617e-6,6728.51
6.909469999999999e-6,6590.639999999999
9.73866e-6,6449.21
1.3347700000000001e-5,6323.64
1.68185e-5,6247.38
1.90524e-5,6229.63
2.1163700000000002e-5,6252.13
2.26993e-5,6309.400000000001
2.38395e-5,6388.58
2.4862800000000002e-5,6500.56
2.5749700000000002e-5,6643.849999999999
2.6481400000000004e-5,6808.4800000000005
2.7043100000000002e-5,6973.26
2.7618100000000002e-5,7190.29
2.8007700000000003e-5,7372.68
2.8402800000000002e-5,7594.69
2.8803600000000003e-5,7867.429999999999
2.91076e-5,8114.07
2.9414500000000004e-5,8405.74
2.97258e-5,8755.029999999999
3.00399e-5,9175.050000000001
3.0250400000000004e-5,9502.49
3.04637e-5,9879.82
3.0677100000000005e-5,10310.8
3.0893500000000005e-5,10812.3
3.1109900000000005e-5,11390.4
3.12745e-5,11893.0
3.14391e-5,12459.7
3.1604500000000005e-5,13103.499999999998
3.1771400000000006e-5,13842.300000000001
3.1938300000000006e-5,14686.699999999999
3.20504e-5,15322.800000000001
3.2163200000000004e-5,16028.0
3.2276e-5,16806.8
3.2388900000000004e-5,17669.5
3.25025e-5,18635.3
3.2617e-5,19720.899999999998
3.27314e-5,20937.899999999998
3.28458e-5,22307.600000000002
3.29321e-5,23455.9
3.3019100000000004e-5,24730.9
3.3106100000000005e-5,26137.5
3.31932e-5,27694.100000000002
3.32802e-5,29423.1
3.33673e-5,31351.300000000003
3.34555e-5,33542.5
3.35438e-5,36009.1
3.36026e-5,37828.7
3.36615e-5,39806.7
3.37203e-5,41961.8
3.3779200000000003e-5,44315.6
3.3838000000000004e-5,46893.799999999996
3.39022e-5,49997.7
3.39664e-5,53449.299999999996
3.4030600000000006e-5,57301.700000000004
3.4094800000000004e-5,61618.3
3.41376e-5,64791.100000000006
3.41804e-5,68230.3
3.4221900000000005e-5,71839.4
3.42633e-5,75757.5
3.4304700000000004e-5,80020.5
3.4346100000000006e-5,84669.7
3.43875e-5,89752.8
3.44289e-5,95325.29999999999
3.44703e-5,101452.00000000001
3.4511700000000004e-5,108208.0
3.45497e-5,115031.0
3.45876e-5,122537.99999999999
3.46256e-5,130826.0
3.46635e-5,140005.0
3.47015e-5,150209.0
3.4737200000000003e-5,160868.0
3.4771700000000005e-5,172324.0
3.4806200000000006e-5,185072.0
3.48407e-5,199314.0
3.48637e-5,209757.00000000003
3.48867e-5,221055.0
3.49161e-5,236920.00000000003
3.49431e-5,252986.00000000003
3.497e-5,270763.0
3.4996900000000004e-5,290504.0
3.50238e-5,312505.0
3.50418e-5,328599.0
3.5062000000000004e-5,348300.0
3.50822e-5,369828.0
3.5102500000000005e-5,393407.0
3.51227e-5,419290.0
3.51411e-5,445065.00000000006
3.51595e-5,473231.0
3.517790000000001e-5,504065.00000000006
3.51963e-5,537874.0
3.52148e-5,574998.0
3.52332e-5,615815.0
3.5251600000000007e-5,660734.0
3.5270000000000006e-5,710199.0
3.5288400000000006e-5,764686.0
3.53068e-5,824694.0
3.53252e-5,890739.0
3.5343600000000005e-5,963341.9999999999
3.5362000000000005e-5,1.04302e6
3.5380400000000004e-5,1.13024e6
3.5398800000000004e-5,1.22544e6
3.5417200000000004e-5,1.32896e6
3.5435600000000003e-5,1.44104e6
3.5454e-5,1.56176e6
3.54724e-5,1.69102e6
3.54908e-5,1.82851e6
3.55184e-5,2.0488499999999998e6
3.554600000000001e-5,2.28326e6
3.56288e-5,3.01683e6
3.5655500000000004e-5,3.2392e6
3.56818e-5,3.4379e6
3.5708000000000004e-5,3.6091e6
3.5726400000000004e-5,3.70893e6
3.5744800000000004e-5,3.78951e6
3.5763200000000003e-5,3.84907e6
3.57816e-5,3.88627e6
3.5801500000000006e-5,3.9004e6
3.5822100000000004e-5,3.88616e6
3.58368e-5,3.85822e6
3.58552e-5,3.80319e6
3.58736e-5,3.72708e6
3.58929e-5,3.62639e6
3.5912300000000005e-5,3.50686e6
3.5934400000000006e-5,3.35079e6
3.5962000000000006e-5,3.13317e6
3.5998800000000005e-5,2.81881e6
3.6054000000000004e-5,2.33582e6
3.6081600000000004e-5,2.10418e6
3.61092e-5,1.88579e6
3.61276e-5,1.74917e6
3.6146e-5,1.62046e6
3.61644e-5,1.49999e6
3.61828e-5,1.38789e6
3.62012e-5,1.28409e6
3.62196e-5,1.18841e6
3.6238e-5,1.10053e6
3.625640000000001e-5,1.0200499999999999e6
3.62748e-5,946519.9999999999
3.62932e-5,879459.0
3.63116e-5,818366.9999999999
3.6330000000000006e-5,762751.0
3.6348400000000006e-5,712129.0
