E(MeV),xs(mb)
1.0e-11,90694.40000000001
1.03223e-11,89271.99999999999
1.06549e-11,87872.7
1.0998399999999998e-11,86494.8
1.13527e-11,85139.3
1.1718599999999999e-11,83804.70000000001
1.2096199999999998e-11,82491.7
1.24861e-11,81198.9
1.2888399999999999e-11,79927.0
1.3303799999999998e-11,78674.8
1.37325e-11,77442.8
1.41751e-11,76229.8
1.4631799999999997e-11,75036.4
1.51034e-11,73861.5
1.5590099999999998e-11,72705.59999999999
1.6092599999999998e-11,71567.6
1.66111e-11,70447.9
1.71465e-11,69345.6
1.7699e-11,68261.1
1.8269399999999998e-11,67193.4
1.88581e-11,66143.0
1.94659e-11,65108.8
2.00931e-11,64091.4
2.0740699999999998e-11,63089.700000000004
2.1408999999999998e-11,62104.2
2.2099099999999997e-11,61134.1
2.28111e-11,60179.600000000006
2.3546399999999998e-11,59240.00000000001
2.4305099999999997e-11,58315.5
2.50884e-11,57405.5
2.5896799999999997e-11,56510.100000000006
2.67315e-11,55628.700000000004
2.75928e-11,54761.49999999999
2.8482199999999998e-11,53907.9
2.93999e-11,53068.1
3.0347499999999995e-11,52241.4
3.13253e-11,51428.0
3.2335e-11,50627.3
3.33769e-11,49839.6
3.44195e-11,49087.6
3.55288e-11,48324.2
3.66736e-11,47573.2
3.78556e-11,46833.9
3.9075399999999996e-11,46106.6
4.0334799999999997e-11,45390.7
4.1634499999999996e-11,44686.3
4.29764e-11,43993.1
4.43612e-11,43311.1
4.5790899999999994e-11,42639.8
4.72665e-11,41979.4
4.87898e-11,41329.399999999994
5.0362e-11,40689.9
5.1985099999999995e-11,40060.6
5.36602e-11,39441.4
5.53897e-11,38832.1
5.71745e-11,38232.6
5.901719999999999e-11,37642.6
6.091889999999999e-11,37062.2
6.28823e-11,36491.0
6.490859999999999e-11,35929.1
6.700049999999999e-11,35376.1
6.915949999999999e-11,34832.1
7.138839999999999e-11,34296.700000000004
7.36888e-11,33770.1
7.60637e-11,33251.9
7.85147e-11,32742.2
8.10452e-11,32240.5
8.365669999999999e-11,31747.100000000002
8.635289999999999e-11,31261.600000000002
8.91355e-11,30783.999999999996
9.200829999999999e-11,30314.0
9.49731e-11,29851.800000000003
9.803399999999999e-11,29397.000000000004
1.01277e-10,28938.100000000002
1.04541e-10,28498.100000000002
1.0790999999999999e-10,28065.4
1.11388e-10,27639.6
1.14977e-10,27220.9
1.18683e-10,26808.9
1.2250700000000002e-10,26403.8
1.26455e-10,26005.2
1.3053e-10,25613.3
1.34737e-10,25227.6
1.39078e-10,24848.499999999996
1.43561e-10,24475.4
1.48187e-10,24108.6
1.52963e-10,23747.8
1.5789100000000002e-10,23393.0
1.6298e-10,23043.999999999996
1.6823200000000001e-10,22700.9
1.73654e-10,22363.300000000003
1.79249e-10,22031.5
1.85027e-10,21705.100000000002
1.9098900000000002e-10,21384.3
1.97144e-10,21068.8
2.03497e-10,20758.600000000002
2.1005600000000004e-10,20453.5
2.16824e-10,20153.6
2.23812e-10,19858.8
