E(MeV),xs(mb)
1.0e-11,86374.5
1.03223e-11,85022.8
1.06549e-11,83693.00000000001
1.0998399999999998e-11,82383.7
1.13527e-11,81095.7
1.1718599999999999e-11,79827.6
1.2096199999999998e-11,78580.0
1.24861e-11,77351.7
1.2888399999999999e-11,76143.40000000001
1.3303799999999998e-11,74953.7
1.37325e-11,73783.3
1.41751e-11,72631.0
1.4631799999999997e-11,71497.5
1.51034e-11,70381.5
1.5590099999999998e-11,69283.59999999999
1.6092599999999998e-11,68202.7
1.66111e-11,67139.4
1.71465e-11,66092.6
1.7699e-11,65062.8
1.8269399999999998e-11,64048.9
1.88581e-11,63051.6
1.94659e-11,62069.700000000004
2.00931e-11,61103.8
2.0740699999999998e-11,60152.9
2.1408999999999998e-11,59217.5
2.2099099999999997e-11,58296.700000000004
2.28111e-11,57390.8
2.3546399999999998e-11,56499.1
2.4305099999999997e-11,55621.799999999996
2.50884e-11,54758.2
2.5896799999999997e-11,53908.7
2.67315e-11,53072.5
2.75928e-11,52249.9
2.8482199999999998e-11,51440.200000000004
2.93999e-11,50643.6
3.0347499999999995e-11,49859.600000000006
3.13253e-11,49088.3
3.2335e-11,48329.1
3.33769e-11,47582.3
3.44526e-11,46847.3
3.55627e-11,46124.200000000004
3.67089e-11,45412.600000000006
3.7891799999999997e-11,44712.50000000001
3.9113e-11,44023.5
4.0373400000000003e-11,43345.700000000004
4.1674599999999996e-11,42678.700000000004
4.3017399999999996e-11,42022.5
4.440389999999999e-11,41376.799999999996
4.58347e-11,40741.6
4.7311899999999994e-11,40116.50000000001
4.883639999999999e-11,39501.6
5.0410399999999995e-11,38896.5
5.20348e-11,38301.4
5.37119e-11,37715.700000000004
5.54426e-11,37139.6
5.7229499999999995e-11,36572.7
5.907359999999999e-11,36015.1
6.09775e-11,35466.5
6.29424e-11,34926.9
6.497099999999999e-11,34395.9
6.70645e-11,33873.700000000004
6.9226e-11,33359.9
7.145659999999999e-11,32854.6
7.37596e-11,32357.399999999998
7.61364e-11,31868.4
7.85902e-11,31387.399999999998
8.11227e-11,30914.3
8.37372e-11,30448.9
8.643549999999999e-11,29991.2
8.922119999999998e-11,29540.899999999998
9.209619999999999e-11,29098.199999999997
9.506439999999999e-11,28662.6
9.81277e-11,28234.3
1.01291e-10,27813.0
1.04554e-10,27398.8
1.07924e-10,26991.3
1.11402e-10,26590.8
1.1499200000000001e-10,26196.7
1.1869700000000001e-10,25809.3
1.22523e-10,25428.3
1.26471e-10,25053.800000000003
1.30547e-10,24685.3
1.34754e-10,24323.199999999997
1.3909700000000002e-10,23967.100000000002
1.43579e-10,23617.1
1.48207e-10,23272.8
