E(MeV),xs(mb)
1.0e-11,579805.0
1.03223e-11,570691.0
1.06549e-11,561724.0
1.0998399999999998e-11,552895.0
1.13527e-11,544208.0
1.1718599999999999e-11,535655.0
1.2096199999999998e-11,527240.0
1.24861e-11,518954.0
1.2888399999999999e-11,510802.0
1.3303799999999998e-11,502775.0
1.37325e-11,494878.0
1.41751e-11,487101.99999999994
1.4631799999999997e-11,479451.0
1.51034e-11,471919.0
1.5590099999999998e-11,464508.0
1.6092599999999998e-11,457211.00000000006
1.66111e-11,450031.0
1.71465e-11,442962.0
1.7699e-11,436007.00000000006
1.8269399999999998e-11,429160.0
1.88581e-11,422422.0
1.94659e-11,415789.0
2.00931e-11,409262.0
2.0740699999999998e-11,402836.0
2.1408999999999998e-11,396514.0
2.2099099999999997e-11,390289.0
2.28111e-11,384164.0
2.3546399999999998e-11,378134.0
2.4305099999999997e-11,372201.0
2.50884e-11,366360.0
2.5896799999999997e-11,360613.0
2.67315e-11,354954.0
2.75928e-11,349387.0
2.8482199999999998e-11,343906.0
2.93999e-11,338512.0
3.0347499999999995e-11,333203.0
3.13253e-11,327979.0
3.2335e-11,322836.0
3.33769e-11,317775.0
3.44526e-11,312793.0
3.55627e-11,307891.0
3.67089e-11,303065.0
3.7891799999999997e-11,298316.0
3.9113e-11,293641.0
4.0373400000000003e-11,289042.0
4.1674599999999996e-11,284513.0
4.3017399999999996e-11,280058.0
4.440389999999999e-11,275672.0
4.58347e-11,271356.0
4.7311899999999994e-11,267107.0
4.883639999999999e-11,262926.0
5.0410399999999995e-11,258811.0
5.20348e-11,254762.00000000003
5.37119e-11,250775.00000000003
5.54426e-11,246853.0
5.7229499999999995e-11,242992.0
5.907359999999999e-11,239193.0
6.09775e-11,235453.0
6.29424e-11,231773.0
6.497099999999999e-11,228150.0
6.70645e-11,224586.0
6.9226e-11,221077.0
7.145659999999999e-11,217625.0
7.37596e-11,214227.0
7.61364e-11,210883.00000000003
7.85902e-11,207591.0
8.11227e-11,204352.0
8.37372e-11,201164.0
8.643549999999999e-11,198028.0
8.922119999999998e-11,194940.0
9.209619999999999e-11,191902.0
9.506439999999999e-11,188911.0
9.81277e-11,185968.0
1.01291e-10,183072.0
1.04554e-10,180222.0
1.07924e-10,177417.0
1.11402e-10,174657.0
1.1499200000000001e-10,171940.0
1.1869700000000001e-10,169267.0
1.22523e-10,166635.0
1.26471e-10,164047.0
1.30547e-10,161498.0
1.34754e-10,158992.0
1.3909700000000002e-10,156524.0
1.43579e-10,154096.0
1.48207e-10,151706.0
1.52982e-10,149354.0
1.57913e-10,147040.0
1.6300100000000001e-10,144763.0
1.68254e-10,142521.0
1.73676e-10,140316.0
1.79274e-10,138146.0
1.8505000000000002e-10,136010.0
1.91014e-10,133909.0
1.97169e-10,131841.0
2.03524e-10,129804.99999999999
2.1008200000000003e-10,127803.0
2.16853e-10,125832.00000000001
2.2384e-10,123893.00000000001
2.31055e-10,121984.0
2.385e-10,120107.00000000001
2.46187e-10,118259.0
2.5412e-10,116441.0
2.6231e-10,114650.99999999999
2.70762e-10,112891.00000000001
2.7948900000000003e-10,111158.0
2.88494e-10,109454.0
2.9779300000000004e-10,107776.0
3.07388e-10,106125.0
3.1729500000000004e-10,104501.0
3.27519e-10,102902.99999999999
3.38075e-10,101330.00000000001
3.4896900000000003e-10,99782.1
