E(MeV),xs(mb)
1.0e-11,229901.0
1.03223e-11,226291.99999999997
1.06549e-11,222742.0
1.0998399999999998e-11,219246.0
1.13527e-11,215807.0
1.1718599999999999e-11,212421.00000000003
1.2096199999999998e-11,209089.0
1.24861e-11,205809.0
1.2888399999999999e-11,202581.0
1.3303799999999998e-11,199404.0
1.37325e-11,196278.0
1.41751e-11,193200.0
1.4631799999999997e-11,190171.0
1.51034e-11,187190.0
1.5590099999999998e-11,184256.0
1.6092599999999998e-11,181368.0
1.66111e-11,178526.0
1.71465e-11,175729.0
1.7699e-11,172976.0
1.8269399999999998e-11,170266.0
1.88581e-11,167600.0
1.94659e-11,164975.0
2.00931e-11,162393.0
2.0740699999999998e-11,159850.0
2.1408999999999998e-11,157349.0
2.2099099999999997e-11,154886.0
2.28111e-11,152463.0
2.3546399999999998e-11,150077.0
2.4305099999999997e-11,147730.0
2.50884e-11,145420.0
2.5896799999999997e-11,143146.0
2.67315e-11,140908.0
2.75928e-11,138706.0
2.8482199999999998e-11,136538.0
2.93999e-11,134406.0
3.0347499999999995e-11,132306.0
3.13253e-11,130240.0
3.2335e-11,128207.0
3.33769e-11,126206.0
3.44526e-11,124235.99999999999
3.55627e-11,122299.0
3.67089e-11,120391.0
3.7891799999999997e-11,118514.00000000001
3.9113e-11,116667.00000000001
4.0373400000000003e-11,114849.0
4.1674599999999996e-11,113060.0
4.3017399999999996e-11,111298.99999999999
4.440389999999999e-11,109566.00000000001
4.58347e-11,107861.0
4.7311899999999994e-11,106183.0
4.883639999999999e-11,104531.0
5.0410399999999995e-11,102906.00000000001
5.20348e-11,101306.99999999999
5.37119e-11,99732.90000000001
5.54426e-11,98184.2
5.7229499999999995e-11,96659.79999999999
5.907359999999999e-11,95160.09999999999
6.09775e-11,93683.9
6.29424e-11,92231.6
6.497099999999999e-11,90802.09999999999
6.70645e-11,89395.7
6.9226e-11,88011.5
7.145659999999999e-11,86649.6
7.37596e-11,85309.2
7.61364e-11,83990.4
7.85902e-11,82692.5
8.11227e-11,81415.5
8.37372e-11,80158.79999999999
8.643549999999999e-11,78922.3
8.922119999999998e-11,77705.5
9.209619999999999e-11,76508.3
9.506439999999999e-11,75330.0
9.81277e-11,74170.9
1.01291e-10,73030.0
1.04554e-10,71907.8
1.07924e-10,70803.2
1.11402e-10,69716.8
1.1499200000000001e-10,68647.40000000001
1.1869700000000001e-10,67595.5
1.22523e-10,66560.2
1.26471e-10,65541.90000000001
1.30547e-10,64539.600000000006
1.34754e-10,63553.7
1.3909700000000002e-10,62583.399999999994
1.43579e-10,61629.1
1.48207e-10,60689.799999999996
1.52982e-10,59765.9
1.57913e-10,58856.700000000004
1.6300100000000001e-10,57962.4
1.68254e-10,57082.2
1.73676e-10,56216.5
1.79274e-10,55364.6
1.8505000000000002e-10,54526.6
1.91014e-10,53702.0
1.97169e-10,52890.9
2.03524e-10,52092.799999999996
2.1008200000000003e-10,51307.7
2.16853e-10,50535.2
2.2384e-10,49775.4
2.31055e-10,49027.700000000004
2.385e-10,48292.299999999996
2.46187e-10,47568.6
2.5412e-10,46856.9
2.6231e-10,46156.49999999999
2.70762e-10,45467.700000000004
2.7948900000000003e-10,44789.8
2.88494e-10,44123.200000000004
2.9779300000000004e-10,43467.200000000004
3.07388e-10,42821.99999999999
3.1729500000000004e-10,42187.200000000004
3.27519e-10,41562.799999999996
3.38075e-10,40948.5
3.4896900000000003e-10,40344.3
3.6021600000000004e-10,39749.7
3.7182300000000004e-10,39165.0
3.83807e-10,38589.6
3.96174e-10,38023.799999999996
4.08943e-10,37467.0
4.2212e-10,36919.4
4.3572499999999996e-10,36380.6
4.4976500000000005e-10,35850.7
4.6426100000000007e-10,35329.2
4.79221e-10,34816.4
4.95711e-10,34278.6
5.127690000000001e-10,33750.0
5.304140000000001e-10,33230.6
5.48666e-10,32720.3
5.67547e-10,32218.7
5.870770000000001e-10,31725.9
6.072790000000001e-10,31241.6
6.281760000000001e-10,30765.8
6.49792e-10,30298.1
6.72152e-10,29838.6
6.95282e-10,29387.0
7.19207e-10,28943.2
7.439560000000001e-10,28507.1
7.69556e-10,28078.6
7.960380000000001e-10,27657.4
8.234299999999999e-10,27243.6
8.51766e-10,26836.899999999998
8.810760000000001e-10,26437.2
9.113950000000001e-10,26044.399999999998
9.42757e-10,25658.500000000004
9.75198e-10,25279.1
1.0087600000000001e-9,24906.3
1.04347e-9,24540.0
1.07938e-9,24180.0
1.11652e-9,23826.100000000002
1.1549400000000001e-9,23478.4
1.19468e-9,23136.600000000002
1.23579e-9,22800.699999999997
1.27832e-9,22470.6
1.3223100000000002e-9,22146.2
1.36781e-9,21827.399999999998
1.41488e-9,21514.000000000004
1.46356e-9,21206.0
1.5139300000000002e-9,20903.399999999998
1.5660200000000001e-9,20605.899999999998
1.61991e-9,20313.500000000004
1.67565e-9,20026.1
1.73331e-9,19743.6
1.7929600000000002e-9,19466.0
1.85466e-9,19193.2
1.91848e-9,18925.0
1.9845e-9,18661.399999999998
2.05278e-9,18402.3
2.12342e-9,18147.7
2.2011500000000004e-9,17881.899999999998
2.28171e-9,17620.899999999998
2.36522e-9,17364.7
2.45179e-9,17113.100000000002
2.54153e-9,16866.1
2.63455e-9,16623.600000000002
2.7309800000000004e-9,16385.4
2.8309300000000003e-9,16151.599999999999
2.9345500000000004e-9,15922.0
3.0419500000000002e-9,15696.6
3.1532900000000004e-9,15475.2
3.2687e-9,15257.9
3.3883400000000003e-9,15044.5
3.51235e-9,14834.9
3.6409200000000003e-9,14629.2
3.77417e-9,14427.099999999999
3.91231e-9,14228.7
4.0555e-9,14033.9
4.203940000000001e-9,13842.6
4.3578e-9,13654.800000000001
4.51731e-9,13470.4
4.682640000000001e-9,13289.3
4.85404e-9,13111.4
5.0316900000000004e-9,12936.8
5.21586e-9,12765.3
5.40675e-9,12596.9
5.60466e-9,12431.6
5.8220900000000005e-9,12259.800000000001
6.04796e-9,12091.199999999999
6.28259e-9,11925.9
6.52632e-9,11763.699999999999
6.77951e-9,11604.6
7.04252e-9,11448.5
7.315740000000001e-9,11295.4
7.59955e-9,11145.199999999999
7.894370000000002e-9,10997.9
8.200640000000001e-9,10853.4
8.51878e-9,10711.599999999999
8.84927e-9,10572.5
9.19258e-9,10436.099999999999
9.549200000000001e-9,10302.3
9.919660000000001e-9,10170.999999999998
1.0304500000000001e-8,10042.199999999999
1.07043e-8,9915.88
1.11195e-8,9791.95
1.1575299999999999e-8,9663.7
1.20499e-8,9538.0
1.25438e-8,9414.84
1.3058099999999999e-8,9294.119999999999
1.35933e-8,9175.84
1.41506e-8,9059.91
1.4730700000000002e-8,8946.300000000001
1.53346e-8,8834.960000000001
1.59632e-8,8725.849999999999
1.66176e-8,8618.92
1.72988e-8,8514.13
1.8008e-8,8411.429999999998
1.87461e-8,8310.79
1.95559e-8,8207.02
2.0400700000000002e-8,8105.44
2.1282e-8,8006.0
2.22013e-8,7908.65
2.31603e-8,7813.349999999999
2.41608e-8,7720.049999999999
2.52045e-8,7628.71
2.52522e-8,7624.67
2.5299999999999998e-8,7620.63
2.6392899999999998e-8,7531.38
2.7533e-8,7444.0
2.8722400000000002e-8,7358.450000000001
2.99631e-8,7274.7
3.13236e-8,7188.66
3.2745799999999997e-8,7104.53
3.42328e-8,7022.24
3.5787e-8,6941.76
3.74121e-8,6863.05
3.91107e-8,6786.06
4.08866e-8,6710.75
4.2743e-8,6637.1
4.4778399999999994e-8,6561.67
4.69107e-8,6487.969999999999
4.914450000000001e-8,6415.969999999999
5.14847e-8,6345.63
5.3936300000000004e-8,6276.900000000001
5.6504700000000006e-8,6209.75
5.91953e-8,6144.14
6.21455e-8,6077.17
6.524250000000001e-8,6011.82
6.8494e-8,5948.03
7.19074e-8,5885.7699999999995
7.54911e-8,5824.9800000000005
7.92531e-8,5765.63
8.32029e-8,5707.7
8.753439999999999e-8,5648.72
9.209120000000001e-8,5591.21
9.68854e-8,5535.13
1.01929e-7,5480.45
1.0723499999999998e-7,5427.120000000001
1.1305599999999999e-7,5372.9800000000005
1.1919399999999999e-7,5320.23
1.2566399999999998e-7,5268.849999999999
1.3248599999999999e-7,5218.8
1.3997399999999998e-7,5168.13
1.47885e-7,5118.79
1.5624299999999998e-7,5070.75
1.6507299999999999e-7,5023.98
1.7440199999999998e-7,4978.46
1.84649e-7,4932.46
1.95498e-7,4887.72
2.06984e-7,4844.21
2.1960799999999996e-7,4800.349999999999
2.3300299999999996e-7,4757.72
2.47215e-7,4716.29
2.6229399999999995e-7,4676.040000000001
2.7888199999999997e-7,4635.55
2.96518e-7,4596.219999999999
3.1527099999999996e-7,4558.0
3.3591799999999995e-7,4519.610000000001
3.5791799999999996e-7,4482.35
3.8135799999999997e-7,4446.18
4.07193e-7,4409.91
4.3478000000000003e-7,4374.72
4.6521699999999995e-7,4339.5
4.97785e-7,4305.33
5.32633e-7,4272.21
5.71126e-7,4239.099999999999
6.12404e-7,4206.96
6.58053e-7,4174.85
7.071049999999999e-7,4143.709999999999
7.614199999999999e-7,4112.639999999999
8.199109999999999e-7,4082.49
8.847619999999999e-7,4052.4199999999996
9.54743e-7,4023.2400000000002
1.02797e-6,3995.75
1.1418299999999998e-6,3957.9300000000003
1.31355e-6,3909.65
1.5759399999999999e-6,3850.2000000000003
2.01385e-6,3774.73
2.72163e-6,3687.6099999999997
3.7041e-6,3602.04
5.112359999999999e-6,3512.7999999999997
7.155579999999999e-6,3416.01
1.02283e-5,3302.88
1.5141400000000002e-5,3155.71
3.22639e-5,2703.38
3.8170600000000003e-5,2530.3900000000003
4.299660000000001e-5,2371.77
4.74269e-5,2208.17
5.3425900000000006e-5,1970.2900000000002
5.4944e-5,1920.9099999999999
5.571910000000001e-5,1903.01
5.6400700000000004e-5,1894.25
5.669190000000001e-5,1893.15
5.7291800000000006e-5,1898.08
5.78973e-5,1915.92
5.83029e-5,1937.78
5.871410000000001e-5,1970.78
5.9022600000000006e-5,2004.61
5.9333900000000005e-5,2048.63
5.9646700000000006e-5,2105.17
5.995960000000001e-5,2177.06
6.0171000000000004e-5,2236.29
6.03825e-5,2305.79
6.0594e-5,2387.36
6.08055e-5,2483.21
6.10199e-5,2597.73
6.118080000000001e-5,2697.09
6.13416e-5,2809.92
6.15025e-5,2938.22
6.16633e-5,3084.21
6.17923e-5,3215.92
6.19212e-5,3362.88
6.20501e-5,3527.24
6.2179e-5,3711.3
6.230790000000001e-5,3917.89
6.24171e-5,4112.879999999999
6.254940000000001e-5,4377.61
6.267660000000001e-5,4665.84
6.277580000000001e-5,4917.01
6.288780000000001e-5,5232.160000000001
6.299720000000001e-5,5577.33
6.307860000000001e-5,5861.34
6.31448e-5,6111.16
6.32466e-5,6532.860000000001
6.332290000000001e-5,6882.39
6.33993e-5,7264.0599999999995
6.34756e-5,7681.639999999999
6.355190000000001e-5,8139.45
6.36283e-5,8642.5
6.37046e-5,9196.580000000002
6.378090000000001e-5,9808.400000000001
6.38573e-5,10485.800000000001
6.393360000000001e-5,11238.0
6.40049e-5,12017.0
6.40736e-5,12848.599999999999
6.41423e-5,13770.0
6.419310000000001e-5,14517.9
6.4244e-5,15328.3
6.429490000000001e-5,16207.800000000001
6.434580000000001e-5,17164.3
6.43967e-5,18206.8
6.44476e-5,19345.5
6.44985e-5,20592.199999999997
6.45494e-5,21960.7
6.46003e-5,23466.7
6.46512e-5,25129.0
6.4702e-5,26969.2
6.47529e-5,29013.300000000003
6.47911e-5,30698.2
6.48293e-5,32530.0
6.48674e-5,34525.700000000004
6.49056e-5,36705.299999999996
6.49438e-5,39091.8
6.49819e-5,41712.0
6.50201e-5,44597.0
6.505830000000001e-5,47783.5
6.50964e-5,51315.0
6.51346e-5,55242.899999999994
6.517130000000001e-5,59443.9
6.520480000000001e-5,63721.6
6.52384e-5,68469.5
6.527200000000001e-5,73760.0
6.530560000000001e-5,79680.6
6.532800000000001e-5,84029.2
6.53494e-5,88519.2
6.537990000000001e-5,95583.7
6.54003e-5,100774.99999999999
6.542060000000001e-5,106404.00000000001
6.544100000000001e-5,112522.00000000001
6.546130000000001e-5,119193.0
6.54817e-5,126488.0
6.550200000000001e-5,134491.0
6.552040000000001e-5,142385.0
6.55387e-5,151022.0
6.555700000000001e-5,160506.0
6.55753e-5,170960.0
6.559360000000001e-5,182531.0
6.561200000000001e-5,195395.0
6.56257e-5,206016.99999999997
6.56394e-5,217589.0
6.564860000000001e-5,225889.0
6.566490000000001e-5,241947.0
6.567710000000001e-5,255212.0
6.568930000000001e-5,269663.0
6.570150000000001e-5,285440.0
6.571370000000001e-5,302700.0
6.572600000000001e-5,321623.0
6.573820000000001e-5,342407.0
6.575040000000001e-5,365275.0
6.576260000000001e-5,390474.0
6.577480000000001e-5,418278.0
6.578500000000001e-5,443654.0
6.579720000000001e-5,477036.0
6.580940000000001e-5,513950.0
6.582160000000001e-5,554779.0
6.58338e-5,599931.0
6.58461e-5,649842.0
6.58552e-5,690674.0
6.58644e-5,734641.0
6.58735e-5,781948.0
6.58851e-5,846991.0
6.589800000000001e-5,926018.0
6.59108e-5,1.01309e6
6.592360000000001e-5,1.10876e6
6.59364e-5,1.21355e6
6.5945e-5,1.28871e6
6.59564e-5,1.39576e6
6.59678e-5,1.51084e6
6.597920000000001e-5,1.63413e6
6.59906e-5,1.76574e6
6.60028e-5,1.91599e6
6.6015e-5,2.0756999999999998e6
6.603130000000001e-5,2.30288e6
6.60476e-5,2.54533e6
6.60639e-5,2.80144e6
6.60883e-5,3.2062e6
6.61534e-5,4.32637e6
6.617790000000001e-5,4.72022e6
6.61941e-5,4.96158e6
6.62104e-5,5.18017e6
6.622670000000001e-5,5.37132e6
6.624300000000001e-5,5.53079e6
6.62609e-5,5.6653e6
6.627070000000001e-5,5.71927e6
6.628700000000001e-5,5.77726e6
6.630070000000001e-5,5.7943e6
6.631630000000001e-5,5.778e6
6.63326e-5,5.72092e6
6.63484e-5,5.62722e6
6.63639e-5,5.5019e6
6.63798e-5,5.34119e6
6.639610000000001e-5,5.14629e6
6.64124e-5,4.92526e6
6.64368e-5,4.55519e6
6.64612e-5,4.1537800000000005e6
6.65182e-5,3.18532e6
6.65426e-5,2.78949e6
6.6563e-5,2.47939e6
6.657930000000001e-5,2.24707e6
6.659560000000001e-5,2.0302099999999998e6
6.66086e-5,1.8684e6
6.662200000000001e-5,1.71263e6
6.663550000000001e-5,1.56813e6
6.66474e-5,1.44934e6
6.665930000000001e-5,1.33909e6
6.66712e-5,1.2371e6
6.66831e-5,1.14303e6
6.669500000000001e-5,1.05651e6
6.670560000000001e-5,985607.0000000001
6.671550000000001e-5,923990.0
6.67254e-5,866810.0000000001
6.67354e-5,813808.0
6.67453e-5,764729.0
6.675520000000001e-5,719319.0
6.676510000000001e-5,677331.0
6.67751e-5,638524.0
6.6785e-5,602668.0
6.679820000000001e-5,559070.0
6.68089e-5,527062.0
6.682110000000001e-5,493655.00000000006
6.683330000000001e-5,463311.0
6.684550000000001e-5,435724.0
6.68578e-5,410612.0
6.687e-5,387718.0
6.68822e-5,366813.0
6.689440000000001e-5,347689.0
6.69107e-5,324643.0
6.6927e-5,304046.0
6.69402e-5,288885.0
6.69555e-5,272929.0
6.697070000000001e-5,258424.0
6.6986e-5,245193.0
6.70064e-5,229273.99999999997
6.702670000000001e-5,215051.0
6.70471e-5,202274.99999999997
6.70674e-5,190743.0
6.70878e-5,180286.0
6.71112e-5,169411.0
6.71376e-5,158391.0
6.71641e-5,148526.0
6.71906e-5,139649.0
6.7217e-5,131626.0
6.724350000000001e-5,124344.00000000001
6.727000000000001e-5,117709.0
6.72964e-5,111645.0
6.7328e-5,105066.0
6.73646e-5,98200.59999999999
