E(MeV),xs(mb)
1.0e-11,1.55101e8
1.03223e-11,1.52659e8
1.06549e-11,1.50257e8
1.0998399999999998e-11,1.47891e8
1.13527e-11,1.45564e8
1.1718599999999999e-11,1.43272e8
1.2096199999999998e-11,1.41017e8
1.24861e-11,1.38797e8
1.2888399999999999e-11,1.36613e8
1.3303799999999998e-11,1.34462e8
1.37325e-11,1.3234600000000001e8
1.41751e-11,1.3026199999999999e8
1.4631799999999997e-11,1.28212e8
1.51034e-11,1.26193e8
1.5590099999999998e-11,1.24207e8
1.6092599999999998e-11,1.22251e8
1.66111e-11,1.20327e8
1.71465e-11,1.18432e8
1.7699e-11,1.16568e8
1.8269399999999998e-11,1.14733e8
1.88581e-11,1.12926e8
1.94659e-11,1.11148e8
2.00931e-11,1.09398e8
2.0740699999999998e-11,1.07676e8
2.1408999999999998e-11,1.0598099999999999e8
2.2099099999999997e-11,1.04312e8
2.28111e-11,1.0266900000000001e8
2.3546399999999998e-11,1.0105200000000001e8
2.4305099999999997e-11,9.94612e7
2.50884e-11,9.78947e7
2.5896799999999997e-11,9.63533e7
2.67315e-11,9.48357e7
2.75928e-11,9.33423e7
2.8482199999999998e-11,9.1872e7
2.93999e-11,9.04252e7
3.0347499999999995e-11,8.900080000000001e7
3.13253e-11,8.75991e7
3.2335e-11,8.62191e7
3.33769e-11,8.48611e7
3.44526e-11,8.35242e7
3.55627e-11,8.22085e7
3.67089e-11,8.091329999999999e7
3.7891799999999997e-11,7.96386e7
3.9113e-11,7.83838e7
4.0373400000000003e-11,7.71489e7
4.1674599999999996e-11,7.59331e7
4.3017399999999996e-11,7.47367e7
4.440389999999999e-11,7.35589e7
4.58347e-11,7.23998e7
4.7311899999999994e-11,7.12587e7
4.883639999999999e-11,7.01357e7
5.0410399999999995e-11,6.90301e7
5.20348e-11,6.79422e7
5.37119e-11,6.6871e7
5.54426e-11,6.5817e7
5.7229499999999995e-11,6.47792e7
5.907359999999999e-11,6.3758e7
6.09775e-11,6.27526e7
6.29424e-11,6.176319999999999e7
6.497099999999999e-11,6.078909999999999e7
6.70645e-11,5.983050000000001e7
6.9226e-11,5.88868e7
7.145659999999999e-11,5.7958e7
7.37596e-11,5.70437e7
7.61364e-11,5.61439e7
7.85902e-11,5.5258e7
8.11227e-11,5.43862e7
8.37372e-11,5.35279e7
8.643549999999999e-11,5.26832e7
8.922119999999998e-11,5.18517e7
9.209619999999999e-11,5.10333e7
9.506439999999999e-11,5.02276e7
9.81277e-11,4.943469999999999e7
1.01291e-10,4.86539e7
1.04554e-10,4.788579999999999e7
1.07924e-10,4.71293e7
1.11402e-10,4.63851e7
1.1499200000000001e-10,4.56522e7
1.1869700000000001e-10,4.49311e7
1.22523e-10,4.4221e7
1.26471e-10,4.35222e7
1.30547e-10,4.283419999999999e7
1.34754e-10,4.21572e7
1.3909700000000002e-10,4.149060000000001e7
1.43579e-10,4.08346e7
1.48207e-10,4.01887e7
1.52982e-10,3.95531e7
1.57913e-10,3.89272e7
1.6300100000000001e-10,3.83113e7
1.68254e-10,3.77049e7
1.73676e-10,3.71082e7
1.79274e-10,3.65206e7
1.8505000000000002e-10,3.59423e7
1.91014e-10,3.53729e7
1.97169e-10,3.48126e7
2.03524e-10,3.42609e7
2.1008200000000003e-10,3.3718e7
2.16853e-10,3.31834e7
2.2384e-10,3.26572e7
2.31055e-10,3.21392e7
2.385e-10,3.16294e7
2.46187e-10,3.11274e7
2.5412e-10,3.06333e7
2.6231e-10,3.01469e7
2.70762e-10,2.96681e7
2.7948900000000003e-10,2.91967e7
2.88494e-10,2.8732700000000004e7
2.9779300000000004e-10,2.82759e7
3.07388e-10,2.78263e7
3.1729500000000004e-10,2.73836e7
3.27519e-10,2.69478e7
3.38075e-10,2.6518799999999996e7
3.4896900000000003e-10,2.6096499999999996e7
3.6021600000000004e-10,2.56807e7
3.7182300000000004e-10,2.52714e7
3.83807e-10,2.48684e7
3.96174e-10,2.44718e7
4.08943e-10,2.40812e7
4.2212e-10,2.3696799999999996e7
4.3572499999999996e-10,2.33182e7
4.4976500000000005e-10,2.29456e7
4.6426100000000007e-10,2.25787e7
4.79221e-10,2.22176e7
4.94666e-10,2.1862e7
5.10605e-10,2.15119e7
5.270620000000001e-10,2.11672e7
5.440450000000001e-10,2.08279e7
5.6158e-10,2.04937e7
5.796750000000001e-10,2.01648e7
5.98358e-10,1.98409e7
6.176389999999999e-10,1.9522e7
6.37545e-10,1.9208e7
6.58089e-10,1.88989e7
6.79298e-10,1.85945e7
7.01188e-10,1.82949e7
7.237860000000001e-10,1.79998e7
7.47109e-10,1.77092e7
7.71188e-10,1.74231e7
7.960380000000001e-10,1.71414e7
8.21693e-10,1.6864e7
8.48171e-10,1.65909e7
8.75507e-10,1.63219e7
9.037190000000002e-10,1.60571e7
9.32845e-10,1.57963e7
9.62904e-10,1.55395e7
9.93937e-10,1.52866e7
1.0259700000000001e-9,1.50376e7
1.05903e-9,1.47923e7
1.09316e-9,1.45508e7
1.12839e-9,1.43129e7
1.16475e-9,1.40787e7
1.2022900000000002e-9,1.3848e7
1.2410300000000002e-9,1.36208e7
1.28103e-9,1.33971e7
1.3223100000000002e-9,1.3176699999999998e7
1.36492e-9,1.29596e7
1.4089000000000002e-9,1.2745899999999998e7
1.4543100000000001e-9,1.25353e7
1.5011699999999999e-9,1.2327999999999998e7
1.5495600000000002e-9,1.21237e7
1.5994900000000002e-9,1.19225e7
1.6510400000000001e-9,1.17243e7
1.7042400000000001e-9,1.15292e7
1.75917e-9,1.13369e7
1.81585e-9,1.11475e7
1.87438e-9,1.09609e7
1.9347700000000003e-9,1.07771e7
1.99713e-9,1.0596000000000002e7
2.06148e-9,1.04176e7
2.1279200000000002e-9,1.02419e7
2.19649e-9,1.00688e7
2.26728e-9,9.89823e6
2.3403400000000002e-9,9.73021e6
2.4157700000000002e-9,9.56464e6
2.49362e-9,9.40154e6
2.5739800000000002e-9,9.24082e6
2.6513200000000003e-9,9.09296e6
2.7309800000000004e-9,8.94712e6
2.81303e-9,8.80328e6
2.89755e-9,8.66141e6
2.98461e-9,8.52147e6
3.07429e-9,8.38344e6
3.16666e-9,8.24729e6
3.2618e-9,8.11299e6
3.3598100000000002e-9,7.98052e6
3.4607600000000004e-9,7.84984e6
3.5647400000000002e-9,7.72093e6
3.6718400000000004e-9,7.59376e6
3.78217e-9,7.46831e6
3.8958000000000005e-9,7.34455e6
4.01286e-9,7.22245e6
4.13343e-9,7.102e6
4.2576200000000004e-9,6.98317e6
4.38554e-9,6.86594e6
4.51731e-9,6.75028e6
4.65304e-9,6.63617e6
4.7928400000000006e-9,6.52358e6
4.93685e-9,6.41251e6
5.085180000000001e-9,6.30292e6
5.23797e-9,6.1948e6
5.3953499999999996e-9,6.08812e6
5.557450000000001e-9,5.98286e6
5.72443e-9,5.87902e6
5.89643e-9,5.77656e6
6.07359e-9,5.67546e6
6.256080000000001e-9,5.57572e6
6.444040000000001e-9,5.4773e6
6.6376600000000004e-9,5.38021e6
6.837100000000001e-9,5.2844e6
7.04252e-9,5.18987e6
7.254120000000001e-9,5.0966e6
7.47208e-9,5.00458e6
7.696580000000001e-9,4.91379e6
7.92783e-9,4.82421e6
8.16603e-9,4.73583e6
8.3936e-9,4.65483e6
8.62755e-9,4.57483e6
8.86798e-9,4.49584e6
9.11515e-9,4.41784e6
9.36917e-9,4.34082e6
9.63031e-9,4.26476e6
9.89869e-9,4.1896699999999995e6
1.01746e-8,4.1155299999999995e6
1.0458099999999999e-8,4.0423400000000005e6
1.07496e-8,3.97007e6
1.10492e-8,3.89874e6
1.1357200000000001e-8,3.82831e6
1.1673700000000001e-8,3.75881e6
1.1999e-8,3.69019e6
1.2333400000000002e-8,3.62248e6
1.26772e-8,3.55565e6
1.30305e-8,3.48971e6
1.33937e-8,3.42463e6
1.37669e-8,3.36043e6
1.41506e-8,3.29708e6
1.4544999999999999e-8,3.2346e6
1.49504e-8,3.17295e6
1.5367e-8,3.11216e6
1.57619e-8,3.05677e6
1.6167000000000002e-8,3.0021e6
1.65825e-8,2.94813e6
1.7008600000000002e-8,2.89486e6
1.74457e-8,2.84228e6
1.78941e-8,2.7904e6
1.83539e-8,2.7392e6
1.88256e-8,2.6887e6
1.9309400000000003e-8,2.63887e6
1.98056e-8,2.58973e6
2.0314600000000002e-8,2.54127e6
2.08367e-8,2.49348e6
2.13721e-8,2.44637e6
2.1921400000000003e-8,2.39993e6
2.2484700000000003e-8,2.35416e6
2.30626e-8,2.30906e6
2.3655300000000002e-8,2.26461e6
2.42632e-8,2.22084e6
2.48867e-8,2.17772e6
2.52522e-8,2.15324e6
2.5299999999999998e-8,2.15008e6
2.58954e-8,2.11152e6
2.65047e-8,2.0735100000000002e6
2.71285e-8,2.0360399999999998e6
2.77669e-8,1.99913e6
2.84203e-8,1.96275e6
2.9089100000000002e-8,1.92692e6
2.9773700000000003e-8,1.89163e6
3.04743e-8,1.85688e6
3.11915e-8,1.82266e6
3.1925400000000005e-8,1.78899e6
3.26768e-8,1.75585e6
3.34456e-8,1.72324e6
3.42328e-8,1.69116e6
3.5038299999999996e-8,1.65962e6
3.58629e-8,1.6286e6
3.67067e-8,1.59812e6
3.7570600000000004e-8,1.56815e6
3.84547e-8,1.53872e6
3.93597e-8,1.5098e6
4.0285799999999997e-8,1.4814e6
4.12339e-8,1.45352e6
4.2204199999999996e-8,1.42616e6
4.31974e-8,1.39931e6
4.4120600000000007e-8,1.37535e6
4.50634e-8,1.35181e6
4.60265e-8,1.32869e6
4.70101e-8,1.30599e6
4.80147e-8,1.2837e6
4.9040800000000005e-8,1.26183e6
5.008880000000001e-8,1.24038e6
5.11592e-8,1.21933e6
5.22525e-8,1.1987e6
5.3369200000000004e-8,1.17847e6
5.45097e-8,1.15865e6
5.56746e-8,1.13923e6
5.68644e-8,1.12022e6
5.80796e-8,1.10161e6
5.93208e-8,1.0834e6
6.05885e-8,1.06558e6
