E(MeV),xs(mb)
1.0e-11,528205.0
1.03223e-11,519895.99999999994
1.06549e-11,511721.0
1.0998399999999998e-11,503671.0
1.13527e-11,495751.99999999994
1.1718599999999999e-11,487954.00000000006
1.2096199999999998e-11,480281.99999999994
1.24861e-11,472728.00000000006
1.2888399999999999e-11,465294.99999999994
1.3303799999999998e-11,457977.0
1.37325e-11,450776.0
1.41751e-11,443687.0
1.4631799999999997e-11,436711.0
1.51034e-11,429843.0
1.5590099999999998e-11,423085.0
1.6092599999999998e-11,416432.0
1.66111e-11,409884.99999999994
1.71465e-11,403439.0
1.7699e-11,397097.0
1.8269399999999998e-11,390853.0
1.88581e-11,384709.0
1.94659e-11,378660.0
2.00931e-11,372708.0
2.0740699999999998e-11,366848.0
2.1408999999999998e-11,361081.0
2.2099099999999997e-11,355404.0
2.28111e-11,349818.0
2.3546399999999998e-11,344319.0
2.4305099999999997e-11,338907.0
2.50884e-11,333580.0
2.5896799999999997e-11,328337.0
2.67315e-11,323176.0
2.75928e-11,318098.0
2.8482199999999998e-11,313098.0
2.93999e-11,308178.0
3.0347499999999995e-11,303334.0
3.13253e-11,298568.0
3.2335e-11,293876.0
3.33769e-11,289259.0
3.44526e-11,284714.0
3.55627e-11,280241.0
3.67089e-11,275837.0
3.7891799999999997e-11,271505.0
3.9113e-11,267239.0
4.0373400000000003e-11,263041.0
4.1674599999999996e-11,258909.0
4.3017399999999996e-11,254843.00000000003
4.440389999999999e-11,250840.0
4.58347e-11,246901.0
4.7311899999999994e-11,243023.0
4.883639999999999e-11,239207.0
5.0410399999999995e-11,235451.0
5.20348e-11,231754.00000000003
5.37119e-11,228114.99999999997
5.54426e-11,224534.0
5.7229499999999995e-11,221009.0
5.907359999999999e-11,217539.99999999997
6.09775e-11,214125.0
6.29424e-11,210765.0
6.497099999999999e-11,207457.0
6.70645e-11,204202.0
6.9226e-11,200997.0
7.145659999999999e-11,197844.0
7.37596e-11,194740.0
7.61364e-11,191685.0
7.85902e-11,188679.0
8.11227e-11,185720.0
8.37372e-11,182807.0
8.643549999999999e-11,179941.0
8.922119999999998e-11,177119.0
9.209619999999999e-11,174343.0
9.506439999999999e-11,171609.0
9.81277e-11,168920.0
1.01291e-10,166272.0
1.04554e-10,163667.0
1.07924e-10,161102.0
1.11402e-10,158579.0
1.1499200000000001e-10,156095.0
1.1869700000000001e-10,153651.0
1.22523e-10,151244.0
1.26471e-10,148877.0
1.30547e-10,146546.0
1.34754e-10,144252.0
1.3909700000000002e-10,141994.0
1.43579e-10,139773.0
1.48207e-10,137586.0
1.52982e-10,135434.0
1.57913e-10,133316.0
1.6300100000000001e-10,131232.0
1.68254e-10,129180.0
1.73676e-10,127160.99999999999
1.79274e-10,125174.00000000001
1.8505000000000002e-10,123218.99999999999
1.91014e-10,121293.99999999999
1.97169e-10,119400.0
2.03524e-10,117536.0
2.1008200000000003e-10,115701.00000000001
2.16853e-10,113894.99999999999
2.2384e-10,112118.99999999999
2.31055e-10,110369.99999999999
2.385e-10,108649.0
2.46187e-10,106955.0
2.5412e-10,105288.0
2.6231e-10,103648.0
2.70762e-10,102034.0
2.7948900000000003e-10,100445.0
2.88494e-10,98881.5
2.9779300000000004e-10,97342.6
3.07388e-10,95828.5
3.1729500000000004e-10,94338.20000000001
3.27519e-10,92871.90000000001
3.38075e-10,91428.49999999999
3.4896900000000003e-10,90008.40000000001
3.6021600000000004e-10,88610.6
3.7182300000000004e-10,87235.3
3.83807e-10,85881.6
3.96174e-10,84549.8
4.08943e-10,83238.8
4.2212e-10,81949.0
4.3572499999999996e-10,80679.5
4.4976500000000005e-10,79430.5
4.6426100000000007e-10,78201.09999999999
4.79221e-10,76991.6
4.94666e-10,75801.1
5.10605e-10,74629.8
5.270620000000001e-10,73477.0
5.440450000000001e-10,72342.8
5.6158e-10,71226.5
5.796750000000001e-10,70128.2
5.98358e-10,69047.2
6.176389999999999e-10,67983.8
6.37545e-10,66937.1
6.58089e-10,65907.3
6.79298e-10,64893.799999999996
7.01188e-10,63896.7
7.237860000000001e-10,62915.4
7.47109e-10,61949.899999999994
7.71188e-10,60999.8
7.960380000000001e-10,60065.0
8.21693e-10,59144.9
8.48171e-10,58239.799999999996
8.75507e-10,57349.1
9.037190000000002e-10,56472.7
9.32845e-10,55610.299999999996
9.62904e-10,54761.8
9.93937e-10,53926.8
