E(MeV),xs(mb)
1.0e-11,1.52831e6
1.03223e-11,1.50427e6
1.06549e-11,1.48062e6
1.0998399999999998e-11,1.45734e6
1.13527e-11,1.43443e6
1.1718599999999999e-11,1.41187e6
1.2096199999999998e-11,1.38967e6
1.24861e-11,1.36782e6
1.2888399999999999e-11,1.34631e6
1.3303799999999998e-11,1.32514e6
1.37325e-11,1.30431e6
1.41751e-11,1.2838e6
1.4631799999999997e-11,1.26362e6
1.51034e-11,1.24375e6
1.5590099999999998e-11,1.2242e6
1.6092599999999998e-11,1.20496e6
1.66111e-11,1.18602e6
1.71465e-11,1.16737e6
1.7699e-11,1.14902e6
1.8269399999999998e-11,1.13096e6
1.88581e-11,1.11319e6
1.94659e-11,1.09569e6
2.00931e-11,1.07847e6
2.0740699999999998e-11,1.06152e6
2.1408999999999998e-11,1.04484e6
2.2099099999999997e-11,1.02841e6
2.28111e-11,1.0122500000000001e6
2.3546399999999998e-11,996344.0
2.4305099999999997e-11,980690.0000000001
2.50884e-11,965278.0
2.5896799999999997e-11,950114.0
2.67315e-11,935183.9999999999
2.75928e-11,920492.9999999999
2.8482199999999998e-11,906030.0
2.93999e-11,891798.0
3.0347499999999995e-11,877787.0
3.13253e-11,864000.0
3.2335e-11,850427.0
3.33769e-11,837072.0
3.44526e-11,823922.9999999999
3.55627e-11,810985.0
3.67089e-11,798248.0
3.7891799999999997e-11,785714.0
3.9113e-11,773376.0
4.0373400000000003e-11,761234.0
4.1674599999999996e-11,749281.0
4.3017399999999996e-11,737520.0
4.440389999999999e-11,725941.0
4.58347e-11,714547.0
4.7311899999999994e-11,703330.0
4.883639999999999e-11,692293.0
5.0410399999999995e-11,681427.0
5.20348e-11,670735.0
5.37119e-11,660209.0
5.54426e-11,649852.0
5.7229499999999995e-11,639656.0
5.907359999999999e-11,629622.0
6.09775e-11,619745.0
6.29424e-11,610026.0
6.497099999999999e-11,600458.0
6.70645e-11,591043.0
6.9226e-11,581775.0
7.145659999999999e-11,572655.0
7.37596e-11,563677.0
7.61364e-11,554842.0
7.85902e-11,546145.0
8.11227e-11,537587.0
8.37372e-11,529163.0
8.643549999999999e-11,520873.0
8.922119999999998e-11,512711.99999999994
9.209619999999999e-11,504682.00000000006
9.506439999999999e-11,496777.0
9.81277e-11,488999.0
1.01291e-10,481341.0
1.04554e-10,473806.99999999994
1.07924e-10,466389.00000000006
1.11402e-10,459091.0
1.1499200000000001e-10,451905.99999999994
1.1869700000000001e-10,444837.0
1.22523e-10,437877.0
1.26471e-10,431029.0
1.30547e-10,424288.00000000006
1.34754e-10,417655.0
1.3909700000000002e-10,411125.0
1.43579e-10,404699.99999999994
1.48207e-10,398375.0
1.52982e-10,392152.0
1.57913e-10,386025.0
1.6300100000000001e-10,379997.0
1.68254e-10,374062.0
1.73676e-10,368224.0
1.79274e-10,362476.0
1.8505000000000002e-10,356820.0
1.91014e-10,351252.0
1.97169e-10,345775.0
2.03524e-10,340382.0
2.1008200000000003e-10,335076.0
2.16853e-10,329853.0
2.2384e-10,324713.0
2.31055e-10,319654.0
2.385e-10,314676.0
2.46187e-10,309776.0
2.5412e-10,304955.0
2.6231e-10,300208.0
2.70762e-10,295539.0
2.7948900000000003e-10,290942.0
2.88494e-10,286419.0
2.9779300000000004e-10,281966.0
3.07388e-10,277586.0
3.1729500000000004e-10,273273.0
3.27519e-10,269030.0
3.38075e-10,264854.0
3.4896900000000003e-10,260744.0
3.6021600000000004e-10,256699.0
3.7182300000000004e-10,252719.0
3.83807e-10,248801.0
3.96174e-10,244946.99999999997
4.08943e-10,241152.0
4.2212e-10,237419.0
4.3572499999999996e-10,233744.0
4.4976500000000005e-10,230128.99999999997
4.6426100000000007e-10,226569.99999999997
4.79221e-10,223068.0
4.94666e-10,219621.00000000003
5.10605e-10,216230.0
5.270620000000001e-10,212892.0
5.440450000000001e-10,209607.0
5.6158e-10,206375.00000000003
5.796750000000001e-10,203194.0
5.98358e-10,200063.0
6.176389999999999e-10,196983.0
6.37545e-10,193952.0
6.58089e-10,190969.0
6.79298e-10,188033.0
7.01188e-10,185144.0
7.237860000000001e-10,182301.0
7.47109e-10,179504.0
7.71188e-10,176751.0
7.960380000000001e-10,174042.0
8.21693e-10,171376.0
8.48171e-10,168754.0
8.75507e-10,166172.0
9.037190000000002e-10,163633.0
9.32845e-10,161133.0
9.62904e-10,158674.0
9.93937e-10,156254.0
1.0259700000000001e-9,153873.0
1.05903e-9,151530.0
1.09316e-9,149225.0
1.12839e-9,146956.0
1.16475e-9,144724.0
1.2022900000000002e-9,142528.0
1.2410300000000002e-9,140367.0
1.28103e-9,138241.0
1.3223100000000002e-9,136149.0
1.36492e-9,134091.0
1.4089000000000002e-9,132066.0
1.4543100000000001e-9,130073.0
1.5011699999999999e-9,128113.00000000001
1.5495600000000002e-9,126184.0
1.5994900000000002e-9,124286.99999999999
1.6510400000000001e-9,122420.0
1.7042400000000001e-9,120583.0
1.75917e-9,118777.0
1.81585e-9,116999.00000000001
1.87438e-9,115250.00000000001
1.9347700000000003e-9,113530.0
1.99713e-9,111838.0
2.06148e-9,110173.00000000001
2.1279200000000002e-9,108536.00000000001
2.19649e-9,106925.0
2.26728e-9,105341.0
2.3403400000000002e-9,103782.0
2.4157700000000002e-9,102248.99999999999
2.49362e-9,100742.0
2.5739800000000002e-9,99258.6
2.65692e-9,97800.2
2.7425500000000002e-9,96365.59999999999
2.8309300000000003e-9,94955.0
2.92217e-9,93567.40000000001
3.01633e-9,92203.09999999999
3.11354e-9,90861.2
3.21387e-9,89541.90000000001
3.3174500000000004e-9,88244.29999999999
3.42435e-9,86968.70000000001
3.53471e-9,85714.2
3.6486100000000003e-9,84480.90000000001
3.7662000000000005e-9,83268.2
3.8958000000000005e-9,81997.3
4.02986e-9,80749.3
4.1685400000000006e-9,79523.90000000001
4.31198e-9,78320.8
4.46036e-9,77139.5
4.61385e-9,75979.90000000001
4.7726100000000005e-9,74841.5
4.93685e-9,73724.1
5.10673e-9,72627.4
5.282460000000001e-9,71551.0
5.46423e-9,70494.7
5.65226e-9,69458.2
5.84676e-9,68441.2
6.04796e-9,67443.40000000001
6.256080000000001e-9,66464.6
6.47135e-9,65504.5
6.694040000000001e-9,64562.799999999996
6.92439e-9,63639.4
7.162670000000001e-9,62733.9
7.40914e-9,61846.1
7.6641e-9,60975.9
7.92783e-9,60123.0
8.200640000000001e-9,59287.200000000004
8.482830000000001e-9,58468.4
8.77474e-9,57666.3
9.07668e-9,56880.8
9.38902e-9,56111.700000000004
9.71211e-9,55358.799999999996
1.0046299999999999e-8,54622.1
1.0392e-8,53901.3
1.07496e-8,53196.3
1.11195e-8,52506.899999999994
1.15022e-8,51833.1
1.1898e-8,51174.7
1.2307399999999999e-8,50531.6
1.2730900000000001e-8,49903.700000000004
1.3169e-8,49290.9
1.36222e-8,48693.1
1.40909e-8,48110.4
1.4575800000000002e-8,47542.600000000006
1.5077400000000002e-8,46989.799999999996
1.56292e-8,46418.9
1.62012e-8,45864.9
1.67942e-8,45327.799999999996
1.7408900000000002e-8,44807.7
1.8046e-8,44304.8
1.87066e-8,43819.0
1.93912e-8,43350.600000000006
2.0101e-8,42899.799999999996
2.08367e-8,42466.7
2.1599300000000003e-8,42051.5
2.23899e-8,41654.600000000006
2.3209399999999998e-8,41276.200000000004
2.40588e-8,40916.8
2.4939399999999998e-8,40576.600000000006
2.52522e-8,40463.2
2.5299999999999998e-8,40446.200000000004
2.6226099999999998e-8,40134.0
2.71859e-8,39842.5
2.8181e-8,39572.4
2.9212400000000002e-8,39324.5
3.02176e-8,39112.200000000004
3.12574e-8,38921.2
3.2332999999999996e-8,38752.4
3.34456e-8,38606.799999999996
3.45965e-8,38485.6
3.5787e-8,38390.200000000004
3.70185e-8,38321.9
3.8211599999999997e-8,38284.2
3.9276399999999996e-8,38273.299999999996
4.05495e-8,38287.5
4.1856200000000005e-8,38332.1
4.31138e-8,38403.1
4.44092e-8,38504.4
4.57435e-8,38638.2
4.70184e-8,38793.9
4.8328800000000005e-8,38982.1
4.96758e-8,39205.2
5.095240000000001e-8,39444.6
5.2261800000000004e-8,39718.7
5.3604900000000004e-8,40030.1
5.48662e-8,40351.2
5.6157500000000005e-8,40709.0
5.74789e-8,41106.5
5.87072e-8,41505.200000000004
5.99618e-8,41942.3
6.12432e-8,42420.9
6.242e-8,42890.1
6.361919999999999e-8,43398.3
6.48416e-8,43949.0
6.59478e-8,44476.7
6.70729e-8,45043.2
6.82171e-8,45651.299999999996
6.93809e-8,46304.299999999996
7.041540000000001e-8,46915.2
7.14655e-8,47565.9
7.253110000000001e-8,48259.0
7.36128e-8,48998.0
7.47103e-8,49785.8
7.56642e-8,50503.200000000004
7.663030000000001e-8,51262.0
7.76087e-8,52065.1
7.859960000000001e-8,52915.700000000004
7.96032e-8,53817.1
8.04494e-8,54609.8
8.13043e-8,55442.4
8.21687e-8,56318.0
8.304180000000001e-8,57238.7
8.39246e-8,58208.1
8.48165e-8,59228.6
8.571809999999999e-8,60304.700000000004
8.6629e-8,61439.1
8.73648e-8,62391.9
8.810689999999999e-8,63387.3
8.88553e-8,64427.700000000004
8.961e-8,65515.7
9.03712e-8,66654.3
9.11388e-8,67846.4
9.19129e-8,69095.4
9.269360000000001e-8,70404.8
9.34809e-8,71778.4
9.4076e-8,72853.59999999999
9.467449999999999e-8,73968.5
9.527720000000001e-8,75126.5
9.588329999999999e-8,76328.2
9.64937e-8,77577.6
9.710750000000001e-8,78875.2
9.772570000000001e-8,80225.6
9.834740000000001e-8,81629.5
9.89735e-8,83091.9
9.96031e-8,84613.9
1.00237e-7,86201.1
1.00875e-7,87854.8
1.0151699999999998e-7,89581.09999999999
1.02163e-7,91382.0
1.02813e-7,93264.4
1.03467e-7,95230.4
1.04126e-7,97288.09999999999
1.0478799999999999e-7,99440.3
1.0523199999999999e-7,100932.0
1.05678e-7,102470.0
1.0612600000000001e-7,104058.0
1.06576e-7,105698.0
1.0702799999999998e-7,107390.99999999999
1.07481e-7,109139.99999999999
1.07937e-7,110948.0
1.0839399999999998e-7,112816.99999999999
1.08854e-7,114750.0
1.09315e-7,116750.0
1.0977799999999999e-7,118819.99999999999
1.10243e-7,120964.0
1.10711e-7,123186.0
1.1117999999999998e-7,125488.0
1.1165099999999999e-7,127875.0
1.1212399999999999e-7,130352.0
1.12599e-7,132923.0
1.13077e-7,135593.0
1.1355599999999999e-7,138367.0
1.14037e-7,141251.0
1.1452e-7,144250.0
1.15006e-7,147372.0
1.15493e-7,150623.0
1.1586e-7,153151.0
1.1622799999999999e-7,155759.0
1.16597e-7,158449.0
1.16968e-7,161226.0
1.1733899999999999e-7,164097.0
1.1771199999999999e-7,167062.0
1.18086e-7,170126.0
1.1846099999999999e-7,173293.0
1.18838e-7,176573.0
1.19215e-7,179966.0
1.19594e-7,183478.0
1.1997399999999999e-7,187114.0
1.20355e-7,190887.0
1.20737e-7,194798.0
1.21121e-7,198853.0
1.21505e-7,203060.99999999997
1.21892e-7,207435.0
1.22279e-7,211979.0
1.22667e-7,216701.0
1.23057e-7,221611.0
1.23448e-7,226727.0
1.2383999999999998e-7,232055.0
1.24102e-7,235726.0
1.24365e-7,239509.00000000003
1.24628e-7,243392.0
1.24892e-7,247396.0
1.2515599999999999e-7,251508.00000000003
1.25421e-7,255751.00000000003
1.2568699999999998e-7,260112.0
1.25953e-7,264615.0
1.2621899999999997e-7,269247.0
1.2648699999999999e-7,274033.0
1.2675399999999997e-7,278959.0
1.2702299999999999e-7,284054.0
1.27291e-7,289303.0
1.2756099999999999e-7,294737.0
1.27831e-7,300340.0
1.28102e-7,306146.0
1.2837199999999998e-7,312139.0
1.28645e-7,318356.0
1.28917e-7,324782.0
1.2919e-7,331456.0
1.29463e-7,338362.0
1.29737e-7,345546.0
1.3001199999999999e-7,352992.0
1.3021799999999998e-7,358784.0
1.3042499999999998e-7,364741.0
1.3063199999999997e-7,370880.0
1.30839e-7,377220.0
1.31047e-7,383754.0
1.31255e-7,390510.0
1.31463e-7,397493.0
1.31671e-7,404704.99999999994
1.31881e-7,412194.00000000006
1.3209e-7,419943.00000000006
1.323e-7,427982.99999999994
1.3251e-7,436345.0
1.3271999999999999e-7,445028.0
1.32931e-7,454082.99999999994
1.33142e-7,463526.0
1.33282e-7,470045.0
1.33423e-7,476767.0
1.33565e-7,483706.0
1.33706e-7,490859.0
1.33847e-7,498237.00000000006
1.33989e-7,505870.99999999994
1.34131e-7,513777.0
1.34273e-7,521955.0
1.3441399999999998e-7,530422.0
1.3455699999999998e-7,539216.0
1.3469899999999998e-7,548357.0
1.3484199999999998e-7,557851.0
1.3498399999999999e-7,567721.0
1.35127e-7,578014.0
1.3527e-7,588762.0
1.3537699999999998e-7,597124.0
1.35485e-7,605760.0
