E(MeV),xs(mb)
1.0e-11,133784.0
1.03223e-11,131686.0
1.06549e-11,129623.0
1.0998399999999998e-11,127591.00000000001
1.13527e-11,125591.99999999999
1.1718599999999999e-11,123624.0
1.2096199999999998e-11,121688.0
1.24861e-11,119782.00000000001
1.2888399999999999e-11,117907.0
1.3303799999999998e-11,116060.00000000001
1.37325e-11,114243.99999999999
1.41751e-11,112455.0
1.4631799999999997e-11,110696.0
1.51034e-11,108963.00000000001
1.5590099999999998e-11,107259.0
1.6092599999999998e-11,105580.99999999999
1.66111e-11,103929.99999999999
1.71465e-11,102305.0
1.7699e-11,100706.0
1.8269399999999998e-11,99131.59999999999
1.88581e-11,97582.90000000001
1.94659e-11,96058.2
2.00931e-11,94558.09999999999
2.0740699999999998e-11,93081.4
2.1408999999999998e-11,91628.5
2.2099099999999997e-11,90198.2
2.28111e-11,88791.0
2.3546399999999998e-11,87405.7
2.4305099999999997e-11,86042.79999999999
2.50884e-11,84701.2
2.5896799999999997e-11,83381.2
2.67315e-11,82081.9
2.75928e-11,80803.49999999999
2.8482199999999998e-11,79545.1
2.93999e-11,78307.0
3.0347499999999995e-11,77088.40000000001
3.13253e-11,75889.3
3.2335e-11,74709.1
3.33769e-11,73548.0
3.44526e-11,72405.0
3.55627e-11,71280.59999999999
3.67089e-11,70173.8
3.7891799999999997e-11,69084.9
3.9113e-11,68013.1
4.0373400000000003e-11,66958.59999999999
4.1674599999999996e-11,65920.8
4.3017399999999996e-11,64899.7
4.440389999999999e-11,63894.700000000004
4.58347e-11,62906.00000000001
4.7311899999999994e-11,61932.9
4.883639999999999e-11,60975.6
5.0410399999999995e-11,60033.399999999994
5.20348e-11,59106.50000000001
5.37119e-11,58194.299999999996
5.54426e-11,57296.8
5.7229499999999995e-11,56413.6
5.907359999999999e-11,55544.700000000004
6.09775e-11,54689.6
6.29424e-11,53848.399999999994
6.497099999999999e-11,53020.6
6.70645e-11,52206.200000000004
6.9226e-11,51404.8
7.145659999999999e-11,50616.5
7.37596e-11,49840.7
7.61364e-11,49077.6
7.85902e-11,48326.6
8.11227e-11,47588.0
8.37372e-11,46861.100000000006
8.643549999999999e-11,46146.1
8.922119999999998e-11,45442.600000000006
9.209619999999999e-11,44750.6
9.506439999999999e-11,44069.700000000004
9.81277e-11,43400.0
1.01291e-10,42740.9
1.04554e-10,42092.9
1.07924e-10,41455.1
1.11402e-10,40828.0
1.1499200000000001e-10,40210.9
1.1869700000000001e-10,39604.0
1.22523e-10,39006.9
1.26471e-10,38419.8
1.30547e-10,37842.0
1.34754e-10,37273.9
1.3909700000000002e-10,36715.0
1.43579e-10,36165.4
1.48207e-10,35624.7
1.52982e-10,35093.0
1.57913e-10,34570.0
1.6300100000000001e-10,34055.7
1.68254e-10,33549.799999999996
1.73676e-10,33052.4
1.79274e-10,32563.100000000002
1.8505000000000002e-10,32082.0
1.91014e-10,31608.800000000003
1.97169e-10,31143.7
2.03524e-10,30686.100000000002
2.1008200000000003e-10,30236.2
2.16853e-10,29793.8
2.2384e-10,29358.9
2.31055e-10,28931.100000000002
2.385e-10,28510.7
2.46187e-10,28097.1
2.5412e-10,27690.7
2.6231e-10,27291.0
2.70762e-10,26898.1
2.7948900000000003e-10,26511.7
2.88494e-10,26132.0
2.98422e-10,25734.0
3.08691e-10,25343.300000000003
3.1931300000000003e-10,24959.5
3.30301e-10,24582.8
3.41667e-10,24212.899999999998
3.5342400000000004e-10,23849.7
3.6558600000000004e-10,23493.2
3.78167e-10,23143.1
3.9118e-10,22799.5
4.04641e-10,22462.2
4.18565e-10,22131.0
4.32968e-10,21805.9
4.4786700000000005e-10,21486.9
4.63279e-10,21173.7
4.79221e-10,20866.2
4.95711e-10,20564.5
5.127690000000001e-10,20268.4
5.304140000000001e-10,19977.7
5.48666e-10,19692.4
5.67547e-10,19412.5
5.870770000000001e-10,19137.7
6.072790000000001e-10,18868.100000000002
6.281760000000001e-10,18603.5
6.49792e-10,18343.9
6.72152e-10,18089.1
6.95282e-10,17839.100000000002
7.19207e-10,17593.7
7.439560000000001e-10,17353.0
7.69556e-10,17116.8
7.960380000000001e-10,16885.0
8.234299999999999e-10,16657.6
8.51766e-10,16434.5
8.829430000000001e-10,16202.0
9.152570000000001e-10,15974.2
9.48759e-10,15750.900000000001
9.83482e-10,15532.1
1.01948e-9,15317.6
1.05679e-9,15107.5
1.09547e-9,14901.599999999999
1.13557e-9,14699.800000000001
1.17713e-9,14502.0
1.22021e-9,14308.300000000001
1.26488e-9,14118.3
1.31117e-9,13932.199999999999
1.35916e-9,13749.800000000001
1.4089000000000002e-9,13571.1
1.4604800000000001e-9,13395.900000000001
1.5139300000000002e-9,13224.199999999999
1.56934e-9,13056.000000000002
1.6302200000000002e-9,12881.499999999998
1.6934700000000002e-9,12710.6
1.75917e-9,12543.4
1.82741e-9,12379.7
1.8983100000000002e-9,12219.4
1.9719500000000004e-9,12062.5
2.04845e-9,11908.9
2.1279200000000002e-9,11758.5
2.21048e-9,11611.199999999999
2.29623e-9,11467.0
2.3853100000000003e-9,11325.9
2.47785e-9,11187.6
2.57942e-9,11044.8
2.68517e-9,10905.1
2.7952400000000004e-9,10768.5
2.90983e-9,10634.8
3.0291100000000005e-9,10504.1
3.1532900000000004e-9,10376.2
3.2825500000000004e-9,10251.1
3.41713e-9,10128.699999999999
3.5572e-9,10008.900000000001
3.70303e-9,9891.74
3.85482e-9,9777.11
4.021340000000001e-9,9659.11
4.195050000000001e-9,9543.789999999999
4.37627e-9,9431.08
4.56531e-9,9320.91
4.76252e-9,9213.23
4.9682500000000005e-9,9107.97
5.182870000000001e-9,9005.08
5.40675e-9,8904.5
5.65226e-9,8801.32
5.908890000000001e-9,8700.570000000002
6.1772100000000004e-9,8602.17
6.4576700000000005e-9,8506.09
6.7509e-9,8412.25
7.057410000000001e-9,8320.62
7.3778800000000006e-9,8231.12
7.7292e-9,8139.599999999999
8.097250000000002e-9,8050.3099999999995
8.482830000000001e-9,7963.19
8.886770000000002e-9,7878.2
9.309950000000001e-9,7795.27
9.753270000000001e-9,7714.349999999999
1.02393e-8,7631.86
1.07496e-8,7551.4400000000005
1.1285300000000001e-8,7473.07
1.18478e-8,7396.67
1.24382e-8,7322.2
1.3058099999999999e-8,7249.6
1.3737900000000002e-8,7175.79
1.4453e-8,7103.919999999999
1.52054e-8,7033.929999999999
1.5997e-8,6965.76
1.6829799999999998e-8,6899.38
1.77433e-8,6832.08
1.87066e-8,6766.6
1.9722e-8,6702.9
2.0792700000000003e-8,6640.92
2.19678e-8,6578.25
2.3209399999999998e-8,6517.33
2.4521099999999997e-8,6458.13
2.52522e-8,6427.18
2.5299999999999998e-8,6425.2
2.6786500000000003e-8,6366.44
2.83603e-8,6309.38
3.00266e-8,6253.97
3.17907e-8,6200.17
