E(MeV),xs(mb)
1.0e-11,760287.0
1.03223e-11,748326.0
1.06549e-11,736559.0
1.0998399999999998e-11,724972.0
1.13527e-11,713573.0
1.1718599999999999e-11,702348.0
1.2096199999999998e-11,691304.0
1.24861e-11,680430.0
1.2888399999999999e-11,669731.0
1.3303799999999998e-11,659197.0
1.37325e-11,648832.0
1.41751e-11,638627.0
1.4631799999999997e-11,628586.0
1.51034e-11,618699.0
1.5590099999999998e-11,608972.0
1.6092599999999998e-11,599394.0
1.66111e-11,589970.0
1.71465e-11,580692.0
1.7699e-11,571563.0
1.8269399999999998e-11,562574.0
1.88581e-11,553730.0
1.94659e-11,545022.0
2.00931e-11,536454.0
2.0740699999999998e-11,528019.0
2.1408999999999998e-11,519718.00000000006
2.2099099999999997e-11,511545.99999999994
2.28111e-11,503505.0
2.3546399999999998e-11,495589.0
2.4305099999999997e-11,487798.99999999994
2.50884e-11,480130.00000000006
2.5896799999999997e-11,472583.0
2.67315e-11,465154.0
2.75928e-11,457843.0
2.8482199999999998e-11,450645.99999999994
2.93999e-11,443564.0
3.0347499999999995e-11,436591.00000000006
3.13253e-11,429730.0
3.2335e-11,422976.0
3.33769e-11,416329.0
3.44526e-11,409786.0
3.55627e-11,403347.00000000006
3.67089e-11,397009.0
3.7891799999999997e-11,390771.0
3.9113e-11,384630.0
4.0373400000000003e-11,378588.0
4.1674599999999996e-11,372639.0
4.3017399999999996e-11,366786.0
4.440389999999999e-11,361023.0
4.58347e-11,355352.0
4.7311899999999994e-11,349770.0
4.883639999999999e-11,344277.0
5.0410399999999995e-11,338869.0
5.20348e-11,333547.0
5.37119e-11,328308.0
5.54426e-11,323153.0
5.7229499999999995e-11,318079.0
5.907359999999999e-11,313085.0
6.09775e-11,308169.0
6.29424e-11,303331.0
6.497099999999999e-11,298569.0
6.70645e-11,293882.0
6.9226e-11,289269.0
7.145659999999999e-11,284729.0
7.37596e-11,280260.0
7.61364e-11,275863.0
7.85902e-11,271534.0
8.11227e-11,267274.0
8.37372e-11,263080.0
8.643549999999999e-11,258953.0
8.922119999999998e-11,254890.99999999997
9.209619999999999e-11,250894.0
9.506439999999999e-11,246959.00000000003
9.81277e-11,243086.0
1.01291e-10,239274.0
1.04554e-10,235523.99999999997
1.07924e-10,231831.0
1.11402e-10,228198.0
1.1499200000000001e-10,224620.0
1.1869700000000001e-10,221101.0
1.22523e-10,217635.99999999997
1.26471e-10,214227.0
1.30547e-10,210871.0
1.34754e-10,207568.99999999997
1.3909700000000002e-10,204317.0
1.43579e-10,201119.0
1.48207e-10,197969.0
1.52982e-10,194871.0
1.57913e-10,191821.0
1.6300100000000001e-10,188819.0
1.68254e-10,185865.0
1.73676e-10,182958.0
1.79274e-10,180096.0
1.8505000000000002e-10,177280.0
1.91014e-10,174507.0
1.97169e-10,171780.0
2.03524e-10,169095.0
2.1008200000000003e-10,166453.0
2.16853e-10,163852.0
2.2384e-10,161293.0
2.31055e-10,158774.0
2.385e-10,156296.0
2.46187e-10,153856.0
2.5412e-10,151455.0
2.6231e-10,149092.0
2.70762e-10,146767.0
2.7948900000000003e-10,144478.0
2.88494e-10,142226.0
2.9779300000000004e-10,140009.0
3.07388e-10,137827.0
3.1729500000000004e-10,135680.0
3.27519e-10,133568.0
3.38075e-10,131488.0
3.4896900000000003e-10,129441.99999999999
3.6021600000000004e-10,127428.00000000001
3.7182300000000004e-10,125445.99999999999
3.83807e-10,123495.0
3.96174e-10,121576.0
4.08943e-10,119687.00000000001
4.2212e-10,117828.0
4.3572499999999996e-10,115998.0
4.4976500000000005e-10,114198.0
4.6426100000000007e-10,112426.0
4.79221e-10,110681.99999999999
4.94666e-10,108966.00000000001
5.10605e-10,107278.0
5.270620000000001e-10,105616.0
5.440450000000001e-10,103980.0
5.6158e-10,102370.99999999999
5.796750000000001e-10,100787.0
5.98358e-10,99228.5
6.176389999999999e-10,97694.8
6.37545e-10,96185.3
6.58089e-10,94700.0
6.79298e-10,93238.2
7.01188e-10,91799.9
7.237860000000001e-10,90384.2
7.47109e-10,88991.29999999999
7.71188e-10,87620.29999999999
7.960380000000001e-10,86271.40000000001
8.21693e-10,84943.8
8.48171e-10,83637.5
8.75507e-10,82351.9
9.037190000000002e-10,81086.9
9.32845e-10,79841.9
9.62904e-10,78616.90000000001
9.93937e-10,77411.2
1.0259700000000001e-9,76225.0
1.05903e-9,75057.40000000001
1.09316e-9,73908.7
1.12839e-9,72778.09999999999
1.16475e-9,71665.7
1.2022900000000002e-9,70570.8
1.2410300000000002e-9,69493.5
1.28103e-9,68433.3
1.3223100000000002e-9,67390.1
1.36492e-9,66363.4
1.4089000000000002e-9,65353.2
1.4543100000000001e-9,64358.899999999994
1.5011699999999999e-9,63380.700000000004
1.5495600000000002e-9,62417.9
1.5994900000000002e-9,61470.5
1.6510400000000001e-9,60538.2
1.7042400000000001e-9,59620.8
1.75917e-9,58717.9
1.81585e-9,57829.49999999999
1.87438e-9,56955.1
1.9347700000000003e-9,56094.799999999996
1.99713e-9,55248.0
2.06148e-9,54414.8
2.1279200000000002e-9,53594.799999999996
2.19649e-9,52788.00000000001
2.26728e-9,51993.9
2.3403400000000002e-9,51212.5
2.4157700000000002e-9,50443.5
2.49362e-9,49686.8
2.5739800000000002e-9,48942.0
2.65692e-9,48209.200000000004
2.7425500000000002e-9,47487.899999999994
2.8309300000000003e-9,46778.2
2.92217e-9,46079.7
3.01633e-9,45392.4
3.11354e-9,44715.9
3.21387e-9,44050.3
3.3174500000000004e-9,43395.1
3.42435e-9,42750.5
3.53471e-9,42116.0
3.6486100000000003e-9,41491.6
3.7662000000000005e-9,40877.100000000006
3.88757e-9,40272.4
4.01286e-9,39677.3
4.14217e-9,39091.7
4.2756600000000005e-9,38515.2
4.41344e-9,37948.1
4.55568e-9,37389.8
4.7024800000000005e-9,36840.5
4.85404e-9,36299.8
5.01045e-9,35767.7
5.17193e-9,35244.0
5.3499e-9,34694.6
5.534e-9,34154.5
5.72443e-9,33623.5
5.9214200000000004e-9,33101.5
6.1251800000000006e-9,32588.300000000003
6.335950000000001e-9,32083.8
6.5539800000000006e-9,31587.800000000003
6.77951e-9,31100.2
7.0128000000000004e-9,30620.8
7.254120000000001e-9,30149.499999999996
7.50374e-9,29686.1
7.76196e-9,29230.6
8.02905e-9,28782.800000000003
8.30534e-9,28342.5
8.59114e-9,27909.7
8.886770000000002e-9,27484.199999999997
9.19258e-9,27065.800000000003
9.5089e-9,26654.5
9.83612e-9,26250.2
1.01746e-8,25852.6
1.05247e-8,25461.800000000003
1.08869e-8,25077.600000000002
1.12615e-8,24699.8
1.1649e-8,24328.5
1.20499e-8,23963.3
1.24645e-8,23604.4
1.28935e-8,23251.5
1.33371e-8,22904.5
1.37961e-8,22563.399999999998
1.42708e-8,22228.0
1.47619e-8,21898.300000000003
1.52699e-8,21574.100000000002
1.57953e-8,21255.4
1.63389e-8,20942.1
1.69011e-8,20634.0
1.74827e-8,20331.100000000002
1.80843e-8,20033.4
1.87066e-8,19740.6
1.93503e-8,19452.8
2.00162e-8,19169.8
2.07049e-8,18891.6
2.14174e-8,18618.1
2.2154400000000003e-8,18349.2
2.29168e-8,18084.899999999998
2.37054e-8,17824.899999999998
2.4521099999999997e-8,17569.399999999998
2.52522e-8,17351.0
2.5299999999999998e-8,17337.100000000002
2.61706e-8,17089.7
2.7071200000000002e-8,16846.600000000002
2.80027e-8,16607.5
2.8966300000000002e-8,16372.4
2.99631e-8,16141.300000000001
3.09942e-8,15914.1
3.20607e-8,15690.699999999999
3.31639e-8,15471.0
3.43052e-8,15255.099999999999
3.54856e-8,15042.800000000001
3.67845e-8,14821.1
3.81308e-8,14603.4
3.95265e-8,14389.5
4.0973100000000004e-8,14179.5
4.24728e-8,13973.3
4.4027300000000004e-8,13770.7
4.5638800000000005e-8,13571.800000000001
4.7309099999999996e-8,13376.4
4.9040800000000005e-8,13184.499999999998
5.0835600000000004e-8,12996.099999999999
5.26963e-8,12810.999999999998
5.46249e-8,12629.300000000001
5.66244e-8,12450.699999999999
5.86967e-8,12275.400000000001
6.084520000000001e-8,12103.1
6.30721e-8,11934.0
6.53807e-8,11767.8
6.777350000000001e-8,11604.6
7.02543e-8,11444.300000000001
7.282549999999999e-8,11286.9
7.54911e-8,11132.3
7.825400000000001e-8,10980.5
8.11183e-8,10831.3
8.40871e-8,10684.9
8.716490000000001e-8,10541.0
9.035510000000001e-8,10399.8
9.36623e-8,10261.0
9.70902e-8,10124.800000000001
1.00644e-7,9990.94
1.0432699999999999e-7,9859.52
1.0837499999999999e-7,9722.92
1.12579e-7,9588.88
1.16947e-7,9457.359999999999
1.2148399999999998e-7,9328.32
1.26197e-7,9201.7
1.31092e-7,9077.47
1.36178e-7,8955.59
1.41461e-7,8836.01
1.46949e-7,8718.69
1.5264999999999998e-7,8603.59
1.58572e-7,8490.66
1.6472399999999999e-7,8379.87
1.71114e-7,8271.17
1.77753e-7,8164.529999999999
1.84649e-7,8059.910000000001
1.91812e-7,7957.27
1.99254e-7,7856.59
2.06984e-7,7757.83
2.1546899999999998e-7,7655.58
2.24302e-7,7555.37
2.3349700000000002e-7,7457.13
2.43069e-7,7360.839999999999
2.53033e-7,7266.46
