E(MeV),xs(mb)
1.0e-11,459130.00000000006
1.03223e-11,451917.0
1.06549e-11,444822.0
1.0998399999999998e-11,437835.0
1.13527e-11,430961.0
1.1718599999999999e-11,424193.0
1.2096199999999998e-11,417534.0
1.24861e-11,410977.0
1.2888399999999999e-11,404527.00000000006
1.3303799999999998e-11,398175.0
1.37325e-11,391926.0
1.41751e-11,385774.0
1.4631799999999997e-11,379721.0
1.51034e-11,373761.0
1.5590099999999998e-11,367897.0
1.6092599999999998e-11,362123.0
1.66111e-11,356443.0
1.71465e-11,350850.0
1.7699e-11,345348.0
1.8269399999999998e-11,339930.0
1.88581e-11,334600.0
1.94659e-11,329352.0
2.00931e-11,324189.0
2.0740699999999998e-11,319106.0
2.1408999999999998e-11,314104.0
2.2099099999999997e-11,309180.0
2.28111e-11,304335.0
2.3546399999999998e-11,299565.0
2.4305099999999997e-11,294872.0
2.50884e-11,290252.0
2.5896799999999997e-11,285706.0
2.67315e-11,281230.0
2.75928e-11,276827.0
2.8482199999999998e-11,272492.0
2.93999e-11,268226.0
3.0347499999999995e-11,264027.0
3.13253e-11,259895.0
3.2335e-11,255828.0
3.33769e-11,251826.00000000003
3.44526e-11,247886.0
3.55627e-11,244010.00000000003
3.67089e-11,240194.00000000003
3.7891799999999997e-11,236439.00000000003
3.9113e-11,232743.0
4.0373400000000003e-11,229106.0
4.1674599999999996e-11,225527.0
4.3017399999999996e-11,222004.0
4.440389999999999e-11,218536.00000000003
4.58347e-11,215125.0
4.7311899999999994e-11,211766.0
4.883639999999999e-11,208462.0
5.0410399999999995e-11,205209.00000000003
5.20348e-11,202008.0
5.37119e-11,198858.0
5.54426e-11,195758.0
5.7229499999999995e-11,192706.0
5.907359999999999e-11,189704.0
6.09775e-11,186749.0
6.29424e-11,183841.0
6.497099999999999e-11,180979.0
6.70645e-11,178163.0
6.9226e-11,175391.0
7.145659999999999e-11,172663.0
7.37596e-11,169979.0
7.61364e-11,167338.0
7.85902e-11,164738.0
8.11227e-11,162180.0
8.37372e-11,159662.0
8.643549999999999e-11,157185.0
8.922119999999998e-11,154746.0
9.209619999999999e-11,152347.0
9.506439999999999e-11,149986.0
9.81277e-11,147663.0
1.01291e-10,145376.0
1.04554e-10,143127.0
1.07924e-10,140912.0
1.11402e-10,138734.0
1.1499200000000001e-10,136590.0
1.1869700000000001e-10,134480.0
1.22523e-10,132404.0
1.26471e-10,130362.0
1.30547e-10,128351.0
1.34754e-10,126373.0
1.3909700000000002e-10,124425.99999999999
1.43579e-10,122510.99999999999
1.48207e-10,120626.00000000001
1.52982e-10,118772.00000000001
1.57913e-10,116947.0
1.6300100000000001e-10,115151.0
1.68254e-10,113384.0
1.73676e-10,111646.0
1.79274e-10,109935.0
1.8505000000000002e-10,108251.99999999999
1.91014e-10,106595.0
1.97169e-10,104966.0
2.03524e-10,103362.0
2.1008200000000003e-10,101784.00000000001
2.16853e-10,100231.0
2.2384e-10,98703.90000000001
2.31055e-10,97200.6
2.385e-10,95721.79999999999
2.46187e-10,94266.40000000001
2.5412e-10,92834.8
2.6231e-10,91425.8
