E(MeV),xs(mb)
1.0e-11,209403.0
1.03223e-11,206135.0
1.06549e-11,202918.99999999997
1.0998399999999998e-11,199753.0
1.13527e-11,196639.0
1.1718599999999999e-11,193573.0
1.2096199999999998e-11,190557.0
1.24861e-11,187587.0
1.2888399999999999e-11,184666.0
1.3303799999999998e-11,181790.0
1.37325e-11,178961.0
1.41751e-11,176176.0
1.4631799999999997e-11,173436.0
1.51034e-11,170739.0
1.5590099999999998e-11,168086.0
1.6092599999999998e-11,165474.0
1.66111e-11,162905.0
1.71465e-11,160375.0
1.7699e-11,157887.0
1.8269399999999998e-11,155438.0
1.88581e-11,153029.0
1.94659e-11,150657.0
2.00931e-11,148324.0
2.0740699999999998e-11,146028.0
2.1408999999999998e-11,143768.0
2.2099099999999997e-11,141545.0
2.28111e-11,139358.0
2.3546399999999998e-11,137205.0
2.4305099999999997e-11,135087.0
2.50884e-11,133002.0
2.5896799999999997e-11,130952.0
2.67315e-11,128934.0
2.75928e-11,126949.0
2.8482199999999998e-11,124994.99999999999
2.93999e-11,123073.00000000001
3.0347499999999995e-11,121181.99999999999
3.13253e-11,119321.00000000001
3.2335e-11,117490.0
3.33769e-11,115689.0
3.44526e-11,113917.0
3.55627e-11,112174.0
3.67089e-11,110457.99999999999
3.7891799999999997e-11,108771.0
3.9113e-11,107110.0
4.0373400000000003e-11,105477.0
4.1674599999999996e-11,103870.0
4.3017399999999996e-11,102289.99999999999
4.440389999999999e-11,100733.99999999999
4.58347e-11,99204.9
4.7311899999999994e-11,97699.9
4.883639999999999e-11,96219.7
5.0410399999999995e-11,94763.40000000001
5.20348e-11,93331.2
5.37119e-11,91922.09999999999
5.54426e-11,90536.4
5.7229499999999995e-11,89173.1
5.907359999999999e-11,87832.5
6.09775e-11,86513.6
6.29424e-11,85216.6
6.497099999999999e-11,83940.90000000001
6.70645e-11,82686.3
6.9226e-11,81452.3
7.145659999999999e-11,80238.9
7.37596e-11,79045.4
7.61364e-11,77872.0
7.85902e-11,76717.8
8.11227e-11,75583.0
8.37372e-11,74466.90000000001
8.643549999999999e-11,73369.7
8.922119999999998e-11,72290.59999999999
9.209619999999999e-11,71229.8
9.506439999999999e-11,70186.59999999999
9.81277e-11,69161.2
1.01291e-10,68152.7
1.04554e-10,67161.6
1.07924e-10,66186.9
1.11402e-10,65229.100000000006
1.1499200000000001e-10,64287.200000000004
1.1869700000000001e-10,63361.700000000004
1.22523e-10,62451.600000000006
1.26471e-10,61557.399999999994
1.30547e-10,60678.1
1.34754e-10,59814.299999999996
1.39391e-10,58909.1
1.44187e-10,58020.50000000001
1.4914900000000001e-10,57148.3
1.5428100000000002e-10,56292.200000000004
1.5959000000000001e-10,55452.0
1.65082e-10,54627.299999999996
1.7076300000000001e-10,53818.1
1.76639e-10,53023.9
1.82717e-10,52244.6
1.89005e-10,51479.9
1.95508e-10,50729.7
2.02236e-10,49993.600000000006
2.0919500000000002e-10,49271.399999999994
2.1639400000000002e-10,48563.0
2.2384e-10,47868.1
2.31543e-10,47186.399999999994
2.39511e-10,46517.9
2.47752e-10,45862.2
2.56278e-10,45219.1
2.65097e-10,44588.5
2.74219e-10,43970.200000000004
2.83655e-10,43363.899999999994
2.93416e-10,42769.399999999994
3.0351300000000005e-10,42186.700000000004
3.13957e-10,41615.399999999994
3.24761e-10,41055.4
3.3593600000000005e-10,40506.399999999994
3.47496e-10,39968.4
3.59454e-10,39441.1
3.7182300000000004e-10,38924.4
3.85434e-10,38386.7
3.99539e-10,37860.6
4.14164e-10,37345.700000000004
4.2932100000000003e-10,36842.0
4.4503700000000007e-10,36349.1
4.6132400000000005e-10,35867.0
4.7821e-10,35395.3
4.95711e-10,34933.9
5.13856e-10,34482.6
5.32662e-10,34041.299999999996
5.521600000000001e-10,33609.6
5.72367e-10,33187.6
5.933180000000001e-10,32774.8
6.15032e-10,32371.3
6.37545e-10,31976.7
6.62279e-10,31568.6
6.87972e-10,31170.100000000002
7.14661e-10,30781.100000000002
7.42387e-10,30401.4
7.71188e-10,30030.7
8.011060000000001e-10,29668.899999999998
8.32185e-10,29315.8
8.644690000000001e-10,28971.100000000002
8.980060000000001e-10,28634.7
9.34817e-10,28288.5
9.731410000000001e-10,27950.9
1.0130300000000002e-9,27622.100000000002
1.05456e-9,27301.5
1.0977900000000002e-9,26989.2
1.1428e-9,26684.7
1.18964e-9,26388.1
1.23841e-9,26098.9
1.29191e-9,25802.6
1.34771e-9,25514.100000000002
1.40593e-9,25233.4
1.4666600000000002e-9,24960.100000000002
1.53002e-9,24694.1
1.59611e-9,24435.3
1.66858e-9,24170.899999999998
1.74435e-9,23913.8
1.8235500000000002e-9,23663.9
1.90635e-9,23420.899999999998
1.99291e-9,23184.6
2.0878100000000005e-9,22944.100000000002
2.1872200000000002e-9,22710.499999999996
2.2913800000000004e-9,22483.6
2.4004900000000003e-9,22263.199999999997
2.52013e-9,22039.399999999998
2.64571e-9,21822.4
2.77757e-9,21611.699999999997
2.91599e-9,21407.3
3.0677900000000002e-9,21200.5
3.22749e-9,20999.9
3.39551e-9,20805.4
3.57227e-9,20616.9
3.7662000000000005e-9,20426.600000000002
3.97064e-9,20242.2
4.1862e-9,20063.6
4.42279e-9,19883.8
4.67276e-9,19709.8
4.93685e-9,19541.3
5.226890000000001e-9,19372.100000000002
5.534e-9,19208.6
5.859130000000001e-9,19050.4
6.216500000000001e-9,18891.899999999998
6.595670000000001e-9,18738.7
7.0128000000000004e-9,18585.6
7.45628e-9,18437.8
7.92783e-9,18295.1
8.44703e-9,18152.8
9.00024e-9,18015.5
9.60995e-9,17878.8
1.0261e-8,17747.1
1.0979300000000002e-8,17616.3
1.1748e-8,17490.3
1.2597e-8,17365.4
1.3507400000000002e-8,17245.2
1.45143e-8,17126.2
1.56292e-8,17008.600000000002
1.6829799999999998e-8,16895.8
1.81609e-8,16784.5
1.96388e-8,16674.8
2.1237e-8,16569.8
2.30139e-8,16466.5
2.4992200000000004e-8,16365.199999999999
2.52522e-8,16352.800000000001
2.5299999999999998e-8,16350.499999999998
2.7533e-8,16251.9
3.00266e-8,16155.3
3.2745799999999997e-8,16063.199999999999
3.5787e-8,15973.3
3.9193600000000005e-8,15885.499999999998
4.3015100000000004e-8,15800.0
4.7309099999999996e-8,15716.9
5.2142e-8,15636.2
5.77122e-8,15556.300000000001
6.40127e-8,15479.0
7.11513e-8,15404.4
7.942100000000001e-8,15331.2
8.883940000000001e-8,15260.7
9.95853e-8,15193.099999999999
1.12104e-7,15127.0
1.26731e-7,15062.800000000001
1.4387499999999998e-7,15000.500000000002
1.64029e-7,14940.3
1.87799e-7,14882.2
2.15925e-7,14826.5
2.49315e-7,14773.0
2.89701e-7,14721.2
3.38771e-7,14671.199999999999
3.98673e-7,14623.1
4.7215299999999993e-7,14577.199999999999
5.62736e-7,14533.3
6.76392e-7,14491.199999999999
8.199109999999999e-7,14450.9
1.00444e-6,14412.1
1.40886e-6,14354.6
3.0873599999999996e-6,14246.300000000001
8.23166e-6,14130.5
2.9455000000000002e-5,13915.5
0.000113045,13299.6
0.000188512,12758.9
0.000206479,12574.8
0.000215285,12424.599999999999
0.00022054100000000002,12267.2
0.000224482,12063.8
0.000226157,11975.6
0.00022651800000000002,11974.400000000001
0.000226978,12005.8
0.00022738900000000004,12101.599999999999
0.000227635,12223.4
0.00022778999999999999,12344.800000000001
0.00022794400000000003,12522.9
0.00022806000000000004,12714.2
0.00022817500000000003,12983.0
0.000228253,13226.4
0.00022832900000000002,13540.7
0.00022840500000000002,13957.2
0.000228456,14311.7
0.00022850700000000003,14746.2
0.00022855800000000002,15281.1
0.00022859600000000005,15763.199999999999
0.00022863400000000002,16328.3
0.00022867600000000003,17061.0
0.000228709,17731.8
0.000228742,18500.1
0.00022877500000000002,19378.6
0.000228808,20381.7
0.000228841,21524.2
0.00022887300000000002,22822.6
0.00022890600000000002,24293.5
0.00022893900000000003,25954.8
0.000228964,27336.5
0.00022898800000000004,28842.8
0.000229013,30481.5
0.00022903799999999998,32259.699999999997
0.00022905400000000002,33526.3
0.000229087,36263.1
0.00022912,39283.4
0.000229153,42599.799999999996
0.00022918500000000002,46222.0
0.000229222,50670.700000000004
0.00022925900000000002,55517.3
0.000229296,60757.399999999994
0.00022933300000000002,66377.4
0.00022937,72354.8
0.000229417,80386.0
0.00022947400000000002,90821.90000000001
0.000229632,120717.00000000001
0.000229685,130263.0
0.000229737,139137.0
0.00022979,147055.0
0.00022982900000000003,152207.0
0.00022986900000000003,156571.0
0.000229895,159000.0
0.00022994,162179.0
0.000229979,163939.0
0.00023001600000000001,164669.0
0.000230028,164708.0
0.00023006600000000002,164204.0
0.00023009900000000002,163013.0
0.00023014700000000002,160061.0
0.000230179,157381.0
0.00023021500000000003,153570.0
0.000230252,149094.0
0.00023030000000000001,142493.0
0.000230347,135117.0
0.00023039900000000003,126257.0
0.000230583,93507.9
0.00023062800000000003,85907.7
