E(MeV),xs(mb)
1.0e-11,2.30492e6
1.03223e-11,2.26865e6
1.06549e-11,2.23298e6
1.0998399999999998e-11,2.19784e6
1.13527e-11,2.16328e6
1.1718599999999999e-11,2.12924e6
1.2096199999999998e-11,2.0957599999999998e6
1.24861e-11,2.0627900000000002e6
1.2888399999999999e-11,2.0303499999999998e6
1.3303799999999998e-11,1.99841e6
1.37325e-11,1.96698e6
1.41751e-11,1.93603e6
1.4631799999999997e-11,1.90559e6
1.51034e-11,1.87561e6
1.5590099999999998e-11,1.84612e6
1.6092599999999998e-11,1.81708e6
1.66111e-11,1.7885e6
1.71465e-11,1.76037e6
1.7699e-11,1.73269e6
1.8269399999999998e-11,1.70543e6
1.88581e-11,1.67861e6
1.94659e-11,1.65221e6
2.00931e-11,1.62623e6
2.0740699999999998e-11,1.60065e6
2.1408999999999998e-11,1.57548e6
2.2099099999999997e-11,1.5507e6
2.28111e-11,1.52632e6
2.3546399999999998e-11,1.50231e6
2.4305099999999997e-11,1.47869e6
2.50884e-11,1.45544e6
2.5896799999999997e-11,1.43255e6
2.67315e-11,1.41002e6
2.75928e-11,1.38786e6
2.8482199999999998e-11,1.36603e6
2.93999e-11,1.34455e6
3.0347499999999995e-11,1.32341e6
3.13253e-11,1.30261e6
3.2335e-11,1.28212e6
3.33769e-11,1.26197e6
3.44526e-11,1.24212e6
3.55627e-11,1.2226e6
3.67089e-11,1.20337e6
3.7891799999999997e-11,1.18446e6
3.9113e-11,1.16584e6
4.0373400000000003e-11,1.14751e6
4.1674599999999996e-11,1.12947e6
4.3017399999999996e-11,1.11172e6
4.440389999999999e-11,1.09424e6
4.58347e-11,1.07704e6
4.7311899999999994e-11,1.06011e6
4.883639999999999e-11,1.04345e6
5.0410399999999995e-11,1.02705e6
5.20348e-11,1.01091e6
5.37119e-11,995023.0
5.54426e-11,979388.0
5.7229499999999995e-11,963996.0
5.907359999999999e-11,948849.0
6.09775e-11,933938.0
6.29424e-11,919264.0000000001
6.497099999999999e-11,904819.0
6.70645e-11,890604.0000000001
6.9226e-11,876610.9999999999
7.145659999999999e-11,862839.9999999999
7.37596e-11,849283.9999999999
7.61364e-11,835943.9999999999
7.85902e-11,822812.0
8.11227e-11,809889.0000000001
8.37372e-11,797167.0
8.643549999999999e-11,784648.0
8.922119999999998e-11,772324.0
9.209619999999999e-11,760197.0
9.506439999999999e-11,748258.0
9.81277e-11,736510.0
1.01291e-10,724943.0
1.04554e-10,713563.0
1.07924e-10,702358.0
1.11402e-10,691335.0
1.1499200000000001e-10,680480.0
1.1869700000000001e-10,669801.0
1.22523e-10,659286.0
1.26471e-10,648941.0
1.30547e-10,638755.0
1.34754e-10,628733.0
1.3909700000000002e-10,618866.0
1.43579e-10,609158.0
1.48207e-10,599599.0
1.52982e-10,590195.0
1.57913e-10,580935.0
1.6300100000000001e-10,571825.0
1.68254e-10,562855.0
1.73676e-10,554030.0
1.79274e-10,545341.0
1.8505000000000002e-10,536792.0
1.91014e-10,528375.0
1.97169e-10,520092.99999999994
2.03524e-10,511939.0
2.1008200000000003e-10,503916.0
2.16853e-10,496018.0
2.2384e-10,488246.0
2.31055e-10,480595.0
2.385e-10,473067.0
2.46187e-10,465655.0
2.5412e-10,458362.0
2.6231e-10,451182.0
2.70762e-10,444118.0
2.7948900000000003e-10,437162.99999999994
2.88494e-10,430319.0
2.9779300000000004e-10,423582.00000000006
3.07388e-10,416953.0
3.1729500000000004e-10,410426.0
3.27519e-10,404005.0
3.38075e-10,397683.0
3.4896900000000003e-10,391462.0
3.6021600000000004e-10,385338.0
3.7182300000000004e-10,379312.0
3.83807e-10,373379.0
3.96174e-10,367542.0
4.08943e-10,361795.0
4.2212e-10,356140.0
4.3572499999999996e-10,350574.0
4.4976500000000005e-10,345096.0
4.6426100000000007e-10,339703.0
4.79221e-10,334397.0
4.94666e-10,329173.0
5.10605e-10,324033.0
5.270620000000001e-10,318973.0
5.440450000000001e-10,313994.0
5.6158e-10,309092.0
5.796750000000001e-10,304268.0
5.98358e-10,299520.0
6.176389999999999e-10,294847.0
6.37545e-10,290248.0
6.58089e-10,285721.0
6.79298e-10,281266.0
7.01188e-10,276881.0
7.237860000000001e-10,272565.0
7.47109e-10,268317.0
7.71188e-10,264136.0
7.960380000000001e-10,260021.0
8.21693e-10,255971.0
8.48171e-10,251985.0
8.75507e-10,248062.0
9.037190000000002e-10,244200.00000000003
9.32845e-10,240400.0
9.62904e-10,236659.0
9.93937e-10,232977.0
1.0259700000000001e-9,229354.0
1.05903e-9,225787.0
1.09316e-9,222277.0
1.12839e-9,218821.99999999997
1.16475e-9,215422.0
1.2022900000000002e-9,212075.0
1.2410300000000002e-9,208781.00000000003
1.28103e-9,205539.0
1.3223100000000002e-9,202348.00000000003
1.36492e-9,199207.0
1.4089000000000002e-9,196116.0
1.4543100000000001e-9,193073.0
1.5011699999999999e-9,190079.0
1.5495600000000002e-9,187131.0
1.5994900000000002e-9,184230.0
1.6510400000000001e-9,181375.0
1.7042400000000001e-9,178565.0
1.75917e-9,175799.0
1.81585e-9,173077.0
1.87438e-9,170397.0
1.9347700000000003e-9,167760.0
1.99713e-9,165164.0
2.06148e-9,162610.0
2.1279200000000002e-9,160095.0
2.19649e-9,157620.0
2.26728e-9,155184.0
2.3403400000000002e-9,152787.0
2.4157700000000002e-9,150427.0
2.49362e-9,148104.0
2.5739800000000002e-9,145818.0
2.65692e-9,143569.0
2.7425500000000002e-9,141354.0
2.8309300000000003e-9,139175.0
2.92217e-9,137029.0
3.01633e-9,134918.0
3.11354e-9,132839.0
3.21387e-9,130794.00000000001
3.3174500000000004e-9,128780.99999999999
3.42435e-9,126799.0
3.53471e-9,124849.00000000001
3.6486100000000003e-9,122929.0
3.7662000000000005e-9,121039.99999999999
3.88757e-9,119180.0
4.01286e-9,117350.0
4.14217e-9,115548.0
4.2756600000000005e-9,113775.0
4.41344e-9,112030.00000000001
4.55568e-9,110312.00000000001
4.7024800000000005e-9,108622.0
4.85404e-9,106958.0
5.01045e-9,105319.99999999999
5.17193e-9,103708.0
5.338590000000001e-9,102121.0
5.510650000000001e-9,100560.0
5.688220000000001e-9,99022.7
5.871540000000001e-9,97509.70000000001
6.06075e-9,96020.90000000001
6.256080000000001e-9,94555.2
6.4576700000000005e-9,93112.9
6.665790000000001e-9,91693.0
6.8805900000000005e-9,90295.7
7.1023400000000005e-9,88920.1
7.33121e-9,87566.40000000001
7.56748e-9,86233.90000000001
7.81133e-9,84922.40000000001
8.06308e-9,83631.49999999999
8.32291e-9,82361.0
8.59114e-9,81110.29999999999
8.86798e-9,79879.6
9.15378e-9,78668.0
9.44875e-9,77475.7
9.753270000000001e-9,76302.0
1.0067600000000001e-8,75147.0
1.0392e-8,74010.0
1.07269e-8,72891.2
1.10726e-8,71789.8
1.1429400000000001e-8,70705.90000000001
