E(MeV),xs(mb)
1.0e-11,913838.0
1.03223e-11,899497.0
1.06549e-11,885389.0
1.0998399999999998e-11,871496.9999999999
1.13527e-11,857831.0
1.1718599999999999e-11,844374.0
1.2096199999999998e-11,831134.9999999999
1.24861e-11,818099.9999999999
1.2888399999999999e-11,805275.9999999999
1.3303799999999998e-11,792650.0
1.37325e-11,780227.0
1.41751e-11,767997.0
1.4631799999999997e-11,755963.0
1.51034e-11,744116.0
1.5590099999999998e-11,732460.0
1.6092599999999998e-11,720984.0
1.66111e-11,709693.0
1.71465e-11,698577.0
1.7699e-11,687640.0
1.8269399999999998e-11,676873.0
1.88581e-11,666279.0
1.94659e-11,655849.0
2.00931e-11,645588.0
2.0740699999999998e-11,635486.0
2.1408999999999998e-11,625546.0
2.2099099999999997e-11,615761.0
2.28111e-11,606134.0
2.3546399999999998e-11,596656.0
2.4305099999999997e-11,587331.0
2.50884e-11,578151.0
2.5896799999999997e-11,569118.0
2.67315e-11,560227.0
2.75928e-11,551478.0
2.8482199999999998e-11,542866.0
2.93999e-11,534393.0
3.0347499999999995e-11,526052.0
3.13253e-11,517845.0
3.2335e-11,509766.00000000006
3.33769e-11,501818.0
3.44526e-11,493993.00000000006
3.55627e-11,486294.99999999994
3.67089e-11,478716.99999999994
3.7891799999999997e-11,471261.0
3.9113e-11,463922.0
4.0373400000000003e-11,456701.0
4.1674599999999996e-11,449593.00000000006
4.3017399999999996e-11,442598.99999999994
4.440389999999999e-11,435716.00000000006
4.58347e-11,428943.00000000006
4.7311899999999994e-11,422276.0
4.883639999999999e-11,415717.0
5.0410399999999995e-11,409260.99999999994
5.20348e-11,402909.0
5.37119e-11,396657.0
5.54426e-11,390506.0
5.7229499999999995e-11,384452.0
5.907359999999999e-11,378495.0
6.09775e-11,372632.0
6.29424e-11,366864.0
6.497099999999999e-11,361186.0
6.70645e-11,355601.0
6.9226e-11,350103.0
7.145659999999999e-11,344695.0
7.37596e-11,339371.0
7.61364e-11,334134.0
7.85902e-11,328980.0
8.11227e-11,323909.0
8.37372e-11,318918.0
8.643549999999999e-11,314008.0
8.922119999999998e-11,309176.0
9.209619999999999e-11,304422.0
9.506439999999999e-11,299743.0
9.81277e-11,295140.0
1.01291e-10,290610.0
1.04554e-10,286154.0
1.07924e-10,281768.0
1.11402e-10,277454.0
1.1499200000000001e-10,273208.0
1.1869700000000001e-10,269032.0
1.22523e-10,264921.0
1.26471e-10,260878.0
1.30547e-10,256897.99999999997
1.34754e-10,252984.0
1.3909700000000002e-10,249132.0
1.43579e-10,245343.0
1.48207e-10,241613.0
1.52982e-10,237946.0
1.57913e-10,234336.0
1.6300100000000001e-10,230785.00000000003
1.68254e-10,227291.0
1.73676e-10,223854.0
1.79274e-10,220471.0
1.8505000000000002e-10,217145.0
1.91014e-10,213871.0
1.97169e-10,210651.0
2.03524e-10,207482.0
2.1008200000000003e-10,204365.0
2.16853e-10,201298.00000000003
2.2384e-10,198281.0
2.31055e-10,195313.0
2.385e-10,192393.0
2.46187e-10,189519.0
2.5412e-10,186694.0
2.6231e-10,183913.0
2.70762e-10,181178.0
2.7948900000000003e-10,178486.0
2.88494e-10,175839.0
2.9779300000000004e-10,173234.0
3.07388e-10,170672.0
3.1729500000000004e-10,168151.0
3.27519e-10,165672.0
3.38075e-10,163232.0
3.4896900000000003e-10,160832.0
3.6021600000000004e-10,158471.0
3.7182300000000004e-10,156148.0
3.83807e-10,153863.0
3.96174e-10,151615.0
4.08943e-10,149403.0
4.2212e-10,147228.0
4.3572499999999996e-10,145088.0
4.5071899999999996e-10,142843.0
4.662289999999999e-10,140637.0
4.82272e-10,138469.0
4.98867e-10,136338.0
5.16034e-10,134245.0
5.33791e-10,132188.0
5.521600000000001e-10,130166.0
5.7116e-10,128179.0
5.90815e-10,126226.0
6.11145e-10,124306.99999999999
6.32175e-10,122421.0
6.53929e-10,120568.00000000001
6.76432e-10,118747.0
6.99708e-10,116957.0
7.237860000000001e-10,115198.0
7.486919999999999e-10,113469.0
7.74456e-10,111769.99999999999
8.011060000000001e-10,110100.0
8.28673e-10,108459.0
8.57188e-10,106846.0
8.86685e-10,105261.0
9.171970000000001e-10,103702.99999999999
9.48759e-10,102172.0
9.81407e-10,100667.0
1.01518e-9,99188.3
1.0501100000000002e-9,97734.7
1.08625e-9,96306.1
1.12363e-9,94902.0
1.1622900000000001e-9,93521.90000000001
1.2022900000000002e-9,92165.5
1.24366e-9,90832.4
1.28646e-9,89522.09999999999
1.33072e-9,88234.20000000001
1.3765200000000001e-9,86968.4
1.42388e-9,85724.2
1.47288e-9,84501.3
1.52356e-9,83299.29999999999
1.57599e-9,82117.90000000001
1.6302200000000002e-9,80956.6
1.6863200000000002e-9,79815.2
1.74435e-9,78693.2
1.80437e-9,77590.5
1.86647e-9,76506.5
1.93069e-9,75441.1
1.99713e-9,74393.8
2.0658500000000003e-9,73364.4
2.14146e-9,72289.9
2.21984e-9,71234.8
2.30109e-9,70198.90000000001
2.3853100000000003e-9,69181.5
2.4726100000000002e-9,68182.8
2.56312e-9,67201.9
2.65692e-9,66238.90000000001
2.75418e-9,65293.200000000004
2.85497e-9,64364.600000000006
2.9594800000000002e-9,63452.799999999996
3.0677900000000002e-9,62557.5
3.18008e-9,61678.2
3.2964600000000004e-9,60814.899999999994
3.41713e-9,59967.1
3.5421900000000006e-9,59134.700000000004
3.6718400000000004e-9,58317.2
3.80623e-9,57514.5
3.94555e-9,56726.200000000004
4.08995e-9,55952.200000000004
4.23965e-9,55192.1
4.39482e-9,54445.7
4.55568e-9,53712.7
4.72241e-9,52993.0
4.89527e-9,52286.1
5.07442e-9,51592.1
5.26016e-9,50910.399999999994
5.452680000000001e-9,50241.2
5.66421e-9,49545.6
5.8839600000000004e-9,48863.200000000004
6.112230000000001e-9,48193.9
6.349350000000001e-9,47537.3
6.595670000000001e-9,46893.1
6.85155e-9,46261.200000000004
7.11736e-9,45641.299999999996
7.39348e-9,45033.200000000004
7.680310000000001e-9,44436.600000000006
7.97826e-9,43851.3
8.28778e-9,43277.200000000004
8.60931e-9,42713.9
8.9433e-9,42161.4
9.290260000000001e-9,41619.299999999996
9.65068e-9,41087.5
1.0025100000000001e-8,40565.9
1.0414000000000001e-8,40054.100000000006
1.0818000000000001e-8,39552.1
1.12615e-8,39032.5
1.17231e-8,38523.299999999996
1.22037e-8,38024.3
1.2704e-8,37535.3
1.3224800000000002e-8,37056.0
1.37669e-8,36586.3
1.43313e-8,36126.0
1.4918800000000002e-8,35674.8
1.55304e-8,35232.700000000004
1.6167000000000002e-8,34799.3
1.6829799999999998e-8,34374.6
1.75197e-8,33958.4
1.8237900000000002e-8,33550.5
1.89855e-8,33150.7
1.98056e-8,32738.5
2.0661200000000003e-8,32335.0
2.15537e-8,31939.899999999998
2.2484700000000003e-8,31553.2
2.3456000000000002e-8,31174.5
2.4469300000000002e-8,30803.8
2.52522e-8,30532.7
2.5299999999999998e-8,30516.600000000002
2.6392899999999998e-8,30159.600000000002
2.7533e-8,29810.1
2.8722400000000002e-8,29467.9
3.00266e-8,29116.300000000003
3.13899e-8,28772.5
3.2815200000000004e-8,28436.2
3.43052e-8,28107.4
3.58629e-8,27785.7
3.74912e-8,27471.0
3.9193600000000005e-8,27163.2
4.0973100000000004e-8,26862.1
4.28336e-8,26567.6
4.4873300000000004e-8,26265.9
4.70101e-8,25971.1
4.92486e-8,25683.1
5.1593799999999994e-8,25401.699999999997
5.40506e-8,25126.7
5.66244e-8,24857.999999999996
5.93208e-8,24595.4
6.22769e-8,24327.3
6.53807e-8,24065.6
6.863889999999999e-8,23810.2
7.20597e-8,23560.8
7.56507e-8,23317.199999999997
7.942100000000001e-8,23079.399999999998
8.35556e-8,22837.2
8.790530000000001e-8,22601.0
9.24815e-8,22370.600000000002
9.7296e-8,22145.800000000003
1.0236099999999999e-7,21926.600000000002
1.0769e-7,21712.699999999997
1.13535e-7,21495.5
1.19699e-7,21283.699999999997
1.26197e-7,21077.4
1.3304800000000001e-7,20876.3
1.40567e-7,20672.600000000002
1.48511e-7,20474.100000000002
1.56905e-7,20280.7
1.6577299999999998e-7,20092.3
1.75142e-7,19908.7
1.85431e-7,19723.1
1.9632599999999998e-7,19542.4
2.0786099999999998e-7,19366.5
2.2007400000000002e-7,19195.3
2.3349700000000002e-7,19022.5
2.47739e-7,18854.3
2.6284999999999995e-7,18690.5
2.7947199999999995e-7,18525.4
2.97146e-7,18364.8
3.15937e-7,18208.5
3.36628e-7,18051.1
3.5867499999999995e-7,17898.1
3.82165e-7,17749.1
4.08056e-7,17599.3
4.3569899999999994e-7,17453.5
4.6521699999999995e-7,17311.6
4.97785e-7,17169.0
5.32633e-7,17030.0
5.71126e-7,16890.3
6.12404e-7,16754.100000000002
6.58053e-7,16617.3
7.071049999999999e-7,16483.8
7.59814e-7,16353.4
8.199109999999999e-7,16218.6
8.847619999999999e-7,16086.6
9.54743e-7,15957.300000000001
1.02797e-6,15834.2
