E(MeV),xs(mb)
1.0e-11,1.41524e7
1.03223e-11,1.39297e7
1.06549e-11,1.37107e7
1.0998399999999998e-11,1.3495e7
1.13527e-11,1.32827e7
1.1718599999999999e-11,1.30737e7
1.2096199999999998e-11,1.28681e7
1.24861e-11,1.26657e7
1.2888399999999999e-11,1.24665e7
1.3303799999999998e-11,1.22704e7
1.37325e-11,1.20774e7
1.41751e-11,1.18874e7
1.4631799999999997e-11,1.17005e7
1.51034e-11,1.15164e7
1.5590099999999998e-11,1.13353e7
1.6092599999999998e-11,1.1157e7
1.66111e-11,1.09816e7
1.71465e-11,1.08088e7
1.7699e-11,1.06388e7
1.8269399999999998e-11,1.04715e7
1.88581e-11,1.03068e7
1.94659e-11,1.01447e7
2.00931e-11,9.98519e6
2.0740699999999998e-11,9.82813e6
2.1408999999999998e-11,9.6736e6
2.2099099999999997e-11,9.52144e6
2.28111e-11,9.37173e6
2.3546399999999998e-11,9.22434e6
2.4305099999999997e-11,9.0793e6
2.50884e-11,8.93651e6
2.5896799999999997e-11,8.796e6
2.67315e-11,8.65767e6
2.75928e-11,8.52155e6
2.8482199999999998e-11,8.38754e6
2.93999e-11,8.25567e6
3.0347499999999995e-11,8.12585e6
3.13253e-11,7.9981e6
3.2335e-11,7.87233e6
3.33769e-11,7.74858e6
3.44526e-11,7.62674e6
3.55627e-11,7.50685e6
3.67089e-11,7.38882e6
3.7891799999999997e-11,7.27267e6
3.9113e-11,7.15833e6
4.0373400000000003e-11,7.04581e6
4.1674599999999996e-11,6.93504e6
4.3017399999999996e-11,6.82604e6
4.440389999999999e-11,6.71873e6
4.58347e-11,6.61313e6
4.7311899999999994e-11,6.50918e6
4.883639999999999e-11,6.40688e6
5.0410399999999995e-11,6.30618e6
5.20348e-11,6.20707e6
5.37119e-11,6.10952e6
5.54426e-11,6.01351e6
5.7229499999999995e-11,5.919e6
5.907359999999999e-11,5.826e6
6.09775e-11,5.73444e6
6.29424e-11,5.64435e6
6.497099999999999e-11,5.55565e6
6.70645e-11,5.46837e6
6.9226e-11,5.38245e6
7.145659999999999e-11,5.2979e6
7.37596e-11,5.21466e6
7.61364e-11,5.13275e6
7.85902e-11,5.05212e6
8.11227e-11,4.97277e6
8.37372e-11,4.89466e6
8.643549999999999e-11,4.81779e6
8.922119999999998e-11,4.74212e6
9.209619999999999e-11,4.66765e6
9.506439999999999e-11,4.59435e6
9.81277e-11,4.52221e6
1.01291e-10,4.45119e6
1.04554e-10,4.38132e6
1.07924e-10,4.31252e6
1.11402e-10,4.24484e6
1.1499200000000001e-10,4.17819e6
1.1869700000000001e-10,4.1126199999999995e6
1.22523e-10,4.0480600000000005e6
1.26471e-10,3.98454e6
1.30547e-10,3.922e6
1.34754e-10,3.86046e6
1.3909700000000002e-10,3.79988e6
1.43579e-10,3.74027e6
1.48207e-10,3.68158e6
1.52982e-10,3.62384e6
1.57913e-10,3.56698e6
1.6300100000000001e-10,3.51105e6
1.68254e-10,3.45597e6
1.73676e-10,3.40179e6
1.79274e-10,3.34844e6
1.8505000000000002e-10,3.29595e6
1.91014e-10,3.24427e6
1.97169e-10,3.19342e6
2.03524e-10,3.14336e6
2.1008200000000003e-10,3.0941e6
2.16853e-10,3.04561e6
2.2384e-10,2.99789e6
2.31055e-10,2.95092e6
2.385e-10,2.9047e6
2.46187e-10,2.85919e6
2.5412e-10,2.81442e6
2.6231e-10,2.77034e6
2.70762e-10,2.72697e6
2.7948900000000003e-10,2.68427e6
2.88494e-10,2.64226e6
2.9779300000000004e-10,2.6009e6
3.07388e-10,2.5602e6
3.1729500000000004e-10,2.52013e6
3.27519e-10,2.48071e6
3.38075e-10,2.4419e6
3.4896900000000003e-10,2.40372e6
3.6021600000000004e-10,2.36612e6
3.7182300000000004e-10,2.32913e6
3.83807e-10,2.29272e6
3.96174e-10,2.25689e6
4.08943e-10,2.22162e6
4.2212e-10,2.18691e6
4.3572499999999996e-10,2.15274e6
4.4976500000000005e-10,2.11913e6
4.6426100000000007e-10,2.08603e6
4.79221e-10,2.05347e6
4.94666e-10,2.02141e6
5.10605e-10,1.98987e6
5.270620000000001e-10,1.95882e6
5.440450000000001e-10,1.92827e6
5.6158e-10,1.89819e6
5.796750000000001e-10,1.8686e6
5.98358e-10,1.83947e6
6.176389999999999e-10,1.8108e6
6.37545e-10,1.78258e6
6.58089e-10,1.75482e6
6.79298e-10,1.72749e6
7.01188e-10,1.7006e6
7.237860000000001e-10,1.67413e6
7.47109e-10,1.64808e6
7.71188e-10,1.62244e6
7.960380000000001e-10,1.59721e6
8.21693e-10,1.57238e6
8.48171e-10,1.54795e6
8.75507e-10,1.5239e6
9.037190000000002e-10,1.50023e6
9.32845e-10,1.47694e6
9.62904e-10,1.45402e6
9.93937e-10,1.43146e6
1.0259700000000001e-9,1.40926e6
1.05903e-9,1.38741e6
1.09316e-9,1.36591e6
1.12839e-9,1.34475e6
1.16475e-9,1.32393e6
1.2022900000000002e-9,1.30344e6
1.2410300000000002e-9,1.28327e6
1.28103e-9,1.26343e6
1.3223100000000002e-9,1.2439e6
1.36492e-9,1.22468e6
1.4089000000000002e-9,1.20577e6
1.4543100000000001e-9,1.18716e6
1.5011699999999999e-9,1.16885e6
1.5495600000000002e-9,1.15083e6
1.5994900000000002e-9,1.13309e6
1.6510400000000001e-9,1.11564e6
1.7042400000000001e-9,1.09847e6
1.75917e-9,1.08157e6
1.81585e-9,1.06494e6
1.87438e-9,1.04858e6
