E(MeV),xs(mb)
1.0e-11,1.8263e8
1.03223e-11,1.79757e8
1.06549e-11,1.76929e8
1.0998399999999998e-11,1.74145e8
1.13527e-11,1.71406e8
1.1718599999999999e-11,1.68709e8
1.2096199999999998e-11,1.66055e8
1.24861e-11,1.63442e8
1.2888399999999999e-11,1.60872e8
1.3303799999999998e-11,1.5834e8
1.37325e-11,1.5585e8
1.41751e-11,1.53398e8
1.4631799999999997e-11,1.50985e8
1.51034e-11,1.48609e8
1.5590099999999998e-11,1.46272e8
1.6092599999999998e-11,1.4397e8
1.66111e-11,1.41706e8
1.71465e-11,1.39476e8
1.7699e-11,1.37283e8
1.8269399999999998e-11,1.35123e8
1.88581e-11,1.3299700000000001e8
1.94659e-11,1.30905e8
2.00931e-11,1.28846e8
2.0740699999999998e-11,1.26819e8
2.1408999999999998e-11,1.24824e8
2.2099099999999997e-11,1.2285999999999999e8
2.28111e-11,1.2092799999999999e8
2.3546399999999998e-11,1.1902600000000001e8
2.4305099999999997e-11,1.17154e8
2.50884e-11,1.1531e8
2.5896799999999997e-11,1.13497e8
2.67315e-11,1.11711e8
2.75928e-11,1.09954e8
2.8482199999999998e-11,1.08225e8
2.93999e-11,1.0652299999999999e8
3.0347499999999995e-11,1.04847e8
3.13253e-11,1.0319799999999999e8
3.2335e-11,1.01575e8
3.33769e-11,9.99771e7
3.44526e-11,9.840439999999999e7
3.55627e-11,9.68568e7
3.67089e-11,9.53332e7
3.7891799999999997e-11,9.3834e7
3.9113e-11,9.2358e7
4.0373400000000003e-11,9.09056e7
4.1674599999999996e-11,8.94757e7
4.3017399999999996e-11,8.80687e7
4.440389999999999e-11,8.66834e7
4.58347e-11,8.53203e7
4.7311899999999994e-11,8.39784e7
4.883639999999999e-11,8.26578e7
5.0410399999999995e-11,8.13578e7
5.20348e-11,8.00785e7
5.37119e-11,7.88191e7
5.54426e-11,7.75797e7
5.7229499999999995e-11,7.63596e7
5.907359999999999e-11,7.5159e7
6.09775e-11,7.3977e7
6.29424e-11,7.28139e7
6.497099999999999e-11,7.16688e7
6.70645e-11,7.0542e7
6.9226e-11,6.94328e7
7.145659999999999e-11,6.83412e7
7.37596e-11,6.72666e7
7.61364e-11,6.6209e7
7.85902e-11,6.5168e7
8.11227e-11,6.41435e7
8.37372e-11,6.3135e7
8.643549999999999e-11,6.21426e7
8.922119999999998e-11,6.11656e7
9.209619999999999e-11,6.02041e7
9.506439999999999e-11,5.92576e7
9.81277e-11,5.83262e7
1.01291e-10,5.74092e7
1.04554e-10,5.650699999999999e7
1.07924e-10,5.56186e7
1.11402e-10,5.47446e7
1.1499200000000001e-10,5.38841e7
1.1869700000000001e-10,5.30374e7
1.22523e-10,5.22037e7
1.26471e-10,5.13834e7
1.30547e-10,5.05758e7
1.34754e-10,4.97812e7
1.3909700000000002e-10,4.899879999999999e7
1.43579e-10,4.8229e7
1.48207e-10,4.74711e7
1.52982e-10,4.67254e7
1.57913e-10,4.59912e7
1.6300100000000001e-10,4.52688e7
1.68254e-10,4.45575e7
1.73676e-10,4.38577e7
1.79274e-10,4.31686e7
1.8505000000000002e-10,4.24907e7
1.91014e-10,4.18232e7
1.97169e-10,4.11664e7
2.03524e-10,4.05198e7
2.1008200000000003e-10,3.98836e7
2.16853e-10,3.92572e7
2.2384e-10,3.86409e7
2.31055e-10,3.80341e7
2.385e-10,3.74371e7
2.46187e-10,3.68493e7
2.5412e-10,3.62709e7
2.6231e-10,3.57015e7
2.70762e-10,3.51412e7
2.7948900000000003e-10,3.45896e7
2.88494e-10,3.40468e7
2.9779300000000004e-10,3.35125e7
3.07388e-10,3.29867e7
3.1729500000000004e-10,3.24691e7
3.27519e-10,3.19598e7
3.38075e-10,3.1458400000000004e7
3.4896900000000003e-10,3.0964999999999996e7
3.6021600000000004e-10,3.04793e7
3.7182300000000004e-10,3.00013e7
3.83807e-10,2.95308e7
3.96174e-10,2.90678e7
4.08943e-10,2.8612099999999996e7
4.2212e-10,2.81636e7
4.3572499999999996e-10,2.77221e7
4.4976500000000005e-10,2.72876e7
4.6426100000000007e-10,2.686e7
4.79221e-10,2.64391e7
4.94666e-10,2.60249e7
5.10605e-10,2.5617200000000004e7
5.270620000000001e-10,2.5215900000000004e7
5.440450000000001e-10,2.48211e7
5.6158e-10,2.44324e7
5.796750000000001e-10,2.40499e7
5.98358e-10,2.36733e7
6.176389999999999e-10,2.33028e7
6.37545e-10,2.29381e7
6.58089e-10,2.25792e7
6.79298e-10,2.2226e7
7.01188e-10,2.18783e7
7.237860000000001e-10,2.15361e7
7.47109e-10,2.11994e7
7.71188e-10,2.0868000000000004e7
7.960380000000001e-10,2.05418e7
8.21693e-10,2.0220699999999996e7
8.48171e-10,1.99048e7
8.75507e-10,1.95939e7
9.037190000000002e-10,1.92879e7
9.32845e-10,1.89867e7
9.62904e-10,1.86903e7
9.93937e-10,1.83986e7
1.0259700000000001e-9,1.81115e7
1.05903e-9,1.78289e7
1.09316e-9,1.75509e7
1.12839e-9,1.72772e7
1.16475e-9,1.70079e7
1.2022900000000002e-9,1.67429e7
1.2410300000000002e-9,1.64821e7
1.28103e-9,1.62253e7
1.3223100000000002e-9,1.59727e7
1.36492e-9,1.57241e7
1.4089000000000002e-9,1.54795e7
1.4543100000000001e-9,1.52387e7
1.5011699999999999e-9,1.50017e7
1.5495600000000002e-9,1.47685e7
1.5994900000000002e-9,1.45391e7
1.6510400000000001e-9,1.43132e7
1.7042400000000001e-9,1.4091e7
1.75917e-9,1.38723e7
1.81585e-9,1.36571e7
1.87438e-9,1.34453e7
1.9347700000000003e-9,1.32369e7
1.99713e-9,1.30318e7
2.06148e-9,1.283e7
2.1279200000000002e-9,1.26314e7
2.19649e-9,1.2436e7
2.26728e-9,1.22437e7
2.3403400000000002e-9,1.20545e7
2.4157700000000002e-9,1.18683e7
2.49362e-9,1.16851e7
2.5739800000000002e-9,1.15048e7
2.65692e-9,1.13274e7
2.7425500000000002e-9,1.11528e7
2.8309300000000003e-9,1.09811e7
2.92217e-9,1.08121e7
3.01633e-9,1.06458e7
3.11354e-9,1.04821e7
3.21387e-9,1.03212e7
3.3174500000000004e-9,1.01628e7
3.42435e-9,1.00069e7
3.53471e-9,9.85357e6
3.6486100000000003e-9,9.70272e6
3.7662000000000005e-9,9.55428e6
3.88757e-9,9.40826e6
4.01286e-9,9.26458e6
4.14217e-9,9.12324e6
4.2756600000000005e-9,8.98417e6
4.41344e-9,8.84738e6
4.55568e-9,8.71279e6
4.7024800000000005e-9,8.58041e6
4.85404e-9,8.45016e6
5.01045e-9,8.32206e6
5.17193e-9,8.196020000000001e6
5.338590000000001e-9,8.07206e6
5.510650000000001e-9,7.95011e6
5.688220000000001e-9,7.83018e6
5.871540000000001e-9,7.71219e6
6.06075e-9,7.59615e6
6.256080000000001e-9,7.48201e6
6.4576700000000005e-9,7.36976e6
6.665790000000001e-9,7.25934e6
6.8805900000000005e-9,7.15077e6
7.1023400000000005e-9,7.04397e6
7.33121e-9,6.93896e6
7.56748e-9,6.83567e6
7.81133e-9,6.73412e6
8.06308e-9,6.63424e6
8.32291e-9,6.53605e6
8.59114e-9,6.43949e6
8.86798e-9,6.34456e6
9.15378e-9,6.25122e6
9.44875e-9,6.15947e6
9.753270000000001e-9,6.06925e6
1.0067600000000001e-8,5.98058e6
1.0392e-8,5.89341e6
1.07269e-8,5.80774e6
1.10726e-8,5.72352e6
1.1429400000000001e-8,5.64075e6
1.17978e-8,5.5594e6
1.21779e-8,5.47947e6
1.25704e-8,5.4009e6
1.29755e-8,5.32372e6
1.33937e-8,5.24786e6
1.3825300000000001e-8,5.17334e6
1.42708e-8,5.10013e6
1.4730700000000002e-8,5.02821e6
1.52376e-8,4.9529e6
1.57619e-8,4.87902e6
1.63043e-8,4.80655e6
1.68654e-8,4.73547e6
1.74457e-8,4.66577e6
1.8046e-8,4.59743e6
1.8667e-8,4.53043e6
1.9309400000000003e-8,4.46475e6
1.99738e-8,4.40037e6
2.0661200000000003e-8,4.33729e6
2.13721e-8,4.27548e6
2.21076e-8,4.21493e6
2.2868300000000003e-8,4.15562e6
2.3655300000000002e-8,4.09753e6
2.4469300000000002e-8,4.04066e6
2.52522e-8,3.98878e6
2.5299999999999998e-8,3.9857e6
2.61706e-8,3.93118e6
2.7071200000000002e-8,3.87783e6
2.80027e-8,3.82564e6
2.8966300000000002e-8,3.7746e6
2.99631e-8,3.7247e6
3.09942e-8,3.67593e6
3.20607e-8,3.62828e6
3.31639e-8,3.58174e6
3.43052e-8,3.53632e6
3.54856e-8,3.49198e6
3.67067e-8,3.44874e6
3.79699e-8,3.40657e6
3.9276399999999996e-8,3.36547e6
4.0628000000000005e-8,3.32543e6
4.20261e-8,3.28646e6
4.3472200000000005e-8,3.24854e6
4.4968199999999994e-8,3.21168e6
4.66141e-8,3.17368e6
4.8320100000000004e-8,3.13686e6
5.008880000000001e-8,3.10124e6
5.1922e-8,3.06681e6
5.38225e-8,3.03358e6
5.57923e-8,3.00155e6
5.78345e-8,2.97072e6
5.995110000000001e-8,2.94112e6
6.21455e-8,2.91274e6
6.442e-8,2.8856e6
6.67779e-8,2.85972e6
6.92219e-8,2.83509e6
7.17556e-8,2.81173e6
7.43818e-8,2.78966e6
7.710440000000001e-8,2.76891e6
7.99263e-8,2.74951e6
8.285180000000001e-8,2.73149e6
8.58841e-8,2.71488e6
8.90277e-8,2.69973e6
9.228600000000001e-8,2.68607e6
9.566390000000001e-8,2.67395e6
9.916510000000001e-8,2.66343e6
1.0279499999999999e-7,2.65457e6
1.0655699999999998e-7,2.64742e6
1.10457e-7,2.64208e6
1.145e-7,2.63861e6
1.1869099999999999e-7,2.63711e6
