E(MeV),xs(mb)
1.0e-11,48185.1
1.03223e-11,47430.6
1.06549e-11,46688.299999999996
1.0998399999999998e-11,45957.4
1.13527e-11,45238.4
1.1718599999999999e-11,44530.5
1.2096199999999998e-11,43834.0
1.24861e-11,43148.299999999996
1.2888399999999999e-11,42473.799999999996
1.3303799999999998e-11,41809.6
1.37325e-11,41156.2
1.41751e-11,40512.9
1.4631799999999997e-11,39880.1
1.51034e-11,39257.1
1.5590099999999998e-11,38644.1
1.6092599999999998e-11,38040.600000000006
1.66111e-11,37447.0
1.71465e-11,36862.5
1.7699e-11,36287.5
1.8269399999999998e-11,35721.5
1.88581e-11,35164.6
1.94659e-11,34616.3
2.00931e-11,34077.0
2.0740699999999998e-11,33546.1
2.1408999999999998e-11,33023.7
2.2099099999999997e-11,32509.5
2.28111e-11,32003.7
2.3546399999999998e-11,31505.7
2.4305099999999997e-11,31015.8
2.50884e-11,30533.600000000002
2.5896799999999997e-11,30059.100000000002
2.67315e-11,29592.100000000002
2.75928e-11,29132.699999999997
2.8482199999999998e-11,28680.500000000004
2.93999e-11,28235.600000000002
3.0347499999999995e-11,27797.7
3.13253e-11,27366.899999999998
3.2335e-11,26942.8
3.33769e-11,26525.699999999997
3.44526e-11,26115.1
3.55627e-11,25711.2
3.67089e-11,25313.7
3.7891799999999997e-11,24922.6
3.9113e-11,24537.7
4.0373400000000003e-11,24159.0
4.1674599999999996e-11,23786.3
4.3017399999999996e-11,23419.699999999997
4.440389999999999e-11,23058.9
4.58347e-11,22704.0
4.7311899999999994e-11,22354.699999999997
4.883639999999999e-11,22011.2
5.0410399999999995e-11,21673.0
5.20348e-11,21340.4
5.37119e-11,21013.1
5.54426e-11,20691.1
5.7229499999999995e-11,20374.3
5.907359999999999e-11,20062.7
6.09775e-11,19756.0
6.29424e-11,19454.4
6.497099999999999e-11,19157.6
6.70645e-11,18865.7
6.9226e-11,18578.399999999998
7.145659999999999e-11,18295.9
7.37596e-11,18017.9
7.61364e-11,17744.6
7.85902e-11,17475.6
8.11227e-11,17211.0
8.37372e-11,16950.8
8.643549999999999e-11,16694.8
8.922119999999998e-11,16443.0
9.209619999999999e-11,16195.4
9.506439999999999e-11,15951.800000000001
9.81277e-11,15712.2
1.01291e-10,15476.5
1.04554e-10,15244.800000000001
1.07924e-10,15016.8
1.11402e-10,14792.7
1.1499200000000001e-10,14572.300000000001
1.1869700000000001e-10,14355.500000000002
1.22523e-10,14142.300000000001
1.26471e-10,13932.7
1.30547e-10,13726.6
1.34754e-10,13523.9
1.3909700000000002e-10,13324.6
1.43579e-10,13128.699999999999
1.48207e-10,12936.0
1.52982e-10,12746.599999999999
1.57913e-10,12560.4
1.6300100000000001e-10,12377.3
1.68254e-10,12197.4
1.73676e-10,12020.5
1.79274e-10,11846.6
1.8505000000000002e-10,11675.7
1.91014e-10,11507.6
1.97169e-10,11342.5
2.03524e-10,11180.2
2.1008200000000003e-10,11020.7
2.16853e-10,10864.0
2.2431500000000002e-10,10699.8
2.3203399999999998e-10,10538.6
2.40019e-10,10380.5
2.4827800000000003e-10,10225.3
2.56822e-10,10073.0
2.6565900000000003e-10,9923.539999999999
2.74801e-10,9776.910000000002
2.84257e-10,9633.050000000001
2.9403800000000003e-10,9491.92
3.0415700000000004e-10,9353.47
3.14623e-10,9217.67
3.2545000000000005e-10,9084.48
3.36649e-10,8953.86
3.48233e-10,8825.76
3.6021600000000004e-10,8700.14
3.72612e-10,8576.980000000001
3.85434e-10,8456.24
3.98697e-10,8337.87
4.12416e-10,8221.84
4.2660799999999997e-10,8108.12
4.4128800000000007e-10,7996.660000000001
4.56473e-10,7887.450000000001
4.72181e-10,7780.44
4.884299999999999e-10,7675.59
5.05237e-10,7572.89
5.22623e-10,7472.29
5.40607e-10,7373.76
5.592100000000001e-10,7277.28
5.78453e-10,7182.8099999999995
5.98358e-10,7090.320000000001
6.202560000000001e-10,6994.19
6.4296e-10,6900.21
6.66491e-10,6808.39
6.908870000000001e-10,6718.650000000001
7.16172e-10,6630.9800000000005
7.42387e-10,6545.34
7.69556e-10,6461.700000000001
7.97725e-10,6380.02
8.2692e-10,6300.29
8.57188e-10,6222.44
8.885600000000001e-10,6146.4800000000005
9.210839999999999e-10,6072.35
9.54794e-10,6000.04
9.89743e-10,5929.5
1.0281400000000001e-9,5856.72
1.06803e-9,5785.86
1.10946e-9,5716.9
1.1525000000000001e-9,5649.8
1.1972100000000003e-9,5584.51
1.24366e-9,5521.02
1.29191e-9,5459.29
1.3420300000000002e-9,5399.2699999999995
1.39409e-9,5340.950000000001
1.4512400000000003e-9,5281.18
1.51073e-9,5223.22
1.57266e-9,5167.04
1.6371300000000001e-9,5112.58
1.7042400000000001e-9,5059.820000000001
1.7741100000000002e-9,5008.72
1.85075e-9,4956.68
1.93069e-9,4906.39
2.01409e-9,4857.820000000001
2.1011e-9,4810.91
2.1918600000000003e-9,4765.64
2.2913800000000004e-9,4719.8
2.3954200000000004e-9,4675.67
2.50418e-9,4633.19
2.6178900000000004e-9,4592.31
2.7425500000000002e-9,4551.160000000001
2.87315e-9,4511.67
3.0099600000000002e-9,4473.79
3.15996e-9,4435.85
3.3174500000000004e-9,4399.54
3.48277e-9,4364.81
3.66408e-9,4330.2
3.85482e-9,4297.18
4.064090000000001e-9,4264.42
4.2847e-9,4233.25
4.526860000000001e-9,4202.4400000000005
4.78271e-9,4173.219999999999
5.06372e-9,4144.46
5.3725800000000005e-9,4116.25
5.70027e-9,4089.6299999999997
6.06075e-9,4063.6099999999997
6.4576700000000005e-9,4038.29
6.89517e-9,4013.73
7.3778800000000006e-9,3989.97
7.91107e-9,3967.07
8.50077e-9,3945.0699999999997
9.15378e-9,3923.98
9.877800000000002e-9,3903.83
1.0681600000000001e-8,3884.64
1.1599900000000001e-8,3865.9500000000003
1.26237e-8,3848.29
1.37961e-8,3831.2599999999998
1.51413e-8,3814.9500000000003
1.6688e-8,3799.41
1.84708e-8,3784.71
2.0574e-8,3770.6
2.30139e-8,3757.44
2.52522e-8,3747.58
2.5299999999999998e-8,3747.3900000000003
2.86618e-8,3735.49
3.2745799999999997e-8,3724.2799999999997
3.7729800000000003e-8,3713.85
4.39344e-8,3704.1400000000003
5.18124e-8,3695.11
6.201410000000001e-8,3686.78
7.54911e-8,3679.1800000000003
9.36623e-8,3672.34
1.1919399999999999e-7,3666.19
1.56573e-7,3660.7400000000002
2.1455999999999998e-7,3655.96
3.10638e-7,3651.8799999999997
4.863389999999999e-7,3648.49
8.571379999999999e-7,3645.7799999999997
3.4294899999999997e-6,3642.81
0.0117161,3590.86
0.016009,3581.73
0.0192681,3592.6200000000003
0.0211055,3618.6600000000003
0.022011500000000003,3650.41
0.023,3713.66
0.0233245,3749.73
0.0238204,3872.87
0.024572,4068.47
0.025,4349.92
0.025146,4496.81
0.0255457,5160.97
0.025568200000000003,5222.089999999999
0.025882299999999997,6366.5599999999995
0.0258931,6431.15
0.0259474,6904.6900000000005
0.0261971,9128.04
0.026208000000000002,9261.34
0.02622,9479.23
0.026387999999999998,13062.3
0.026400000000000003,13356.5
0.0264125,13740.300000000001
0.0264375,14601.2
0.02645,15085.699999999999
0.0264875,16735.8
0.0265,17333.1
0.026518700000000003,18370.2
0.026543700000000003,19831.3
0.0265562,20666.5
0.0265875,23026.6
0.026600000000000002,24047.800000000003
0.0266125,25213.0
0.026637499999999998,27722.899999999998
0.026646899999999998,28784.800000000003
0.0266562,29981.6
0.026690600000000002,34792.5
0.0267,36257.5
0.026709399999999998,37928.700000000004
0.0267406,44009.4
0.02675,46006.200000000004
0.026759400000000003,48293.100000000006
0.026781199999999998,54241.9
0.026793800000000003,57767.200000000004
0.0268,59657.200000000004
0.0268125,63806.9
0.026825,68242.5
0.0268375,73009.2
0.026850000000000002,78208.7
0.0268687,86748.0
0.026931300000000002,115947.0
0.026943800000000004,121603.0
0.0269531,125404.0
0.0269625,128401.00000000001
0.026975,131391.0
0.026993700000000002,135148.0
0.027002,136034.0
0.027004,136107.0
0.027013500000000003,135779.0
0.0270278,134227.0
0.0270372,132561.0
0.027046700000000003,130080.0
0.027056300000000002,126879.00000000001
0.0270705,121376.0
0.027080000000000003,117445.0
0.027097000000000003,109773.00000000001
0.0271395,89947.5
0.0271523,84320.79999999999
0.0271739,75771.4
0.027195399999999998,67496.40000000001
0.0272084,63004.9
0.027222200000000002,58791.6
0.0272429,53081.899999999994
0.0272533,50508.2
0.027268900000000002,47104.0
0.0272948,41707.9
0.027306200000000003,39589.2
0.027325,36528.0
0.0273375,34672.700000000004
0.02735,33005.1
0.027368800000000002,30813.600000000002
0.027393800000000003,28033.399999999998
0.0274062,26780.8
0.027425,25175.7
0.0274437,23651.6
0.0274563,22737.0
0.027487499999999998,20720.0
0.0275,19956.8
0.0275187,18969.0
0.027537500000000003,18051.1
0.027549999999999998,17469.399999999998
0.027575,16455.9
0.0276,15502.6
0.0276395,14236.800000000001
0.0276593,13661.5
0.0276879,12921.800000000001
0.027714500000000003,12322.800000000001
0.02775,11587.9
0.027788800000000002,10899.7
0.0278042,10660.199999999999
0.0279825,8545.18
0.027998,8379.59
0.028017900000000002,8239.929999999998
0.0282762,6727.29
0.028316,6505.63
0.0285157,5957.9800000000005
0.0287155,5422.06
0.028740800000000004,5375.48
0.029302,4700.77
0.029863,4374.18
0.03,4320.25
0.030947000000000002,4086.8799999999997
0.032,3969.3900000000003
0.032784,3925.52
0.034,3896.35
0.0354594,3901.3399999999997
0.0362539,3919.07
0.037767,3975.0899999999997
0.0382681,4008.5699999999997
0.04,4147.65
0.041902,4448.959999999999
0.04346,4940.65
0.0435,4959.86
0.04358,5016.46
0.0436376,5025.97
0.045057,6082.429999999999
0.0452,6250.2300000000005
0.0455,6666.299999999999
0.045758,7107.84
0.0458,7188.83
0.0461,7858.37
0.0463,8412.82
0.0464,8733.02
0.0467,9904.05
0.046836,10567.2
0.047,11516.2
0.04730000000000001,13793.599999999999
0.047408000000000006,14841.800000000001
0.047599999999999996,17113.4
0.047813999999999995,20413.0
0.0479,22029.899999999998
0.048135000000000004,27437.7
0.0482034,29307.3
0.048499999999999995,38526.2
0.04867320000000001,43530.8
0.048731000000000003,45138.6
0.0487965,46445.4
0.048845599999999996,47129.8
0.048861999999999996,47292.6
0.048997599999999995,47414.50000000001
0.049017,47361.899999999994
0.0490945,46342.0
0.0491526,45133.5
0.049172,44673.7
0.049326999999999996,40013.3
0.049542,32515.9
0.0497,27391.399999999998
0.049732399999999996,26500.9
0.049958999999999996,20672.5
0.04999920000000001,19816.5
0.050240799999999995,15708.0
0.050281000000000006,15043.2
0.0503109,14654.8
0.0506,11530.800000000001
0.050656299999999994,11058.8
0.0509,9378.74
0.051091,8382.45
0.0512,7911.82
0.051500000000000004,6884.31
0.051663,6451.16
0.0518,6141.36
0.0521,5593.0
0.052485000000000004,5079.44
0.053558,4267.15
0.054000000000000006,4076.86
0.054858399999999995,3830.86
0.055803000000000005,3669.0
0.057746000000000006,3506.9300000000003
0.0584091,3484.46
0.06,3443.41
0.061718,3435.33
0.0644515,3463.67
0.0664656,3510.58
0.068282,3568.01
0.07,3642.3199999999997
0.071648,3734.2
0.0730158,3833.37
0.0742115,3927.2999999999997
0.076,4112.03
0.077972,4388.080000000001
0.0799015,4742.320000000001
0.08199999999999999,5288.14
0.08255000000000001,5466.74
0.084,6031.049999999999
0.085936,7061.05
0.08630330000000001,7339.9400000000005
0.08800000000000001,8673.92
0.08896599999999999,9680.44
0.09,10986.499999999998
0.092,14301.4
0.093926,18448.4
0.096,22988.6
0.097112,24656.3
0.098022,25282.8
0.098932,25158.100000000002
0.099796,24420.899999999998
0.1,24174.1
0.10098000000000001,22710.1
0.102535,19929.1
0.10307,18953.100000000002
0.10400000000000001,17339.0
0.105925,14453.800000000001
0.10800000000000001,12083.8
0.10840000000000001,11704.2
0.10992900000000001,10450.2
0.11063,9954.49
0.11200000000000002,9130.17
0.11345000000000001,8413.61
0.11399999999999999,8176.56
0.11599999999999999,7461.280000000001
0.11625000000000002,7381.83
0.11988000000000001,6456.57
0.12157100000000001,6136.45
0.12264,5957.56
0.12519,5598.79
0.1264,5460.5
0.129992,5124.0199999999995
0.13424,4827.28
0.14055,4508.099999999999
0.14850000000000002,4226.61
0.15105800000000003,4160.280000000001
0.156439,4036.4399999999996
0.16519,3894.72
0.1734,3805.4199999999996
0.17362500000000003,3807.8500000000004
0.17410000000000003,3806.1099999999997
0.184492,3854.4
0.185785,3863.03
0.19259,3971.98
0.19751000000000002,4065.27
0.20110000000000003,4181.42
0.20746000000000003,4415.19
0.21159,4590.67
0.21934,5036.92
0.234607,6077.75
0.23597,6172.19
0.24434300000000003,6645.349999999999
0.25276000000000004,7030.25
0.258,7517.32
0.26,7734.87
0.261595,7945.34
0.26251,8090.15
0.263425,8479.77
0.26431,8880.74
0.26587,9723.119999999999
0.26743,10791.599999999999
0.268235,11445.7
0.27026,13117.5
0.27091,13583.8
0.27153,13618.4
0.27201800000000004,13576.900000000001
0.27348,13151.6
0.274,12916.8
0.2763,11698.699999999999
0.2766,11550.400000000001
0.27835000000000004,11121.4
0.28011,10828.0
0.28158,10934.900000000001
0.281974,11359.699999999999
0.282,11409.6
0.28208000000000005,11670.199999999999
0.28214,11867.0
0.28217200000000003,11909.0
0.28220900000000004,11881.2
0.28352499999999997,9860.32
0.28372,9577.0
0.286,9262.650000000001
0.28711000000000003,9073.07
0.29068,8677.44
0.29500000000000004,8591.46
0.30190500000000003,8515.050000000001
0.30759000000000003,8471.79
0.30873,8386.58
0.30913,8188.0199999999995
0.30920000000000003,8258.13
0.309253,8342.470000000001
0.30934,8564.949999999999
0.30939300000000003,8632.7
0.30947,8656.980000000001
0.31000000000000005,8584.45
0.31101,8548.5
0.315,8538.48
0.31723,8543.55
0.32904,8532.05
0.33592,8541.19
0.35000000000000003,8475.48
0.35750000000000004,8413.970000000001
0.365,8378.529999999999
0.37096,8355.01
0.37861,8393.53
0.38157,8433.52
0.38269000000000003,8511.55
0.383,8557.81
0.383705,8777.47
0.38378100000000004,8862.259999999998
0.38443900000000003,9848.52
0.38446500000000006,9925.67
0.38448400000000005,10028.6
0.384508,10233.6
0.384525,10433.2
0.38456,10898.2
0.38499700000000003,17020.4
0.38502400000000003,17323.5
0.385041,17458.899999999998
0.38506100000000004,17519.7
0.38508300000000006,17475.9
0.385139,17124.399999999998
0.38527200000000006,16140.9
0.385305,15832.599999999999
0.385338,15429.8
0.38544900000000004,13808.0
0.38569300000000006,10187.699999999999
0.38572700000000004,9721.619999999999
0.385749,9460.01
0.385767,9292.8
0.38579,9156.029999999999
0.38582000000000005,9045.43
0.38594,8733.66
0.386,8618.82
0.386155,8445.04
0.38631000000000004,8335.140000000001
0.38657,8233.46
0.38711000000000007,8144.320000000001
0.387865,8102.7699999999995
0.389,8080.86
0.395,8044.73
0.39762000000000003,8012.2699999999995
0.40198500000000004,7825.79
0.40769000000000005,7547.469999999999
0.41169000000000006,7249.84
0.41281999999999996,7207.0
0.414807,7319.320000000001
0.41520500000000005,7431.4
0.41600000000000004,7682.46
0.41676,8177.960000000001
0.416852,8265.33
0.41823,10157.199999999999
0.4193,12072.400000000001
0.42000000000000004,12786.2
0.42047999999999996,12850.4
0.421186,12462.9
0.42176,11941.1
0.42239000000000004,11334.3
0.42313,10683.3
0.42400000000000004,10047.900000000001
0.42431,9854.88
0.42577,9129.18
0.42690000000000006,8718.71
0.42800000000000005,8403.57
0.42859,8262.140000000001
0.43068,7853.83
0.43200000000000005,7648.49
0.43423,7363.58
0.43600000000000005,7170.849999999999
0.44000000000000006,6799.52
0.44566,6353.75
0.45199999999999996,5946.72
0.46197,5312.45
0.46559,5099.280000000001
0.47000000000000003,4865.179999999999
0.47534000000000004,4502.88
0.48,4356.26
0.48158000000000006,4103.54
0.48437,4089.2200000000003
0.485101,4131.599999999999
0.48632000000000003,4254.95
0.48700000000000004,4363.450000000001
0.48817000000000005,4603.6
0.489,4797.049999999999
0.4899200000000001,5053.35
0.49094,5367.39
0.492375,5716.89
0.49275,5802.37
0.49400000000000005,6041.79
0.4948000000000001,6146.05
0.496,6245.650000000001
0.49768999999999997,6304.79
0.49802799999999997,6336.839999999999
0.498097,6392.2
0.498753,7209.2
0.498809,7243.0
0.49887100000000006,7215.06
0.49997600000000003,6356.55
0.500047,6330.66
0.50108,6236.98
0.505,6020.84
0.50771,5849.65
0.51127,5672.92
0.5184000000000001,5401.94
0.5263650000000001,5176.9
0.53,5085.47
0.54197,4836.7699999999995
0.558235,4529.9800000000005
0.56408,4429.09
0.5700000000000001,4442.71
0.576031,4432.610000000001
0.58,4410.0599999999995
0.58299,4380.6
0.58716,4460.200000000001
0.58732,4463.87
0.58831,4453.86
0.589,4455.71
0.590937,4542.18
0.59225,4763.75
0.593,5027.59
0.5933900000000001,5243.38
0.59352,5323.91
0.5940489999999999,5861.95
0.5949300000000001,6774.3099999999995
0.5953350000000001,7227.8
0.59547,7367.3
0.596017,7650.21
0.596225,7737.219999999999
0.596275,7739.04
0.5969000000000001,7720.11
0.597445,7597.98
0.5985900000000001,7281.04
0.6001500000000001,6824.0
