E(MeV),xs(mb)
1.0e-11,222990.99999999997
1.03223e-11,219503.0
1.06549e-11,216071.0
1.0998399999999998e-11,212693.00000000003
1.13527e-11,209369.0
1.1718599999999999e-11,206097.00000000003
1.2096199999999998e-11,202877.99999999997
1.24861e-11,199709.0
1.2888399999999999e-11,196591.0
1.3303799999999998e-11,193521.0
1.37325e-11,190502.0
1.41751e-11,187529.0
1.4631799999999997e-11,184604.0
1.51034e-11,181725.0
1.5590099999999998e-11,178892.0
1.6092599999999998e-11,176103.0
1.66111e-11,173360.0
1.71465e-11,170659.0
1.7699e-11,168002.0
1.8269399999999998e-11,165387.0
1.88581e-11,162813.0
1.94659e-11,160280.0
2.00931e-11,157789.0
2.0740699999999998e-11,155336.0
2.1408999999999998e-11,152922.0
2.2099099999999997e-11,150547.0
2.28111e-11,148210.0
2.3546399999999998e-11,145910.0
2.4305099999999997e-11,143647.0
2.50884e-11,141419.0
2.5896799999999997e-11,139228.0
2.67315e-11,137071.0
2.75928e-11,134949.0
2.8482199999999998e-11,132861.0
2.93999e-11,130806.0
3.0347499999999995e-11,128784.00000000001
3.13253e-11,126794.0
3.2335e-11,124837.0
3.33769e-11,122910.00000000001
3.44526e-11,121015.0
3.55627e-11,119150.0
3.67089e-11,117314.99999999999
3.7891799999999997e-11,115509.0
3.9113e-11,113733.0
4.0373400000000003e-11,111985.0
4.1674599999999996e-11,110264.99999999999
4.3017399999999996e-11,108573.00000000001
4.440389999999999e-11,106908.0
4.58347e-11,105270.0
4.7311899999999994e-11,103658.99999999999
4.883639999999999e-11,102072.99999999999
5.0410399999999995e-11,100513.00000000001
5.20348e-11,98978.90000000001
5.37119e-11,97469.0
5.54426e-11,95983.90000000001
5.7229499999999995e-11,94522.6
5.907359999999999e-11,93085.40000000001
6.09775e-11,91671.20000000001
6.29424e-11,90280.40000000001
6.497099999999999e-11,88911.9
6.70645e-11,87566.0
6.9226e-11,86241.8
7.145659999999999e-11,84939.5
7.37596e-11,83658.3
7.61364e-11,82398.29999999999
7.85902e-11,81158.7
8.11227e-11,79939.7
8.37372e-11,78740.5
8.643549999999999e-11,77561.3
8.922119999999998e-11,76401.3
9.209619999999999e-11,75260.7
9.506439999999999e-11,74138.7
9.81277e-11,73035.4
1.01291e-10,71950.1
1.04554e-10,70883.4
1.07924e-10,69833.8
1.11402e-10,68802.2
1.1499200000000001e-10,67787.4
1.1869700000000001e-10,66789.9
1.22523e-10,65808.8
1.26471e-10,64844.4
1.30547e-10,63895.9
1.34754e-10,62963.6
1.3909700000000002e-10,62046.799999999996
1.43579e-10,61145.7
1.48207e-10,60259.5
1.52982e-10,59388.7
1.57913e-10,58532.3
1.6300100000000001e-10,57690.799999999996
1.68254e-10,56863.4
1.73676e-10,56050.3
1.79274e-10,55251.0
1.85443e-10,54413.5
1.91824e-10,53591.4
1.9842500000000002e-10,52784.4
2.0525300000000001e-10,51992.200000000004
2.1231600000000001e-10,51214.700000000004
2.19622e-10,50451.6
2.2717900000000003e-10,49702.6
2.34997e-10,48967.5
2.43083e-10,48246.1
2.51448e-10,47538.200000000004
2.60101e-10,46843.6
2.69051e-10,46162.0
2.7830900000000004e-10,45493.3
2.87886e-10,44837.2
2.9779300000000004e-10,44193.5
3.0804e-10,43562.1
3.1864e-10,42942.7
3.29605e-10,42335.1
3.4094699999999997e-10,41739.100000000006
3.52679e-10,41154.6
3.64815e-10,40581.4
3.7736900000000005e-10,40019.200000000004
3.9035500000000004e-10,39468.0
4.03787e-10,38927.4
4.17682e-10,38397.4
4.32055e-10,37877.700000000004
4.4692299999999997e-10,37368.2
4.6230200000000006e-10,36868.8
4.7821e-10,36379.1
4.94666e-10,35899.200000000004
5.127690000000001e-10,35399.7
5.31539e-10,34910.6
5.50992e-10,34432.0
5.7116e-10,33963.5
5.92063e-10,33505.0
6.13735e-10,33056.299999999996
6.36196e-10,32617.2
6.59484e-10,32187.399999999998
6.836190000000001e-10,31767.0
7.086420000000001e-10,31355.5
7.34577e-10,30953.0
7.61465e-10,30559.1
7.89333e-10,30173.899999999998
8.182259999999999e-10,29796.9
8.48171e-10,29428.2
8.792170000000001e-10,29067.5
9.13327e-10,28694.199999999997
9.48759e-10,28329.5
9.855660000000001e-10,27973.2
1.0238000000000001e-9,27625.3
1.06352e-9,27285.4
1.1047800000000002e-9,26953.399999999998
1.14764e-9,26629.100000000002
1.1921600000000002e-9,26312.3
1.23841e-9,26003.0
1.28646e-9,25700.8
1.3391900000000002e-9,25389.5
1.39409e-9,25085.8
1.4512400000000003e-9,24789.6
1.51073e-9,24500.600000000002
1.57266e-9,24218.7
1.6371300000000001e-9,23943.699999999997
1.7042400000000001e-9,23675.4
1.7778600000000001e-9,23400.1
1.85466e-9,23131.8
1.9347700000000003e-9,22870.4
2.01835e-9,22615.699999999997
2.10554e-9,22367.499999999996
2.19649e-9,22125.6
2.2913800000000004e-9,21889.9
2.3954200000000004e-9,21648.7
2.50418e-9,21414.0
2.6178900000000004e-9,21185.5
2.73675e-9,20963.1
2.86102e-9,20746.5
2.99726e-9,20525.699999999997
3.1399900000000004e-9,20310.899999999998
3.28951e-9,20102.000000000004
3.44615e-9,19898.8
3.6102500000000004e-9,19701.1
3.79016e-9,19500.2
3.9790600000000005e-9,19304.9
4.17735e-9,19115.2
4.38554e-9,18930.8
4.61385e-9,18743.8
4.85404e-9,18562.3
5.10673e-9,18386.100000000002
5.3725800000000005e-9,18214.9
5.66421e-9,18041.899999999998
5.97171e-9,17874.1
6.2958700000000005e-9,17711.3
6.6376600000000004e-9,17553.3
