E(MeV),xs(mb)
1.0e-11,275350.0
1.03223e-11,271029.0
1.06549e-11,266778.0
1.0998399999999998e-11,262593.0
1.13527e-11,258476.00000000003
1.1718599999999999e-11,254422.00000000003
1.2096199999999998e-11,250433.0
1.24861e-11,246505.99999999997
1.2888399999999999e-11,242643.0
1.3303799999999998e-11,238838.99999999997
1.37325e-11,235096.00000000003
1.41751e-11,231411.0
1.4631799999999997e-11,227786.0
1.51034e-11,224217.00000000003
1.5590099999999998e-11,220705.00000000003
1.6092599999999998e-11,217248.00000000003
1.66111e-11,213847.0
1.71465e-11,210497.99999999997
1.7699e-11,207202.99999999997
1.8269399999999998e-11,203959.0
1.88581e-11,200768.0
1.94659e-11,197626.0
2.00931e-11,194535.0
2.0740699999999998e-11,191491.0
2.1408999999999998e-11,188497.0
2.2099099999999997e-11,185549.0
2.28111e-11,182649.0
2.3546399999999998e-11,179794.0
2.4305099999999997e-11,176985.0
2.50884e-11,174220.0
2.5896799999999997e-11,171499.0
2.67315e-11,168820.0
2.75928e-11,166185.0
2.8482199999999998e-11,163591.0
2.93999e-11,161039.0
3.0347499999999995e-11,158526.0
3.13253e-11,156054.0
3.2335e-11,153621.0
3.33769e-11,151227.0
3.44526e-11,148870.0
3.55627e-11,146551.0
3.67089e-11,144269.0
3.7891799999999997e-11,142023.0
3.9113e-11,139813.0
4.0373400000000003e-11,137638.0
4.1674599999999996e-11,135497.0
4.3017399999999996e-11,133391.0
4.440389999999999e-11,131318.0
4.58347e-11,129278.0
4.7311899999999994e-11,127271.0
4.883639999999999e-11,125296.00000000001
5.0410399999999995e-11,123351.00000000001
5.20348e-11,121439.00000000001
5.37119e-11,119556.0
5.54426e-11,117704.00000000001
5.7229499999999995e-11,115880.99999999999
5.907359999999999e-11,114087.99999999999
6.09775e-11,112323.0
6.29424e-11,110586.0
6.497099999999999e-11,108877.0
6.70645e-11,107196.0
6.9226e-11,105541.0
7.145659999999999e-11,103913.00000000001
7.37596e-11,102309.99999999999
7.61364e-11,100733.99999999999
7.85902e-11,99182.90000000001
8.11227e-11,97656.9
8.37372e-11,96155.1
8.643549999999999e-11,94677.6
8.922119999999998e-11,93223.7
9.209619999999999e-11,91793.5
9.506439999999999e-11,90386.0
9.81277e-11,89001.40000000001
1.01291e-10,87638.70000000001
1.04554e-10,86298.7
1.07924e-10,84979.6
1.11402e-10,83682.5
1.1499200000000001e-10,82405.7
1.1869700000000001e-10,81150.2
1.22523e-10,79914.4
1.26471e-10,78699.2
1.30547e-10,77503.2
1.34754e-10,76327.0
1.3909700000000002e-10,75169.5
1.43579e-10,74031.3
1.48207e-10,72911.09999999999
1.52982e-10,71809.59999999999
1.57913e-10,70725.7
1.6300100000000001e-10,69659.70000000001
1.68254e-10,68610.9
1.73676e-10,67579.5
1.79274e-10,66564.6
1.8505000000000002e-10,65566.6
1.91014e-10,64584.700000000004
1.97169e-10,63619.2
2.03524e-10,62669.2
2.1008200000000003e-10,61735.100000000006
2.16853e-10,60816.100000000006
2.2384e-10,59912.5
2.31055e-10,59023.5
2.385e-10,58149.4
2.46187e-10,57289.5
2.5412e-10,56444.0
2.6231e-10,55612.3
2.70762e-10,54794.600000000006
2.7948900000000003e-10,53990.200000000004
2.88494e-10,53199.3
2.9779300000000004e-10,52421.4
3.07388e-10,51656.5
3.1729500000000004e-10,50904.299999999996
3.27519e-10,50164.7
3.38075e-10,49437.2
3.4896900000000003e-10,48722.1
3.6021600000000004e-10,48018.700000000004
3.7182300000000004e-10,47327.3
3.83807e-10,46647.299999999996
3.97014e-10,45934.5
4.1067600000000004e-10,45234.50000000001
4.24808e-10,44547.0
4.39426e-10,43871.799999999996
4.54547e-10,43208.700000000004
4.70189e-10,42557.5
4.863679999999999e-10,41917.9
5.03105e-10,41289.9
5.20417e-10,40673.1
5.38325e-10,40067.399999999994
5.5685e-10,39472.6
5.76012e-10,38888.6
5.95833e-10,38315.0
6.16336e-10,37751.8
6.37545e-10,37198.799999999996
6.59484e-10,36655.799999999996
6.82177e-10,36122.5
7.056520000000001e-10,35598.9
7.29934e-10,35084.7
7.55052e-10,34579.9
7.810340000000001e-10,34084.1
8.079100000000001e-10,33597.299999999996
8.35712e-10,33119.4
8.644690000000001e-10,32650.100000000002
8.942170000000001e-10,32189.199999999997
9.249879999999999e-10,31736.7
9.56818e-10,31292.399999999998
9.89743e-10,30856.1
1.0238000000000001e-9,30427.8
1.05903e-9,30007.100000000002
1.09547e-9,29594.100000000002
1.1331700000000001e-9,29188.5
1.1721600000000002e-9,28790.2
1.2125e-9,28399.2
1.25687e-9,27991.399999999998
1.3028800000000002e-9,27591.399999999998
1.3505600000000001e-9,27199.2
1.4e-9,26814.300000000003
1.4512400000000003e-9,26436.899999999998
1.50436e-9,26066.600000000002
1.55941e-9,25703.5
1.61649e-9,25347.2
1.67565e-9,24997.8
1.7369900000000002e-9,24655.0
1.80056e-9,24318.7
1.86647e-9,23988.800000000003
1.9347700000000003e-9,23665.2
2.0055900000000003e-9,23347.699999999997
2.07899e-9,23036.3
2.1550900000000003e-9,22730.7
2.23397e-9,22430.9
2.31574e-9,22136.8
2.4004900000000003e-9,21848.3
2.4883500000000004e-9,21565.2
2.58489e-9,21271.2
2.68517e-9,20983.2
2.7893400000000002e-9,20700.8
2.89755e-9,20424.1
3.0099600000000002e-9,20152.899999999998
3.12674e-9,19887.1
3.2480400000000003e-9,19626.5
3.3740500000000004e-9,19371.100000000002
3.50494e-9,19120.8
3.6409200000000003e-9,18875.4
3.78217e-9,18634.9
3.9288900000000005e-9,18399.2
4.08132e-9,18168.1
4.23965e-9,17941.5
4.404130000000001e-9,17719.4
4.584660000000001e-9,17489.8
4.7726100000000005e-9,17264.8
4.9682500000000005e-9,17044.600000000002
5.17193e-9,16828.9
5.38394e-9,16617.7
5.60466e-9,16410.899999999998
5.8344e-9,16208.3
6.07359e-9,16009.9
6.32255e-9,15815.699999999999
6.58176e-9,15625.4
6.85155e-9,15439.099999999999
7.13244e-9,15256.6
7.440540000000001e-9,15068.5
7.76196e-9,14884.5
8.097250000000002e-9,14704.5
8.44703e-9,14528.4
8.81192e-9,14356.1
9.19258e-9,14187.5
9.589670000000001e-9,14022.6
1.00039e-8,13861.2
1.0436099999999999e-8,13703.300000000001
1.09099e-8,13541.2
1.14053e-8,13382.7
1.19231e-8,13227.800000000001
1.24645e-8,13076.4
1.30305e-8,12928.4
1.36222e-8,12783.800000000001
1.4240600000000001e-8,12642.4
1.4887300000000001e-8,12504.2
1.55632e-8,12369.1
1.63043e-8,12230.8
1.70807e-8,12095.800000000001
1.78941e-8,11963.900000000001
1.87461e-8,11835.199999999999
1.96388e-8,11709.400000000001
2.0574e-8,11586.7
2.1599300000000003e-8,11461.4
2.26757e-8,11339.2
2.38058e-8,11220.000000000002
2.4992200000000004e-8,11103.7
2.52522e-8,11079.300000000001
2.5299999999999998e-8,11074.900000000001
2.65609e-8,10962.199999999999
2.78845e-8,10852.2
2.93362e-8,10740.300000000001
3.08634e-8,10631.3
3.247e-8,10525.1
3.4160400000000005e-8,10421.5
3.59387e-8,10320.6
3.78897e-8,10218.199999999999
3.99465e-8,10118.5
4.2115099999999996e-8,10021.500000000002
4.4401200000000006e-8,9926.970000000001
4.68117e-8,9834.98
4.94573e-8,9741.89
5.22525e-8,9651.35
5.52057e-8,9563.31
5.83257e-8,9477.69
6.175239999999999e-8,9391.27
6.53807e-8,9307.3
6.92219e-8,9225.73
7.3444e-8,9143.57
7.79237e-8,9063.82
8.26766e-8,8986.4
8.771940000000001e-8,8911.27
9.32671e-8,8835.77
9.916510000000001e-8,8762.57
1.0543699999999999e-7,8691.599999999999
1.12342e-7,8620.45
1.19699e-7,8551.529999999999
1.27808e-7,8482.609999999999
1.36467e-7,8415.91
1.45712e-7,8351.36
1.55912e-7,8286.89
1.66827e-7,8224.56
1.78884e-7,8162.45
1.91812e-7,8102.48
2.0611e-7,8042.820000000001
2.21474e-7,7985.26
2.38487e-7,7928.12
2.56806e-7,7873.05
2.7711800000000003e-7,7818.4800000000005
2.99037e-7,7765.889999999999
3.23373e-7,7713.849999999999
3.49688e-7,7663.77
3.78946e-7,7614.28
4.1152199999999997e-7,7565.47
4.47843e-7,7517.38
4.8737e-7,7471.2300000000005
5.31507e-7,7425.84
5.808699999999999e-7,7381.22
6.36162e-7,7337.42
6.98191e-7,7294.4800000000005
7.662679999999999e-7,7253.35
8.4276e-7,7213.04
9.288529999999999e-7,7173.57
1.0207699999999998e-6,7136.89
1.16611e-6,7087.5599999999995
1.42873e-6,7017.36
1.91744e-6,6924.7699999999995
2.8187099999999996e-6,6815.9400000000005
4.2912e-6,6706.26
6.909469999999999e-6,6583.22
1.17665e-5,6427.96
2.22573e-5,6170.5
5.4944e-5,5439.45
6.9231e-5,5084.61
7.908820000000001e-5,4829.86
8.190530000000002e-5,4777.8099999999995
8.34253e-5,4766.9800000000005
8.46023e-5,4775.400000000001
8.579590000000001e-5,4810.030000000001
8.670370000000001e-5,4865.370000000001
8.731320000000001e-5,4924.2699999999995
8.792690000000001e-5,5009.15
8.83894e-5,5095.98
8.88562e-5,5211.17
8.9323e-5,5363.52
8.963640000000001e-5,5493.16
8.995200000000001e-5,5652.37
9.02676e-5,5847.93
9.050430000000001e-5,6024.45
9.0741e-5,6232.65
9.0975e-5,6476.56
9.120900000000001e-5,6767.179999999999
9.1365e-5,6992.36
9.152100000000002e-5,7247.42
9.167700000000001e-5,7537.39
9.1833e-5,7868.48
9.198910000000001e-5,8248.5
9.21229e-5,8620.710000000001
9.22567e-5,9043.36
9.239050000000001e-5,9525.380000000001
9.252430000000002e-5,10077.7
9.265810000000001e-5,10714.1
9.27473e-5,11193.2
9.283650000000001e-5,11723.2
9.29257e-5,12311.4
9.30149e-5,12966.2
9.31041e-5,13697.699999999999
9.319330000000002e-5,14518.1
9.328250000000001e-5,15441.9
9.33494e-5,16213.1
9.341630000000001e-5,17061.1
9.348060000000001e-5,17957.2
9.354480000000001e-5,18944.399999999998
9.360900000000002e-5,20035.4
9.36732e-5,21245.2
9.37375e-5,22591.3
9.38017e-5,24095.2
9.38659e-5,25782.3
9.391410000000002e-5,27186.3
9.3973e-5,29088.8
9.40158e-5,30619.5
9.405860000000001e-5,32291.2
9.410140000000001e-5,34122.3
9.41443e-5,36134.1
9.418710000000002e-5,38351.799999999996
9.422990000000002e-5,40805.5
9.42727e-5,43531.3
9.43084e-5,46041.8
9.434410000000001e-5,48801.6
9.43798e-5,51846.8
9.441540000000001e-5,55220.6
9.44511e-5,58975.200000000004
9.44868e-5,63173.899999999994
9.45136e-5,66660.5
9.454030000000001e-5,70479.4
9.457240000000002e-5,75565.6
9.460100000000001e-5,80620.1
9.46295e-5,86258.8
9.46509e-5,90927.29999999999
9.46724e-5,96023.20000000001
9.46938e-5,101599.0
9.47152e-5,107712.99999999999
9.473660000000001e-5,114432.0
9.4758e-5,121831.0
9.477940000000001e-5,129995.0
9.479720000000001e-5,137450.0
9.48186e-5,147267.0
9.48401e-5,158142.0
9.48615e-5,170199.0
9.48829e-5,183574.0
9.489890000000002e-5,194559.0
9.491500000000001e-5,206435.0
9.4931e-5,219270.0
9.49471e-5,233137.99999999997
9.49653e-5,250196.0
9.498030000000001e-5,265392.0
9.49953e-5,281692.0
9.501030000000001e-5,299162.0
9.502530000000001e-5,317866.0
9.504020000000001e-5,337868.0
9.505520000000002e-5,359232.0
9.507770000000002e-5,393961.0
9.509770000000001e-5,427672.99999999994
9.511770000000001e-5,464182.99999999994
9.513760000000001e-5,503592.0
9.515760000000001e-5,545976.0
9.5179e-5,594746.0
9.520040000000001e-5,647002.0
9.522190000000001e-5,702712.0
9.525040000000001e-5,782191.0
9.527900000000002e-5,867234.0
9.53146e-5,980388.0
9.535740000000002e-5,1.12385e6
9.544310000000001e-5,1.419e6
9.548590000000002e-5,1.5595e6
9.551440000000001e-5,1.64627e6
9.5543e-5,1.72529e6
9.55715e-5,1.79472e6
9.560010000000001e-5,1.8529e6
9.562290000000002e-5,1.89038e6
9.56486e-5,1.92207e6
9.56772e-5,1.94354e6
9.57011e-5,1.95002e6
9.572850000000001e-5,1.94436e6
9.575710000000002e-5,1.92382e6
9.578490000000001e-5,1.88994e6
9.581200000000001e-5,1.84462e6
9.583990000000001e-5,1.78659e6
9.586840000000001e-5,1.7164e6
9.589700000000001e-5,1.6371e6
9.59398e-5,1.50511e6
