E(MeV),xs(mb)
1.0e-11,108209.0
1.03223e-11,106518.0
1.06549e-11,104854.0
1.0998399999999998e-11,103214.99999999999
1.13527e-11,101603.0
1.1718599999999999e-11,100016.0
1.2096199999999998e-11,98454.9
1.24861e-11,96917.8
1.2888399999999999e-11,95405.70000000001
1.3303799999999998e-11,93917.0
1.37325e-11,92452.5
1.41751e-11,91010.7
1.4631799999999997e-11,89592.2
1.51034e-11,88195.9
1.5590099999999998e-11,86822.09999999999
1.6092599999999998e-11,85469.7
1.66111e-11,84139.3
1.71465e-11,82829.59999999999
1.7699e-11,81541.09999999999
1.8269399999999998e-11,80272.7
1.88581e-11,79024.90000000001
1.94659e-11,77796.59999999999
2.00931e-11,76588.2
2.0740699999999998e-11,75398.7
2.1408999999999998e-11,74228.5
2.2099099999999997e-11,73076.6
2.28111e-11,71943.40000000001
2.3546399999999998e-11,70828.0
2.4305099999999997e-11,69730.6
2.50884e-11,68650.5
2.5896799999999997e-11,67588.0
2.67315e-11,66542.1
2.75928e-11,65513.2
2.8482199999999998e-11,64500.6
2.93999e-11,63504.3
3.0347499999999995e-11,62523.799999999996
3.13253e-11,61559.2
3.2335e-11,60609.9
3.33769e-11,59676.0
3.44526e-11,58756.899999999994
3.55627e-11,57852.7
3.67089e-11,56962.799999999996
3.7891799999999997e-11,56087.5
3.9113e-11,55226.0
4.0373400000000003e-11,54378.6
4.1674599999999996e-11,53544.7
4.3017399999999996e-11,52724.3
4.440389999999999e-11,51917.0
4.58347e-11,51122.899999999994
4.7311899999999994e-11,50341.5
4.883639999999999e-11,49572.799999999996
5.0410399999999995e-11,48816.4
5.20348e-11,48072.4
5.37119e-11,47340.299999999996
5.54426e-11,46620.2
5.7229499999999995e-11,45911.600000000006
5.907359999999999e-11,45214.600000000006
6.09775e-11,44528.9
6.29424e-11,43854.4
6.497099999999999e-11,43190.799999999996
6.70645e-11,42538.0
6.9226e-11,41895.8
7.145659999999999e-11,41264.200000000004
7.37596e-11,40642.8
7.61364e-11,40031.600000000006
7.85902e-11,39430.4
8.11227e-11,38839.0
8.37372e-11,38257.3
8.643549999999999e-11,37685.200000000004
8.922119999999998e-11,37122.4
9.209619999999999e-11,36568.9
9.506439999999999e-11,36024.4
9.81277e-11,35489.0
1.01291e-10,34962.200000000004
1.04554e-10,34444.4
1.07924e-10,33934.799999999996
1.11402e-10,33433.9
1.1499200000000001e-10,32941.1
1.1869700000000001e-10,32456.7
1.22523e-10,31980.1
1.26471e-10,31511.5
1.30547e-10,31050.6
1.34754e-10,30597.500000000004
1.3909700000000002e-10,30151.8
1.43579e-10,29713.699999999997
1.48207e-10,29282.7
1.52982e-10,28859.0
1.57913e-10,28442.3
1.6300100000000001e-10,28032.7
1.68254e-10,27629.800000000003
1.74044e-10,27207.6
1.80033e-10,26792.899999999998
1.86229e-10,26385.6
1.92637e-10,25985.7
1.9926600000000002e-10,25592.899999999998
2.06123e-10,25207.1
2.1321599999999998e-10,24828.3
2.20553e-10,24456.3
2.28142e-10,24091.0
2.35993e-10,23732.3
2.4411299999999997e-10,23380.0
2.52514e-10,23034.1
2.61203e-10,22694.399999999998
2.70191e-10,22360.899999999998
2.7948900000000003e-10,22033.399999999998
2.89106e-10,21711.800000000003
2.99055e-10,21396.0
3.09346e-10,21085.9
3.19991e-10,20781.5
3.31002e-10,20482.6
3.42392e-10,20189.1
3.54174e-10,19900.899999999998
3.6636099999999997e-10,19617.899999999998
3.78968e-10,19340.1
3.92009e-10,19067.3
4.0549900000000004e-10,18799.399999999998
4.19452e-10,18536.399999999998
4.3388600000000006e-10,18278.2
4.4881700000000003e-10,18024.7
4.6426100000000007e-10,17775.7
4.80237e-10,17531.3
4.967620000000001e-10,17291.3
5.13856e-10,17055.6
5.31539e-10,16824.2
5.50992e-10,16583.0
5.7116e-10,16346.300000000001
5.92063e-10,16114.2
6.13735e-10,15886.6
6.36196e-10,15663.3
6.59484e-10,15444.3
6.836190000000001e-10,15229.5
7.086420000000001e-10,15018.800000000001
7.34577e-10,14812.199999999999
7.61465e-10,14609.5
7.89333e-10,14410.6
8.182259999999999e-10,14215.599999999999
8.48171e-10,14024.2
8.792170000000001e-10,13836.5
9.113950000000001e-10,13652.4
9.44755e-10,13471.800000000001
9.79331e-10,13294.6
1.01518e-9,13120.7
1.05233e-9,12950.2
1.0908500000000002e-9,12782.9
1.1331700000000001e-9,12609.2
1.17713e-9,12439.0
1.2228000000000002e-9,12272.099999999999
1.2702400000000002e-9,12108.6
1.31952e-9,11948.4
1.3707100000000001e-9,11791.3
1.42388e-9,11637.4
1.4791200000000002e-9,11486.5
1.5365100000000001e-9,11338.699999999999
1.59611e-9,11193.699999999999
1.65804e-9,11051.7
1.72236e-9,10912.4
1.78918e-9,10775.9
1.85859e-9,10642.1
1.9347700000000003e-9,10503.800000000001
2.01409e-9,10368.3
2.09665e-9,10235.7
2.18261e-9,10105.800000000001
2.27208e-9,9978.56
2.36522e-9,9854.0
2.4621800000000003e-9,9732.03
2.56312e-9,9612.58
2.66818e-9,9495.62
2.77757e-9,9381.06
2.8914300000000002e-9,9268.88
3.0099600000000002e-9,9159.02
3.1399900000000004e-9,9045.820000000002
3.27563e-9,8935.08
3.41713e-9,8826.75
3.5647400000000002e-9,8720.76
3.71872e-9,8617.07
3.87936e-9,8515.62
4.0469400000000005e-9,8416.37
4.22176e-9,8319.26
4.404130000000001e-9,8224.259999999998
4.59438e-9,8131.299999999999
4.8029700000000004e-9,8035.86
5.02107e-9,7942.57
5.24904e-9,7851.4
5.487390000000001e-9,7762.29
5.73653e-9,7675.19
5.9970200000000005e-9,7590.06
6.269300000000001e-9,7506.85
6.5539800000000006e-9,7425.51
6.86607e-9,7342.27
7.19302e-9,7260.99
7.535540000000001e-9,7181.62
7.894370000000002e-9,7104.129999999999
8.27029e-9,7028.46
8.664110000000001e-9,6954.5599999999995
9.07668e-9,6882.41
9.52901e-9,6808.8
1.00039e-8,6736.98
1.05025e-8,6666.95
1.10259e-8,6598.620000000001
1.1575299999999999e-8,6531.98
1.21779e-8,6464.179999999999
1.28119e-8,6398.1
1.34789e-8,6333.719999999999
1.41805e-8,6270.98
1.4918800000000002e-8,6209.83
1.5728700000000002e-8,6147.79
1.65825e-8,6087.4
1.74827e-8,6028.61
1.84317e-8,5971.38
1.94323e-8,5915.67
2.05306e-8,5859.3
2.1690900000000003e-8,5804.48
2.29168e-8,5751.179999999999
2.4212e-8,5699.34
2.52522e-8,5660.64
2.5299999999999998e-8,5658.92
2.6786500000000003e-8,5607.75
2.83603e-8,5558.04
3.00266e-8,5509.74
3.1858e-8,5461.1
3.38012e-8,5413.9
3.58629e-8,5368.1
3.81308e-8,5322.09
4.0542299999999996e-8,5277.5
4.3106099999999994e-8,5234.26
4.59291e-8,5190.92
4.8937099999999996e-8,5148.94
5.2142e-8,5108.28
5.56746e-8,5067.599999999999
5.94462e-8,5028.26
6.36078e-8,4988.98
6.806079999999999e-8,4951.030000000001
7.282549999999999e-8,4914.34
7.808880000000001e-8,4877.81
8.37322e-8,4842.54
8.99737e-8,4807.48
9.668049999999999e-8,4773.64
1.04107e-7,4740.0599999999995
1.12104e-7,4707.71
1.20971e-7,4675.66
1.30816e-7,4643.97
1.41461e-7,4613.5
1.53297e-7,4583.42
1.6612299999999998e-7,4554.54
1.80404e-7,4526.07
1.9632599999999998e-7,4498.05
2.14106e-7,4470.5199999999995
2.3349700000000002e-7,4444.14
2.5518299999999996e-7,4418.2699999999995
2.7947199999999995e-7,4392.92
3.06722e-7,4368.12
3.37342e-7,4343.91
3.71803e-7,4320.280000000001
4.1065199999999994e-7,4297.23
4.5452e-7,4274.79
5.041409999999999e-7,4252.95
5.60362e-7,4231.73
6.254909999999999e-7,4210.71
6.99667e-7,4190.34
7.8596e-7,4170.200000000001
8.847619999999999e-7,4150.67
1.00021e-6,4131.41
1.17428e-6,4107.54
1.52174e-6,4071.6200000000003
2.33293e-6,4017.2100000000005
3.9452299999999995e-6,3952.42
7.67478e-6,3854.39
1.65845e-5,3642.65
2.3376400000000002e-5,3463.39
2.4897000000000002e-5,3441.26
2.5208100000000003e-5,3440.3700000000003
2.6107300000000003e-5,3451.01
2.6661100000000005e-5,3472.02
2.72279e-5,3512.6
2.7612100000000003e-5,3556.2
2.8001600000000003e-5,3619.59
2.8297200000000004e-5,3685.25
2.8595600000000005e-5,3772.2799999999997
2.8898100000000004e-5,3889.0
2.9101300000000002e-5,3988.48
2.9305800000000003e-5,4110.69
2.95118e-5,4261.92
2.9667400000000003e-5,4399.49
2.9823000000000002e-5,4561.860000000001
2.9980800000000003e-5,4757.150000000001
3.0138600000000003e-5,4990.33
3.02438e-5,5172.01
3.0350400000000003e-5,5381.719999999999
3.0457100000000004e-5,5621.38
3.05638e-5,5896.4
3.0670500000000004e-5,6213.45
3.07516e-5,6487.78
3.083270000000001e-5,6795.61
3.09139e-5,7142.22
3.0995000000000004e-5,7533.97
3.1076100000000006e-5,7978.51
3.1158e-5,8490.28
3.12129e-5,8874.2
3.1267700000000006e-5,9295.96
3.1322600000000004e-5,9760.45
3.13774e-5,10273.300000000001
3.14323e-5,10841.0
3.14871e-5,11471.3
3.1542000000000004e-5,12173.099999999999
3.1598000000000005e-5,12975.2
3.1654000000000006e-5,13877.6
3.171e-5,14897.400000000001
3.17474e-5,15652.6
3.17847e-5,16476.2
3.18221e-5,17376.3
3.1867700000000007e-5,18594.8
3.19082e-5,19799.100000000002
3.19486e-5,21137.899999999998
3.19918e-5,22737.3
3.2024200000000004e-5,24070.2
3.2053e-5,25364.100000000002
3.20817e-5,26773.2
3.2117700000000006e-5,28717.899999999998
3.21501e-5,30666.899999999998
3.2177e-5,32455.6
3.2204000000000005e-5,34413.8
3.2231000000000004e-5,36563.5
3.2258e-5,38930.1
3.2285e-5,41543.9
3.23108e-5,44318.5
3.2336200000000004e-5,47323.5
3.23616e-5,50655.299999999996
3.23831e-5,53785.0
3.2404700000000005e-5,57222.799999999996
3.2426300000000005e-5,61011.100000000006
3.2447900000000005e-5,65199.6
3.2469500000000005e-5,69847.59999999999
3.2491100000000005e-5,75026.09999999999
3.25126e-5,80821.1
3.2527e-5,85077.70000000001
3.25414e-5,89690.99999999999
3.2555800000000004e-5,94703.59999999999
3.25702e-5,100165.0
3.25846e-5,106132.0
3.2599000000000004e-5,112674.00000000001
3.26133e-5,119871.0
3.2627700000000006e-5,127818.00000000001
3.2642100000000004e-5,136630.0
3.26565e-5,146449.0
3.2667300000000005e-5,154573.0
3.26781e-5,163443.0
3.269000000000001e-5,174182.0
