E(MeV),xs(mb)
1.0e-11,248351.0
1.03223e-11,244469.0
1.06549e-11,240651.0
1.0998399999999998e-11,236892.0
1.13527e-11,233194.0
1.1718599999999999e-11,229552.99999999997
1.2096199999999998e-11,225971.0
1.24861e-11,222445.0
1.2888399999999999e-11,218976.00000000003
1.3303799999999998e-11,215560.99999999997
1.37325e-11,212201.0
1.41751e-11,208893.0
1.4631799999999997e-11,205640.0
1.51034e-11,202436.00000000003
1.5590099999999998e-11,199285.0
1.6092599999999998e-11,196183.0
1.66111e-11,193131.0
1.71465e-11,190126.0
1.7699e-11,187171.0
1.8269399999999998e-11,184261.0
1.88581e-11,181399.0
1.94659e-11,178582.0
2.00931e-11,175810.0
2.0740699999999998e-11,173081.0
2.1408999999999998e-11,170397.0
2.2099099999999997e-11,167755.0
2.28111e-11,165156.0
2.3546399999999998e-11,162598.0
2.4305099999999997e-11,160081.0
2.50884e-11,157604.0
2.5896799999999997e-11,155168.0
2.67315e-11,152769.0
2.75928e-11,150410.0
2.8482199999999998e-11,148087.0
2.93999e-11,145803.0
3.0347499999999995e-11,143555.0
3.13253e-11,141343.0
3.2335e-11,139166.0
3.33769e-11,137025.0
3.44526e-11,134918.0
3.55627e-11,132845.0
3.67089e-11,130805.0
3.7891799999999997e-11,128797.99999999999
3.9113e-11,126823.0
4.0373400000000003e-11,124881.0
4.1674599999999996e-11,122969.0
4.3017399999999996e-11,121089.0
4.440389999999999e-11,119239.0
4.58347e-11,117419.0
4.7311899999999994e-11,115628.0
4.883639999999999e-11,113867.0
5.0410399999999995e-11,112134.0
5.20348e-11,110429.0
5.37119e-11,108752.0
5.54426e-11,107102.99999999999
5.7229499999999995e-11,105480.0
5.907359999999999e-11,103882.99999999999
6.09775e-11,102313.00000000001
6.29424e-11,100767.99999999999
6.497099999999999e-11,99248.8
6.70645e-11,97754.4
6.9226e-11,96284.2
7.145659999999999e-11,94838.5
7.37596e-11,93416.3
7.61364e-11,92017.7
7.85902e-11,90642.0
8.11227e-11,89289.1
8.37372e-11,87958.4
8.643549999999999e-11,86649.99999999999
8.922119999999998e-11,85363.0
9.209619999999999e-11,84097.6
9.506439999999999e-11,82853.0
9.81277e-11,81629.29999999999
1.01291e-10,80425.7
1.04554e-10,79242.7
1.07924e-10,78078.90000000001
1.11402e-10,76935.2
1.1499200000000001e-10,75810.1
1.1869700000000001e-10,74704.5
1.22523e-10,73617.0
1.26471e-10,72548.2
1.30547e-10,71497.09999999999
1.34754e-10,70464.3
1.3909700000000002e-10,69448.5
1.43579e-10,68450.4
1.48207e-10,67468.9
1.52982e-10,66504.5
1.57913e-10,65556.2
1.63347e-10,64562.799999999996
1.6896800000000002e-10,63587.6
1.74782e-10,62630.299999999996
1.80796e-10,61690.6
1.87018e-10,60768.2
1.9345300000000001e-10,59862.799999999996
2.0011000000000002e-10,58974.200000000004
2.06996e-10,58102.0
2.14119e-10,57246.2
2.21487e-10,56406.200000000004
2.2910900000000002e-10,55582.0
2.36993e-10,54773.2
2.45148e-10,53979.600000000006
2.53584e-10,53201.0
2.6231e-10,52437.1
2.7133600000000003e-10,51687.6
2.80673e-10,50952.4
2.90331e-10,50231.1
3.0032199999999997e-10,49523.700000000004
3.10657e-10,48829.700000000004
3.21347e-10,48149.100000000006
3.3240500000000005e-10,47481.600000000006
3.43843e-10,46826.9
3.55675e-10,46184.9
3.67914e-10,45555.3
3.8057400000000004e-10,44938.0
3.9367000000000005e-10,44332.700000000004
4.07217e-10,43739.2
4.2123e-10,43157.4
4.3572499999999996e-10,42586.899999999994
4.51671e-10,41993.200000000004
4.68204e-10,41411.8
4.85339e-10,40842.7
5.03105e-10,40285.399999999994
5.215169999999999e-10,39740.0
5.40607e-10,39206.1
5.60392e-10,38683.5
5.809040000000001e-10,38171.9
6.02164e-10,37671.299999999996
6.24206e-10,37181.3
6.470500000000001e-10,36701.8
6.707340000000001e-10,36232.5
6.95282e-10,35773.299999999996
7.207320000000001e-10,35323.9
7.47109e-10,34884.200000000004
7.74456e-10,34453.8
8.04501e-10,34008.3
8.35712e-10,33572.9
8.681330000000001e-10,33147.5
9.01812e-10,32731.7
9.367979999999999e-10,32325.499999999996
9.731410000000001e-10,31928.5
1.0108900000000002e-9,31540.499999999996
1.0501100000000002e-9,31161.500000000004
1.0908500000000002e-9,30791.0
1.1331700000000001e-9,30429.1
1.17962e-9,30055.9
1.2279800000000001e-9,29691.800000000003
1.27832e-9,29336.4
1.33072e-9,28989.5
1.3852700000000001e-9,28650.899999999998
1.44206e-9,28320.4
1.5011699999999999e-9,27997.800000000003
1.5627200000000002e-9,27683.0
1.6302200000000002e-9,27359.6
1.70064e-9,27044.3
1.7741100000000002e-9,26737.000000000004
1.85075e-9,26437.2
1.93069e-9,26145.0
2.01409e-9,25859.899999999998
2.1011e-9,25581.999999999996
2.19649e-9,25297.5
2.29623e-9,25020.3
2.4004900000000003e-9,24750.399999999998
2.50949e-9,24487.3
2.62343e-9,24230.999999999996
2.74835e-9,23969.6
2.8792200000000003e-9,23715.1
3.01633e-9,23467.4
3.15996e-9,23226.300000000003
3.3104300000000005e-9,22991.600000000002
3.4754200000000004e-9,22752.8
3.6486100000000003e-9,22520.699999999997
3.8304600000000004e-9,22294.9
4.021340000000001e-9,22075.300000000003
4.22176e-9,21861.7
4.44154e-9,21645.1
4.67276e-9,21434.5
4.916010000000001e-9,21230.000000000004
5.17193e-9,21031.2
5.452680000000001e-9,20830.1
5.74869e-9,20634.800000000003
6.06075e-9,20445.3
6.389770000000001e-9,20261.300000000003
6.7509e-9,20075.5
7.13244e-9,19895.4
7.535540000000001e-9,19720.7
7.97826e-9,19544.8
8.44703e-9,19374.3
8.9433e-9,19209.1
9.4888e-9,19043.2
1.0067600000000001e-8,18882.600000000002
1.0681600000000001e-8,18727.100000000002
1.1357200000000001e-8,18571.3
1.20754e-8,18420.5
1.2839e-8,18274.7
1.36799e-8,18128.899999999998
1.4575800000000002e-8,17988.0
1.55632e-8,17847.4
1.66176e-8,17711.600000000002
1.77809e-8,17576.4
1.90257e-8,17446.0
2.0400700000000002e-8,17316.4
2.18751e-8,17191.5
2.35057e-8,17067.600000000002
2.52522e-8,16948.6
2.5299999999999998e-8,16945.600000000002
2.72435e-8,16827.5
2.93362e-8,16714.0
3.1656499999999996e-8,16601.8
3.42328e-8,16491.100000000002
3.70185e-8,16384.8
4.01158e-8,16280.1
4.3564299999999995e-8,16177.2
4.7309099999999996e-8,16078.5
5.14847e-8,15981.7
5.61475e-8,15886.7
6.136210000000001e-8,15793.699999999999
6.72027e-8,15702.9
7.37553e-8,15614.2
8.11183e-8,15527.9
8.9405e-8,15443.9
9.874660000000001e-8,15362.199999999999
1.09295e-7,15283.0
1.2122699999999998e-7,15206.2
1.34746e-7,15131.9
1.5009e-7,15060.1
1.67889e-7,14989.6
1.8819699999999997e-7,14921.599999999999
2.11855e-7,14855.1
2.3899099999999997e-7,14791.2
2.70747e-7,14729.000000000002
3.0802200000000003e-7,14668.5
3.51914e-7,14609.9
4.03763e-7,14553.1
4.6521699999999995e-7,14498.2
5.39434e-7,14444.6
6.28142e-7,14392.9
7.360909999999999e-7,14342.6
8.68082e-7,14293.499999999998
1.02797e-6,14246.300000000001
1.36993e-6,14172.0
2.41614e-6,14039.5
5.112359999999999e-6,13867.0
1.2444700000000001e-5,13593.599999999999
3.05056e-5,13090.900000000001
5.8110900000000006e-5,12443.699999999999
9.03446e-5,11791.400000000001
0.000125572,11172.3
0.000165016,10569.699999999999
0.000207935,9999.84
0.000254765,9458.349999999999
0.000307814,8923.24
0.000366527,8405.210000000001
0.00043212400000000004,7894.9400000000005
0.000511234,7344.2699999999995
0.000716643,6029.78
0.0007746570000000001,5623.36
0.0008181200000000001,5280.8
0.0008514400000000001,4983.27
0.00087524,4743.610000000001
0.0008990399999999999,4473.55
0.00091808,4229.009999999999
0.0009323600000000001,4024.5800000000004
0.0009466400000000001,3797.98
0.00096092,3544.46
0.00097044,3357.59
0.00097996,3153.96
0.00098948,2931.1
0.00099781,2718.3
0.0010049500000000001,2520.72
0.00101209,2307.83
0.00101923,2078.33
0.00102458,1894.69
0.00102994,1700.9399999999998
0.0010353,1497.26
0.0010415399999999999,1248.39
0.00105448,714.9490000000001
0.0010571600000000001,608.516
0.00105917,531.99
0.00106084,471.30400000000003
0.00106218,425.356
0.00106352,382.211
0.00106441,355.341
0.00106525,331.76
0.00106609,309.90099999999995
0.00106692,289.955
0.00106776,272.161
0.00106832,261.623
0.0010688800000000001,252.23499999999999
0.0010694300000000001,244.082
0.00106999,237.255
0.00107055,231.85600000000002
0.00107102,228.47
0.0010715,226.264
0.00107196,225.31799999999998
0.0010721099999999998,225.28199999999998
0.00107253,225.90499999999997
0.00107304,228.18800000000002
0.00107353,232.072
0.00107395,236.748
0.00107445,244.138
0.00107483,250.934
0.00107518,258.48900000000003
0.00107553,267.166
0.0010759,277.572
0.00107628,289.345
0.00107663,301.85900000000004
0.0010769800000000002,315.72900000000004
0.00107734,331.02299999999997
0.00107769,347.80600000000004
0.00107806,367.163
0.00107843,388.34
0.0010788,411.433
0.0010791800000000001,436.54
0.00107959,467.32399999999996
0.00108001,500.943
0.00108043,537.562
0.0010808500000000002,577.353
0.00108127,620.505
0.00108171,669.381
0.00108215,723.566
0.0010826,782.338
0.00108304,846.0029999999999
0.00108349,914.876
0.00108395,991.241
0.00108443,1078.0400000000002
0.0010849100000000001,1172.22
0.00108539,1274.3
0.0010858699999999998,1384.8899999999999
0.00108635,1504.6
0.0010868400000000002,1637.28
0.0010873299999999999,1781.0600000000002
0.00108782,1936.81
0.00108831,2105.46
0.0010888,2288.02
0.0010893200000000002,2498.13
0.00108986,2733.5
0.00109039,2990.19
0.00109093,3270.23
0.00109146,3575.81
0.001092,3909.4
0.00109253,4273.75
0.00109307,4671.9400000000005
0.0010936,5107.38
0.00109414,5583.929999999999
0.0010946800000000002,6105.91
0.00109521,6678.219999999999
0.00109575,7306.320000000001
0.00109628,7996.47
0.0010968199999999999,8755.689999999999
0.00109735,9591.95
0.0010978300000000002,10407.2
0.0010982799999999999,11239.6
0.0010987199999999999,12144.699999999999
0.00109917,13130.5
0.00109961,14205.6
0.0011000600000000001,15380.3
0.00110051,16665.399999999998
0.00110095,18073.600000000002
0.0011014,19619.100000000002
0.00110185,21318.199999999997
0.00110229,23189.600000000002
0.00110269,25039.2
0.0011031,27064.1
0.0011034999999999999,29284.9
0.0011039,31725.4
0.0011043000000000001,34413.0
0.0011047000000000001,37378.9
0.0011051,40659.799999999996
0.00110537,43042.6
0.00110564,45598.200000000004
0.0011059099999999999,48342.5
0.00110617,51292.9
0.0011064400000000002,54469.200000000004
0.0011068,59134.399999999994
0.00110714,63994.600000000006
0.00110748,69366.1
0.00110782,75318.6
0.00110805,79648.8
0.0011082700000000002,84300.0
0.0011085000000000001,89439.49999999999
0.00110874,95134.1
0.00110898,101302.0
0.0011092200000000002,107992.0
0.0011094599999999998,115263.0
0.00110969,123177.0
0.00110993,131809.0
0.0011101700000000002,141242.0
0.0011104099999999998,151569.0
0.00111065,162900.0
0.00111088,175358.0
0.0011111200000000002,189086.0
0.0011113599999999998,204247.99999999997
0.00111154,216672.99999999997
0.00111172,230098.0
0.0011119,244627.00000000003
