E(MeV),xs(mb)
1.0e-11,136398.0
1.03223e-11,134252.0
1.06549e-11,132142.0
1.0998399999999998e-11,130063.0
1.13527e-11,128019.0
1.1718599999999999e-11,126004.99999999999
1.2096199999999998e-11,124024.0
1.24861e-11,122074.0
1.2888399999999999e-11,120154.99999999999
1.3303799999999998e-11,118265.0
1.37325e-11,116406.00000000001
1.41751e-11,114575.99999999999
1.4631799999999997e-11,112775.0
1.51034e-11,111001.0
1.5590099999999998e-11,109256.0
1.6092599999999998e-11,107539.0
1.66111e-11,105848.00000000001
1.71465e-11,104184.00000000001
1.7699e-11,102547.00000000001
1.8269399999999998e-11,100933.99999999999
1.88581e-11,99348.1
1.94659e-11,97786.3
2.00931e-11,96249.59999999999
2.0740699999999998e-11,94736.6
2.1408999999999998e-11,93247.9
2.2099099999999997e-11,91782.2
2.28111e-11,90340.0
2.3546399999999998e-11,88920.20000000001
2.4305099999999997e-11,87523.0
2.50884e-11,86147.6
2.5896799999999997e-11,84794.09999999999
2.67315e-11,83461.59999999999
2.75928e-11,82150.5
2.8482199999999998e-11,80859.7
2.93999e-11,79589.5
3.0347499999999995e-11,78339.1
3.13253e-11,77108.6
3.2335e-11,75897.3
3.33769e-11,74705.3
3.44526e-11,73531.9
3.55627e-11,72377.2
3.67089e-11,71240.4
3.7891799999999997e-11,70121.8
3.9113e-11,69020.59999999999
4.0373400000000003e-11,67937.0
4.1674599999999996e-11,66870.3
4.3017399999999996e-11,65820.6
4.440389999999999e-11,64787.299999999996
4.58347e-11,63770.4
4.7311899999999994e-11,62769.399999999994
4.883639999999999e-11,61784.4
5.0410399999999995e-11,60814.700000000004
5.20348e-11,59860.5
5.37119e-11,58921.1
5.54426e-11,57996.8
5.7229499999999995e-11,57086.9
5.907359999999999e-11,56191.5
6.09775e-11,55310.1
6.29424e-11,54442.700000000004
6.497099999999999e-11,53588.899999999994
6.70645e-11,52748.7
6.9226e-11,51921.600000000006
7.145659999999999e-11,51107.8
7.37596e-11,50306.6
7.61364e-11,49518.3
7.85902e-11,48742.200000000004
8.11227e-11,47978.6
8.37372e-11,47226.9
8.643549999999999e-11,46487.2
8.922119999999998e-11,45759.0
9.209619999999999e-11,45042.5
9.506439999999999e-11,44337.200000000004
9.81277e-11,43643.200000000004
1.01291e-10,42959.899999999994
1.04554e-10,42287.8
1.07924e-10,41625.9
1.11402e-10,40974.899999999994
1.1499200000000001e-10,40333.8
1.1869700000000001e-10,39703.2
1.22523e-10,39082.3
1.26471e-10,38471.5
1.30547e-10,37870.1
1.34754e-10,37278.5
1.3909700000000002e-10,36696.0
1.43579e-10,36123.0
1.48207e-10,35558.8
1.52982e-10,35003.799999999996
1.57913e-10,34457.4
1.6300100000000001e-10,33919.9
1.68254e-10,33390.7
1.73676e-10,32870.1
1.79274e-10,32357.6
1.8505000000000002e-10,31853.3
1.91014e-10,31357.0
1.97169e-10,30868.600000000002
2.03524e-10,30387.9
2.1008200000000003e-10,29915.0
2.16853e-10,29449.399999999998
2.2384e-10,28991.4
2.31055e-10,28540.600000000002
2.385e-10,28097.0
2.46187e-10,27660.399999999998
2.5412e-10,27230.9
2.6231e-10,26808.100000000002
2.70762e-10,26392.2
2.7948900000000003e-10,25982.8
2.88494e-10,25580.0
2.9779300000000004e-10,25183.6
3.07388e-10,24793.6
3.1729500000000004e-10,24409.7
3.27519e-10,24032.100000000002
3.38075e-10,23660.399999999998
3.4896900000000003e-10,23294.800000000003
3.6021600000000004e-10,22934.899999999998
3.7182300000000004e-10,22580.9
3.83807e-10,22232.4
3.96174e-10,21889.699999999997
4.08943e-10,21552.3
4.2212e-10,21220.500000000004
4.3572499999999996e-10,20893.899999999998
4.4976500000000005e-10,20572.7
4.6426100000000007e-10,20256.6
4.79221e-10,19945.600000000002
4.94666e-10,19639.5
5.10605e-10,19338.5
5.270620000000001e-10,19042.3
5.440450000000001e-10,18750.899999999998
5.6158e-10,18464.2
5.796750000000001e-10,18182.100000000002
5.98358e-10,17904.6
6.176389999999999e-10,17631.600000000002
6.37545e-10,17363.1
6.58089e-10,17098.899999999998
6.79298e-10,16839.0
7.01188e-10,16583.3
7.237860000000001e-10,16331.800000000001
7.47109e-10,16084.400000000001
7.71188e-10,15841.099999999999
7.960380000000001e-10,15601.7
8.21693e-10,15366.2
8.48171e-10,15134.7
8.75507e-10,14906.900000000001
9.037190000000002e-10,14682.800000000001
9.32845e-10,14462.5
9.62904e-10,14245.8
9.93937e-10,14032.6
1.0259700000000001e-9,13823.0
1.05903e-9,13616.8
1.09316e-9,13414.1
1.12839e-9,13214.8
1.16475e-9,13018.7
1.2022900000000002e-9,12825.9
1.2410300000000002e-9,12636.400000000001
1.28103e-9,12450.000000000002
1.3223100000000002e-9,12266.699999999999
1.36492e-9,12086.5
1.4089000000000002e-9,11909.400000000001
1.4543100000000001e-9,11735.199999999999
1.5011699999999999e-9,11564.000000000002
1.5495600000000002e-9,11395.599999999999
1.5994900000000002e-9,11230.199999999999
1.6510400000000001e-9,11067.499999999998
1.7042400000000001e-9,10907.6
1.75917e-9,10750.5
1.81585e-9,10596.000000000002
1.87438e-9,10444.199999999999
1.9347700000000003e-9,10295.0
1.99713e-9,10148.3
2.06148e-9,10004.3
2.1324200000000004e-9,9853.33
2.2058e-9,9705.19
2.28171e-9,9559.810000000001
2.36022e-9,9417.14
2.44144e-9,9277.150000000001
2.5254500000000002e-9,9139.789999999999
2.61236e-9,9005.02
2.70225e-9,8872.8
2.7952400000000004e-9,8743.09
2.8914300000000002e-9,8615.859999999999
2.9909200000000003e-9,8491.07
3.0938500000000004e-9,8368.67
3.20031e-9,8248.64
3.3104300000000005e-9,8130.929999999999
3.42435e-9,8015.52
3.5421900000000006e-9,7902.36
3.66408e-9,7791.43
3.79016e-9,7682.69
3.92059e-9,7576.1
4.0555e-9,7471.63
4.195050000000001e-9,7369.259999999999
4.33941e-9,7268.95
4.4887300000000005e-9,7170.67
4.643200000000001e-9,7074.38
4.8029700000000004e-9,6980.070000000001
4.9682500000000005e-9,6887.6900000000005
5.1392100000000005e-9,6797.23
5.31606e-9,6708.64
5.49899e-9,6621.91
5.688220000000001e-9,6537.0
5.89643e-9,6448.75
6.112230000000001e-9,6362.51
6.335950000000001e-9,6278.23
6.567840000000001e-9,6195.88
6.80824e-9,6115.43
7.057410000000001e-9,6036.86
7.315740000000001e-9,5960.12
7.58348e-9,5885.2
7.861060000000001e-9,5812.0599999999995
8.14876e-9,5740.67
8.44703e-9,5671.01
8.75618e-9,5603.04
9.07668e-9,5536.74
9.40888e-9,5472.08
9.7739e-9,5405.37
1.0153099999999999e-8,5340.429999999999
1.0547e-8,5277.24
1.09561e-8,5215.76
1.13812e-8,5155.96
1.18227e-8,5097.8
1.2281400000000001e-8,5041.2699999999995
1.27578e-8,4986.32
1.32528e-8,4932.92
1.37961e-8,4878.219999999999
1.4361600000000001e-8,4825.179999999999
1.49504e-8,4773.7699999999995
1.55632e-8,4723.96
1.62012e-8,4675.71
1.68654e-8,4628.99
1.75939e-8,4581.419999999999
1.83539e-8,4535.46
1.91468e-8,4491.08
1.99738e-8,4448.24
2.08367e-8,4406.889999999999
2.17828e-8,4365.05
2.27718e-8,4324.77
2.38058e-8,4286.01
2.4939399999999998e-8,4247.0
2.52522e-8,4236.81
2.5299999999999998e-8,4235.280000000001
2.65047e-8,4198.31
2.77669e-8,4162.84
2.91507e-8,4127.33
3.06034e-8,4093.3599999999997
3.21286e-8,4060.8700000000003
3.38012e-8,4028.49
3.55608e-8,3997.62
3.74912e-8,3966.9900000000002
3.95265e-8,3937.86
4.1760400000000006e-8,3909.09
4.4120600000000007e-8,3881.8
4.67127e-8,3854.96
4.94573e-8,3829.5699999999997
5.2474e-8,3804.7
5.57923e-8,3780.42
5.94462e-8,3756.79
6.347360000000001e-8,3733.9
6.777350000000001e-8,3712.44
7.251810000000001e-8,3691.71
7.77593e-8,3671.75
8.37322e-8,3652.04
9.035510000000001e-8,3633.24
9.770830000000001e-8,3615.35
1.0610699999999999e-7,3597.94
1.1547199999999999e-7,3581.52
1.26197e-7,3565.72
1.38501e-7,3550.59
1.5264999999999998e-7,3536.2200000000003
1.68957e-7,3522.64
1.8819699999999997e-7,3509.64
2.10515e-7,3497.54
2.37481e-7,3485.96
2.69605e-7,3475.18
3.08674e-7,3465.09
3.57161e-7,3455.65
4.1765699999999997e-7,3446.94
4.94636e-7,3438.93
5.95798e-7,3431.56
7.31438e-7,3424.87
9.19087e-7,3418.88
1.2161599999999998e-6,3413.17
3.2883399999999998e-6,3402.0299999999997
4.21035e-5,3395.81
0.00399682,3389.42
0.0150122,3354.4700000000003
0.0469937,3290.1099999999997
0.0958589,3224.56
0.201411,3120.81
0.286804,3058.0
0.372768,3020.5
1.02126,2866.6800000000003
1.52116,2722.4300000000003
1.82512,2610.31
2.5,2345.0
3.4,2011.1500000000003
