E(MeV),xs(mb)
1.0e-11,2.67531e8
1.03223e-11,2.63321e8
1.06549e-11,2.59179e8
1.0998399999999998e-11,2.5510000000000003e8
1.13527e-11,2.5108799999999997e8
1.1718599999999999e-11,2.4713599999999997e8
1.2096199999999998e-11,2.43249e8
1.24861e-11,2.3942100000000003e8
1.2888399999999999e-11,2.35654e8
1.3303799999999998e-11,2.31946e8
1.37325e-11,2.2829700000000003e8
1.41751e-11,2.24704e8
1.4631799999999997e-11,2.2117e8
1.51034e-11,2.1768900000000003e8
1.5590099999999998e-11,2.1426500000000003e8
1.6092599999999998e-11,2.10893e8
1.66111e-11,2.0757500000000003e8
1.71465e-11,2.0430899999999997e8
1.7699e-11,2.0109499999999997e8
1.8269399999999998e-11,1.9793e8
1.88581e-11,1.94817e8
1.94659e-11,1.91751e8
2.00931e-11,1.88734e8
2.0740699999999998e-11,1.85765e8
2.1408999999999998e-11,1.82842e8
2.2099099999999997e-11,1.79965e8
2.28111e-11,1.77134e8
2.3546399999999998e-11,1.74346e8
2.4305099999999997e-11,1.71604e8
2.50884e-11,1.68903e8
2.5896799999999997e-11,1.66246e8
2.67315e-11,1.6363e8
2.75928e-11,1.61056e8
2.8482199999999998e-11,1.58522e8
2.93999e-11,1.56028e8
3.0347499999999995e-11,1.53573e8
3.13253e-11,1.51157e8
3.2335e-11,1.48778e8
3.33769e-11,1.46437e8
3.44526e-11,1.44133e8
3.55627e-11,1.41866e8
3.67089e-11,1.39633e8
3.7891799999999997e-11,1.37437e8
3.9113e-11,1.35274e8
4.0373400000000003e-11,1.3314600000000001e8
4.1674599999999996e-11,1.31051e8
4.3017399999999996e-11,1.28989e8
4.440389999999999e-11,1.26959e8
4.58347e-11,1.24962e8
4.7311899999999994e-11,1.22996e8
4.883639999999999e-11,1.21061e8
5.0410399999999995e-11,1.19156e8
5.20348e-11,1.1728099999999999e8
5.37119e-11,1.15436e8
5.54426e-11,1.1362000000000001e8
5.7229499999999995e-11,1.11832e8
5.907359999999999e-11,1.1007199999999999e8
6.09775e-11,1.0833999999999999e8
6.29424e-11,1.06636e8
6.497099999999999e-11,1.04958e8
6.70645e-11,1.03307e8
6.9226e-11,1.01681e8
7.145659999999999e-11,1.00081e8
7.37596e-11,9.850669999999999e7
7.61364e-11,9.695690000000001e7
7.85902e-11,9.54313e7
8.11227e-11,9.39299e7
8.37372e-11,9.245189999999999e7
8.643549999999999e-11,9.09974e7
8.922119999999998e-11,8.95656e7
9.209619999999999e-11,8.81565e7
9.506439999999999e-11,8.67693e7
9.81277e-11,8.540419999999999e7
1.01291e-10,8.40602e7
1.04554e-10,8.27379e7
1.07924e-10,8.14359e7
1.11402e-10,8.01548e7
1.1499200000000001e-10,7.88934e7
1.1869700000000001e-10,7.76524e7
1.22523e-10,7.64304e7
1.26471e-10,7.52281e7
1.30547e-10,7.40442e7
1.34754e-10,7.28795e7
1.3909700000000002e-10,7.17326e7
1.43579e-10,7.06042e7
1.48207e-10,6.94931e7
1.52982e-10,6.83999e7
1.57913e-10,6.73235e7
1.6300100000000001e-10,6.62645e7
1.68254e-10,6.52217e7
1.73676e-10,6.41957e7
1.79274e-10,6.31855e7
1.8505000000000002e-10,6.21915e7
1.91014e-10,6.121279999999999e7
1.97169e-10,6.02499e7
2.03524e-10,5.93018e7
2.1008200000000003e-10,5.83689e7
2.16853e-10,5.74504e7
2.2384e-10,5.65466e7
2.31055e-10,5.565680000000001e7
2.385e-10,5.47812e7
2.46187e-10,5.39192e7
2.5412e-10,5.3071e7
2.6231e-10,5.22358e7
2.70762e-10,5.141409999999999e7
2.7948900000000003e-10,5.06051e7
2.88494e-10,4.980889999999999e7
2.9779300000000004e-10,4.90252e7
3.07388e-10,4.825389999999999e7
3.1729500000000004e-10,4.74946e7
3.27519e-10,4.67474e7
3.38075e-10,4.60118e7
3.4896900000000003e-10,4.528800000000001e7
3.6021600000000004e-10,4.45754e7
3.7182300000000004e-10,4.38741e7
3.83807e-10,4.31837e7
3.96174e-10,4.25044e7
4.08943e-10,4.18355e7
4.2212e-10,4.117740000000001e7
4.3572499999999996e-10,4.052940000000001e7
4.4976500000000005e-10,3.98918e7
4.6426100000000007e-10,3.92641e7
4.79221e-10,3.86464e7
4.94666e-10,3.80383e7
5.10605e-10,3.74399e7
5.270620000000001e-10,3.68508e7
5.440450000000001e-10,3.6271e7
5.6158e-10,3.57003e7
5.796750000000001e-10,3.51386e7
5.98358e-10,3.45857e7
6.176389999999999e-10,3.40416e7
6.37545e-10,3.3506e7
6.58089e-10,3.2978900000000004e7
6.79298e-10,3.24599e7
7.01188e-10,3.19493e7
7.237860000000001e-10,3.14465e7
7.47109e-10,3.09518e7
7.71188e-10,3.04648e7
7.960380000000001e-10,2.99855e7
8.21693e-10,2.95137e7
8.48171e-10,2.90494e7
8.75507e-10,2.85923e7
9.037190000000002e-10,2.81425e7
9.32845e-10,2.7699600000000004e7
9.62904e-10,2.72639e7
9.93937e-10,2.68349e7
1.0259700000000001e-9,2.64127e7
1.05903e-9,2.59971e7
1.09316e-9,2.5588099999999996e7
1.12839e-9,2.51855e7
1.16475e-9,2.47893e7
1.2022900000000002e-9,2.43992e7
1.2410300000000002e-9,2.4015399999999996e7
1.28103e-9,2.36375e7
1.3223100000000002e-9,2.32656e7
1.36492e-9,2.28995e7
1.4089000000000002e-9,2.25393e7
1.4543100000000001e-9,2.21846e7
1.5011699999999999e-9,2.18356e7
1.5495600000000002e-9,2.14921e7
1.5994900000000002e-9,2.11539e7
1.6510400000000001e-9,2.08211e7
1.7042400000000001e-9,2.04935e7
1.75917e-9,2.01711e7
1.81585e-9,1.98537e7
1.87438e-9,1.95414e7
1.9347700000000003e-9,1.92339e7
1.99713e-9,1.89313e7
2.06148e-9,1.86335e7
2.1279200000000002e-9,1.83403e7
2.19649e-9,1.80518e7
2.26728e-9,1.77677e7
2.3403400000000002e-9,1.74882e7
2.4157700000000002e-9,1.7213e7
2.49362e-9,1.69422e7
2.5739800000000002e-9,1.66757e7
2.65692e-9,1.64133e7
2.7425500000000002e-9,1.61551e7
2.8309300000000003e-9,1.59009e7
2.92217e-9,1.56507e7
3.01633e-9,1.5404500000000002e7
3.11354e-9,1.5162199999999998e7
3.21387e-9,1.49236e7
3.3174500000000004e-9,1.46888e7
3.42435e-9,1.44577e7
3.53471e-9,1.42303e7
3.6486100000000003e-9,1.4006400000000002e7
3.7662000000000005e-9,1.3786e7
3.88757e-9,1.35691e7
4.01286e-9,1.33557e7
4.14217e-9,1.31456e7
4.2756600000000005e-9,1.29387e7
4.41344e-9,1.27352e7
4.55568e-9,1.25348e7
4.7024800000000005e-9,1.23376e7
4.85404e-9,1.21435e7
5.01045e-9,1.19525e7
5.17193e-9,1.17644e7
5.338590000000001e-9,1.1579299999999998e7
5.510650000000001e-9,1.13972e7
5.688220000000001e-9,1.12179e7
5.871540000000001e-9,1.1041399999999998e7
6.06075e-9,1.08677e7
6.256080000000001e-9,1.0696699999999998e7
6.4576700000000005e-9,1.05284e7
6.665790000000001e-9,1.03628e7
6.8805900000000005e-9,1.0199800000000002e7
7.1023400000000005e-9,1.00393e7
7.33121e-9,9.88138e6
7.56748e-9,9.72592e6
7.81133e-9,9.57293e6
8.06308e-9,9.42232e6
8.32291e-9,9.2741e6
8.59114e-9,9.12819e6
8.86798e-9,8.9846e6
9.15378e-9,8.84326e6
9.44875e-9,8.70415e6
9.753270000000001e-9,8.56721e6
1.0067600000000001e-8,8.43245e6
1.0392e-8,8.29979e6
1.07269e-8,8.16924e6
1.10726e-8,8.04072e6
1.1429400000000001e-8,7.91424e6
1.17978e-8,7.78973e6
1.21779e-8,7.6672e6
1.25704e-8,7.54659e6
1.29755e-8,7.42788e6
1.33937e-8,7.31103e6
1.3825300000000001e-8,7.19603e6
1.42708e-8,7.08283e6
1.4730700000000002e-8,6.97142e6
1.52054e-8,6.86176e6
1.56954e-8,6.75383e6
1.62012e-8,6.64758e6
1.67233e-8,6.54303e6
1.72623e-8,6.4401e6
1.78185e-8,6.33881e6
1.83928e-8,6.23909e6
1.89855e-8,6.14096e6
1.9597400000000002e-8,6.04436e6
2.02289e-8,5.9493e6
2.0880800000000003e-8,5.85572e6
2.15537e-8,5.76362e6
2.2248299999999998e-8,5.67296e6
2.2965200000000002e-8,5.58373e6
2.37054e-8,5.4959e6
2.4469300000000002e-8,5.40947e6
2.52522e-8,5.32497e6
2.5299999999999998e-8,5.31995e6
2.61154e-8,5.23627e6
2.69569e-8,5.15392e6
2.7825700000000004e-8,5.07285e6
2.8722400000000002e-8,4.99307e6
2.9648e-8,4.91453e6
3.06034e-8,4.83725e6
3.1589700000000004e-8,4.76116e6
3.26077e-8,4.68629e6
3.36586e-8,4.61258e6
3.47432e-8,4.54004e6
3.58629e-8,4.46864e6
3.70185e-8,4.39836e6
3.8211599999999997e-8,4.32919e6
3.94429e-8,4.26111e6
4.07141e-8,4.19409e6
4.20261e-8,4.12814e6
4.33805e-8,4.0632099999999995e6
4.4778399999999994e-8,3.99932e6
4.622150000000001e-8,3.93642e6
4.7710999999999996e-8,3.87452e6
4.92486e-8,3.81359e6
5.0835600000000004e-8,3.75363e6
5.2474e-8,3.6946e6
5.41649e-8,3.6365e6
5.59105e-8,3.57932e6
5.77122e-8,3.52304e6
5.95722e-8,3.46763e6
6.149180000000001e-8,3.41311e6
6.347360000000001e-8,3.35944e6
6.5519e-8,3.30662e6
6.76305e-8,3.25463e6
6.980990000000001e-8,3.20346e6
7.20597e-8,3.15309e6
7.43818e-8,3.10352e6
7.6779e-8,3.05472e6
7.92531e-8,3.0067e6
8.18073e-8,2.95942e6
8.44435e-8,2.9129e6
8.716490000000001e-8,2.86711e6
8.99737e-8,2.82204e6
9.28735e-8,2.77767e6
9.58662e-8,2.73401e6
9.89558e-8,2.69103e6
1.0214499999999999e-7,2.64874e6
1.0543699999999999e-7,2.6071e6
1.0883400000000001e-7,2.56613e6
1.12342e-7,2.52579e6
1.15962e-7,2.4861e6
1.19699e-7,2.44702e6
1.23556e-7,2.40857e6
1.27538e-7,2.37071e6
1.3164800000000002e-7,2.33346e6
1.35891e-7,2.29679e6
1.4027e-7,2.2607e6
1.4479e-7,2.22517e6
1.49456e-7,2.19021e6
1.54273e-7,2.15579e6
1.59244e-7,2.12192e6
1.6437600000000002e-7,2.0885699999999998e6
1.69673e-7,2.0557599999999998e6
1.75142e-7,2.02345e6
1.80785e-7,1.99166e6
1.86612e-7,1.96037e6
1.92625e-7,1.92957e6
1.98833e-7,1.89925e6
2.0524e-7,1.86941e6
2.11855e-7,1.84004e6
2.18682e-7,1.81113e6
2.2572999999999997e-7,1.78267e6
2.3300299999999996e-7,1.75466e6
2.40513e-7,1.72709e6
2.48263e-7,1.69996e6
2.56264e-7,1.67325e6
2.64522e-7,1.64696e6
2.73047e-7,1.62109e6
2.81846e-7,1.59562e6
2.90929e-7,1.57055e6
3.0030399999999996e-7,1.54587e6
3.09982e-7,1.52158e6
3.19971e-7,1.49768e6
3.30284e-7,1.47415e6
3.4092699999999994e-7,1.45099e6
3.51914e-7,1.42819e6
3.63254e-7,1.40575e6
3.74961e-7,1.38366e6
3.8704399999999996e-7,1.36193e6
3.9951799999999996e-7,1.34053e6
4.12392e-7,1.31947e6
4.2568299999999996e-7,1.29873e6
4.394e-7,1.27833e6
4.5356099999999997e-7,1.25825e6
