E(MeV),xs(mb)
1.0e-11,2.10327e6
1.03223e-11,2.0701900000000002e6
1.06549e-11,2.0376500000000002e6
1.0998399999999998e-11,2.0055999999999998e6
1.13527e-11,1.97408e6
1.1718599999999999e-11,1.94303e6
1.2096199999999998e-11,1.91249e6
1.24861e-11,1.88242e6
1.2888399999999999e-11,1.85283e6
1.3303799999999998e-11,1.8237e6
1.37325e-11,1.79503e6
1.41751e-11,1.76681e6
1.4631799999999997e-11,1.73904e6
1.51034e-11,1.7117e6
1.5590099999999998e-11,1.6848e6
1.6092599999999998e-11,1.65831e6
1.66111e-11,1.63225e6
1.71465e-11,1.6066e6
1.7699e-11,1.58135e6
1.8269399999999998e-11,1.55649e6
1.88581e-11,1.53204e6
1.94659e-11,1.50796e6
2.00931e-11,1.48426e6
2.0740699999999998e-11,1.46094e6
2.1408999999999998e-11,1.43799e6
2.2099099999999997e-11,1.41539e6
2.28111e-11,1.39315e6
2.3546399999999998e-11,1.37126e6
2.4305099999999997e-11,1.34972e6
2.50884e-11,1.32852e6
2.5896799999999997e-11,1.30765e6
2.67315e-11,1.28711e6
2.75928e-11,1.26689e6
2.8482199999999998e-11,1.24699e6
2.93999e-11,1.22741e6
3.0347499999999995e-11,1.20813e6
3.13253e-11,1.18916e6
3.2335e-11,1.17049e6
3.33769e-11,1.15211e6
3.44526e-11,1.13402e6
3.55627e-11,1.11622e6
3.67089e-11,1.09869e6
3.7891799999999997e-11,1.08145e6
3.9113e-11,1.06447e6
4.0373400000000003e-11,1.04776e6
4.1674599999999996e-11,1.03132e6
4.3017399999999996e-11,1.0151300000000001e6
4.440389999999999e-11,999203.0
4.58347e-11,983527.0
4.7311899999999994e-11,968094.0
4.883639999999999e-11,952909.0
5.0410399999999995e-11,937959.0
5.20348e-11,923249.0
5.37119e-11,908766.9999999999
5.54426e-11,894516.9999999999
5.7229499999999995e-11,880489.0
5.907359999999999e-11,866685.0
6.09775e-11,853096.0
6.29424e-11,839724.0
6.497099999999999e-11,826561.0
6.70645e-11,813608.0
6.9226e-11,800858.0
7.145659999999999e-11,788310.0
7.37596e-11,775959.0
7.61364e-11,763805.0
7.85902e-11,751840.0
8.11227e-11,740067.0
8.37372e-11,728477.0
8.643549999999999e-11,717073.0
8.922119999999998e-11,705847.0
9.209619999999999e-11,694800.0
9.506439999999999e-11,683925.0
9.81277e-11,673225.0
1.01291e-10,662690.0
1.04554e-10,652326.0
1.07924e-10,642122.0
1.11402e-10,632083.0
1.1499200000000001e-10,622198.0
1.1869700000000001e-10,612474.0
1.22523e-10,602900.0
1.26471e-10,593481.0
1.30547e-10,584207.0
1.34754e-10,575084.0
1.3909700000000002e-10,566101.0
1.43579e-10,557264.0
1.48207e-10,548563.0
1.52982e-10,540003.0
1.57913e-10,531575.0
1.6300100000000001e-10,523284.00000000006
