E(MeV),xs(mb)
1.0e-11,1.8317e6
1.03223e-11,1.80291e6
1.06549e-11,1.77458e6
1.0998399999999998e-11,1.74669e6
1.13527e-11,1.71925e6
1.1718599999999999e-11,1.69223e6
1.2096199999999998e-11,1.66564e6
1.24861e-11,1.63947e6
1.2888399999999999e-11,1.61372e6
1.3303799999999998e-11,1.58836e6
1.37325e-11,1.56341e6
1.41751e-11,1.53885e6
1.4631799999999997e-11,1.51468e6
1.51034e-11,1.49089e6
1.5590099999999998e-11,1.46747e6
1.6092599999999998e-11,1.44442e6
1.66111e-11,1.42174e6
1.71465e-11,1.39941e6
1.7699e-11,1.37744e6
1.8269399999999998e-11,1.35581e6
1.88581e-11,1.33453e6
1.94659e-11,1.31357e6
2.00931e-11,1.29295e6
2.0740699999999998e-11,1.27265e6
2.1408999999999998e-11,1.25268e6
2.2099099999999997e-11,1.23302e6
2.28111e-11,1.21367e6
2.3546399999999998e-11,1.19462e6
2.4305099999999997e-11,1.17588e6
2.50884e-11,1.15743e6
2.5896799999999997e-11,1.13927e6
2.67315e-11,1.1214e6
2.75928e-11,1.10381e6
2.8482199999999998e-11,1.08649e6
2.93999e-11,1.06946e6
3.0347499999999995e-11,1.05268e6
3.13253e-11,1.0361800000000001e6
3.2335e-11,1.01993e6
3.33769e-11,1.0039499999999999e6
3.44526e-11,988208.0
3.55627e-11,972722.0000000001
3.67089e-11,957476.9999999999
3.7891799999999997e-11,942475.9999999999
3.9113e-11,927708.0
4.0373400000000003e-11,913177.0
4.1674599999999996e-11,898873.0
4.3017399999999996e-11,884797.0
4.440389999999999e-11,870941.0
4.58347e-11,857307.0
4.7311899999999994e-11,843886.0
4.883639999999999e-11,830679.0
5.0410399999999995e-11,817678.0000000001
5.20348e-11,804886.0
5.37119e-11,792293.0
5.54426e-11,779902.0
5.7229499999999995e-11,767704.0
5.907359999999999e-11,755702.0
6.09775e-11,743887.0
6.29424e-11,732261.0
6.497099999999999e-11,720817.0
6.70645e-11,709556.0
6.9226e-11,698472.0
7.145659999999999e-11,687565.0
7.37596e-11,676828.0
7.61364e-11,666264.0
7.85902e-11,655865.0
8.11227e-11,645632.0
8.37372e-11,635560.0
8.643549999999999e-11,625649.0
8.922119999999998e-11,615893.0
9.209619999999999e-11,606294.0
9.506439999999999e-11,596845.0
9.81277e-11,587547.0
1.01291e-10,578394.0
1.04554e-10,569390.0
1.07924e-10,560525.0
1.11402e-10,551805.0
1.1499200000000001e-10,543219.0
1.1869700000000001e-10,534772.0
1.22523e-10,526457.0
1.26471e-10,518276.99999999994
1.30547e-10,510222.99999999994
1.34754e-10,502299.99999999994
1.3909700000000002e-10,494500.0
1.43579e-10,486827.0
1.48207e-10,479272.0
1.52982e-10,471841.00000000006
1.57913e-10,464525.0
1.6300100000000001e-10,457327.0
1.68254e-10,450242.0
1.73676e-10,443271.0
1.79274e-10,436409.0
1.8505000000000002e-10,429657.99999999994
1.91014e-10,423012.00000000006
1.97169e-10,416474.0
2.03524e-10,410038.00000000006
2.1008200000000003e-10,403706.00000000006
2.16853e-10,397473.0
2.2384e-10,391341.0
2.31055e-10,385304.0
2.385e-10,379366.0
2.46187e-10,373520.0
2.5412e-10,367768.0
2.6231e-10,362107.0
2.70762e-10,356537.0
2.7948900000000003e-10,351054.0
2.88494e-10,345660.0
2.9779300000000004e-10,340350.0
3.07388e-10,335126.0
3.1729500000000004e-10,329984.0
3.27519e-10,324925.0
3.38075e-10,319945.0
3.4896900000000003e-10,315046.0
3.6021600000000004e-10,310223.0
3.7182300000000004e-10,305478.0
3.83807e-10,300807.0
3.96174e-10,296212.0
4.08943e-10,291689.0
4.2212e-10,287239.0
4.3572499999999996e-10,282858.0
4.4976500000000005e-10,278548.0
4.6426100000000007e-10,274306.0
4.79221e-10,270132.0
4.94666e-10,266023.0
5.10605e-10,261981.00000000003
5.270620000000001e-10,258002.00000000003
5.440450000000001e-10,254087.0
5.6158e-10,250233.99999999997
5.796750000000001e-10,246442.0
5.98358e-10,242709.99999999997
6.176389999999999e-10,239038.0
6.37545e-10,235422.99999999997
6.58089e-10,231867.0
6.79298e-10,228365.99999999997
7.01188e-10,224922.00000000003
7.237860000000001e-10,221532.00000000003
7.47109e-10,218196.0
7.71188e-10,214912.0
7.960380000000001e-10,211681.0
8.21693e-10,208501.0
8.48171e-10,205372.00000000003
8.75507e-10,202292.0
9.037190000000002e-10,199261.0
9.32845e-10,196278.0
9.62904e-10,193342.0
9.93937e-10,190453.0
1.0259700000000001e-9,187610.0
1.05903e-9,184811.0
1.09316e-9,182058.0
1.12839e-9,179347.0
1.16475e-9,176680.0
1.2022900000000002e-9,174055.0
1.2410300000000002e-9,171472.0
1.28103e-9,168929.0
1.3223100000000002e-9,166427.0
1.36492e-9,163964.0
1.4089000000000002e-9,161540.0
1.4543100000000001e-9,159155.0
1.5011699999999999e-9,156807.0
1.5495600000000002e-9,154497.0
1.5994900000000002e-9,152223.0
1.6510400000000001e-9,149985.0
1.7042400000000001e-9,147782.0
1.75917e-9,145615.0
1.81585e-9,143481.0
1.87834e-9,141243.0
1.9429700000000004e-9,139042.0
2.0098300000000003e-9,136879.0
2.07899e-9,134752.0
2.15054e-9,132661.0
2.2245400000000003e-9,130605.0
2.30109e-9,128583.0
2.38027e-9,126596.0
2.4621800000000003e-9,124642.00000000001
2.5469e-9,122720.99999999999
2.63455e-9,120832.99999999999
2.7252e-9,118976.0
2.81898e-9,117151.0
2.91599e-9,115355.99999999999
3.01633e-9,113592.0
3.12012e-9,111857.0
3.22749e-9,110152.0
3.3385500000000002e-9,108475.00000000001
3.4534400000000004e-9,106826.0
3.57227e-9,105205.0
3.6952000000000002e-9,103612.0
3.822360000000001e-9,102045.00000000001
3.95389e-9,100505.0
4.08995e-9,98990.3
4.23069e-9,97501.4
4.37627e-9,96037.40000000001
4.526860000000001e-9,94598.09999999999
4.682640000000001e-9,93183.1
4.8437700000000005e-9,91791.8
5.01045e-9,90424.0
5.182870000000001e-9,89079.20000000001
5.361220000000001e-9,87757.0
