E(MeV),xs(mb)
1.0e-11,3.29868e6
1.03223e-11,3.24679e6
1.06549e-11,3.19574e6
1.0998399999999998e-11,3.14547e6
1.13527e-11,3.09601e6
1.1718599999999999e-11,3.04731e6
1.2096199999999998e-11,2.99939e6
1.24861e-11,2.95221e6
1.2888399999999999e-11,2.90579e6
1.3303799999999998e-11,2.86009e6
1.37325e-11,2.81512e6
1.41751e-11,2.77084e6
1.4631799999999997e-11,2.72728e6
1.51034e-11,2.68438e6
1.5590099999999998e-11,2.64218e6
1.6092599999999998e-11,2.60062e6
1.66111e-11,2.55974e6
1.71465e-11,2.51948e6
1.7699e-11,2.47987e6
1.8269399999999998e-11,2.44087e6
1.88581e-11,2.4025e6
1.94659e-11,2.36472e6
2.00931e-11,2.32755e6
2.0740699999999998e-11,2.29095e6
2.1408999999999998e-11,2.25494e6
2.2099099999999997e-11,2.21948e6
2.28111e-11,2.18459e6
2.3546399999999998e-11,2.15025e6
2.4305099999999997e-11,2.11645e6
2.50884e-11,2.08318e6
2.5896799999999997e-11,2.05043e6
2.67315e-11,2.0182000000000002e6
2.75928e-11,1.98648e6
2.8482199999999998e-11,1.95525e6
2.93999e-11,1.92453e6
3.0347499999999995e-11,1.89428e6
3.13253e-11,1.86451e6
3.2335e-11,1.8352e6
3.33769e-11,1.80637e6
3.44526e-11,1.77798e6
3.55627e-11,1.75004e6
3.67089e-11,1.72254e6
3.7891799999999997e-11,1.69548e6
3.9113e-11,1.66883e6
4.0373400000000003e-11,1.64262e6
4.1674599999999996e-11,1.61681e6
4.3017399999999996e-11,1.59141e6
4.440389999999999e-11,1.56641e6
4.58347e-11,1.5418e6
4.7311899999999994e-11,1.51758e6
4.883639999999999e-11,1.49375e6
5.0410399999999995e-11,1.47028e6
5.20348e-11,1.4472e6
5.37119e-11,1.42447e6
5.54426e-11,1.4021e6
5.7229499999999995e-11,1.38008e6
5.907359999999999e-11,1.35841e6
6.09775e-11,1.33708e6
6.29424e-11,1.31609e6
6.497099999999999e-11,1.29543e6
6.70645e-11,1.2751e6
6.9226e-11,1.25508e6
7.145659999999999e-11,1.23538e6
7.37596e-11,1.21599e6
7.61364e-11,1.19691e6
7.85902e-11,1.17813e6
8.11227e-11,1.15964e6
8.37372e-11,1.14145e6
8.643549999999999e-11,1.12354e6
8.922119999999998e-11,1.10591e6
9.209619999999999e-11,1.08857e6
9.506439999999999e-11,1.07149e6
9.81277e-11,1.05469e6
1.01291e-10,1.0381499999999999e6
1.04554e-10,1.02187e6
1.07924e-10,1.0058499999999999e6
1.11402e-10,990082.9999999999
