E(MeV),xs(mb)
1.0e-11,1.57749e6
1.03223e-11,1.55269e6
1.06549e-11,1.52829e6
1.0998399999999998e-11,1.50426e6
1.13527e-11,1.48063e6
1.1718599999999999e-11,1.45735e6
1.2096199999999998e-11,1.43445e6
1.24861e-11,1.41191e6
1.2888399999999999e-11,1.38972e6
1.3303799999999998e-11,1.36788e6
1.37325e-11,1.34639e6
1.41751e-11,1.32523e6
1.4631799999999997e-11,1.30442e6
1.51034e-11,1.28392e6
1.5590099999999998e-11,1.26375e6
1.6092599999999998e-11,1.24389e6
1.66111e-11,1.22436e6
1.71465e-11,1.20512e6
1.7699e-11,1.1862e6
1.8269399999999998e-11,1.16756e6
1.88581e-11,1.14923e6
1.94659e-11,1.13118e6
2.00931e-11,1.11342e6
2.0740699999999998e-11,1.09593e6
2.1408999999999998e-11,1.07872e6
2.2099099999999997e-11,1.06179e6
2.28111e-11,1.04512e6
2.3546399999999998e-11,1.02871e6
2.4305099999999997e-11,1.0125599999999999e6
2.50884e-11,996667.0000000001
2.5896799999999997e-11,981026.0
2.67315e-11,965628.0000000001
2.75928e-11,950475.9999999999
2.8482199999999998e-11,935560.0000000001
2.93999e-11,920883.0000000001
3.0347499999999995e-11,906434.0
3.13253e-11,892216.0
3.2335e-11,878219.0
3.33769e-11,864446.0
3.44526e-11,850888.0
3.55627e-11,837546.0
3.67089e-11,824412.0
3.7891799999999997e-11,811488.0
3.9113e-11,798766.0
4.0373400000000003e-11,786247.0
4.1674599999999996e-11,773923.0
4.3017399999999996e-11,761797.0
4.440389999999999e-11,749859.0
4.58347e-11,738112.0
4.7311899999999994e-11,726549.0
4.883639999999999e-11,715170.0
5.0410399999999995e-11,703969.0
5.20348e-11,692947.0
5.37119e-11,682097.0
5.54426e-11,671421.0
5.7229499999999995e-11,660912.0
5.907359999999999e-11,650570.0
6.09775e-11,640391.0
6.29424e-11,630374.0
6.497099999999999e-11,620513.0
6.70645e-11,610811.0
6.9226e-11,601260.0
7.145659999999999e-11,591862.0
7.37596e-11,582611.0
7.61364e-11,573508.0
7.85902e-11,564547.0
8.11227e-11,555730.0
8.37372e-11,547051.0
8.643549999999999e-11,538511.0
8.922119999999998e-11,530105.0
9.209619999999999e-11,521834.00000000006
9.506439999999999e-11,513692.0
9.81277e-11,505680.0
1.01291e-10,497793.0
1.04554e-10,490034.0
1.07924e-10,482395.0
1.11402e-10,474881.0
1.1499200000000001e-10,467482.00000000006
1.1869700000000001e-10,460203.99999999994
1.22523e-10,453038.99999999994
1.26471e-10,445990.0
1.30547e-10,439050.00000000006
1.34754e-10,432223.0
1.3909700000000002e-10,425501.00000000006
1.43579e-10,418889.0
1.48207e-10,412380.0
1.52982e-10,405976.0
1.57913e-10,399672.0
1.6300100000000001e-10,393470.0
1.68254e-10,387364.0
1.73676e-10,381358.0
1.79274e-10,375445.0
1.8505000000000002e-10,369628.0
1.91014e-10,363902.0
1.97169e-10,358269.0
2.03524e-10,352723.0
2.1008200000000003e-10,347268.0
2.16853e-10,341897.0
2.2384e-10,336614.0
2.31055e-10,331413.0
2.385e-10,326297.0
2.46187e-10,321261.0
2.5412e-10,316306.0
2.6231e-10,311429.0
2.70762e-10,306630.0
2.7948900000000003e-10,301907.0
2.88494e-10,297261.0
2.9779300000000004e-10,292687.0
3.07388e-10,288188.0
3.1729500000000004e-10,283759.0
3.27519e-10,279401.0
3.38075e-10,275112.0
3.4896900000000003e-10,270893.0
3.6021600000000004e-10,266740.0
3.7182300000000004e-10,262654.0
3.83807e-10,258632.00000000003
3.96174e-10,254674.99999999997
4.08943e-10,250781.0
4.2212e-10,246949.0
4.3572499999999996e-10,243177.99999999997
4.4976500000000005e-10,239468.0
4.6426100000000007e-10,235815.99999999997
4.79221e-10,232222.99999999997
4.94666e-10,228687.0
