E(MeV),xs(mb)
1.0e-11,9.83835e6
1.03223e-11,9.68353e6
1.06549e-11,9.53122e6
1.0998399999999998e-11,9.38123e6
1.13527e-11,9.23367e6
1.1718599999999999e-11,9.08837e6
1.2096199999999998e-11,8.94542e6
1.24861e-11,8.80466e6
1.2888399999999999e-11,8.66616e6
1.3303799999999998e-11,8.5298e6
1.37325e-11,8.39563e6
1.41751e-11,8.26352e6
1.4631799999999997e-11,8.13354e6
1.51034e-11,8.005559999999999e6
1.5590099999999998e-11,7.87964e6
1.6092599999999998e-11,7.75565e6
1.66111e-11,7.63366e6
1.71465e-11,7.51355e6
1.7699e-11,7.39536e6
1.8269399999999998e-11,7.279e6
1.88581e-11,7.16451e6
1.94659e-11,7.05178e6
2.00931e-11,6.94086e6
2.0740699999999998e-11,6.83165e6
2.1408999999999998e-11,6.7242e6
2.2099099999999997e-11,6.6184e6
2.28111e-11,6.5143e6
2.3546399999999998e-11,6.4118e6
2.4305099999999997e-11,6.31095e6
2.50884e-11,6.21166e6
2.5896799999999997e-11,6.11396e6
2.67315e-11,6.01776e6
2.75928e-11,5.92311e6
2.8482199999999998e-11,5.82992e6
2.93999e-11,5.73823e6
3.0347499999999995e-11,5.64795e6
3.13253e-11,5.55911e6
3.2335e-11,5.47166e6
3.33769e-11,5.38559e6
3.44526e-11,5.30087e6
3.55627e-11,5.21749e6
3.67089e-11,5.13541e6
3.7891799999999997e-11,5.05464e6
3.9113e-11,4.97513e6
4.0373400000000003e-11,4.89688e6
4.1674599999999996e-11,4.81984e6
4.3017399999999996e-11,4.74404e6
4.440389999999999e-11,4.66941e6
4.58347e-11,4.59597e6
4.7311899999999994e-11,4.52367e6
4.883639999999999e-11,4.45253e6
5.0410399999999995e-11,4.38249e6
5.20348e-11,4.31357e6
5.37119e-11,4.24572e6
5.54426e-11,4.17894e6
5.7229499999999995e-11,4.1132099999999995e6
5.907359999999999e-11,4.0485300000000005e6
6.09775e-11,3.98485e6
6.29424e-11,3.92218e6
