E(MeV),xs(mb)
1.0e-11,4.91035e7
1.03223e-11,4.83307e7
1.06549e-11,4.757049999999999e7
1.0998399999999998e-11,4.68219e7
1.13527e-11,4.60854e7
1.1718599999999999e-11,4.53602e7
1.2096199999999998e-11,4.46466e7
1.24861e-11,4.39441e7
1.2888399999999999e-11,4.32528e7
1.3303799999999998e-11,4.25722e7
1.37325e-11,4.19025e7
1.41751e-11,4.12431e7
1.4631799999999997e-11,4.059440000000001e7
1.51034e-11,3.99556e7
1.5590099999999998e-11,3.93271e7
1.6092599999999998e-11,3.87082e7
1.66111e-11,3.80993e7
1.71465e-11,3.74998e7
1.7699e-11,3.69099e7
1.8269399999999998e-11,3.63291e7
1.88581e-11,3.57577e7
1.94659e-11,3.5195e7
2.00931e-11,3.46414e7
2.0740699999999998e-11,3.40963e7
2.1408999999999998e-11,3.35599e7
2.2099099999999997e-11,3.30319e7
2.28111e-11,3.25122e7
2.3546399999999998e-11,3.2000700000000004e7
2.4305099999999997e-11,3.14973e7
2.50884e-11,3.10017e7
2.5896799999999997e-11,3.0514e7
2.67315e-11,3.00339e7
2.75928e-11,2.95614e7
2.8482199999999998e-11,2.90963e7
2.93999e-11,2.86386e7
3.0347499999999995e-11,2.8188e7
3.13253e-11,2.77446e7
3.2335e-11,2.7308e7
3.33769e-11,2.68785e7
3.44526e-11,2.64555e7
3.55627e-11,2.60394e7
3.67089e-11,2.56297e7
3.7891799999999997e-11,2.52265e7
3.9113e-11,2.48296e7
4.0373400000000003e-11,2.4439e7
4.1674599999999996e-11,2.40545e7
4.3017399999999996e-11,2.36761e7
4.440389999999999e-11,2.3303600000000004e7
4.58347e-11,2.2937e7
4.7311899999999994e-11,2.25762e7
4.883639999999999e-11,2.2221e7
5.0410399999999995e-11,2.18714e7
5.20348e-11,2.15274e7
5.37119e-11,2.1188699999999996e7
5.54426e-11,2.08554e7
5.7229499999999995e-11,2.05273e7
5.907359999999999e-11,2.0204399999999996e7
6.09775e-11,1.98865e7
6.29424e-11,1.95737e7
6.497099999999999e-11,1.92658e7
6.70645e-11,1.89627e7
6.9226e-11,1.86644e7
7.145659999999999e-11,1.83708e7
7.37596e-11,1.80818e7
7.61364e-11,1.77974e7
7.85902e-11,1.75174e7
8.11227e-11,1.72419e7
8.37372e-11,1.69706e7
8.643549999999999e-11,1.67037e7
8.922119999999998e-11,1.64409e7
9.209619999999999e-11,1.61823e7
9.506439999999999e-11,1.59277e7
9.81277e-11,1.56772e7
1.01291e-10,1.54305e7
1.04554e-10,1.51879e7
1.07924e-10,1.49489e7
1.11402e-10,1.47138e7
1.1499200000000001e-10,1.4482299999999998e7
1.1869700000000001e-10,1.42546e7
1.22523e-10,1.40303e7
1.26471e-10,1.38097e7
1.30547e-10,1.35924e7
1.34754e-10,1.3378699999999998e7
1.3909700000000002e-10,1.3168200000000002e7
1.43579e-10,1.2961100000000002e7
1.48207e-10,1.27572e7
1.52982e-10,1.25566e7
1.57913e-10,1.23591e7
1.6300100000000001e-10,1.21647e7
1.68254e-10,1.19734e7
1.73676e-10,1.17851e7
1.79274e-10,1.15997e7
1.8505000000000002e-10,1.14173e7
1.91014e-10,1.12377e7
1.97169e-10,1.1061e7
2.03524e-10,1.0887e7
2.1008200000000003e-10,1.07158e7
2.16853e-10,1.0547200000000002e7
2.2384e-10,1.03814e7
2.31055e-10,1.0218100000000002e7
2.385e-10,1.00574e7
2.46187e-10,9.89919e6
2.5412e-10,9.74353e6
2.6231e-10,9.59028e6
2.70762e-10,9.43947e6
2.7948900000000003e-10,9.291e6
2.88494e-10,9.14491e6
2.9779300000000004e-10,9.00107e6
3.07388e-10,8.85954e6
3.1729500000000004e-10,8.7202e6
3.27519e-10,8.58308e6
3.38075e-10,8.44808e6
3.4896900000000003e-10,8.315250000000001e6
3.6021600000000004e-10,8.184469999999999e6
3.7182300000000004e-10,8.05578e6
3.83807e-10,7.92908e6
3.96174e-10,7.8044e6
4.08943e-10,7.68166e6
4.2212e-10,7.56088e6
4.3572499999999996e-10,7.44196e6
