E(MeV),xs(mb)
1.0e-11,122536.0
1.03223e-11,120610.0
1.06549e-11,118716.0
1.0998399999999998e-11,116850.00000000001
1.13527e-11,115015.0
1.1718599999999999e-11,113208.0
1.2096199999999998e-11,111430.0
1.24861e-11,109679.0
1.2888399999999999e-11,107956.99999999999
1.3303799999999998e-11,106261.0
1.37325e-11,104593.0
1.41751e-11,102950.00000000001
1.4631799999999997e-11,101333.99999999999
1.51034e-11,99742.3
1.5590099999999998e-11,98176.5
1.6092599999999998e-11,96635.00000000001
1.66111e-11,95118.2
1.71465e-11,93624.9
1.7699e-11,92155.5
1.8269399999999998e-11,90708.90000000001
1.88581e-11,89285.59999999999
1.94659e-11,87884.3
2.00931e-11,86505.50000000001
2.0740699999999998e-11,85148.1
2.1408999999999998e-11,83812.4
2.2099099999999997e-11,82497.5
2.28111e-11,81203.7
2.3546399999999998e-11,79929.9
2.4305099999999997e-11,78676.6
2.50884e-11,77442.8
2.5896799999999997e-11,76228.7
2.67315e-11,75033.5
2.75928e-11,73857.5
2.8482199999999998e-11,72699.8
2.93999e-11,71560.6
3.0347499999999995e-11,70439.1
3.13253e-11,69335.7
3.2335e-11,68249.4
3.33769e-11,67180.5
3.44526e-11,66128.3
3.55627e-11,65092.9
3.67089e-11,64073.700000000004
3.7891799999999997e-11,63070.8
3.9113e-11,62083.6
4.0373400000000003e-11,61112.200000000004
4.1674599999999996e-11,60155.9
4.3017399999999996e-11,59215.0
4.440389999999999e-11,58288.799999999996
4.58347e-11,57377.399999999994
4.7311899999999994e-11,56480.3
4.883639999999999e-11,55597.5
5.0410399999999995e-11,54728.6
5.20348e-11,53873.5
5.37119e-11,53031.9
5.54426e-11,52203.799999999996
5.7229499999999995e-11,51388.6
5.907359999999999e-11,50586.5
6.09775e-11,49797.0
6.29424e-11,49020.1
6.497099999999999e-11,48255.5
6.70645e-11,47503.1
6.9226e-11,46762.49999999999
7.145659999999999e-11,46033.799999999996
7.37596e-11,45316.5
7.61364e-11,44610.700000000004
7.85902e-11,43916.1
8.11227e-11,43232.600000000006
8.37372e-11,42559.899999999994
8.643549999999999e-11,41897.9
8.922119999999998e-11,41246.4
9.209619999999999e-11,40605.399999999994
9.506439999999999e-11,39974.4
9.81277e-11,39353.7
1.01291e-10,38742.6
1.04554e-10,38141.5
1.07924e-10,37549.8
1.11402e-10,36967.7
1.1499200000000001e-10,36394.700000000004
1.1869700000000001e-10,35831.1
1.22523e-10,35276.200000000004
1.26471e-10,34730.4
1.30547e-10,34193.1
1.34754e-10,33664.700000000004
1.3909700000000002e-10,33144.4
1.43579e-10,32632.7
1.48207e-10,32129.0
1.52982e-10,31633.6
1.57913e-10,31145.9
1.6300100000000001e-10,30666.2
1.68254e-10,30194.100000000002
1.73676e-10,29729.600000000002
1.79274e-10,29272.5
1.8505000000000002e-10,28822.899999999998
1.91014e-10,28380.399999999998
1.97169e-10,27945.1
2.03524e-10,27516.699999999997
2.1008200000000003e-10,27095.3
2.16853e-10,26680.600000000002
2.2384e-10,26272.7
2.31055e-10,25871.300000000003
2.385e-10,25476.399999999998
2.46187e-10,25087.899999999998
2.5412e-10,24705.7
2.6231e-10,24329.6
2.70762e-10,23959.7
2.7948900000000003e-10,23595.7
2.88494e-10,23237.7
2.9779300000000004e-10,22885.399999999998
3.07388e-10,22538.9
3.1729500000000004e-10,22197.9
3.27519e-10,21862.6
3.38075e-10,21532.7
3.4896900000000003e-10,21208.2
3.6021600000000004e-10,20888.9
3.7182300000000004e-10,20575.0
3.83807e-10,20266.0
3.96174e-10,19962.2
4.08943e-10,19663.3
4.2212e-10,19369.4
4.3572499999999996e-10,19080.2
4.4976500000000005e-10,18795.8
4.6426100000000007e-10,18516.0
4.79221e-10,18240.9
4.94666e-10,17970.2
5.10605e-10,17704.0
5.270620000000001e-10,17442.2
5.440450000000001e-10,17184.7
5.6158e-10,16931.5
5.796750000000001e-10,16682.399999999998
5.98358e-10,16437.5
6.176389999999999e-10,16196.6
6.37545e-10,15959.7
6.58089e-10,15726.7
6.79298e-10,15497.5
7.01188e-10,15272.2
7.237860000000001e-10,15050.6
7.47109e-10,14832.8
7.71188e-10,14618.500000000002
7.960380000000001e-10,14407.8
8.234299999999999e-10,14186.9
8.51766e-10,13969.9
8.810760000000001e-10,13756.8
9.113950000000001e-10,13547.499999999998
9.42757e-10,13341.9
9.75198e-10,13139.9
1.0087600000000001e-9,12941.6
1.04347e-9,12746.800000000001
1.07938e-9,12555.5
1.11652e-9,12367.5
1.1549400000000001e-9,12183.0
1.19468e-9,12001.699999999999
1.23579e-9,11823.699999999999
1.27832e-9,11648.9
1.3223100000000002e-9,11477.2
1.36781e-9,11308.5
1.41488e-9,11142.9
1.46356e-9,10980.300000000001
1.5139300000000002e-9,10820.5
1.5660200000000001e-9,10663.7
1.61991e-9,10509.599999999999
1.67565e-9,10358.300000000001
1.73331e-9,10209.699999999999
1.7929600000000002e-9,10063.7
1.85466e-9,9920.38
1.91848e-9,9779.6
1.9845e-9,9641.349999999999
2.05278e-9,9505.57
2.12342e-9,9372.220000000001
2.19649e-9,9241.25
2.27208e-9,9112.61
2.35026e-9,8986.28
2.4311400000000004e-9,8862.199999999999
2.5148000000000005e-9,8740.33
2.60133e-9,8620.64
2.6908500000000005e-9,8503.08
2.7893400000000002e-9,8380.449999999999
2.8914300000000002e-9,8260.160000000002
2.99726e-9,8142.12
3.10696e-9,8026.33
3.2206800000000005e-9,7912.71
3.3385500000000002e-9,7801.24
3.4607600000000004e-9,7691.860000000001
3.5874100000000005e-9,7584.54
3.71872e-9,7479.24
3.85482e-9,7375.92
3.99592e-9,7274.530000000001
4.14217e-9,7175.049999999999
4.2937800000000004e-9,7077.429999999999
4.45093e-9,6981.650000000001
4.61385e-9,6887.64
4.78271e-9,6795.410000000001
4.95777e-9,6704.889999999999
5.1392100000000005e-9,6616.07
5.3273300000000005e-9,6528.889999999999
5.522300000000001e-9,6443.349999999999
5.72443e-9,6359.4
5.94651e-9,6272.21
6.1772100000000004e-9,6186.740000000001
6.416850000000001e-9,6102.95
6.665790000000001e-9,6020.8
6.92439e-9,5940.2699999999995
7.19302e-9,5861.32
7.47208e-9,5783.92
7.76196e-9,5708.03
8.06308e-9,5633.639999999999
8.375890000000001e-9,5560.6900000000005
8.70083e-9,5489.18
9.03838e-9,5419.06
9.38902e-9,5350.31
9.753270000000001e-9,5282.9
1.0131600000000001e-8,5216.8099999999995
1.05247e-8,5152.0
1.09561e-8,5084.97
1.14053e-8,5019.3099999999995
1.1872799999999999e-8,4955.0
1.23596e-8,4892.0
1.2866200000000002e-8,4830.3099999999995
1.33937e-8,4769.87
1.39427e-8,4710.67
1.45143e-8,4652.68
1.51092e-8,4595.88
1.5728700000000002e-8,4540.24
1.63734e-8,4485.74
1.70447e-8,4432.349999999999
1.77809e-8,4377.33
1.8549e-8,4323.49
1.93503e-8,4270.8
2.01862e-8,4219.25
2.10582e-8,4168.8
2.19678e-8,4119.43
2.29168e-8,4071.1199999999994
2.39067e-8,4023.8399999999997
2.4939399999999998e-8,3977.57
2.52522e-8,3964.13
2.5299999999999998e-8,3962.0899999999997
2.6392899999999998e-8,3917.15
2.75913e-8,3870.98
2.88441e-8,3825.86
3.01538e-8,3781.7400000000002
3.15229e-8,3738.61
3.29543e-8,3696.44
3.44505e-8,3655.22
3.60149e-8,3614.92
3.76501e-8,3575.53
3.94429e-8,3535.2000000000003
4.13211e-8,3495.81
4.32888e-8,3457.35
4.53501e-8,3419.79
4.7509600000000005e-8,3383.1000000000004
4.9771900000000005e-8,3347.27
5.2142e-8,3312.2799999999997
5.4740700000000004e-8,3276.57
5.74686e-8,3241.73
6.03328e-8,3207.73
6.33394e-8,3174.57
6.649610000000001e-8,3142.21
6.980990000000001e-8,3110.63
7.3444e-8,3078.51
7.726740000000001e-8,3047.2000000000003
8.128980000000001e-8,3016.68
8.552160000000001e-8,2986.94
8.99737e-8,2957.95
9.48582e-8,2928.54
1.00007e-7,2899.9100000000003
1.0543699999999999e-7,2872.03
1.1115999999999998e-7,2844.8799999999997
1.17195e-7,2818.44
1.23818e-7,2791.69
1.30816e-7,2765.66
1.38209e-7,2740.35
1.4601999999999998e-7,2715.73
1.54599e-7,2690.87
1.63683e-7,2666.7200000000003
1.73299e-7,2643.26
1.8348199999999997e-7,2620.46
1.9467299999999999e-7,2597.5
2.0654699999999998e-7,2575.22
2.19145e-7,2553.5899999999997
2.3300299999999996e-7,2531.85
2.47739e-7,2510.77
2.63406e-7,2490.33
2.80656e-7,2469.84
2.99037e-7,2449.9900000000002
3.18621e-7,2430.7599999999998
3.40207e-7,2411.52
3.63254e-7,2392.9
3.8868399999999996e-7,2374.32
4.15895e-7,2356.37
4.4595299999999997e-7,2338.4700000000003
4.78182e-7,2321.18
5.12742e-7,2304.48
5.50962e-7,2287.88
5.920309999999999e-7,2271.86
6.37507e-7,2255.96
6.87931e-7,2240.2000000000003
7.42343e-7,2225.0299999999997
8.027559999999999e-7,2210.03
8.68082e-7,2195.6000000000004
9.40713e-7,2181.35
1.0207699999999998e-6,2167.42
1.13389e-6,2150.34
1.31355e-6,2127.84
1.5981799999999999e-6,2100.28
2.0855800000000003e-6,2066.77
2.8784999999999996e-6,2031.5400000000002
4.0573399999999995e-6,1999.32
5.881179999999999e-6,1969.5800000000002
8.76754e-6,1942.21
1.3630800000000002e-5,1915.74
2.24143e-5,1888.75
3.89802e-5,1858.86
7.170040000000001e-5,1820.83
0.00013281000000000002,1769.25
0.00022775400000000002,1706.15
0.000349178,1640.46
0.000492155,1576.9599999999998
0.0006566440000000001,1516.87
0.0008441599999999999,1460.6699999999998
0.00105971,1407.87
0.0010945899999999999,1401.6100000000001
0.0011012900000000002,1405.0800000000002
0.0011029899999999999,1411.21
0.0011039300000000001,1421.71
0.0011044700000000002,1435.49
0.0011049100000000002,1456.25
0.00110523,1478.99
0.00110552,1506.6
0.0011057999999999999,1541.97
0.00110605,1579.7
0.00110648,1654.81
0.0011071100000000001,1771.13
0.0011073699999999999,1811.8600000000001
0.00110764,1840.77
0.00110788,1853.93
0.001108,1855.47
0.0011081700000000001,1851.98
0.00110837,1839.3
0.00110866,1806.44
0.00110893,1764.3
0.00110977,1607.68
0.00111016,1546.49
0.00111046,1508.55
0.00111075,1479.09
0.0011110599999999999,1456.41
0.0011114,1439.27
0.00111185,1424.85
0.0011125199999999999,1413.54
0.0011140000000000002,1404.26
0.00111694,1398.82
0.0011401900000000001,1390.79
0.00139428,1343.14
0.0017012000000000002,1296.76
0.00206434,1252.8
0.00249087,1211.7
0.003,1172.77
0.0032540800000000003,1157.14
0.00326776,1159.09
0.00327203,1164.18
0.00327363,1171.43
0.00327457,1182.43
0.0032751800000000004,1196.15
0.0032755899999999997,1210.0900000000001
0.0032760600000000003,1232.95
0.00327647,1259.66
0.0032768700000000003,1294.36
0.0032772100000000005,1330.02
0.00327755,1372.01
0.00327799,1437.3
0.0032784399999999997,1511.08
0.00327942,1678.8400000000001
0.0032797800000000004,1732.48
0.00328014,1776.12
0.00328041,1800.3400000000001
0.00328068,1816.08
0.003281,1822.8200000000002
0.00328129,1817.19
0.0032815599999999998,1802.7
0.00328183,1779.46
0.00328218,1736.89
0.00328254,1684.02
0.00328334,1547.78
0.00328392,1450.92
0.00328436,1383.73
0.0032847,1340.09
0.00328504,1302.76
0.00328537,1271.6499999999999
0.00328582,1239.12
0.00328633,1212.8799999999999
0.00328683,1195.12
0.0032875100000000004,1180.51
0.0032881800000000004,1172.25
0.00328975,1163.77
0.00329356,1157.97
0.0033079200000000002,1153.87
0.0038750399999999997,1121.71
0.0043025599999999995,1097.85
0.00439374,1088.41
0.00442964,1080.8999999999999
0.0044542900000000005,1070.6599999999999
0.00446551,1062.1000000000001
0.00447346,1052.43
0.00447941,1041.3300000000002
0.00448398,1028.6299999999999
0.00448799,1012.61
0.00449085,1000.27
0.00449113,1000.0100000000001
0.0044916999999999995,1001.73
0.00449228,1008.9999999999999
0.0044927000000000005,1021.1600000000001
0.00449299,1034.32
0.0044932800000000005,1053.16
0.00449349,1072.1000000000001
0.004493710000000001,1096.17
0.00449392,1126.45
0.004494130000000001,1164.16
0.00449434,1208.96
0.00449454,1259.27
0.00449473,1319.11
0.0044949199999999995,1389.78
0.0044950500000000004,1443.56
0.0044951800000000005,1503.18
0.00449531,1569.04
0.004495440000000001,1646.32
0.004495580000000001,1731.62
0.004495720000000001,1825.44
0.00449585,1928.24
0.00449599,2040.47
0.00449613,2162.5299999999997
0.00449626,2294.7999999999997
0.0044964,2437.56
0.004496590000000001,2655.95
0.004496780000000001,2895.8599999999997
0.00449698,3157.36
0.00449717,3440.09
0.00449736,3743.29
0.0044975300000000005,4025.27
0.00449774,4393.82
0.00449805,4979.26
0.00449853,5930.83
