E(MeV),xs(mb)
1.0e-11,42064.1
1.03223e-11,41416.8
1.06549e-11,40780.200000000004
1.0998399999999998e-11,40153.600000000006
1.13527e-11,39537.3
1.1718599999999999e-11,38930.7
1.2096199999999998e-11,38334.2
1.24861e-11,37747.0
1.2888399999999999e-11,37169.6
1.3303799999999998e-11,36601.3
1.37325e-11,36042.4
1.41751e-11,35492.3
1.4631799999999997e-11,34951.4
1.51034e-11,34419.1
1.5590099999999998e-11,33895.6
1.6092599999999998e-11,33380.4
1.66111e-11,32873.8
1.71465e-11,32375.3
1.7699e-11,31885.1
1.8269399999999998e-11,31402.800000000003
1.88581e-11,30928.5
1.94659e-11,30461.800000000003
2.00931e-11,30002.9
2.0740699999999998e-11,29551.4
2.1408999999999998e-11,29107.5
2.2099099999999997e-11,28670.8
2.28111e-11,28241.3
2.3546399999999998e-11,27818.9
2.4305099999999997e-11,27403.6
2.50884e-11,26995.0
2.5896799999999997e-11,26593.300000000003
2.67315e-11,26198.199999999997
2.75928e-11,25809.7
2.8482199999999998e-11,25427.7
2.93999e-11,25052.1
3.0347499999999995e-11,24682.7
3.13253e-11,24319.600000000002
3.2335e-11,23962.500000000004
3.33769e-11,23611.5
3.44526e-11,23266.300000000003
3.55627e-11,22927.0
3.67089e-11,22593.5
3.7891799999999997e-11,22265.600000000002
3.9113e-11,21943.3
4.0373400000000003e-11,21626.500000000004
4.1674599999999996e-11,21315.1
4.3017399999999996e-11,21009.000000000004
4.440389999999999e-11,20708.199999999997
4.58347e-11,20412.6
4.7311899999999994e-11,20122.100000000002
4.883639999999999e-11,19836.6
5.0517e-11,19537.5
5.22553e-11,19244.0
5.40535e-11,18956.0
5.59135e-11,18673.3
5.7837599999999995e-11,18396.0
5.98278e-11,18123.8
6.18866e-11,17856.8
6.401619999999999e-11,17594.9
6.621909999999999e-11,17337.899999999998
6.84977e-11,17085.9
7.085479999999999e-11,16838.7
7.3293e-11,16596.2
7.581509999999999e-11,16358.4
7.8424e-11,16125.300000000001
8.11227e-11,15896.6
8.391419999999999e-11,15672.5
8.680179999999999e-11,15452.8
8.978870000000001e-11,15237.400000000001
9.287850000000001e-11,15026.2
9.60745e-11,14819.3
9.93806e-11,14616.6
1.0280000000000001e-10,14417.9
1.06338e-10,14223.2
1.09997e-10,14032.6
1.1378200000000001e-10,13845.8
1.17698e-10,13662.8
1.21748e-10,13483.7
1.25937e-10,13308.199999999999
1.3027100000000001e-10,13136.5
1.34754e-10,12968.4
1.39686e-10,12793.6
