E(MeV),xs(mb)
1.0e-11,511106.0
1.03223e-11,503089.00000000006
1.06549e-11,495202.0
1.0998399999999998e-11,487436.0
1.13527e-11,479796.0
1.1718599999999999e-11,472274.0
1.2096199999999998e-11,464872.99999999994
1.24861e-11,457587.0
1.2888399999999999e-11,450418.0
1.3303799999999998e-11,443360.0
1.37325e-11,436415.00000000006
1.41751e-11,429579.0
1.4631799999999997e-11,422851.99999999994
1.51034e-11,416230.0
1.5590099999999998e-11,409713.99999999994
1.6092599999999998e-11,403300.00000000006
1.66111e-11,396989.0
1.71465e-11,390775.0
1.7699e-11,384662.0
1.8269399999999998e-11,378644.0
1.88581e-11,372723.0
1.94659e-11,366893.0
2.00931e-11,361158.0
2.0740699999999998e-11,355512.0
2.1408999999999998e-11,349957.0
2.2099099999999997e-11,344488.0
2.28111e-11,339107.0
2.3546399999999998e-11,333810.0
2.4305099999999997e-11,328599.0
2.50884e-11,323469.0
2.5896799999999997e-11,318421.0
2.67315e-11,313452.0
2.75928e-11,308564.0
2.8482199999999998e-11,303751.0
2.93999e-11,299016.0
3.0347499999999995e-11,294355.0
3.13253e-11,289770.0
3.2335e-11,285256.0
3.33769e-11,280814.0
3.44526e-11,276443.0
3.55627e-11,272141.0
3.67089e-11,267908.0
3.7891799999999997e-11,263742.0
3.9113e-11,259642.00000000003
4.0373400000000003e-11,255608.0
4.1674599999999996e-11,251637.00000000003
4.3017399999999996e-11,247730.0
4.440389999999999e-11,243885.0
4.58347e-11,240102.0
4.7311899999999994e-11,236378.00000000003
4.883639999999999e-11,232715.0
5.0410399999999995e-11,229109.0
5.20348e-11,225561.0
5.37119e-11,222070.0
5.54426e-11,218634.0
5.7229499999999995e-11,215253.0
5.907359999999999e-11,211927.00000000003
6.09775e-11,208653.00000000003
6.29424e-11,205433.00000000003
6.497099999999999e-11,202263.0
6.70645e-11,199144.0
6.9226e-11,196075.0
7.145659999999999e-11,193056.0
7.37596e-11,190084.0
7.61364e-11,187161.0
7.85902e-11,184284.0
8.11227e-11,181453.0
8.37372e-11,178668.0
8.643549999999999e-11,175928.0
8.922119999999998e-11,173231.0
9.209619999999999e-11,170579.0
9.506439999999999e-11,167968.0
9.81277e-11,165400.0
1.01291e-10,162873.0
1.04554e-10,160387.0
1.07924e-10,157941.0
1.11402e-10,155535.0
1.1499200000000001e-10,153167.0
1.1869700000000001e-10,150838.0
1.22523e-10,148546.0
1.26471e-10,146291.0
1.30547e-10,144073.0
1.34754e-10,141891.0
1.3909700000000002e-10,139743.0
1.43579e-10,137632.0
1.48207e-10,135553.0
1.52982e-10,133509.0
