E(MeV),xs(mb)
1.0e-11,23162.899999999998
1.03223e-11,22799.0
1.06549e-11,22440.899999999998
1.0998399999999998e-11,22088.399999999998
1.13527e-11,21741.600000000002
1.1718599999999999e-11,21400.100000000002
1.2096199999999998e-11,21064.1
1.24861e-11,20733.3
1.2888399999999999e-11,20407.8
1.3303799999999998e-11,20087.3
1.37325e-11,19772.1
1.41751e-11,19461.6
1.4631799999999997e-11,19156.2
1.51034e-11,18855.5
1.5590099999999998e-11,18559.600000000002
1.6092599999999998e-11,18268.3
1.66111e-11,17981.7
1.71465e-11,17699.5
1.7699e-11,17421.899999999998
1.8269399999999998e-11,17148.5
1.88581e-11,16879.6
1.94659e-11,16614.8
2.00931e-11,16354.2
2.0740699999999998e-11,16097.8
2.1408999999999998e-11,15845.400000000001
2.2099099999999997e-11,15596.9
2.28111e-11,15352.5
2.3546399999999998e-11,15111.8
2.4305099999999997e-11,14875.0
2.50884e-11,14641.900000000001
2.5896799999999997e-11,14412.5
2.67315e-11,14186.7
2.75928e-11,13964.5
2.8482199999999998e-11,13745.7
2.93999e-11,13530.5
3.0347499999999995e-11,13318.6
3.13253e-11,13110.2
3.2335e-11,12904.9
3.33769e-11,12703.0
3.44526e-11,12504.2
3.55627e-11,12308.6
3.67089e-11,12116.1
3.7891799999999997e-11,11926.699999999999
3.9113e-11,11740.2
4.0373400000000003e-11,11556.699999999999
4.1674599999999996e-11,11376.0
4.3017399999999996e-11,11198.300000000001
4.440389999999999e-11,11023.300000000001
4.58347e-11,10851.2
4.7311899999999994e-11,10681.7
4.883639999999999e-11,10515.000000000002
5.0410399999999995e-11,10350.900000000001
5.20348e-11,10189.4
5.37119e-11,10030.5
5.54426e-11,9874.06
5.7229499999999995e-11,9720.11
5.907359999999999e-11,9568.64
6.09775e-11,9419.55
6.29424e-11,9272.85
6.497099999999999e-11,9128.460000000001
6.70645e-11,8986.39
6.9226e-11,8846.550000000001
7.145659999999999e-11,8708.96
7.37596e-11,8573.539999999999
7.61364e-11,8440.300000000001
7.85902e-11,8309.16
8.11227e-11,8180.13
8.37372e-11,8053.140000000001
8.643549999999999e-11,7928.19
8.922119999999998e-11,7805.22
9.209619999999999e-11,7684.2300000000005
9.506439999999999e-11,7565.15
9.81277e-11,7447.99
1.01291e-10,7332.67
1.04554e-10,7219.25
1.07924e-10,7107.59
1.11402e-10,6997.77
1.1499200000000001e-10,6889.66
1.1869700000000001e-10,6783.32
1.22523e-10,6678.650000000001
1.26471e-10,6575.700000000001
1.30547e-10,6474.370000000001
1.34754e-10,6374.7
1.3909700000000002e-10,6276.589999999999
1.43579e-10,6180.1
1.48207e-10,6085.13
1.52982e-10,5991.73
1.57913e-10,5899.79
1.6300100000000001e-10,5809.370000000001
1.68254e-10,5720.379999999999
1.73676e-10,5632.86
1.79274e-10,5546.7300000000005
1.8505000000000002e-10,5462.0199999999995
1.91014e-10,5378.650000000001
1.97169e-10,5296.66
2.03524e-10,5215.9800000000005
2.1008200000000003e-10,5136.63
2.16853e-10,5058.5599999999995
2.2384e-10,4981.77
2.31055e-10,4906.21
2.385e-10,4831.91
2.46187e-10,4758.8
2.5412e-10,4686.91
2.6231e-10,4616.18
2.70762e-10,4546.62
2.7948900000000003e-10,4478.19
2.88494e-10,4410.9
2.9779300000000004e-10,4344.7
3.07388e-10,4279.61
3.1729500000000004e-10,4215.58
3.27519e-10,4152.62
3.38075e-10,4090.6900000000005
3.4896900000000003e-10,4029.7999999999997
3.6021600000000004e-10,3969.91
3.7182300000000004e-10,3911.02
3.83807e-10,3853.11
3.96174e-10,3796.17
4.08943e-10,3740.18
4.2212e-10,3685.13
4.3572499999999996e-10,3631.0
4.4976500000000005e-10,3577.79
4.6426100000000007e-10,3525.47
4.79221e-10,3474.0299999999997
4.94666e-10,3423.46
5.10605e-10,3373.7599999999998
5.270620000000001e-10,3324.89
5.440450000000001e-10,3276.8700000000003
5.6158e-10,3229.65
5.796750000000001e-10,3183.25
5.98358e-10,3137.6400000000003
6.176389999999999e-10,3092.82
6.37545e-10,3048.77
6.58089e-10,3005.49
6.80734e-10,2960.14
7.041590000000001e-10,2915.64
7.2839e-10,2871.96
7.534550000000001e-10,2829.1
7.793820000000001e-10,2787.04
8.062010000000001e-10,2745.77
8.339440000000001e-10,2705.28
8.62641e-10,2665.55
8.92325e-10,2626.58
9.23031e-10,2588.3500000000004
9.54794e-10,2550.85
9.8765e-10,2514.0699999999997
1.0216400000000002e-9,2478.0
1.05679e-9,2442.6299999999997
1.09316e-9,2407.95
1.1307700000000002e-9,2373.94
1.16969e-9,2340.6
1.20994e-9,2307.9100000000003
1.25157e-9,2275.88
1.2946400000000002e-9,2244.48
1.3391900000000002e-9,2213.7
1.3852700000000001e-9,2183.54
1.4329400000000002e-9,2154.0
1.4822500000000001e-9,2125.0499999999997
1.5332600000000001e-9,2096.6800000000003
1.58602e-9,2068.91
1.64059e-9,2041.7
1.69705e-9,2015.05
1.75545e-9,1988.96
1.81585e-9,1963.4199999999998
1.88232e-9,1936.8700000000001
1.9512100000000003e-9,1910.9199999999998
2.02263e-9,1885.55
2.09665e-9,1860.76
2.1734e-9,1836.54
2.2529400000000003e-9,1812.88
2.3354100000000003e-9,1789.77
2.42088e-9,1767.21
2.50949e-9,1745.17
2.60133e-9,1723.6499999999999
2.6965499999999998e-9,1702.65
2.7952400000000004e-9,1682.16
2.89755e-9,1662.16
3.0036000000000003e-9,1642.6499999999999
3.12012e-9,1622.52
3.24117e-9,1602.91
3.36691e-9,1583.8300000000002
3.49753e-9,1565.25
3.6332200000000004e-9,1547.1699999999998
3.77417e-9,1529.58
3.92059e-9,1512.47
4.07269e-9,1495.83
4.23069e-9,1479.6499999999999
4.404130000000001e-9,1463.0700000000002
4.584660000000001e-9,1446.97
4.7726100000000005e-9,1431.36
4.9682500000000005e-9,1416.23
5.17193e-9,1401.5500000000002
5.38394e-9,1387.3200000000002
5.61651e-9,1372.83
5.859130000000001e-9,1358.8
6.112230000000001e-9,1345.24
6.3762600000000005e-9,1332.14
6.6517e-9,1319.47
6.9537400000000004e-9,1306.6299999999999
7.26946e-9,1294.26
7.59955e-9,1282.32
7.944600000000001e-9,1270.83
8.32291e-9,1259.23
8.71923e-9,1248.0800000000002
9.13443e-9,1237.3700000000001
9.589670000000001e-9,1226.61
1.0067600000000001e-8,1216.2900000000002
1.05693e-8,1206.3999999999999
1.11195e-8,1196.51
1.16984e-8,1187.05
1.2333400000000002e-8,1177.6299999999999
1.3003e-8,1168.6399999999999
1.3737900000000002e-8,1159.73
1.45143e-8,1151.23
1.5367e-8,1142.8400000000001
1.62699e-8,1134.86
1.72623e-8,1127.0
1.83539e-8,1119.28
1.95147e-8,1111.9699999999998
2.0792700000000003e-8,1104.8100000000002
2.22013e-8,1097.82
2.37555e-8,1091.0200000000002
2.52522e-8,1085.22
2.5299999999999998e-8,1085.04
2.71285e-8,1078.79
2.91507e-8,1072.74
3.14564e-8,1066.73
3.40162e-8,1060.9599999999998
3.68623e-8,1055.42
4.00312e-8,1050.1100000000001
4.36565e-8,1044.9299999999998
4.7710999999999996e-8,1040.0
5.2363000000000004e-8,1035.22
5.7590399999999997e-8,1030.7
6.36078e-8,1026.36
7.055200000000001e-8,1022.2
7.85856e-8,1018.2500000000001
8.80912e-8,1014.44
9.916510000000001e-8,1010.88
1.12342e-7,1007.52
1.28079e-7,1004.38
1.4726099999999998e-7,1001.4300000000001
1.70753e-7,998.6980000000001
2.0009800000000002e-7,996.1790000000001
2.36978e-7,993.91
2.8363999999999996e-7,991.9309999999999
3.4382199999999997e-7,990.269
4.2388599999999996e-7,988.9670000000001
5.319569999999999e-7,988.134
6.48932e-7,987.9
8.560539999999999e-7,988.3699999999999
1.02559e-6,988.7710000000001
1.71431e-6,988.1650000000001
7.05672e-6,996.4549999999999
1.0743100000000002e-5,1002.6200000000001
0.00010321800000000001,1030.84
0.00100705,1060.2
0.0117302,1058.7
0.052146200000000004,1027.42
0.0746754,1003.3199999999999
0.0952533,986.586
0.10212600000000001,982.7389999999999
0.12,980.255
0.140988,986.984
0.15000000000000002,997.3409999999999
0.161129,1027.11
0.18000000000000002,1089.3200000000002
0.2,1391.8999999999999
0.21000000000000002,1682.97
0.22000000000000003,2031.1599999999999
0.22999999999999998,3178.71
0.239978,5056.24
0.24071900000000002,5338.04
0.25,8943.74
0.26,11769.0
0.27,9355.82
0.27999999999999997,6223.93
0.29,4438.85
0.30000000000000004,3206.46
0.31000000000000005,2643.5
0.319761,2193.36
0.325669,1994.22
0.33,1850.82
0.34,1676.29
0.36000000000000004,1497.05
0.380301,1334.73
0.4,1240.51
0.45,1111.8
0.5,1034.3
0.55,1020.9299999999998
0.6000000000000001,1026.1499999999999
0.654585,1047.98
0.7000000000000001,1072.8899999999999
0.75,1124.73
0.8061349999999999,1209.6499999999999
0.874153,1323.81
0.9063490000000001,1380.47
0.9769950000000001,1512.6
1.0,1554.51
1.05,1620.99
1.1,1665.2800000000002
1.15,1691.52
1.21693,1705.83
1.31834,1713.4
1.4,1713.6299999999999
1.52116,1696.1399999999999
1.63402,1674.89
1.7,1665.24
1.8,1670.1299999999999
1.92681,1702.48
2.07134,1751.05
2.3,1838.05
2.51764,1926.35
2.61834,1958.51
2.75741,1990.09
3.1,2044.68
3.37016,2078.17
3.47229,2100.15
3.54938,2124.0899999999997
3.65079,2163.17
3.8,2229.93
3.9,2287.2200000000003
4.1,2424.4900000000002
4.2,2477.56
4.3,2509.32
4.43104,2532.85
4.53174,2541.9900000000002
4.6,2542.73
4.7,2527.18
4.8305,2484.6
5.0,2409.9300000000003
5.1,2346.05
5.3,2183.79
5.35,2151.84
5.41645,2123.85
5.475,2113.09
5.5,2110.63
5.575,2115.71
5.6,2119.11
5.8,2175.0600000000004
5.9,2180.5
6.0048,2169.57
6.5767,2039.0199999999998
7.30114,1900.29
7.5,1867.71
7.80467,1846.6
8.0,1837.01
8.5,1789.69
9.0,1759.47
10.0612,1675.71
10.115,1671.54
10.1623,1667.87
10.204,1664.6499999999999
10.240499999999999,1661.83
10.3048,1656.8700000000001
10.353200000000001,1653.14
10.3897,1650.34
10.444700000000001,1646.1200000000001
10.5,1641.89
10.5612,1637.24
10.58,1635.8200000000002
10.6693,1629.6999999999998
10.751,1624.11
10.8127,1619.89
10.906,1613.53
11.0,1607.1299999999999
11.152,1598.68
11.2472,1594.4799999999998
11.405899999999999,1587.5
11.4123,1587.22
11.5,1583.9399999999998
11.623000000000001,1579.3
11.7161,1575.8000000000002
11.724,1575.51
11.8572,1570.09
12.0,1564.32
12.1231,1558.36
12.216199999999999,1553.8600000000001
12.295,1550.08
12.3377,1547.8799999999999
12.3573,1546.87
12.5,1539.58
12.522599999999999,1538.4199999999998
12.699300000000001,1529.22
12.7475,1526.7
12.866999999999999,1520.5
13.0,1512.56
13.1834,1499.32
13.247599999999998,1494.68
13.4345,1481.2
13.439,1480.8799999999999
13.5,1476.48
13.6905,1463.2099999999998
13.883600000000001,1449.76
14.0,1441.6599999999999
14.011,1440.99
14.2087,1430.98
14.409099999999999,1420.8400000000001
14.5,1416.23
14.582999999999998,1412.23
14.788699999999999,1402.34
14.9974,1392.32
15.0,1392.19
15.155000000000001,1384.85
15.3688,1374.79
15.5,1368.6100000000001
15.718700000000002,1358.43
15.727,1358.04
15.948899999999998,1348.04
16.0,1345.73
16.2257,1335.93
16.299,1332.75
16.5,1324.08
16.7328,1314.12
16.871000000000002,1308.2
17.0,1302.62
17.239800000000002,1291.9099999999999
17.442,1282.88
17.5,1280.28
17.7469,1269.43
17.9973,1258.4299999999998
18.0,1258.31
18.014,1257.73
18.2681,1249.8
18.5,1242.5600000000002
18.586,1240.1599999999999
18.8482,1232.98
19.0,1228.82
19.158,1223.6499999999999
19.4283,1214.17
19.5,1211.6499999999999
19.73,1203.32
20.0,1193.29
