E(MeV),xs(mb)
1.0e-11,7.14802e7
1.03223e-11,7.03556e7
1.06549e-11,6.92492e7
1.0998399999999998e-11,6.81597e7
1.13527e-11,6.708789999999999e7
1.1718599999999999e-11,6.603240000000001e7
1.2096199999999998e-11,6.49941e7
1.24861e-11,6.397160000000001e7
1.2888399999999999e-11,6.296560000000001e7
1.3303799999999998e-11,6.19751e7
1.37325e-11,6.100050000000001e7
1.41751e-11,6.0041e7
1.4631799999999997e-11,5.90968e7
1.51034e-11,5.81672e7
1.5590099999999998e-11,5.725259999999999e7
1.6092599999999998e-11,5.6352e7
1.66111e-11,5.54659e7
1.71465e-11,5.45935e7
1.7699e-11,5.373509999999999e7
1.8269399999999998e-11,5.28899e7
1.88581e-11,5.20583e7
1.94659e-11,5.12395e7
2.00931e-11,5.043389999999999e7
2.0740699999999998e-11,4.964070000000001e7
2.1408999999999998e-11,4.88602e7
2.2099099999999997e-11,4.809179999999999e7
2.28111e-11,4.73357e7
2.3546399999999998e-11,4.65913e7
2.4305099999999997e-11,4.58589e7
2.50884e-11,4.51377e7
2.5896799999999997e-11,4.44281e7
2.67315e-11,4.37295e7
2.75928e-11,4.30421e7
2.8482199999999998e-11,4.23653e7
2.93999e-11,4.16993e7
3.0347499999999995e-11,4.10437e7
3.13253e-11,4.03986e7
3.2335e-11,3.97634e7
3.33769e-11,3.91384e7
3.44526e-11,3.85231e7
3.55627e-11,3.79177e7
3.67089e-11,3.73216e7
3.7891799999999997e-11,3.67351e7
3.9113e-11,3.61576e7
4.0373400000000003e-11,3.55894e7
4.1674599999999996e-11,3.503e7
4.3017399999999996e-11,3.44796e7
4.440389999999999e-11,3.39377e7
4.58347e-11,3.34044e7
4.7311899999999994e-11,3.28794e7
4.883639999999999e-11,3.23629e7
5.0410399999999995e-11,3.1854300000000004e7
5.20348e-11,3.13539e7
5.37119e-11,3.0861200000000004e7
5.54426e-11,3.03764e7
5.7229499999999995e-11,2.98992e7
5.907359999999999e-11,2.9429599999999996e7
6.09775e-11,2.89672e7
6.29424e-11,2.85123e7
6.497099999999999e-11,2.80644e7
6.70645e-11,2.7623700000000004e7
6.9226e-11,2.71898e7
7.145659999999999e-11,2.67629e7
7.37596e-11,2.63426e7
7.61364e-11,2.5929000000000004e7
7.85902e-11,2.55219e7
8.11227e-11,2.51213e7
8.37372e-11,2.47269e7
8.643549999999999e-11,2.43388e7
8.922119999999998e-11,2.39567e7
9.209619999999999e-11,2.35808e7
9.506439999999999e-11,2.3210700000000004e7
9.81277e-11,2.28465e7
1.01291e-10,2.24879e7
1.04554e-10,2.21352e7
1.07924e-10,2.17878e7
1.11402e-10,2.14461e7
1.1499200000000001e-10,2.11097e7
1.1869700000000001e-10,2.07787e7
1.22523e-10,2.04528e7
1.26471e-10,2.01321e7
1.30547e-10,1.98164e7
1.34754e-10,1.95058e7
1.3909700000000002e-10,1.92e7
1.43579e-10,1.88991e7
1.48207e-10,1.86029e7
1.52982e-10,1.83115e7
1.57913e-10,1.80246e7
1.6300100000000001e-10,1.77423e7
1.68254e-10,1.74643e7
1.73676e-10,1.71909e7
1.79274e-10,1.69217e7
1.8505000000000002e-10,1.66568e7
1.91014e-10,1.6396e7
1.97169e-10,1.61395e7
2.03524e-10,1.58869e7
2.1008200000000003e-10,1.5638399999999998e7
2.16853e-10,1.5393699999999998e7
2.2384e-10,1.5153e7
2.31055e-10,1.4916e7
2.385e-10,1.4682900000000002e7
2.46187e-10,1.44534e7
2.5412e-10,1.42276e7
2.6231e-10,1.40053e7
2.70762e-10,1.37865e7
2.7948900000000003e-10,1.3571200000000002e7
2.88494e-10,1.3359399999999998e7
2.9779300000000004e-10,1.31508e7
3.07388e-10,1.29457e7
3.1729500000000004e-10,1.27437e7
3.27519e-10,1.2545e7
3.38075e-10,1.23494e7
3.4896900000000003e-10,1.21569e7
3.6021600000000004e-10,1.19675e7
3.7182300000000004e-10,1.17811e7
3.83807e-10,1.1597599999999998e7
3.96174e-10,1.14171e7
4.08943e-10,1.12394e7
4.2212e-10,1.10646e7
4.3572499999999996e-10,1.0892599999999998e7
4.4976500000000005e-10,1.07233e7
4.6426100000000007e-10,1.05566e7
4.79221e-10,1.03927e7
4.94666e-10,1.0231300000000002e7
5.10605e-10,1.00726e7
5.270620000000001e-10,9.91634e6
5.440450000000001e-10,9.76261e6
5.6158e-10,9.61131e6
5.796750000000001e-10,9.46246e6
5.98358e-10,9.31596e6
6.176389999999999e-10,9.17183e6
6.37545e-10,9.02999e6
6.58089e-10,8.89044e6
6.79298e-10,8.7531e6
7.01188e-10,8.61799e6
7.237860000000001e-10,8.48502e6
7.47109e-10,8.35421e6
7.71188e-10,8.225479999999999e6
7.960380000000001e-10,8.098839999999999e6
8.21693e-10,7.97422e6
8.48171e-10,7.85163e6
8.75507e-10,7.73099e6
9.037190000000002e-10,7.61232e6
9.32845e-10,7.49554e6
9.62904e-10,7.38067e6
9.93937e-10,7.26764e6
1.0259700000000001e-9,7.15646e6
1.05903e-9,7.04706e6
1.09316e-9,6.93945e6
1.12839e-9,6.83357e6
1.16475e-9,6.72943e6
1.2022900000000002e-9,6.62697e6
1.2410300000000002e-9,6.52619e6
1.28103e-9,6.42704e6
1.3223100000000002e-9,6.32953e6
1.36492e-9,6.23359e6
1.4089000000000002e-9,6.13924e6
1.4543100000000001e-9,6.04642e6
1.5011699999999999e-9,5.95514e6
1.5495600000000002e-9,5.86535e6
1.5994900000000002e-9,5.77705e6
1.6510400000000001e-9,5.69019e6
1.7042400000000001e-9,5.60479e6
1.75917e-9,5.52078e6
1.81585e-9,5.43818e6
1.87438e-9,5.35693e6
1.9347700000000003e-9,5.27706e6
1.99713e-9,5.1985e6
2.06148e-9,5.12127e6
2.1279200000000002e-9,5.04532e6
2.19649e-9,4.97065e6
2.26728e-9,4.89723e6
2.3403400000000002e-9,4.82506e6
2.4157700000000002e-9,4.7541e6
2.49362e-9,4.68436e6
2.5739800000000002e-9,4.61579e6
2.65692e-9,4.5484e6
2.7425500000000002e-9,4.48215e6
2.8309300000000003e-9,4.41705e6
2.92217e-9,4.35306e6
3.01633e-9,4.29018e6
3.11354e-9,4.22838e6
3.21387e-9,4.16767e6
3.3174500000000004e-9,4.10801e6
3.42435e-9,4.0494000000000005e6
3.53471e-9,3.99182e6
3.6486100000000003e-9,3.93526e6
3.7662000000000005e-9,3.8797e6
3.88757e-9,3.82514e6
4.01286e-9,3.77154e6
4.15094e-9,3.71545e6
4.2937800000000004e-9,3.66044e6
4.44154e-9,3.60649e6
4.59438e-9,3.55361e6
4.75247e-9,3.50176e6
4.916010000000001e-9,3.45095e6
5.085180000000001e-9,3.40114e6
5.26016e-9,3.35234e6
5.44117e-9,3.30454e6
5.62841e-9,3.25771e6
5.8220900000000005e-9,3.21184e6
6.022430000000001e-9,3.16693e6
6.22967e-9,3.12297e6
6.444040000000001e-9,3.07994e6
6.665790000000001e-9,3.03783e6
6.89517e-9,2.99664e6
7.13244e-9,2.95635e6
7.3778800000000006e-9,2.91696e6
7.63176e-9,2.87846e6
7.894370000000002e-9,2.84084e6
8.16603e-9,2.80409e6
8.44703e-9,2.76821e6
8.73771e-9,2.7332e6
9.03838e-9,2.69904e6
9.3494e-9,2.66573e6
9.671130000000001e-9,2.63327e6
