E(MeV),xs(mb)
1.0e-11,46524.4
1.03223e-11,45796.6
1.06549e-11,45080.600000000006
1.0998399999999998e-11,44375.7
1.13527e-11,43682.2
1.1718599999999999e-11,42999.4
1.2096199999999998e-11,42327.6
1.24861e-11,41666.299999999996
1.2888399999999999e-11,41015.7
1.3303799999999998e-11,40375.2
1.37325e-11,39745.0
1.41751e-11,39124.7
1.4631799999999997e-11,38514.4
1.51034e-11,37913.5
1.5590099999999998e-11,37322.4
1.6092599999999998e-11,36740.5
1.66111e-11,36168.0
1.71465e-11,35604.5
1.7699e-11,35050.0
1.8269399999999998e-11,34504.2
1.88581e-11,33967.299999999996
1.94659e-11,33438.7
2.00931e-11,32918.7
2.0740699999999998e-11,32406.899999999998
2.1408999999999998e-11,31903.3
2.2099099999999997e-11,31407.600000000002
2.28111e-11,30919.9
2.3546399999999998e-11,30439.9
2.4305099999999997e-11,29967.7
2.50884e-11,29502.899999999998
2.5896799999999997e-11,29045.6
2.67315e-11,28595.5
2.75928e-11,28152.7
2.8482199999999998e-11,27716.9
2.93999e-11,27288.100000000002
3.0347499999999995e-11,26866.1
3.13253e-11,26450.999999999996
3.2335e-11,26042.399999999998
3.33769e-11,25640.5
3.44526e-11,25244.9
3.55627e-11,24855.800000000003
3.67089e-11,24472.800000000003
3.7891799999999997e-11,24096.1
3.9113e-11,23725.3
4.0373400000000003e-11,23360.6
4.1674599999999996e-11,23001.7
4.3017399999999996e-11,22648.600000000002
4.440389999999999e-11,22301.199999999997
4.58347e-11,21959.399999999998
4.7311899999999994e-11,21623.100000000002
4.883639999999999e-11,21292.300000000003
5.0410399999999995e-11,20966.8
5.20348e-11,20646.6
5.37119e-11,20331.5
5.54426e-11,20021.6
5.7229499999999995e-11,19716.7
5.907359999999999e-11,19416.8
6.09775e-11,19121.7
6.29424e-11,18831.5
6.497099999999999e-11,18545.899999999998
6.70645e-11,18265.100000000002
6.9226e-11,17988.8
7.145659999999999e-11,17717.1
7.37596e-11,17449.8
7.61364e-11,17186.9
7.85902e-11,16928.3
8.11227e-11,16674.0
8.37372e-11,16423.8
8.643549999999999e-11,16177.8
8.922119999999998e-11,15935.8
9.209619999999999e-11,15697.9
9.506439999999999e-11,15463.800000000001
9.81277e-11,15233.699999999999
1.01291e-10,15007.3
1.04554e-10,14784.8
1.07924e-10,14565.9
1.11402e-10,14350.8
1.1499200000000001e-10,14139.2
1.1869700000000001e-10,13931.199999999999
1.22523e-10,13726.6
1.26471e-10,13525.5
1.30547e-10,13327.800000000001
1.34754e-10,13133.4
1.3909700000000002e-10,12942.3
1.43579e-10,12754.5
1.48207e-10,12569.8
1.52982e-10,12388.4
1.57913e-10,12209.9
1.6300100000000001e-10,12034.6
1.68254e-10,11862.3
1.73676e-10,11692.9
1.79274e-10,11526.5
1.85443e-10,11352.1
1.91824e-10,11181.000000000002
1.9842500000000002e-10,11013.0
2.0525300000000001e-10,10848.199999999999
2.1231600000000001e-10,10686.4
2.19622e-10,10527.7
2.2717900000000003e-10,10371.999999999998
2.34997e-10,10219.199999999999
2.43083e-10,10069.300000000001
2.51448e-10,9922.22
2.60101e-10,9777.98
2.69051e-10,9636.49
2.7830900000000004e-10,9497.730000000001
2.87886e-10,9361.64
2.9779300000000004e-10,9228.199999999999
3.0804e-10,9097.35
3.1864e-10,8969.060000000001
3.29605e-10,8843.289999999999
3.4094699999999997e-10,8720.0
3.52679e-10,8599.15
3.64815e-10,8480.72
3.7736900000000005e-10,8364.65
3.9035500000000004e-10,8250.92
4.03787e-10,8139.4800000000005
4.17682e-10,8030.31
4.32055e-10,7923.37
4.4692299999999997e-10,7818.63
4.6230200000000006e-10,7716.05
4.7821e-10,7615.610000000001
4.94666e-10,7517.26
5.127690000000001e-10,7415.03
5.31539e-10,7315.089999999999
5.50992e-10,7217.42
5.7116e-10,7121.95
5.92063e-10,7028.679999999999
6.13735e-10,6937.55
6.36196e-10,6848.55
6.59484e-10,6761.62
6.836190000000001e-10,6676.75
7.086420000000001e-10,6593.87
7.34577e-10,6512.990000000001
7.61465e-10,6434.040000000001
7.89333e-10,6357.01
8.182259999999999e-10,6281.86
8.48171e-10,6208.56
8.810760000000001e-10,6132.93
9.152570000000001e-10,6059.3
9.50765e-10,5987.63
9.8765e-10,5917.889999999999
1.0259700000000001e-9,5850.04
1.0657700000000001e-9,5784.049999999999
1.1071100000000001e-9,5719.88
1.15006e-9,5657.49
1.1972100000000003e-9,5593.530000000001
1.24629e-9,5531.49
1.2973800000000001e-9,5471.3
1.3505600000000001e-9,5412.96
1.40593e-9,5356.39
1.46356e-9,5301.580000000001
1.52356e-9,5248.48
1.5893800000000002e-9,5194.38
1.65804e-9,5142.1
1.72966e-9,5091.57
1.80437e-9,5042.76
1.8863000000000004e-9,4993.32
1.9719500000000004e-9,4945.66
2.06148e-9,4899.740000000001
2.1550900000000003e-9,4855.52
2.25772e-9,4810.95
2.36522e-9,4768.13
2.47785e-9,4727.0
2.60133e-9,4685.76
2.7309800000000004e-9,4646.2300000000005
