E(MeV),xs(mb)
1.0e-11,3.53716e6
1.03223e-11,3.4815e6
1.06549e-11,3.42673e6
1.0998399999999998e-11,3.37281e6
1.13527e-11,3.31975e6
1.1718599999999999e-11,3.26751e6
1.2096199999999998e-11,3.21611e6
1.24861e-11,3.1655e6
1.2888399999999999e-11,3.11571e6
1.3303799999999998e-11,3.06668e6
1.37325e-11,3.01844e6
1.41751e-11,2.97094e6
1.4631799999999997e-11,2.92421e6
1.51034e-11,2.87819e6
1.5590099999999998e-11,2.83292e6
1.6092599999999998e-11,2.78834e6
1.66111e-11,2.74448e6
1.71465e-11,2.70129e6
1.7699e-11,2.6588e6
1.8269399999999998e-11,2.61696e6
1.88581e-11,2.57579e6
1.94659e-11,2.53526e6
2.00931e-11,2.49538e6
2.0740699999999998e-11,2.45612e6
2.1408999999999998e-11,2.41748e6
2.2099099999999997e-11,2.37944e6
2.28111e-11,2.34201e6
2.3546399999999998e-11,2.30516e6
2.4305099999999997e-11,2.2689e6
2.50884e-11,2.23319e6
2.5896799999999997e-11,2.19807e6
2.67315e-11,2.16348e6
2.75928e-11,2.12945e6
2.8482199999999998e-11,2.0959400000000002e6
2.93999e-11,2.06297e6
3.0347499999999995e-11,2.03051e6
3.13253e-11,1.99857e6
3.2335e-11,1.96712e6
3.33769e-11,1.93618e6
3.44526e-11,1.90571e6
3.55627e-11,1.87574e6
3.67089e-11,1.84622e6
3.7891799999999997e-11,1.81718e6
3.9113e-11,1.78859e6
4.0373400000000003e-11,1.76045e6
4.1674599999999996e-11,1.73275e6
4.3017399999999996e-11,1.7055e6
4.440389999999999e-11,1.67866e6
4.58347e-11,1.65226e6
4.7311899999999994e-11,1.62626e6
4.883639999999999e-11,1.60068e6
5.0410399999999995e-11,1.5755e6
5.20348e-11,1.55071e6
5.37119e-11,1.52632e6
5.54426e-11,1.50231e6
5.7229499999999995e-11,1.47867e6
5.907359999999999e-11,1.45541e6
6.09775e-11,1.43251e6
6.29424e-11,1.40998e6
6.497099999999999e-11,1.3878e6
6.70645e-11,1.36597e6
6.9226e-11,1.34448e6
7.145659999999999e-11,1.32333e6
7.37596e-11,1.30251e6
7.61364e-11,1.28202e6
7.85902e-11,1.26185e6
8.11227e-11,1.24201e6
8.37372e-11,1.22247e6
8.643549999999999e-11,1.20324e6
8.922119999999998e-11,1.18431e6
9.209619999999999e-11,1.16568e6
9.506439999999999e-11,1.14734e6
9.81277e-11,1.1293e6
1.01291e-10,1.11153e6
1.04554e-10,1.09405e6
1.07924e-10,1.07684e6
1.11402e-10,1.0599e6
1.1499200000000001e-10,1.0432300000000001e6
1.1869700000000001e-10,1.0268200000000001e6
1.22523e-10,1.01067e6
1.26471e-10,994774.0
1.30547e-10,979124.0
1.34754e-10,963726.9999999999
1.3909700000000002e-10,948565.9999999999
1.43579e-10,933649.9999999999
1.48207e-10,918962.9999999999
1.52982e-10,904512.0000000001
1.57913e-10,890283.0
1.6300100000000001e-10,876284.0000000001
1.68254e-10,862500.0
