E(MeV),xs(mb)
1.0e-11,37842.3
1.03223e-11,37259.4
1.06549e-11,36686.1
1.0998399999999998e-11,36121.8
1.13527e-11,35566.9
1.1718599999999999e-11,35020.6
1.2096199999999998e-11,34483.4
1.24861e-11,33954.6
1.2888399999999999e-11,33434.6
1.3303799999999998e-11,32922.799999999996
1.37325e-11,32419.4
1.41751e-11,31924.0
1.4631799999999997e-11,31436.8
1.51034e-11,30957.3
1.5590099999999998e-11,30485.8
1.6092599999999998e-11,30021.8
1.66111e-11,29565.5
1.71465e-11,29116.5
1.7699e-11,28674.9
1.8269399999999998e-11,28240.4
1.88581e-11,27813.1
1.94659e-11,27392.699999999997
2.00931e-11,26979.3
2.0740699999999998e-11,26572.5
2.1408999999999998e-11,26172.5
2.2099099999999997e-11,25779.0
2.28111e-11,25392.100000000002
2.3546399999999998e-11,25011.5
2.4305099999999997e-11,24637.2
2.50884e-11,24269.0
2.5896799999999997e-11,23907.0
2.67315e-11,23550.9
2.75928e-11,23200.9
2.8482199999999998e-11,22856.5
2.93999e-11,22517.999999999996
3.0347499999999995e-11,22185.0
3.13253e-11,21857.7
3.2335e-11,21535.8
3.33769e-11,21219.399999999998
3.44526e-11,20908.2
3.55627e-11,20602.3
3.67089e-11,20301.5
3.7891799999999997e-11,20005.899999999998
3.9113e-11,19715.2
4.0373400000000003e-11,19429.5
4.1674599999999996e-11,19148.7
4.3017399999999996e-11,18872.6
4.440389999999999e-11,18601.3
4.58347e-11,18334.600000000002
4.7311899999999994e-11,18072.5
4.883639999999999e-11,17815.0
5.0410399999999995e-11,17561.8
5.21451e-11,17296.6
5.39395e-11,17036.4
5.57956e-11,16781.0
5.7715599999999995e-11,16530.3
5.97017e-11,16284.400000000001
6.17561e-11,16043.0
6.38812e-11,15806.199999999999
6.60794e-11,15573.9
6.83532e-11,15346.0
7.07054e-11,15122.4
7.31384e-11,14903.1
7.56552e-11,14687.9
7.825859999999999e-11,14477.0
8.09515e-11,14270.099999999999
8.37372e-11,14067.199999999999
8.661869999999999e-11,13868.3
8.959929999999999e-11,13673.3
9.268249999999999e-11,13482.099999999999
9.587189999999999e-11,13294.699999999999
9.91709e-11,13111.0
1.0258400000000002e-10,12930.900000000001
1.06114e-10,12754.5
1.0976500000000001e-10,12581.7
1.13543e-10,12412.300000000001
1.1745000000000002e-10,12246.4
1.21491e-10,12083.8
1.25672e-10,11924.699999999999
1.29996e-10,11768.8
1.3447e-10,11616.1
1.3909700000000002e-10,11466.6
1.44187e-10,11311.3
1.49465e-10,11159.4
1.5493500000000002e-10,11011.0
1.6060700000000003e-10,10865.9
1.66484e-10,10724.1
1.7257800000000002e-10,10585.599999999999
1.78894e-10,10450.4
1.85443e-10,10318.199999999999
1.92229e-10,10189.3
1.9926600000000002e-10,10063.3
2.0655800000000002e-10,9940.36
2.14119e-10,9820.35
2.21955e-10,9703.27
2.3008000000000002e-10,9589.01
2.39006e-10,9471.109999999999
2.4827800000000003e-10,9356.289999999999
2.5791e-10,9244.490000000002
2.67915e-10,9135.67
2.7830900000000004e-10,9029.76
2.89106e-10,8926.72
3.0032199999999997e-10,8826.470000000001
3.1197300000000004e-10,8728.98
3.24076e-10,8634.18
3.3736e-10,8536.99
3.51191e-10,8442.66
3.6558600000000004e-10,8351.16
3.8057400000000004e-10,8262.4
3.96174e-10,8176.360000000001
4.12416e-10,8092.930000000001
4.30232e-10,8007.889999999999
4.4881700000000003e-10,7925.639999999999
4.68204e-10,7846.099999999999
4.884299999999999e-10,7769.2
5.09528e-10,7694.87
5.32662e-10,7619.5199999999995
5.5685e-10,7546.85
5.821320000000001e-10,7476.8
6.08566e-10,7409.27
6.37545e-10,7341.160000000001
6.67904e-10,7275.65
6.99708e-10,7212.67
7.34577e-10,7149.4400000000005
7.71188e-10,7088.77
