E(MeV),xs(mb)
1.0e-11,65116.1
1.03223e-11,64095.3
1.06549e-11,63091.2
1.0998399999999998e-11,62102.5
1.13527e-11,61129.8
1.1718599999999999e-11,60172.100000000006
1.2096199999999998e-11,59230.0
1.24861e-11,58302.3
1.2888399999999999e-11,57389.700000000004
1.3303799999999998e-11,56491.100000000006
1.37325e-11,55607.100000000006
1.41751e-11,54736.799999999996
1.4631799999999997e-11,53880.5
1.51034e-11,53037.5
1.5590099999999998e-11,52208.2
1.6092599999999998e-11,51391.600000000006
1.66111e-11,50588.3
1.71465e-11,49797.399999999994
1.7699e-11,49019.3
1.8269399999999998e-11,48253.3
1.88581e-11,47499.700000000004
1.94659e-11,46757.799999999996
2.00931e-11,46027.8
2.0740699999999998e-11,45309.2
2.1408999999999998e-11,44602.3
2.2099099999999997e-11,43906.299999999996
2.28111e-11,43221.600000000006
2.3546399999999998e-11,42547.49999999999
2.4305099999999997e-11,41884.4
2.50884e-11,41231.600000000006
2.5896799999999997e-11,40589.3
2.67315e-11,39957.1
2.75928e-11,39335.1
2.8482199999999998e-11,38722.8
2.93999e-11,38120.4
3.0347499999999995e-11,37527.5
3.13253e-11,36944.1
3.2335e-11,36369.9
3.33769e-11,35805.0
3.44526e-11,35248.9
3.55627e-11,34701.9
3.67089e-11,34163.4
3.7891799999999997e-11,33633.700000000004
3.9113e-11,33112.3
4.0373400000000003e-11,32599.300000000003
4.1674599999999996e-11,32094.399999999998
4.3017399999999996e-11,31597.7
4.440389999999999e-11,31108.899999999998
4.58347e-11,30627.9
4.7311899999999994e-11,30154.6
4.883639999999999e-11,29689.0
5.0410399999999995e-11,29230.7
5.20348e-11,28779.8
5.37119e-11,28336.100000000002
5.54426e-11,27899.699999999997
5.7229499999999995e-11,27470.1
5.907359999999999e-11,27047.6
6.09775e-11,26631.7
6.29424e-11,26222.699999999997
6.497099999999999e-11,25820.1
6.70645e-11,25424.1
6.9226e-11,25034.5
7.145659999999999e-11,24651.2
