E(MeV),xs(mb)
1.0e-11,62978.4
1.03223e-11,61990.8
1.06549e-11,61019.2
1.0998399999999998e-11,60062.5
1.13527e-11,59121.4
1.1718599999999999e-11,58194.7
1.2096199999999998e-11,57283.0
1.24861e-11,56385.4
1.2888399999999999e-11,55502.3
1.3303799999999998e-11,54632.899999999994
1.37325e-11,53777.4
1.41751e-11,52935.299999999996
1.4631799999999997e-11,52106.700000000004
1.51034e-11,51290.899999999994
1.5590099999999998e-11,50488.4
1.6092599999999998e-11,49698.200000000004
1.66111e-11,48920.8
1.71465e-11,48155.5
1.7699e-11,47402.49999999999
1.8269399999999998e-11,46661.200000000004
1.88581e-11,45931.8
1.94659e-11,45213.799999999996
2.00931e-11,44507.399999999994
2.0740699999999998e-11,43812.0
2.1408999999999998e-11,43127.8
2.2099099999999997e-11,42454.200000000004
2.28111e-11,41791.5
2.3546399999999998e-11,41139.1
2.4305099999999997e-11,40497.3
2.50884e-11,39865.5
2.5896799999999997e-11,39243.8
2.67315e-11,38631.9
2.75928e-11,38029.799999999996
2.8482199999999998e-11,37437.200000000004
2.93999e-11,36854.1
3.0347499999999995e-11,36280.1
3.13253e-11,35715.4
3.2335e-11,35159.6
3.33769e-11,34612.7
3.44526e-11,34074.4
3.55627e-11,33544.8
3.67089e-11,33023.5
3.7891799999999997e-11,32510.6
3.9113e-11,32005.8
4.0373400000000003e-11,31509.100000000002
4.1674599999999996e-11,31020.3
4.3017399999999996e-11,30539.399999999998
4.440389999999999e-11,30066.0
4.58347e-11,29600.300000000003
4.7311899999999994e-11,29142.0
4.883639999999999e-11,28691.0
5.0410399999999995e-11,28247.2
5.20348e-11,27810.600000000002
5.37119e-11,27380.9
5.54426e-11,26958.199999999997
5.7229499999999995e-11,26542.1
5.907359999999999e-11,26132.8
6.09775e-11,25730.0
6.29424e-11,25333.800000000003
6.497099999999999e-11,24943.8
6.70645e-11,24560.2
6.9226e-11,24182.7
7.145659999999999e-11,23811.300000000003
7.37596e-11,23445.9
7.61364e-11,23086.4
7.85902e-11,22732.600000000002
8.11227e-11,22384.7
8.37372e-11,22042.199999999997
8.643549999999999e-11,21705.399999999998
8.922119999999998e-11,21374.0
9.209619999999999e-11,21048.0
9.506439999999999e-11,20727.3
9.81277e-11,20411.800000000003
1.01291e-10,20101.300000000003
1.04554e-10,19796.0
1.07924e-10,19495.6
1.11402e-10,19200.2
1.1499200000000001e-10,18909.5
1.1869700000000001e-10,18623.6
1.22523e-10,18342.3
1.26471e-10,18065.8
1.30547e-10,17793.600000000002
1.34754e-10,17526.0
1.3909700000000002e-10,17262.8
1.43579e-10,17003.9
1.48207e-10,16749.3
1.52982e-10,16498.9
1.57913e-10,16252.5
1.6300100000000001e-10,16010.4
1.68254e-10,15772.1
1.73676e-10,15537.9
1.79274e-10,15307.599999999999
1.8505000000000002e-10,15081.1
1.91014e-10,14858.3
1.97169e-10,14639.3
2.03524e-10,14423.999999999998
2.1008200000000003e-10,14212.3
2.16853e-10,14004.0
2.2384e-10,13799.4
2.31055e-10,13598.1
2.385e-10,13400.300000000001
2.46187e-10,13205.800000000001
2.5412e-10,13014.699999999999
2.6231e-10,12826.699999999999
2.70762e-10,12642.0
2.7948900000000003e-10,12460.500000000002
2.88494e-10,12282.0
2.9779300000000004e-10,12106.6
3.07388e-10,11934.199999999999
3.17966e-10,11753.6
3.2890700000000003e-10,11576.3
3.4022500000000003e-10,11402.300000000001
3.51933e-10,11231.599999999999
3.64043e-10,11064.0
3.76571e-10,10899.5
3.8952900000000004e-10,10738.099999999999
4.02933e-10,10579.7
4.1679800000000003e-10,10424.3
4.3114100000000003e-10,10271.8
4.45977e-10,10122.199999999999
4.6132400000000005e-10,9975.45
4.77198e-10,9831.49
4.93619e-10,9690.279999999999
5.10605e-10,9551.78
5.28176e-10,9415.94
5.463510000000001e-10,9282.730000000001
5.65152e-10,9152.1
5.84599e-10,9024.01
6.04716e-10,8898.42
6.255250000000001e-10,8775.29
6.470500000000001e-10,8654.58
6.69316e-10,8536.26
6.92348e-10,8420.28
7.16172e-10,8306.609999999999
7.40816e-10,8195.21
7.663090000000001e-10,8086.05
7.92678e-10,7979.08
8.199550000000001e-10,7874.28
8.48171e-10,7771.61
8.792170000000001e-10,7664.799999999999
9.113950000000001e-10,7560.330000000001
9.44755e-10,7458.14
9.79331e-10,7358.19
1.01518e-9,7260.44
1.05233e-9,7164.86
1.0908500000000002e-9,7071.4
1.1307700000000002e-9,6980.04
1.1721600000000002e-9,6890.71
1.2150600000000001e-9,6803.410000000001
1.2595400000000002e-9,6718.07
1.30564e-9,6634.68
1.35343e-9,6553.19
1.40296e-9,6473.57
1.4543100000000001e-9,6395.780000000001
1.51073e-9,6315.37
1.56934e-9,6236.94
1.6302200000000002e-9,6160.4400000000005
1.6934700000000002e-9,6085.83
1.75917e-9,6013.07
1.82741e-9,5942.13
1.8983100000000002e-9,5872.969999999999
1.9719500000000004e-9,5805.54
2.04845e-9,5739.81
2.1324200000000004e-9,5672.240000000001
2.21984e-9,5606.46
2.31084e-9,5542.45
2.4055800000000003e-9,5480.15
2.50418e-9,5419.55
2.6068500000000004e-9,5360.56
2.7137e-9,5303.19
2.8309300000000003e-9,5244.46
2.9532200000000003e-9,5187.41
3.08079e-9,5131.99
3.21387e-9,5078.16
3.3527000000000002e-9,5025.87
3.50494e-9,4972.5599999999995
3.66408e-9,4920.87
3.8304600000000004e-9,4870.71
4.00437e-9,4822.07
4.1862e-9,4774.879999999999
4.38554e-9,4726.96
4.59438e-9,4680.54
4.8131500000000005e-9,4635.570000000001
5.0423500000000005e-9,4592.0
5.2936300000000005e-9,4547.900000000001
5.557450000000001e-9,4505.219999999999
5.8344e-9,4463.92
6.138130000000001e-9,4422.25
6.4576700000000005e-9,4381.96
6.7938500000000005e-9,4343.03
7.162670000000001e-9,4303.84
7.55148e-9,4266.0
7.96143e-9,4229.46
8.411390000000002e-9,4192.79
8.886770000000002e-9,4157.41
9.38902e-9,4123.280000000001
9.94064e-9,4089.1000000000004
1.05247e-8,4056.1499999999996
1.11667e-8,4023.25
1.18478e-8,3991.5600000000004
1.2597e-8,3959.99
1.33937e-8,3929.6099999999997
1.42708e-8,3899.41
1.52054e-8,3870.38
1.62355e-8,3841.5699999999997
1.73354e-8,3813.91
1.8549e-8,3786.52
1.98476e-8,3760.2400000000002
2.1282e-8,3734.2599999999998
2.2868300000000003e-8,3708.6299999999997
2.4573e-8,3684.0899999999997
2.52522e-8,3675.0600000000004
2.5299999999999998e-8,3674.44
2.72435e-8,3650.69
2.9398300000000003e-8,3627.3300000000004
3.17907e-8,3604.4100000000003
