E(MeV),xs(mb)
1.0e-11,95374.0
1.03223e-11,93887.2
1.06549e-11,92424.59999999999
1.0998399999999998e-11,90984.70000000001
1.13527e-11,89568.20000000001
1.1718599999999999e-11,88173.7
1.2096199999999998e-11,86801.99999999999
1.24861e-11,85451.5
1.2888399999999999e-11,84123.0
1.3303799999999998e-11,82815.20000000001
1.37325e-11,81528.7
1.41751e-11,80262.2
1.4631799999999997e-11,79016.3
1.51034e-11,77789.90000000001
1.5590099999999998e-11,76583.5
1.6092599999999998e-11,75395.9
1.66111e-11,74227.6
1.71465e-11,73077.6
1.7699e-11,71946.4
1.8269399999999998e-11,70832.9
1.88581e-11,69737.6
1.94659e-11,68659.5
2.00931e-11,67598.90000000001
2.0740699999999998e-11,66555.0
2.1408999999999998e-11,65528.2
2.2099099999999997e-11,64517.5
2.28111e-11,63523.3
2.3546399999999998e-11,62544.899999999994
2.4305099999999997e-11,61582.4
2.50884e-11,60635.1
2.5896799999999997e-11,59703.299999999996
2.67315e-11,58786.3
2.75928e-11,57884.3
2.8482199999999998e-11,56996.6
2.93999e-11,56123.399999999994
3.0347499999999995e-11,55264.100000000006
3.13253e-11,54419.00000000001
3.2335e-11,53587.2
3.33769e-11,52769.2
3.44526e-11,51964.2
3.55627e-11,51172.4
3.67089e-11,50393.299999999996
3.7891799999999997e-11,49627.100000000006
3.9113e-11,48873.100000000006
4.0373400000000003e-11,48131.5
4.1674599999999996e-11,47401.9
4.3017399999999996e-11,46684.299999999996
4.440389999999999e-11,45978.3
4.58347e-11,45284.00000000001
4.7311899999999994e-11,44600.9
4.883639999999999e-11,43929.1
5.0410399999999995e-11,43268.2
5.20348e-11,42618.299999999996
5.37119e-11,41978.9
5.54426e-11,41350.2
5.7229499999999995e-11,40731.700000000004
5.907359999999999e-11,40123.5
6.09775e-11,39525.299999999996
6.29424e-11,38937.1
6.497099999999999e-11,38358.5
6.70645e-11,37789.6
6.9226e-11,37230.1
7.145659999999999e-11,36680.0
7.37596e-11,36138.9
7.61364e-11,35607.0
7.85902e-11,35083.9
8.11227e-11,34569.6
8.37372e-11,34063.9
8.643549999999999e-11,33566.7
8.922119999999998e-11,33077.8
9.209619999999999e-11,32597.3
9.506439999999999e-11,32124.8
9.81277e-11,31660.4
1.01291e-10,31203.699999999997
1.04554e-10,30755.0
1.07924e-10,30313.7
1.11402e-10,29880.100000000002
1.1499200000000001e-10,29453.800000000003
1.18949e-10,29007.100000000002
1.2304200000000001e-10,28568.699999999997
1.27276e-10,28138.3
1.31656e-10,27715.800000000003
1.36187e-10,27301.1
1.40873e-10,26894.0
1.45721e-10,26494.5
1.50735e-10,26102.4
1.55922e-10,25717.6
1.6128700000000002e-10,25339.999999999996
1.66837e-10,24969.399999999998
1.7257800000000002e-10,24605.800000000003
1.78517e-10,24249.0
1.8466e-10,23898.899999999998
1.91014e-10,23555.5
1.97587e-10,23218.6
2.04387e-10,22888.0
2.1142e-10,22563.8
2.1869500000000001e-10,22245.7
2.26221e-10,21933.8
2.34005e-10,21627.800000000003
2.42057e-10,21327.699999999997
2.5038700000000003e-10,21033.4
2.59003e-10,20744.8
2.67915e-10,20461.800000000003
2.77135e-10,20184.3
2.86671e-10,19912.2
2.96536e-10,19645.5
3.0674e-10,19383.9
3.1729500000000004e-10,19127.5
3.2821400000000003e-10,18876.2
3.4022500000000003e-10,18614.6
3.52679e-10,18358.5
