E(MeV),xs(mb)
1.0e-11,150982.0
1.03223e-11,148618.0
1.06549e-11,146293.0
1.0998399999999998e-11,144004.0
1.13527e-11,141751.0
1.1718599999999999e-11,139534.0
1.2096199999999998e-11,137352.0
1.24861e-11,135205.0
1.2888399999999999e-11,133092.0
1.3303799999999998e-11,131011.00000000001
1.37325e-11,128965.0
1.41751e-11,126950.00000000001
1.4631799999999997e-11,124967.99999999999
1.51034e-11,123015.99999999999
1.5590099999999998e-11,121096.0
1.6092599999999998e-11,119205.99999999999
1.66111e-11,117347.0
1.71465e-11,115516.0
1.7699e-11,113715.00000000001
1.8269399999999998e-11,111942.00000000001
1.88581e-11,110198.0
1.94659e-11,108481.0
2.00931e-11,106790.99999999999
2.0740699999999998e-11,105128.0
2.1408999999999998e-11,103492.0
2.2099099999999997e-11,101882.0
2.28111e-11,100296.99999999999
2.3546399999999998e-11,98737.8
2.4305099999999997e-11,97203.3
2.50884e-11,95692.90000000001
2.5896799999999997e-11,94207.0
2.67315e-11,92744.3
2.75928e-11,91305.3
2.8482199999999998e-11,89888.9
2.93999e-11,88495.4
3.0347499999999995e-11,87123.9
3.13253e-11,85774.5
3.2335e-11,84446.4
3.33769e-11,83139.8
3.44526e-11,81853.70000000001
3.55627e-11,80588.59999999999
3.67089e-11,79343.4
3.7891799999999997e-11,78118.4
3.9113e-11,76912.7
4.0373400000000003e-11,75726.6
4.1674599999999996e-11,74559.3
4.3017399999999996e-11,73410.90000000001
4.440389999999999e-11,72280.7
4.58347e-11,71168.9
4.7311899999999994e-11,70074.8
4.883639999999999e-11,68998.40000000001
5.0410399999999995e-11,67939.1
5.20348e-11,66897.09999999999
5.37119e-11,65871.6
5.54426e-11,64862.9
5.7229499999999995e-11,63870.2
5.907359999999999e-11,62893.8
6.09775e-11,61932.9
6.29424e-11,60987.7
6.497099999999999e-11,60057.600000000006
6.70645e-11,59142.700000000004
6.9226e-11,58242.399999999994
7.145659999999999e-11,57356.9
7.37596e-11,56485.6
7.61364e-11,55628.6
7.85902e-11,54785.3
8.11227e-11,53955.9
8.37372e-11,53139.799999999996
8.643549999999999e-11,52337.100000000006
8.922119999999998e-11,51547.4
9.209619999999999e-11,50770.600000000006
9.506439999999999e-11,50006.399999999994
9.81277e-11,49254.8
1.01291e-10,48515.2
1.04554e-10,47788.00000000001
1.07924e-10,47072.5
1.11402e-10,46368.9
1.1499200000000001e-10,45676.6
1.1869700000000001e-10,44995.9
1.22523e-10,44326.100000000006
1.26471e-10,43667.6
1.30547e-10,43019.600000000006
1.34754e-10,42382.600000000006
1.3909700000000002e-10,41755.8
1.43579e-10,41139.6
1.48207e-10,40533.299999999996
1.52982e-10,39937.200000000004
1.57913e-10,39350.8
1.6300100000000001e-10,38774.3
1.68254e-10,38207.1
1.73676e-10,37649.5
1.79274e-10,37101.0
1.8505000000000002e-10,36561.7
1.91014e-10,36031.200000000004
1.97169e-10,35509.7
2.03524e-10,34996.7
2.1008200000000003e-10,34492.4
2.17311e-10,33963.700000000004
2.24789e-10,33444.4
2.32524e-10,32934.299999999996
2.40526e-10,32433.2
2.4880300000000004e-10,31941.1
2.57364e-10,31457.8
2.6622e-10,30983.0
2.7538100000000004e-10,30516.800000000003
2.84857e-10,30058.8
2.9466000000000005e-10,29609.0
3.04799e-10,29167.3
3.1528800000000004e-10,28733.5
3.26137e-10,28307.4
3.3736e-10,27888.899999999998
3.4896900000000003e-10,27477.9
3.60977e-10,27074.3
3.73399e-10,26677.9
3.86248e-10,26288.6
3.99539e-10,25906.3
4.13288e-10,25530.8
4.2751e-10,25162.0
4.42221e-10,24799.899999999998
4.57438e-10,24444.2
4.73179e-10,24094.899999999998
4.89462e-10,23751.8
5.063049999999999e-10,23414.899999999998
5.23727e-10,23083.999999999996
5.41749e-10,22759.0
5.60392e-10,22439.8
5.796750000000001e-10,22126.399999999998
5.99623e-10,21818.5
6.202560000000001e-10,21516.1
6.416e-10,21219.199999999997
6.63678e-10,20927.5
6.865160000000001e-10,20641.0
7.1014e-10,20359.699999999997
7.361340000000001e-10,20066.199999999997
7.63075e-10,19778.3
7.91006e-10,19495.8
8.199550000000001e-10,19218.6
8.49969e-10,18946.7
8.810760000000001e-10,18679.9
9.13327e-10,18418.1
9.46752e-10,18161.3
9.81407e-10,17909.3
1.0173200000000002e-9,17662.0
