E(MeV),xs(mb)
1.0e-11,90115.0
1.03223e-11,88701.79999999999
1.06549e-11,87311.4
1.0998399999999998e-11,85942.5
1.13527e-11,84595.7
1.1718599999999999e-11,83269.59999999999
1.2096199999999998e-11,81965.0
1.24861e-11,80680.5
1.2888399999999999e-11,79416.8
1.3303799999999998e-11,78172.6
1.37325e-11,76948.5
1.41751e-11,75743.40000000001
1.4631799999999997e-11,74557.7
1.51034e-11,73390.3
1.5590099999999998e-11,72241.8
1.6092599999999998e-11,71111.1
1.66111e-11,69998.6
1.71465e-11,68903.4
1.7699e-11,67825.9
1.8269399999999998e-11,66765.1
1.88581e-11,65721.4
1.94659e-11,64693.899999999994
2.00931e-11,63682.99999999999
2.0740699999999998e-11,62687.799999999996
2.1408999999999998e-11,61708.600000000006
2.2099099999999997e-11,60744.8
2.28111e-11,59796.4
2.3546399999999998e-11,58862.8
2.4305099999999997e-11,57944.3
2.50884e-11,57040.100000000006
2.5896799999999997e-11,56150.5
2.67315e-11,55274.799999999996
2.75928e-11,54413.200000000004
2.8482199999999998e-11,53565.1
2.93999e-11,52730.7
3.0347499999999995e-11,51909.299999999996
3.13253e-11,51101.1
3.2335e-11,50305.7
3.33769e-11,49523.0
3.44526e-11,48752.700000000004
3.55627e-11,47994.700000000004
3.67089e-11,47248.700000000004
3.7891799999999997e-11,46514.7
3.9113e-11,45792.299999999996
4.0373400000000003e-11,45081.5
4.1674599999999996e-11,44381.899999999994
4.3017399999999996e-11,43693.7
4.440389999999999e-11,43016.2
4.58347e-11,42349.7
4.7311899999999994e-11,41693.8
4.883639999999999e-11,41048.4
5.0410399999999995e-11,40413.3
5.20348e-11,39788.4
5.37119e-11,39173.4
5.54426e-11,38568.4
5.7229499999999995e-11,37972.9
5.907359999999999e-11,37387.2
6.09775e-11,36810.7
6.29424e-11,36243.5
6.497099999999999e-11,35685.4
6.70645e-11,35136.4
6.9226e-11,34596.1
7.145659999999999e-11,34064.5
7.37596e-11,33541.5
7.61364e-11,33026.9
7.85902e-11,32520.600000000002
8.11227e-11,32022.6
8.37372e-11,31532.5
8.643549999999999e-11,31050.399999999998
8.922119999999998e-11,30576.0
9.209619999999999e-11,30109.4
9.506439999999999e-11,29650.3
9.81277e-11,29198.7
1.01291e-10,28754.300000000003
1.04554e-10,28317.399999999998
1.07924e-10,27887.300000000003
1.11402e-10,27464.5
1.1499200000000001e-10,27048.3
1.1869700000000001e-10,26639.2
1.22523e-10,26236.5
1.26471e-10,25840.6
1.30547e-10,25451.100000000002
1.34754e-10,25068.100000000002
1.3909700000000002e-10,24691.2
1.43579e-10,24320.6
1.48207e-10,23956.1
1.52982e-10,23597.600000000002
1.57913e-10,23245.0
1.6300100000000001e-10,22898.3
1.68254e-10,22557.3
1.73676e-10,22222.0
1.79274e-10,21892.2
1.8505000000000002e-10,21567.9
1.91014e-10,21248.999999999996
1.97169e-10,20935.5
2.03524e-10,20627.2
2.1008200000000003e-10,20324.100000000002
2.16853e-10,20026.0
2.2384e-10,19733.0
2.31055e-10,19444.8
2.385e-10,19161.600000000002
2.46187e-10,18883.1
2.5412e-10,18609.5
2.6231e-10,18340.3
2.70762e-10,18075.9
2.7948900000000003e-10,17815.9
2.88494e-10,17560.4
2.9779300000000004e-10,17309.2
3.07388e-10,17062.4
3.1729500000000004e-10,16819.8
3.2821400000000003e-10,16565.6
3.3950800000000003e-10,16316.2
3.51191e-10,16071.4
3.6327600000000003e-10,15831.1
3.75777e-10,15595.300000000001
3.8870800000000003e-10,15363.9
4.0208300000000005e-10,15136.8
4.15919e-10,14914.0
4.30232e-10,14695.400000000001
4.4503700000000007e-10,14480.900000000001
4.6035100000000003e-10,14270.5
4.76192e-10,14064.099999999999
4.92578e-10,13861.6
5.09528e-10,13663.099999999999
5.270620000000001e-10,13468.3
5.45199e-10,13277.300000000001
5.6396e-10,13090.0
5.83366e-10,12906.4
6.0344e-10,12726.3
6.24206e-10,12549.8
6.45685e-10,12376.8
6.67904e-10,12207.1
