E(MeV),xs(mb)
1.0e-11,4.41726e6
1.03223e-11,4.34775e6
1.06549e-11,4.27936e6
1.0998399999999998e-11,4.21202e6
1.13527e-11,4.1457699999999995e6
1.1718599999999999e-11,4.0805300000000005e6
1.2096199999999998e-11,4.0163399999999995e6
1.24861e-11,3.95314e6
1.2888399999999999e-11,3.89096e6
1.3303799999999998e-11,3.82973e6
1.37325e-11,3.76949e6
1.41751e-11,3.71018e6
1.4631799999999997e-11,3.65182e6
1.51034e-11,3.59435e6
1.5590099999999998e-11,3.53781e6
1.6092599999999998e-11,3.48214e6
1.66111e-11,3.42737e6
1.71465e-11,3.37344e6
1.7699e-11,3.32038e6
1.8269399999999998e-11,3.26813e6
1.88581e-11,3.21672e6
1.94659e-11,3.16611e6
2.00931e-11,3.1163e6
2.0740699999999998e-11,3.06727e6
2.1408999999999998e-11,3.01902e6
2.2099099999999997e-11,2.97152e6
2.28111e-11,2.92478e6
2.3546399999999998e-11,2.87876e6
2.4305099999999997e-11,2.83348e6
2.50884e-11,2.78889e6
2.5896799999999997e-11,2.74503e6
2.67315e-11,2.70184e6
2.75928e-11,2.65934e6
2.8482199999999998e-11,2.61749e6
2.93999e-11,2.57632e6
3.0347499999999995e-11,2.53579e6
3.13253e-11,2.4959e6
3.2335e-11,2.45663e6
3.33769e-11,2.41799e6
3.44526e-11,2.37995e6
3.55627e-11,2.34251e6
3.67089e-11,2.30566e6
3.7891799999999997e-11,2.26939e6
3.9113e-11,2.23369e6
4.0373400000000003e-11,2.19855e6
4.1674599999999996e-11,2.16396e6
4.3017399999999996e-11,2.12993e6
4.440389999999999e-11,2.0964200000000002e6
4.58347e-11,2.06344e6
4.7311899999999994e-11,2.03098e6
4.883639999999999e-11,1.99904e6
5.0410399999999995e-11,1.96759e6
5.20348e-11,1.93664e6
5.37119e-11,1.90617e6
5.54426e-11,1.87619e6
5.7229499999999995e-11,1.84668e6
5.907359999999999e-11,1.81763e6
6.09775e-11,1.78904e6
6.29424e-11,1.7609e6
6.497099999999999e-11,1.7332e6
6.70645e-11,1.70594e6
6.9226e-11,1.67911e6
7.145659999999999e-11,1.6527e6
7.37596e-11,1.6267e6
7.61364e-11,1.60112e6
7.85902e-11,1.57593e6
8.11227e-11,1.55115e6
8.37372e-11,1.52675e6
8.643549999999999e-11,1.50274e6
8.922119999999998e-11,1.4791e6
9.209619999999999e-11,1.45584e6
9.506439999999999e-11,1.43295e6
9.81277e-11,1.41041e6
1.01291e-10,1.38823e6
1.04554e-10,1.3664e6
1.07924e-10,1.34491e6
1.11402e-10,1.32376e6
1.1499200000000001e-10,1.30294e6
1.1869700000000001e-10,1.28245e6
1.22523e-10,1.26228e6
1.26471e-10,1.24244e6
1.30547e-10,1.2229e6
1.34754e-10,1.20367e6
1.3909700000000002e-10,1.18474e6
1.43579e-10,1.16611e6
1.48207e-10,1.14778e6
1.52982e-10,1.12973e6
1.57913e-10,1.11197e6
1.6300100000000001e-10,1.09449e6
1.68254e-10,1.07727e6
1.73676e-10,1.06034e6
1.79274e-10,1.0436700000000001e6
1.8505000000000002e-10,1.0272600000000001e6
1.91014e-10,1.01111e6
1.97169e-10,995217.0000000001
2.03524e-10,979570.0
2.1008200000000003e-10,964173.0000000001
2.16853e-10,949015.0
2.2384e-10,934099.0
2.31055e-10,919415.0
2.385e-10,904965.0
2.46187e-10,890739.0
2.5412e-10,876741.0
2.6231e-10,862960.0
2.70762e-10,849399.0
2.7948900000000003e-10,836049.0
2.88494e-10,822912.0
2.9779300000000004e-10,809978.0000000001
3.07388e-10,797252.0
3.1729500000000004e-10,784722.0
3.27519e-10,772394.0
3.38075e-10,760256.0
3.4896900000000003e-10,748312.0
3.6021600000000004e-10,736554.0
3.7182300000000004e-10,724984.0
3.83807e-10,713593.0
3.96174e-10,702384.0
4.08943e-10,691349.0
4.2212e-10,680491.0
4.3572499999999996e-10,669801.0
4.4976500000000005e-10,659282.0
4.6426100000000007e-10,648926.0
4.79221e-10,638736.0
4.94666e-10,628704.0
5.10605e-10,618832.0
5.270620000000001e-10,609114.0
5.440450000000001e-10,599551.0
5.6158e-10,590136.0
5.796750000000001e-10,580872.0
5.98358e-10,571751.0
6.176389999999999e-10,562777.0
6.37545e-10,553942.0
6.58089e-10,545247.0
6.79298e-10,536689.0
7.01188e-10,528266.0
7.237860000000001e-10,519975.0
7.47109e-10,511815.99999999994
7.71188e-10,503784.0
7.960380000000001e-10,495880.0
8.21693e-10,488099.0
8.48171e-10,480442.00000000006
8.75507e-10,472904.00000000006
9.037190000000002e-10,465486.0
9.32845e-10,458185.0
9.62904e-10,450999.0
9.93937e-10,443925.00000000006
1.0259700000000001e-9,436964.00000000006
1.05903e-9,430112.0
1.09316e-9,423367.99999999994
1.12839e-9,416730.0
1.16475e-9,410196.99999999994
1.2022900000000002e-9,403767.00000000006
1.2410300000000002e-9,397438.0
1.28103e-9,391209.0
1.3223100000000002e-9,385078.0
1.36492e-9,379043.0
1.4089000000000002e-9,373104.0
1.4543100000000001e-9,367258.0
1.5011699999999999e-9,361505.0
1.5495600000000002e-9,355842.0
1.5994900000000002e-9,350268.0
1.6510400000000001e-9,344782.0
1.7042400000000001e-9,339383.0
1.75917e-9,334068.0
1.81585e-9,328837.0
1.87438e-9,323689.0
1.9347700000000003e-9,318622.0
1.99713e-9,313634.0
2.06148e-9,308726.0
2.1279200000000002e-9,303894.0
2.19649e-9,299139.0
2.26728e-9,294458.0
2.3403400000000002e-9,289852.0
2.4157700000000002e-9,285317.0
2.49362e-9,280855.0
2.5739800000000002e-9,276462.0
2.65692e-9,272139.0
2.7425500000000002e-9,267883.0
2.8309300000000003e-9,263696.0
2.92217e-9,259573.0
3.01633e-9,255516.0
3.11354e-9,251521.99999999997
3.21387e-9,247592.0
3.3174500000000004e-9,243724.0
3.42435e-9,239916.00000000003
3.53471e-9,236167.99999999997
3.6486100000000003e-9,232480.00000000003
3.7662000000000005e-9,228849.0
3.88757e-9,225276.0
4.01286e-9,221759.0
4.14217e-9,218297.0
4.2756600000000005e-9,214889.99999999997
4.41344e-9,211537.0
4.55568e-9,208236.0
4.7024800000000005e-9,204987.0
4.85404e-9,201789.0
5.01045e-9,198643.0
5.17193e-9,195545.0
5.338590000000001e-9,192496.0
5.510650000000001e-9,189495.0
5.688220000000001e-9,186542.0
5.871540000000001e-9,183634.0
6.06075e-9,180773.0
6.256080000000001e-9,177957.0
6.4576700000000005e-9,175185.0
6.665790000000001e-9,172457.0
6.8805900000000005e-9,169772.0
7.1023400000000005e-9,167128.0
7.33121e-9,164527.0
7.56748e-9,161966.0
7.81133e-9,159447.0
8.06308e-9,156966.0
