E(MeV),xs(mb)
1.0e-11,9.3293e6
1.03223e-11,9.18252e6
1.06549e-11,9.03813e6
1.0998399999999998e-11,8.89594e6
1.13527e-11,8.75606e6
1.1718599999999999e-11,8.61831e6
1.2096199999999998e-11,8.48279e6
1.24861e-11,8.349349999999999e6
1.2888399999999999e-11,8.218059999999999e6
1.3303799999999998e-11,8.088789999999999e6
1.37325e-11,7.9616e6
1.41751e-11,7.83636e6
1.4631799999999997e-11,7.71315e6
1.51034e-11,7.59183e6
1.5590099999999998e-11,7.47246e6
1.6092599999999998e-11,7.35492e6
1.66111e-11,7.23928e6
1.71465e-11,7.12542e6
1.7699e-11,7.01339e6
1.8269399999999998e-11,6.90309e6
1.88581e-11,6.79456e6
1.94659e-11,6.6877e6
2.00931e-11,6.58256e6
2.0740699999999998e-11,6.47904e6
2.1408999999999998e-11,6.37718e6
2.2099099999999997e-11,6.2769e6
2.28111e-11,6.17822e6
2.3546399999999998e-11,6.08107e6
2.4305099999999997e-11,5.98547e6
2.50884e-11,5.89136e6
2.5896799999999997e-11,5.79875e6
2.67315e-11,5.70758e6
2.75928e-11,5.61786e6
2.8482199999999998e-11,5.52954e6
2.93999e-11,5.44262e6
3.0347499999999995e-11,5.35706e6
3.13253e-11,5.27286e6
3.2335e-11,5.18997e6
3.33769e-11,5.1084e6
3.44526e-11,5.0281e6
3.55627e-11,4.94908e6
3.67089e-11,4.87129e6
3.7891799999999997e-11,4.79474e6
3.9113e-11,4.71938e6
4.0373400000000003e-11,4.64522e6
4.1674599999999996e-11,4.57222e6
4.3017399999999996e-11,4.50038e6
4.440389999999999e-11,4.42965e6
4.58347e-11,4.36006e6
4.7311899999999994e-11,4.29155e6
4.883639999999999e-11,4.22413e6
5.0410399999999995e-11,4.1577599999999995e6
5.20348e-11,4.09244e6
5.37119e-11,4.02815e6
5.54426e-11,3.96488e6
5.7229499999999995e-11,3.90259e6
5.907359999999999e-11,3.8413e6
6.09775e-11,3.78096e6
6.29424e-11,3.72158e6
6.497099999999999e-11,3.66313e6
6.70645e-11,3.60561e6
6.9226e-11,3.54898e6
7.145659999999999e-11,3.49326e6
7.37596e-11,3.4384e6
7.61364e-11,3.38442e6
7.85902e-11,3.33129e6
8.11227e-11,3.27899e6
8.37372e-11,3.22752e6
8.643549999999999e-11,3.17686e6
8.922119999999998e-11,3.12699e6
9.209619999999999e-11,3.07792e6
9.506439999999999e-11,3.02961e6
9.81277e-11,2.98207e6
1.01291e-10,2.93527e6
1.04554e-10,2.88922e6
1.07924e-10,2.84388e6
1.11402e-10,2.79928e6
1.1499200000000001e-10,2.75536e6
1.1869700000000001e-10,2.71215e6
1.22523e-10,2.6696e6
1.26471e-10,2.62774e6
1.30547e-10,2.58653e6
1.34754e-10,2.54598e6
1.3909700000000002e-10,2.50605e6
1.43579e-10,2.46677e6
1.48207e-10,2.42809e6
1.52982e-10,2.39004e6
1.57913e-10,2.35257e6
1.6300100000000001e-10,2.31571e6
1.68254e-10,2.27942e6
1.73676e-10,2.24371e6
1.79274e-10,2.20855e6
1.8505000000000002e-10,2.17396e6
1.91014e-10,2.1399e6
1.97169e-10,2.10639e6
2.03524e-10,2.0734e6
2.1008200000000003e-10,2.04093e6
2.16853e-10,2.0089700000000002e6
2.2384e-10,1.97753e6
