E(MeV),xs(mb)
1.0e-11,54155.5
1.03223e-11,53306.8
1.06549e-11,52471.9
1.0998399999999998e-11,51649.9
1.13527e-11,50841.1
1.1718599999999999e-11,50044.899999999994
1.2096199999999998e-11,49261.5
1.24861e-11,48490.200000000004
1.2888399999999999e-11,47731.399999999994
1.3303799999999998e-11,46984.399999999994
1.37325e-11,46249.399999999994
1.41751e-11,45525.799999999996
1.4631799999999997e-11,44813.9
1.51034e-11,44113.0
1.5590099999999998e-11,43423.4
1.6092599999999998e-11,42744.600000000006
1.66111e-11,42076.700000000004
1.71465e-11,41419.2
1.7699e-11,40772.3
1.8269399999999998e-11,40135.4
1.88581e-11,39508.9
1.94659e-11,38892.1
2.00931e-11,38285.200000000004
2.0740699999999998e-11,37687.8
2.1408999999999998e-11,37100.1
2.2099099999999997e-11,36521.5
2.28111e-11,35952.299999999996
2.3546399999999998e-11,35392.0
2.4305099999999997e-11,34840.7
2.50884e-11,34298.0
2.5896799999999997e-11,33764.1
2.67315e-11,33238.5
2.75928e-11,32721.5
2.8482199999999998e-11,32212.5
2.93999e-11,31711.800000000003
3.0347499999999995e-11,31218.9
3.13253e-11,30734.0
3.2335e-11,30256.699999999997
3.33769e-11,29787.1
3.44526e-11,29324.9
3.55627e-11,28870.2
3.67089e-11,28422.6
3.7891799999999997e-11,27982.300000000003
3.9113e-11,27549.0
4.0373400000000003e-11,27122.600000000002
4.1674599999999996e-11,26703.0
4.3017399999999996e-11,26290.2
4.440389999999999e-11,25883.9
4.58347e-11,25484.2
4.7311899999999994e-11,25090.8
4.883639999999999e-11,24703.8
5.0410399999999995e-11,24323.0
5.20348e-11,23948.3
5.37119e-11,23579.6
5.54426e-11,23216.899999999998
5.7229499999999995e-11,22860.0
5.907359999999999e-11,22508.9
6.09775e-11,22163.300000000003
6.29424e-11,21823.399999999998
6.497099999999999e-11,21488.999999999996
6.70645e-11,21159.9
6.9226e-11,20836.199999999997
7.145659999999999e-11,20517.699999999997
7.37596e-11,20204.399999999998
7.61364e-11,19896.2
7.85902e-11,19592.9
8.11227e-11,19294.6
8.37372e-11,19001.1
8.643549999999999e-11,18712.5
8.922119999999998e-11,18428.4
9.209619999999999e-11,18149.1
9.506439999999999e-11,17874.3
9.81277e-11,17604.0
1.01291e-10,17338.100000000002
1.04554e-10,17076.6
1.07924e-10,16819.3
1.11402e-10,16566.3
1.1499200000000001e-10,16317.4
1.1869700000000001e-10,16072.699999999999
1.22523e-10,15832.0
1.26471e-10,15595.300000000001
1.30547e-10,15362.4
1.34754e-10,15133.5
1.3909700000000002e-10,14908.300000000001
1.43579e-10,14686.9
1.48207e-10,14469.099999999999
1.52982e-10,14255.1
1.57913e-10,14044.5
1.6300100000000001e-10,13837.5
1.68254e-10,13634.0
1.73676e-10,13433.900000000001
1.79274e-10,13237.099999999999
1.8505000000000002e-10,13043.7
1.91014e-10,12853.5
1.97169e-10,12666.599999999999
2.03524e-10,12482.800000000001
2.1008200000000003e-10,12302.2
2.16853e-10,12124.6
2.2384e-10,11950.199999999999
2.31055e-10,11778.599999999999
2.385e-10,11610.0
2.46187e-10,11444.4
2.5412e-10,11281.6
2.62864e-10,11111.0
2.71909e-10,10943.6
2.81266e-10,10779.300000000001
2.90945e-10,10618.099999999999
3.0095700000000004e-10,10459.9
3.11313e-10,10304.599999999999
3.2202600000000004e-10,10152.300000000001
3.3310700000000003e-10,10002.9
