E(MeV),xs(mb)
1.0e-11,4.1310700000000005e6
1.03223e-11,4.0661199999999995e6
1.06549e-11,4.00223e6
1.0998399999999998e-11,3.93931e6
1.13527e-11,3.87741e6
1.1718599999999999e-11,3.81646e6
1.2096199999999998e-11,3.75649e6
1.24861e-11,3.69744e6
1.2888399999999999e-11,3.63935e6
1.3303799999999998e-11,3.58215e6
1.37325e-11,3.52587e6
1.41751e-11,3.47046e6
1.4631799999999997e-11,3.41594e6
1.51034e-11,3.36226e6
1.5590099999999998e-11,3.30945e6
1.6092599999999998e-11,3.25745e6
1.66111e-11,3.20628e6
1.71465e-11,3.15591e6
1.7699e-11,3.10635e6
1.8269399999999998e-11,3.05755e6
1.88581e-11,3.00953e6
1.94659e-11,2.96226e6
2.00931e-11,2.91575e6
2.0740699999999998e-11,2.86995e6
2.1408999999999998e-11,2.82489e6
2.2099099999999997e-11,2.78053e6
2.28111e-11,2.73688e6
2.3546399999999998e-11,2.69391e6
2.4305099999999997e-11,2.65163e6
2.50884e-11,2.61e6
2.5896799999999997e-11,2.56904e6
2.67315e-11,2.52871e6
2.75928e-11,2.48903e6
2.8482199999999998e-11,2.44996e6
2.93999e-11,2.41153e6
3.0347499999999995e-11,2.37368e6
3.13253e-11,2.33645e6
3.2335e-11,2.29979e6
3.33769e-11,2.26372e6
3.44526e-11,2.22821e6
3.55627e-11,2.19327e6
3.67089e-11,2.15888e6
3.7891799999999997e-11,2.12503e6
3.9113e-11,2.09171e6
4.0373400000000003e-11,2.05892e6
4.1674599999999996e-11,2.02665e6
4.3017399999999996e-11,1.99489e6
4.440389999999999e-11,1.96362e6
4.58347e-11,1.93286e6
4.7311899999999994e-11,1.90257e6
4.883639999999999e-11,1.87277e6
5.0410399999999995e-11,1.84344e6
5.20348e-11,1.81457e6
5.37119e-11,1.78615e6
5.54426e-11,1.75819e6
5.7229499999999995e-11,1.73067e6
5.907359999999999e-11,1.70358e6
6.09775e-11,1.67692e6
6.29424e-11,1.65068e6
6.497099999999999e-11,1.62486e6
6.70645e-11,1.59944e6
6.9226e-11,1.57443e6
7.145659999999999e-11,1.54981e6
7.37596e-11,1.52558e6
7.61364e-11,1.50174e6
7.85902e-11,1.47827e6
8.11227e-11,1.45517e6
8.37372e-11,1.43244e6
8.643549999999999e-11,1.41007e6
8.922119999999998e-11,1.38805e6
9.209619999999999e-11,1.36638e6
9.506439999999999e-11,1.34505e6
9.81277e-11,1.32407e6
1.01291e-10,1.30341e6
1.04554e-10,1.28308e6
1.07924e-10,1.26307e6
1.11402e-10,1.24338e6
1.1499200000000001e-10,1.224e6
1.1869700000000001e-10,1.20493e6
1.22523e-10,1.18616e6
1.26471e-10,1.16769e6
1.30547e-10,1.14951e6
