E(MeV),xs(mb)
1.0e-11,38413.2
1.03223e-11,37812.5
1.06549e-11,37221.6
1.0998399999999998e-11,36639.8
1.13527e-11,36067.4
1.1718599999999999e-11,35503.9
1.2096199999999998e-11,34949.5
1.24861e-11,34403.700000000004
1.2888399999999999e-11,33866.8
1.3303799999999998e-11,33338.2
1.37325e-11,32818.200000000004
1.41751e-11,32306.2
1.4631799999999997e-11,31802.5
1.51034e-11,31306.699999999997
1.5590099999999998e-11,30818.9
1.6092599999999998e-11,30338.699999999997
1.66111e-11,29866.3
1.71465e-11,29401.199999999997
1.7699e-11,28943.699999999997
1.8269399999999998e-11,28493.300000000003
1.88581e-11,28050.199999999997
1.94659e-11,27614.0
2.00931e-11,27184.9
2.0740699999999998e-11,26762.600000000002
2.1408999999999998e-11,26347.0
2.2099099999999997e-11,25938.0
2.28111e-11,25535.600000000002
2.3546399999999998e-11,25139.6
2.4305099999999997e-11,24749.9
2.50884e-11,24366.4
2.5896799999999997e-11,23989.1
2.67315e-11,23617.8
2.75928e-11,23252.4
2.8482199999999998e-11,22892.899999999998
2.93999e-11,22539.1
3.0347499999999995e-11,22191.0
3.13253e-11,21848.5
3.2335e-11,21511.399999999998
3.33769e-11,21179.899999999998
3.44526e-11,20853.5
3.55627e-11,20532.499999999996
3.67089e-11,20216.6
3.7891799999999997e-11,19905.8
3.9113e-11,19600.0
4.0373400000000003e-11,19299.1
4.1674599999999996e-11,19003.1
4.3017399999999996e-11,18711.899999999998
4.440389999999999e-11,18425.3
4.58347e-11,18143.4
4.7311899999999994e-11,17866.0
4.883639999999999e-11,17593.2
5.0410399999999995e-11,17324.7
5.20348e-11,17060.7
5.37119e-11,16800.8
5.54426e-11,16545.3
5.7229499999999995e-11,16293.9
5.907359999999999e-11,16046.6
6.09775e-11,15803.199999999999
6.29424e-11,15563.9
6.497099999999999e-11,15328.5
6.70645e-11,15097.0
6.9226e-11,14869.2
7.145659999999999e-11,14645.2
7.37596e-11,14424.8
7.61364e-11,14208.099999999999
7.85902e-11,13994.9
8.11227e-11,13785.300000000001
8.37372e-11,13579.000000000002
8.643549999999999e-11,13376.300000000001
8.922119999999998e-11,13176.8
9.209619999999999e-11,12980.7
9.506439999999999e-11,12787.900000000001
9.81277e-11,12598.199999999999
1.01291e-10,12411.7
1.04554e-10,12228.300000000001
1.07924e-10,12048.000000000002
1.11402e-10,11870.7
1.1499200000000001e-10,11696.4
1.1869700000000001e-10,11525.0
1.22523e-10,11356.5
1.26471e-10,11190.800000000001
1.30547e-10,11028.0
1.34754e-10,10867.9
1.3909700000000002e-10,10710.5
1.43579e-10,10555.8
1.48207e-10,10403.7
1.52982e-10,10254.300000000001
1.57913e-10,10107.4
1.6300100000000001e-10,9963.050000000001
1.68254e-10,9821.15
1.74044e-10,9672.51
1.80033e-10,9526.619999999999
1.86229e-10,9383.43
1.92637e-10,9242.900000000001
1.9926600000000002e-10,9105.0
2.06123e-10,8969.67
2.1321599999999998e-10,8836.880000000001
2.20553e-10,8706.58
2.28142e-10,8578.75
2.35993e-10,8453.34
2.4411299999999997e-10,8330.32
2.52514e-10,8209.64
2.61203e-10,8091.28
2.70191e-10,7975.19
2.7948900000000003e-10,7861.34
2.89106e-10,7749.7
2.99055e-10,7640.23
3.09346e-10,7532.9
3.19991e-10,7427.679999999999
3.31002e-10,7324.530000000001
3.42392e-10,7223.42
3.54174e-10,7124.32
3.6636099999999997e-10,7027.2
3.78968e-10,6932.04
3.92009e-10,6838.79
4.0549900000000004e-10,6747.42
4.19452e-10,6657.92
4.3388600000000006e-10,6570.25
4.4881700000000003e-10,6484.39
4.6426100000000007e-10,6400.299999999999
4.81252e-10,6312.87
4.98867e-10,6227.37
5.17125e-10,6143.79
5.360540000000001e-10,6062.08
5.55672e-10,5982.22
5.76012e-10,5904.16
5.97092e-10,5827.9
6.18948e-10,5753.37
6.416e-10,5680.589999999999
6.650850000000001e-10,5609.48
6.89426e-10,5540.05
7.14661e-10,5472.24
7.40816e-10,5406.049999999999
7.679330000000001e-10,5341.43
7.960380000000001e-10,5278.37
8.2692e-10,5213.25
8.59e-10,5149.81
8.92325e-10,5088.009999999999
9.26943e-10,5027.820000000001
9.62904e-10,4969.2
1.00026e-9,4912.14
1.0390600000000001e-9,4856.59
1.07938e-9,4802.53
1.1212500000000002e-9,4749.92
1.16722e-9,4695.929999999999
1.2150600000000001e-9,4643.5
1.26488e-9,4592.58
1.31673e-9,4543.14
1.3707100000000001e-9,4495.15
1.42689e-9,4448.58
1.48853e-9,4401.04
1.5528300000000001e-9,4355.0
1.61991e-9,4310.4
1.68989e-9,4267.21
1.76289e-9,4225.4
1.8429300000000002e-9,4182.9400000000005
1.9266100000000002e-9,4141.91
2.01409e-9,4102.26
2.10554e-9,4063.9700000000003
2.2058e-9,4025.25
2.31084e-9,3987.91
2.42088e-9,3951.91
2.5361600000000005e-9,3917.21
2.66255e-9,3882.27
2.7952400000000004e-9,3848.65
2.9345500000000004e-9,3816.29
3.0873200000000005e-9,3783.84
3.2480400000000003e-9,3752.6600000000003
3.42435e-9,3721.48
3.6102500000000004e-9,3691.59
3.81429e-9,3661.79
4.02986e-9,3633.2599999999998
4.26662e-9,3604.91
4.51731e-9,3577.7999999999997
4.7928400000000006e-9,3550.9300000000003
5.085180000000001e-9,3525.2799999999997
5.40675e-9,3499.93
5.74869e-9,3475.75
6.1251800000000006e-9,3451.91
6.54012e-9,3428.46
6.98321e-9,3406.16
7.47208e-9,3384.27
8.01208e-9,3362.8399999999997
8.60931e-9,3341.9
9.27066e-9,3321.48
1.00039e-8,3301.6200000000003
1.0818000000000001e-8,3282.33
1.17231e-8,3263.64
1.2730900000000001e-8,3245.55
1.3854500000000002e-8,3228.0899999999997
1.51092e-8,3211.2599999999998
1.65125e-8,3195.05
1.81225e-8,3179.1299999999997
1.9931700000000003e-8,3163.89
2.2014300000000004e-8,3149.0
2.4365999999999998e-8,3134.82
2.52522e-8,3130.06
2.5299999999999998e-8,3129.81
2.8181e-8,3116.13
3.15229e-8,3102.9300000000003
3.54108e-8,3090.23
3.99465e-8,3078.0699999999997
4.52544e-8,3066.4500000000003
5.1593799999999994e-8,3055.2000000000003
5.91953e-8,3044.39
6.834920000000001e-8,3034.04
7.942100000000001e-8,3024.19
9.28735e-8,3014.86
1.0952699999999999e-7,3005.94
1.30264e-7,2997.47
1.56573e-7,2989.41
1.90197e-7,2981.78
2.33991e-7,2974.5499999999997
2.91544e-7,2967.7799999999997
3.68672e-7,2961.42
4.7415399999999995e-7,2955.48
6.228519999999999e-7,2949.91
8.37433e-7,2944.73
1.14989e-6,2940.0400000000004
3.38178e-6,2928.81
2.04629e-5,2918.88
0.000594635,2882.19
0.0025396999999999998,2789.18
0.0048836800000000005,2701.16
0.007704,2618.75
0.0111093,2542.03
0.015300000000000001,2470.08
0.0204001,2403.75
0.0262304,2346.8300000000004
0.026374,2346.37
0.026588300000000002,2351.62
0.0266447,2362.94
0.0266748,2382.61
0.0266884,2402.93
0.026696900000000003,2424.7000000000003
0.0267035,2451.23
0.0267082,2479.28
0.0267129,2520.48
0.0267164,2566.09
0.0267187,2608.23
0.0267209,2659.1
0.026722700000000002,2720.5699999999997
0.0267242,2782.14
0.0267256,2863.67
0.0267265,2933.57
0.026727400000000002,3020.18
0.0267284,3125.39
0.026729,3209.64
0.0267296,3307.44
0.026730200000000003,3421.03
0.026730800000000002,3552.9
0.026731400000000002,3705.7799999999997
0.026732000000000002,3882.67
0.0267326,4061.73
0.026733,4236.570000000001
0.0267335,4430.84
0.026734,4646.12
0.0267344,4884.0
0.026734900000000002,5146.02
0.0267354,5433.62
0.0267359,5748.12
0.0267363,6090.740000000001
0.0267368,6462.469999999999
0.0267373,6863.97
0.026737700000000003,7295.650000000001
0.0267382,7757.61
0.026738900000000003,8506.38
0.026739600000000002,9319.4
0.0267403,10167.0
0.0267412,11353.1
0.0267425,13153.1
0.026744300000000002,15644.6
0.026745,16630.100000000002
0.026745800000000004,17540.100000000002
0.026746500000000003,18349.100000000002
0.026747299999999998,19032.899999999998
0.026747899999999998,19451.0
0.026748400000000002,19779.2
0.026749000000000002,20029.499999999996
0.0267497,20158.399999999998
0.02675,20176.4
0.0267507,20099.100000000002
0.026751200000000003,19930.3
0.026751999999999998,19564.7
0.026752699999999997,19055.6
0.0267535,18339.399999999998
0.0267541,17614.9
0.0267548,16806.8
0.026755900000000003,15324.5
0.0267584,11877.7
0.0267595,10442.6
0.026760199999999998,9544.21
0.0267609,8704.08
0.0267616,7938.17
0.026762100000000004,7464.5599999999995
0.0267625,7021.17
0.026763,6608.04
0.0267635,6224.89
0.026764000000000003,5871.139999999999
0.0267644,5545.92
0.026764899999999998,5248.070000000001
0.0267654,4976.33
0.0267658,4729.3
0.0267663,4505.49
0.026766800000000004,4303.3
0.0267673,4121.16
0.0267677,3957.49
0.026768200000000002,3810.75
0.026768800000000002,3653.35
0.026769400000000002,3493.9
0.0267701,3358.4100000000003
0.0267708,3243.42
0.0267714,3145.82
0.0267721,3062.89
0.026773099999999998,2960.95
0.0267742,2871.9199999999996
0.026775600000000004,2789.83
0.026776900000000003,2727.51
0.0267783,2678.9700000000003
0.0267801,2628.93
0.026782200000000003,2585.36
0.026785700000000003,2532.58
0.026789200000000003,2495.92
0.026795100000000002,2455.07
0.026799800000000002,2433.1800000000003
0.0268087,2405.97
0.026817700000000003,2389.25
0.026836500000000003,2369.83
0.0268778,2353.39
0.026983100000000003,2343.23
0.0283132,2328.5499999999997
0.0371091,2267.71
0.0490142,2206.2599999999998
0.0653499,2142.55
0.0828844,2089.45
0.0829303,2089.44
0.0835263,2094.1
0.08369440000000002,2105.02
0.0837641,2118.25
0.0838077,2135.0699999999997
0.0838441,2161.4900000000002
0.083867,2190.67
0.0838823,2220.5499999999997
0.08389379999999999,2252.17
0.0839052,2296.32
0.0839146,2346.69
0.0839208,2391.02
0.08392709999999999,2447.7000000000003
0.0839322,2507.05
0.0839362,2564.39
0.08394019999999999,2634.27
0.08394420000000001,2720.53
0.0839477,2814.25
0.0839508,2912.5299999999997
0.0839538,3030.9300000000003
0.08395609999999999,3135.84
0.0839584,3257.22
0.0839607,3397.77
0.083963,3560.3199999999997
0.0839653,3747.79
0.0839676,3962.92
0.08396990000000001,4207.950000000001
0.08397220000000001,4484.200000000001
0.0839745,4791.65
0.08397679999999999,5128.36
0.08397980000000001,5615.1900000000005
0.0839867,6761.36
0.0839892,7152.009999999999
0.0839911,7413.75
0.083993,7638.950000000001
0.0839947,7805.91
0.0839964,7930.5599999999995
0.08399820000000001,8008.950000000001
0.084,8038.73
0.0840015,8022.119999999999
0.0840029,7970.7
0.08400439999999999,7885.67
0.0840064,7709.139999999999
0.0840083,7499.259999999999
0.08401020000000001,7250.03
0.0840121,6970.0199999999995
0.0840159,6353.259999999999
0.0840205,5584.25
0.0840235,5101.849999999999
0.08402580000000001,4768.99
0.08402810000000001,4465.59
0.0840304,4193.27
0.08403269999999999,3951.9500000000003
0.084035,3740.1499999999996
0.0840373,3555.62
0.08403959999999999,3395.57
0.0840419,3257.1400000000003
0.0840442,3137.48
0.08404650000000001,3033.9700000000003
0.0840495,2917.0
0.0840526,2819.77
0.0840564,2720.11
0.0840602,2639.36
0.084064,2573.13
0.08406790000000001,2518.17
0.0840738,2449.43
0.08407980000000001,2395.99
0.0840887,2335.62
0.08409929999999999,2284.41
0.084107,2256.7599999999998
0.0841223,2216.39
0.0841375,2188.82
0.0841643,2157.87
0.0841987,2134.9300000000003
0.0842598,2114.23
0.0843744,2098.84
0.0846418,2088.7400000000002
0.0863229,2079.64
0.0906169,2070.89
0.0917554,2075.93
0.0921246,2087.59
0.0922631,2099.66
0.09235150000000002,2114.3399999999997
0.09243230000000001,2139.3300000000004
0.09248659999999999,2170.2
0.0925184,2199.0099999999998
0.0925464,2236.67
0.0925648,2271.2
0.0925831,2318.1
0.0925985,2372.03
0.09261,2425.44
0.09262150000000001,2495.0299999999997
0.0926292,2553.92
0.09263690000000001,2626.48
0.0926446,2717.37
0.09265090000000001,2809.7
0.0926556,2893.09
0.09266030000000001,2991.98
0.09266500000000001,3110.58
0.0926681,3203.32
0.09267170000000001,3326.08
0.0926747,3446.53
0.0926778,3585.75
0.0926808,3747.7999999999997
0.09268380000000001,3937.79
0.09268660000000001,4142.97
0.0926889,4339.23
0.09269119999999999,4563.98
0.0926935,4822.129999999999
0.0926958,5119.360000000001
0.09269740000000001,5342.3
0.0926989,5587.43
0.09270049999999999,5856.82
0.092702,6152.58
0.09270350000000001,6476.8
0.0927051,6831.45
0.0927066,7218.3
0.0927082,7638.76
0.0927097,8093.819999999999
0.0927117,8737.69
0.0927135,9383.53
0.0927154,10075.8
0.0927178,11061.7
0.0927225,13032.2
0.09272570000000001,14411.8
0.0927278,15277.9
0.09273020000000001,16130.1
0.09273210000000001,16724.600000000002
0.09273400000000001,17210.399999999998
0.09273590000000001,17570.5
0.09273780000000001,17791.399999999998
0.09273949999999999,17863.899999999998
0.0927399,17864.100000000002
0.09274139999999999,17802.100000000002
0.092743,17642.0
0.0927446,17371.7
0.09274639999999999,16962.4
0.0927482,16447.9
0.09275,15843.5
0.09275230000000001,14927.900000000001
0.0927557,13508.1
0.0927611,11152.3
0.09276350000000001,10133.5
0.0927656,9328.66
0.09276770000000001,8583.28
0.0927698,7902.03
0.0927718,7286.450000000001
0.0927732,6912.06
0.0927748,6528.63
0.0927763,6178.04
0.09277780000000001,5858.34
0.0927794,5567.5
0.09278090000000001,5303.3
0.0927825,5063.5599999999995
0.09278399999999999,4846.110000000001
0.0927863,4557.23
0.0927886,4307.41
0.0927909,4090.8499999999995
0.0927932,3902.56
0.0927955,3738.2200000000003
0.09279780000000001,3594.21
0.09280010000000001,3468.44
0.0928036,3306.28
0.092807,3170.0499999999997
0.09281040000000002,3054.57
0.0928139,2955.87
0.09281790000000001,2856.43
0.0928233,2748.71
0.0928286,2660.93
0.09283390000000001,2588.46
0.0928411,2509.9900000000002
0.0928485,2444.94
0.0928562,2390.7
0.09286770000000001,2327.77
0.0928754,2294.85
0.09289080000000001,2244.11
0.09290620000000001,2207.42
0.0929275,2171.29
0.0929489,2146.1299999999997
0.0929804,2121.07
0.0930323,2096.92
0.09310919999999999,2079.0
0.09324769999999999,2065.9
0.0936169,2057.4300000000003
0.10192300000000001,2041.81
0.103578,2046.7499999999998
0.10416000000000002,2057.9100000000003
0.104415,2071.7400000000002
0.10456900000000001,2089.1000000000004
0.10467100000000001,2110.3999999999996
0.104745,2136.6800000000003
0.104791,2161.8599999999997
0.10483300000000001,2195.42
0.10486100000000001,2227.5
0.10488900000000001,2271.68
0.10491,2314.94
0.10493,2372.84
0.10494600000000001,2430.32
0.104961,2505.4500000000003
0.104971,2569.2599999999998
0.10498099999999999,2641.66
0.10499000000000001,2731.1
0.10499700000000001,2812.8799999999997
0.10500400000000001,2911.0299999999997
0.105009,2987.86
0.105015,3103.57
0.10502,3205.63
0.105024,3323.87
0.105029,3461.97
0.105033,3624.58
0.105037,3796.2799999999997
0.10504000000000001,3944.61
0.105043,4112.92
0.105046,4304.86
0.10505,4524.61
0.10505300000000001,4777.63
0.105056,5069.67
0.10505800000000001,5289.5
0.10506,5532.320000000001
0.10506200000000002,5800.360000000001
0.105064,6096.429999999999
0.10506599999999999,6422.98
0.10506800000000001,6745.56
0.10507,7096.75
0.10507100000000001,7478.469999999999
