E(MeV),xs(mb)
1.0e-11,1.0306e7
1.03223e-11,1.01438e7
1.06549e-11,9.98431e6
1.0998399999999998e-11,9.82722e6
1.13527e-11,9.67266e6
1.1718599999999999e-11,9.52048e6
1.2096199999999998e-11,9.37075e6
1.24861e-11,9.22332e6
1.2888399999999999e-11,9.07827e6
1.3303799999999998e-11,8.93544e6
1.37325e-11,8.79492e6
1.41751e-11,8.65655e6
1.4631799999999997e-11,8.52041e6
1.51034e-11,8.386369999999999e6
1.5590099999999998e-11,8.254479999999999e6
1.6092599999999998e-11,8.12463e6
1.66111e-11,7.99686e6
1.71465e-11,7.87106e6
1.7699e-11,7.74728e6
1.8269399999999998e-11,7.62541e6
1.88581e-11,7.50549e6
1.94659e-11,7.38743e6
2.00931e-11,7.27126e6
2.0740699999999998e-11,7.15688e6
2.1408999999999998e-11,7.04434e6
2.2099099999999997e-11,6.93353e6
2.28111e-11,6.82451e6
2.3546399999999998e-11,6.71716e6
2.4305099999999997e-11,6.61154e6
2.50884e-11,6.50755e6
2.5896799999999997e-11,6.40522e6
2.67315e-11,6.30448e6
2.75928e-11,6.20535e6
2.8482199999999998e-11,6.10776e6
2.93999e-11,6.01173e6
3.0347499999999995e-11,5.91718e6
3.13253e-11,5.82415e6
3.2335e-11,5.73256e6
3.33769e-11,5.64243e6
3.44526e-11,5.5537e6
3.55627e-11,5.46638e6
3.67089e-11,5.38042e6
3.7891799999999997e-11,5.29584e6
3.9113e-11,5.21257e6
4.0373400000000003e-11,5.13062e6
4.1674599999999996e-11,5.04995e6
4.3017399999999996e-11,4.97057e6
4.440389999999999e-11,4.89242e6
4.58347e-11,4.81551e6
4.7311899999999994e-11,4.7398e6
4.883639999999999e-11,4.6653e6
5.0410399999999995e-11,4.59196e6
5.20348e-11,4.51978e6
5.37119e-11,4.44873e6
5.54426e-11,4.37881e6
5.7229499999999995e-11,4.30998e6
5.907359999999999e-11,4.24224e6
6.09775e-11,4.17556e6
6.29424e-11,4.10994e6
6.497099999999999e-11,4.04535e6
6.70645e-11,3.98178e6
6.9226e-11,3.9192e6
7.145659999999999e-11,3.85762e6
7.37596e-11,3.79699e6
7.61364e-11,3.73734e6
7.85902e-11,3.67861e6
8.11227e-11,3.62081e6
8.37372e-11,3.56392e6
8.643549999999999e-11,3.50793e6
8.922119999999998e-11,3.45282e6
9.209619999999999e-11,3.39858e6
9.506439999999999e-11,3.34519e6
9.81277e-11,3.29265e6
1.01291e-10,3.24091e6
1.04554e-10,3.19002e6
1.07924e-10,3.13991e6
1.11402e-10,3.0906e6
1.1499200000000001e-10,3.04206e6
1.1869700000000001e-10,2.9943e6
1.22523e-10,2.94727e6
1.26471e-10,2.901e6
1.30547e-10,2.85544e6
1.34754e-10,2.81061e6
1.3909700000000002e-10,2.76648e6
1.43579e-10,2.72306e6
1.48207e-10,2.6803e6
1.52982e-10,2.63824e6
1.57913e-10,2.59682e6
1.6300100000000001e-10,2.55607e6
1.68254e-10,2.51594e6
1.73676e-10,2.47647e6
1.79274e-10,2.4376e6
1.8505000000000002e-10,2.39935e6
1.91014e-10,2.3617e6
1.97169e-10,2.32465e6
2.03524e-10,2.28818e6
2.1008200000000003e-10,2.25228e6
2.16853e-10,2.21695e6
2.2384e-10,2.18218e6
2.31055e-10,2.14795e6
2.385e-10,2.11427e6
2.46187e-10,2.0811099999999998e6
2.5412e-10,2.04848e6
2.6231e-10,2.01635e6
2.70762e-10,1.98474e6
2.7948900000000003e-10,1.95362e6
2.88494e-10,1.923e6
2.9779300000000004e-10,1.89285e6
3.07388e-10,1.86319e6
3.1729500000000004e-10,1.83398e6
3.27519e-10,1.80524e6
3.38075e-10,1.77695e6
3.4896900000000003e-10,1.74911e6
3.6021600000000004e-10,1.7217e6
3.7182300000000004e-10,1.69473e6
3.83807e-10,1.66818e6
3.96174e-10,1.64205e6
4.08943e-10,1.61633e6
4.2212e-10,1.59102e6
4.3572499999999996e-10,1.5661e6
4.4976500000000005e-10,1.54158e6
4.6426100000000007e-10,1.51744e6
4.79221e-10,1.49368e6
4.94666e-10,1.47029e6
5.10605e-10,1.44728e6
5.270620000000001e-10,1.42463e6
5.440450000000001e-10,1.40233e6
5.6158e-10,1.38038e6
5.796750000000001e-10,1.35878e6
5.98358e-10,1.33752e6
6.176389999999999e-10,1.3166e6
6.37545e-10,1.296e6
6.58089e-10,1.27573e6
6.79298e-10,1.25577e6
7.01188e-10,1.23613e6
7.237860000000001e-10,1.2168e6
7.47109e-10,1.19777e6
7.71188e-10,1.17904e6
7.960380000000001e-10,1.16061e6
8.21693e-10,1.14247e6
8.48171e-10,1.12461e6
8.75507e-10,1.10703e6
9.037190000000002e-10,1.08973e6
9.32845e-10,1.0727e6
9.62904e-10,1.05594e6
9.93937e-10,1.0394399999999999e6
1.0259700000000001e-9,1.0232000000000001e6
1.05903e-9,1.00722e6
1.09316e-9,991485.9999999999
1.12839e-9,975999.0
1.16475e-9,960758.0
1.2022900000000002e-9,945754.0
1.2410300000000002e-9,930988.9999999999
1.28103e-9,916452.9999999999
1.3223100000000002e-9,902147.0000000001
1.36492e-9,888064.0
1.4089000000000002e-9,874203.9999999999
1.4543100000000001e-9,860560.0000000001
1.5011699999999999e-9,847132.0
1.5495600000000002e-9,833912.0
1.5994900000000002e-9,820902.0000000001
1.6510400000000001e-9,808094.0
1.7042400000000001e-9,795490.0
1.75917e-9,783081.0
1.81585e-9,770869.0
1.87438e-9,758846.0
1.9347700000000003e-9,747014.0
1.99713e-9,735365.0
2.06148e-9,723901.0
2.1279200000000002e-9,712616.0
2.19649e-9,701508.0
2.26728e-9,690574.0
2.3403400000000002e-9,679812.0
2.4157700000000002e-9,669217.0
2.49362e-9,658790.0
2.5739800000000002e-9,648525.0
2.65692e-9,638422.0
2.7425500000000002e-9,628476.0
2.8309300000000003e-9,618688.0
2.92217e-9,609051.0
3.01633e-9,599566.0
3.11354e-9,590229.0
3.21387e-9,581039.0
3.3174500000000004e-9,571992.0
3.42435e-9,563087.0
3.53471e-9,554321.0
3.6486100000000003e-9,545693.0
3.7662000000000005e-9,537198.0
3.88757e-9,528838.0
4.01286e-9,520607.00000000006
4.14217e-9,512506.00000000006
4.2756600000000005e-9,504531.0
4.41344e-9,496682.0
4.55568e-9,488954.0
4.7024800000000005e-9,481348.0
4.85404e-9,473860.0
5.01045e-9,466491.0
5.17193e-9,459235.0
5.338590000000001e-9,452094.00000000006
5.510650000000001e-9,445064.0
5.688220000000001e-9,438145.0
5.871540000000001e-9,431332.99999999994
6.06075e-9,424629.0
6.256080000000001e-9,418028.0
6.4576700000000005e-9,411531.0
6.665790000000001e-9,405135.0
6.8805900000000005e-9,398840.0
7.1023400000000005e-9,392642.0
7.33121e-9,386542.0
7.56748e-9,380537.0
7.81133e-9,374626.0
8.06308e-9,368806.0
8.32291e-9,363079.0
8.59114e-9,357440.0
8.86798e-9,351890.0
9.15378e-9,346427.0
9.44875e-9,341050.0
9.753270000000001e-9,335756.0
1.0067600000000001e-8,330547.0
1.0392e-8,325419.0
1.07269e-8,320372.0
1.10726e-8,315404.0
1.1429400000000001e-8,310515.0
1.17978e-8,305702.0
1.21779e-8,300966.0
1.25704e-8,296304.0
1.29755e-8,291716.0
1.33937e-8,287200.0
1.3825300000000001e-8,282756.0
1.42708e-8,278382.0
1.4730700000000002e-8,274077.0
1.52054e-8,269840.0
1.56954e-8,265671.0
1.62012e-8,261568.99999999997
1.67233e-8,257532.0
1.72623e-8,253560.0
1.78185e-8,249651.99999999997
1.83928e-8,245806.0
1.89855e-8,242024.00000000003
1.9597400000000002e-8,238302.0
2.02289e-8,234642.00000000003
2.0880800000000003e-8,231041.0
2.15537e-8,227498.99999999997
2.2248299999999998e-8,224016.0
2.2965200000000002e-8,220590.99999999997
2.37054e-8,217223.0
2.4469300000000002e-8,213912.0
2.52522e-8,210679.99999999997
2.5299999999999998e-8,210487.0
2.61154e-8,207290.00000000003
2.69569e-8,204148.0
2.7825700000000004e-8,201059.0
2.8722400000000002e-8,198024.0
2.9648e-8,195041.0
3.06034e-8,192111.0
3.1589700000000004e-8,189233.0
3.26077e-8,186406.0
3.36586e-8,183631.0
3.47432e-8,180907.0
3.58629e-8,178234.0
3.70185e-8,175612.0
3.8211599999999997e-8,173039.0
3.94429e-8,170517.0
4.07141e-8,168044.0
4.20261e-8,165621.0
4.33805e-8,163248.0
4.4778399999999994e-8,160925.0
4.622150000000001e-8,158651.0
4.7710999999999996e-8,156428.0
4.92486e-8,154254.0
5.0835600000000004e-8,152131.0
5.2474e-8,150057.0
5.41649e-8,148034.0
5.59105e-8,146061.0
5.77122e-8,144139.0
5.95722e-8,142269.0
6.149180000000001e-8,140450.0
6.347360000000001e-8,138684.0
6.5519e-8,136972.0
6.76305e-8,135314.0
6.980990000000001e-8,133712.0
7.20597e-8,132167.0
7.43818e-8,130678.99999999999
7.661660000000001e-8,129343.99999999999
7.89186e-8,128061.0
8.128980000000001e-8,126831.99999999999
8.37322e-8,125658.0
8.62481e-8,124540.99999999999
8.883940000000001e-8,123484.0
9.15087e-8,122488.0
9.425820000000001e-8,121554.99999999999
9.70902e-8,120687.00000000001
1.00007e-7,119888.0
1.0301199999999998e-7,119160.0
1.0588299999999998e-7,118551.99999999999
1.0883400000000001e-7,118011.0
1.1186799999999998e-7,117541.0
1.14985e-7,117146.0
1.1818999999999999e-7,116829.99999999999
1.2148399999999998e-7,116597.0
1.24606e-7,116460.99999999999
1.27808e-7,116405.0
1.2835e-7,116402.99999999999
1.31557e-7,116445.0
1.34938e-7,116577.0
1.38113e-7,116785.0
1.41363e-7,117079.0
1.4469e-7,117467.00000000001
1.48095e-7,117954.0
1.5126e-7,118490.0
1.54492e-7,119121.00000000001
1.57794e-7,119853.00000000001
1.61166e-7,120693.99999999999
1.64262e-7,121551.00000000001
1.67418e-7,122510.00000000001
1.70634e-7,123579.0
1.73913e-7,124766.0
1.7687999999999998e-7,125926.99999999999
1.79898e-7,127194.99999999999
1.8296699999999997e-7,128580.0
1.86088e-7,130088.0
1.88863e-7,131518.0
1.9167899999999998e-7,133057.0
1.94537e-7,134714.0
1.97439e-7,136498.0
1.99959e-7,138134.0
2.0251199999999998e-7,139877.0
2.05098e-7,141733.0
2.07717e-7,143711.0
2.1036899999999997e-7,145819.0
2.13055e-7,148067.0
2.1531899999999997e-7,150053.0
2.1760799999999997e-7,152150.0
2.1991999999999997e-7,154364.0
2.2225799999999998e-7,156704.0
2.2461999999999998e-7,159176.0
2.27008e-7,161792.0
2.2942e-7,164560.0
2.3136899999999996e-7,166892.0
2.3333400000000002e-7,169334.0
2.35316e-7,171894.0
2.3731499999999998e-7,174577.0
2.39331e-7,177392.0
2.41364e-7,180347.0
2.43414e-7,183451.0
2.45481e-7,186712.0
2.47566e-7,190141.0
2.49142e-7,192831.0
2.50727e-7,195625.0
2.5232299999999995e-7,198532.0
2.5392899999999997e-7,201554.0
2.55545e-7,204701.99999999997
