E(MeV),xs(mb)
1.0e-11,86464.20000000001
1.03223e-11,85144.8
1.06549e-11,83847.40000000001
1.0998399999999998e-11,82570.5
1.13527e-11,81314.9
1.1718599999999999e-11,80079.1
1.2096199999999998e-11,78864.0
1.24861e-11,77668.2
1.2888399999999999e-11,76492.4
1.3303799999999998e-11,75335.3
1.37325e-11,74197.6
1.41751e-11,73078.1
1.4631799999999997e-11,71977.4
1.51034e-11,70894.3
1.5590099999999998e-11,69829.40000000001
1.6092599999999998e-11,68781.7
1.66111e-11,67751.5
1.71465e-11,66738.09999999999
1.7699e-11,65741.7
1.8269399999999998e-11,64761.4
1.88581e-11,63797.7
1.94659e-11,62849.700000000004
2.00931e-11,61917.799999999996
2.0740699999999998e-11,61001.1
2.1408999999999998e-11,60099.9
2.2099099999999997e-11,59213.6
2.28111e-11,58342.299999999996
2.3546399999999998e-11,57485.4
2.4305099999999997e-11,56643.100000000006
2.50884e-11,55814.700000000004
2.5896799999999997e-11,55000.5
2.67315e-11,54199.9
2.75928e-11,53413.00000000001
2.8482199999999998e-11,52639.3
2.93999e-11,51878.9
3.0347499999999995e-11,51131.3
3.13253e-11,50396.6
3.2335e-11,49674.3
3.33769e-11,48964.600000000006
3.44526e-11,48266.9
3.56381e-11,47535.99999999999
3.6864499999999996e-11,46818.5
3.8132999999999995e-11,46114.4
3.94452e-11,45423.200000000004
4.08026e-11,44744.9
4.22067e-11,44079.2
4.3659e-11,43426.0
4.5161399999999996e-11,42785.0
4.6715499999999995e-11,42156.0
4.8322999999999994e-11,41538.899999999994
4.998579999999999e-11,40933.5
5.1705899999999994e-11,40339.600000000006
5.3485199999999996e-11,39756.9
5.53257e-11,39185.4
5.7229499999999995e-11,38624.9
5.919879999999999e-11,38075.1
6.12359e-11,37535.9
6.33431e-11,37007.2
6.55228e-11,36488.8
6.77775e-11,35980.4
7.010979999999999e-11,35482.1
7.252239999999999e-11,34993.5
7.5018e-11,34514.6
7.75994e-11,34045.1
8.026969999999999e-11,33585.0
8.303190000000001e-11,33134.1
8.58891e-11,32692.3
8.88447e-11,32259.3
9.190189999999999e-11,31835.100000000002
9.506439999999999e-11,31419.5
9.85435e-11,30987.300000000003
1.02151e-10,30564.300000000003
1.0588900000000001e-10,30150.7
1.0976500000000001e-10,29746.100000000002
1.1378200000000001e-10,29350.5
1.1794700000000002e-10,28963.5
1.22264e-10,28585.3
1.26739e-10,28215.4
1.3137700000000002e-10,27853.9
1.36187e-10,27500.5
1.4117e-10,27155.100000000002
1.46338e-10,26817.5
1.51693e-10,26487.699999999997
1.57246e-10,26165.4
1.6300100000000001e-10,25850.6
1.6932400000000002e-10,25525.1
1.7589300000000003e-10,25207.7
1.82717e-10,24897.999999999996
1.89806e-10,24596.100000000002
1.97169e-10,24301.6
2.04818e-10,24014.5
2.12764e-10,23734.600000000002
2.2101799999999999e-10,23461.699999999997
2.2959299999999998e-10,23195.7
2.39006e-10,22922.2
2.4880300000000004e-10,22656.0
2.59003e-10,22397.0
2.6961900000000004e-10,22144.9
2.80673e-10,21899.600000000002
2.92178e-10,21661.0
3.0415700000000004e-10,21428.8
3.1729500000000004e-10,21191.300000000003
3.31002e-10,20960.5
3.453e-10,20736.3
3.6021600000000004e-10,20518.5
3.75777e-10,20307.0
3.9283800000000004e-10,20091.399999999998
4.1067600000000004e-10,19882.3
4.2932100000000003e-10,19679.5
4.4881700000000003e-10,19482.7
4.69194e-10,19291.899999999998
4.91536e-10,19098.1
5.14942e-10,18910.4
5.39463e-10,18728.6
5.65152e-10,18552.4
5.933180000000001e-10,18374.1
6.228850000000001e-10,18201.6
6.53929e-10,18034.600000000002
6.87972e-10,17866.2
7.237860000000001e-10,17703.4
7.61465e-10,17546.0
8.027990000000002e-10,17387.600000000002
8.46382e-10,17234.7
8.92325e-10,17087.0
9.42757e-10,16938.8
9.96039e-10,16795.899999999998
1.05233e-9,16658.0
1.11416e-9,16519.9
1.17962e-9,16386.8
