E(MeV),xs(mb)
1.0e-11,104112.0
1.03223e-11,102479.00000000001
1.06549e-11,100872.0
1.0998399999999998e-11,99290.1
1.13527e-11,97733.79999999999
1.1718599999999999e-11,96201.5
1.2096199999999998e-11,94693.90000000001
1.24861e-11,93209.59999999999
1.2888399999999999e-11,91749.3
1.3303799999999998e-11,90311.6
1.37325e-11,88897.0
1.41751e-11,87504.4
1.4631799999999997e-11,86134.2
1.51034e-11,84785.2
1.5590099999999998e-11,83458.0
1.6092599999999998e-11,82151.3
1.66111e-11,80865.7
1.71465e-11,79600.0
1.7699e-11,78354.79999999999
1.8269399999999998e-11,77128.9
1.88581e-11,75922.7
1.94659e-11,74735.3
2.00931e-11,73567.0
2.0740699999999998e-11,72416.90000000001
2.1408999999999998e-11,71285.3
2.2099099999999997e-11,70171.3
2.28111e-11,69075.3
2.3546399999999998e-11,67996.3
2.4305099999999997e-11,66934.7
2.50884e-11,65889.7
2.5896799999999997e-11,64861.5
2.67315e-11,63849.4
2.75928e-11,62853.6
2.8482199999999998e-11,61873.3
2.93999e-11,60908.8
3.0347499999999995e-11,59959.4
3.13253e-11,59025.299999999996
3.2335e-11,58105.799999999996
3.33769e-11,57201.2
3.44526e-11,56310.700000000004
3.55627e-11,55434.5
3.67089e-11,54572.1
3.7891799999999997e-11,53723.6
3.9113e-11,52888.5
4.0373400000000003e-11,52066.8
4.1674599999999996e-11,51258.0
4.3017399999999996e-11,50462.2
4.440389999999999e-11,49679.0
4.58347e-11,48908.4
4.7311899999999994e-11,48150.00000000001
4.883639999999999e-11,47403.8
5.0410399999999995e-11,46669.299999999996
5.20348e-11,45946.8
5.37119e-11,45235.6
5.54426e-11,44535.9
5.7229499999999995e-11,43847.3
5.907359999999999e-11,43169.8
6.09775e-11,42503.1
6.29424e-11,41847.1
6.497099999999999e-11,41201.5
6.70645e-11,40566.4
6.9226e-11,39941.3
7.145659999999999e-11,39326.4
7.37596e-11,38721.2
7.61364e-11,38125.9
7.85902e-11,37540.0
8.11227e-11,36963.6
8.37372e-11,36396.4
8.643549999999999e-11,35838.5
8.922119999999998e-11,35289.4
9.209619999999999e-11,34749.2
9.506439999999999e-11,34217.7
9.81277e-11,33694.799999999996
1.01291e-10,33180.200000000004
1.04554e-10,32674.2
1.07924e-10,32176.100000000002
1.11402e-10,31686.2
1.1499200000000001e-10,31204.100000000002
1.1869700000000001e-10,30730.0
