E(MeV),xs(mb)
1.0e-11,3.55181e8
1.03223e-11,3.49593e8
1.06549e-11,3.44094e8
1.0998399999999998e-11,3.3868e8
1.13527e-11,3.33354e8
1.1718599999999999e-11,3.28109e8
1.2096199999999998e-11,3.22948e8
1.24861e-11,3.17867e8
1.2888399999999999e-11,3.12868e8
1.3303799999999998e-11,3.07945e8
1.37325e-11,3.03102e8
1.41751e-11,2.98333e8
1.4631799999999997e-11,2.93641e8
1.51034e-11,2.89022e8
1.5590099999999998e-11,2.84476e8
1.6092599999999998e-11,2.80001e8
1.66111e-11,2.75597e8
1.71465e-11,2.71261e8
1.7699e-11,2.66995e8
1.8269399999999998e-11,2.6279499999999997e8
1.88581e-11,2.58662e8
1.94659e-11,2.5459299999999997e8
2.00931e-11,2.50589e8
2.0740699999999998e-11,2.4664700000000003e8
2.1408999999999998e-11,2.42769e8
2.2099099999999997e-11,2.3895e8
2.28111e-11,2.3519199999999997e8
2.3546399999999998e-11,2.31492e8
2.4305099999999997e-11,2.27852e8
2.50884e-11,2.24268e8
2.5896799999999997e-11,2.20742e8
2.67315e-11,2.1726899999999997e8
2.75928e-11,2.1385299999999997e8
2.8482199999999998e-11,2.1048900000000003e8
2.93999e-11,2.0718e8
3.0347499999999995e-11,2.0392100000000003e8
3.13253e-11,2.0071500000000003e8
3.2335e-11,1.97558e8
3.33769e-11,1.94452e8
3.44526e-11,1.91393e8
3.55627e-11,1.88384e8
3.67089e-11,1.85422e8
3.7891799999999997e-11,1.82506e8
3.9113e-11,1.79636e8
4.0373400000000003e-11,1.76812e8
4.1674599999999996e-11,1.74032e8
4.3017399999999996e-11,1.71296e8
4.440389999999999e-11,1.68602e8
4.58347e-11,1.65952e8
4.7311899999999994e-11,1.63342e8
4.883639999999999e-11,1.60775e8
5.0410399999999995e-11,1.58247e8
5.20348e-11,1.55759e8
5.37119e-11,1.5331e8
5.54426e-11,1.50901e8
5.7229499999999995e-11,1.48528e8
5.907359999999999e-11,1.46194e8
6.09775e-11,1.43896e8
6.29424e-11,1.41634e8
6.497099999999999e-11,1.39408e8
6.70645e-11,1.37217e8
6.9226e-11,1.3506e8
7.145659999999999e-11,1.32938e8
7.37596e-11,1.30849e8
7.61364e-11,1.28793e8
7.85902e-11,1.2676799999999999e8
8.11227e-11,1.24777e8
8.37372e-11,1.2281599999999999e8
8.643549999999999e-11,1.20886e8
8.922119999999998e-11,1.18987e8
9.209619999999999e-11,1.1711800000000001e8
9.506439999999999e-11,1.1527799999999999e8
9.81277e-11,1.13467e8
1.01291e-10,1.11684e8
1.04554e-10,1.0993e8
1.07924e-10,1.08203e8
1.11402e-10,1.06504e8
1.1499200000000001e-10,1.0483100000000001e8
1.1869700000000001e-10,1.03185e8
1.22523e-10,1.0156400000000001e8
1.26471e-10,9.997e7
1.30547e-10,9.84e7
1.34754e-10,9.68554e7
1.3909700000000002e-10,9.53346e7
1.43579e-10,9.38383e7
1.48207e-10,9.2365e7
1.52982e-10,9.09155e7
1.57913e-10,8.94884e7
1.6300100000000001e-10,8.80842e7
1.68254e-10,8.67018e7
1.73676e-10,8.53416e7
1.79274e-10,8.40024e7
1.8505000000000002e-10,8.26848e7
1.91014e-10,8.13875e7
1.97169e-10,8.01111e7
2.03524e-10,7.88545e7
2.1008200000000003e-10,7.7618e7
2.16853e-10,7.64008e7
