E(MeV),xs(mb)
1.0e-11,947218.0
1.03223e-11,932753.0
1.06549e-11,918529.0
1.0998399999999998e-11,904529.0
1.13527e-11,890762.0
1.1718599999999999e-11,877214.0
1.2096199999999998e-11,863890.9999999999
1.24861e-11,850780.0
1.2888399999999999e-11,837888.0
1.3303799999999998e-11,825201.0
1.37325e-11,812726.0
1.41751e-11,800451.0
1.4631799999999997e-11,788381.0
1.51034e-11,776504.0
1.5590099999999998e-11,764827.0
1.6092599999999998e-11,753338.0
1.66111e-11,742041.0
1.71465e-11,730927.0
1.7699e-11,720000.0
1.8269399999999998e-11,709250.0
1.88581e-11,698681.0
1.94659e-11,688284.0
2.00931e-11,678063.0
2.0740699999999998e-11,668009.0
2.1408999999999998e-11,658125.0
2.2099099999999997e-11,648402.0
2.28111e-11,638846.0
2.3546399999999998e-11,629446.0
2.4305099999999997e-11,620206.0
2.50884e-11,611120.0
2.5896799999999997e-11,602188.0
2.67315e-11,593405.0
2.75928e-11,584772.0
2.8482199999999998e-11,576283.0
2.93999e-11,567941.0
3.0347499999999995e-11,559738.0
3.13253e-11,551676.0
3.2335e-11,543751.0
3.33769e-11,535962.0
3.44526e-11,528306.0
3.55627e-11,520783.00000000006
3.67865e-11,512899.99999999994
3.8052399999999996e-11,505162.0
3.936179999999999e-11,497567.0
4.07163e-11,490113.0
4.21174e-11,482796.99999999994
4.35667e-11,475617.0
4.50659e-11,468572.0
4.66166e-11,461658.0
4.822079999999999e-11,454873.99999999994
4.98801e-11,448217.99999999994
5.15965e-11,441688.0
5.3371999999999997e-11,435281.0
5.5208599999999996e-11,428997.0
5.71084e-11,422832.0
5.907359999999999e-11,416786.0
6.11064e-11,410855.0
6.320909999999999e-11,405039.0
6.53842e-11,399335.0
6.76342e-11,393743.0
6.996159999999999e-11,388259.0
7.2369e-11,382882.0
7.48593e-11,377611.0
7.74353e-11,372444.0
8.00999e-11,367379.0
8.285629999999998e-11,362415.0
8.57075e-11,357549.0
8.865679999999998e-11,352781.0
9.17076e-11,348109.0
9.48633e-11,343531.0
9.81277e-11,339045.0
1.0172000000000001e-10,334379.0
1.0544199999999999e-10,329815.0
1.0930200000000002e-10,325349.0
1.1330199999999999e-10,320982.0
1.1745000000000002e-10,316709.0
1.21748e-10,312532.0
1.2620400000000002e-10,308446.0
1.30823e-10,304453.0
1.35612e-10,300547.0
1.40575e-10,296730.0
1.45721e-10,292998.0
1.51053e-10,289351.0
1.5658300000000002e-10,285786.0
1.62313e-10,282303.0
1.68254e-10,278898.0
1.74782e-10,275379.0
1.8156300000000002e-10,271946.0
1.8860600000000003e-10,268597.0
1.95923e-10,265330.0
2.03524e-10,262143.00000000003
2.1142e-10,259036.0
2.19622e-10,256005.0
2.28142e-10,253050.0
2.36993e-10,250168.0
2.46707e-10,247203.99999999997
2.56822e-10,244319.0
2.67349e-10,241509.99999999997
2.7830900000000004e-10,238776.0
