E(MeV),xs(mb)
1.0e-11,582595.0
1.03223e-11,573434.0
1.06549e-11,564422.0
1.0998399999999998e-11,555547.0
1.13527e-11,546816.0
1.1718599999999999e-11,538219.0
1.2096199999999998e-11,529761.0
1.24861e-11,521432.0
1.2888399999999999e-11,513238.00000000006
1.3303799999999998e-11,505170.00000000006
1.37325e-11,497232.0
1.41751e-11,489416.0
1.4631799999999997e-11,481726.0
1.51034e-11,474155.0
1.5590099999999998e-11,466704.99999999994
1.6092599999999998e-11,459370.0
1.66111e-11,452153.0
1.71465e-11,445048.0
1.7699e-11,438056.99999999994
1.8269399999999998e-11,431173.0
1.88581e-11,424401.0
1.94659e-11,417733.00000000006
2.00931e-11,411172.0
2.0740699999999998e-11,404711.99999999994
2.1408999999999998e-11,398356.0
2.2099099999999997e-11,392099.0
2.28111e-11,385942.0
2.3546399999999998e-11,379880.0
2.4305099999999997e-11,373915.0
2.50884e-11,368043.0
2.5896799999999997e-11,362265.0
2.67315e-11,356576.0
2.75928e-11,350979.0
2.8482199999999998e-11,345469.0
2.93999e-11,340046.0
3.0347499999999995e-11,334708.0
3.13253e-11,329456.0
3.2335e-11,324285.0
3.33769e-11,319196.0
3.44526e-11,314187.0
3.55627e-11,309258.0
3.67089e-11,304406.0
3.7891799999999997e-11,299631.0
3.9113e-11,294931.0
4.0373400000000003e-11,290306.0
4.1674599999999996e-11,285752.0
4.3017399999999996e-11,281272.0
4.440389999999999e-11,276861.0
4.58347e-11,272521.0
4.7311899999999994e-11,268249.0
4.883639999999999e-11,264044.0
5.0410399999999995e-11,259906.00000000003
5.20348e-11,255833.00000000003
5.37119e-11,251824.0
5.54426e-11,247879.0
5.7229499999999995e-11,243996.0
5.907359999999999e-11,240174.99999999997
6.09775e-11,236412.99999999997
6.29424e-11,232712.0
6.497099999999999e-11,229068.0
6.70645e-11,225483.0
6.9226e-11,221952.99999999997
7.145659999999999e-11,218480.0
7.37596e-11,215061.0
7.61364e-11,211696.99999999997
7.85902e-11,208386.0
8.11227e-11,205127.00000000003
8.37372e-11,201920.0
8.643549999999999e-11,198764.0
8.922119999999998e-11,195657.0
9.209619999999999e-11,192600.0
9.506439999999999e-11,189590.0
9.81277e-11,186629.0
1.01291e-10,183714.0
1.04554e-10,180846.0
1.07924e-10,178022.0
1.11402e-10,175245.0
1.1499200000000001e-10,172510.0
1.1869700000000001e-10,169819.0
1.22523e-10,167170.0
1.26471e-10,164564.0
1.30547e-10,161999.0
1.34754e-10,159475.0
1.3909700000000002e-10,156990.0
1.43579e-10,154545.0
1.48207e-10,152139.0
1.52982e-10,149771.0
1.57913e-10,147440.0
1.6300100000000001e-10,145147.0
1.68254e-10,142889.0
1.73676e-10,140668.0
1.79274e-10,138481.0
1.8505000000000002e-10,136330.0
1.91014e-10,134212.0
1.97169e-10,132129.0
2.03524e-10,130078.0
2.1008200000000003e-10,128060.0
2.16853e-10,126074.0
2.2384e-10,124119.0
2.31055e-10,122196.0
2.385e-10,120303.0
2.46187e-10,118439.99999999999
2.5412e-10,116607.0
2.6231e-10,114802.0
2.70762e-10,113027.00000000001
2.7948900000000003e-10,111280.0
2.88494e-10,109559.99999999999
2.9779300000000004e-10,107868.00000000001
3.07388e-10,106203.0
3.1729500000000004e-10,104563.99999999999
3.27519e-10,102950.99999999999
3.38075e-10,101364.00000000001
3.4896900000000003e-10,99802.09999999999
3.6021600000000004e-10,98264.8
3.7182300000000004e-10,96752.40000000001
3.83807e-10,95263.6
3.96174e-10,93798.9
4.08943e-10,92357.09999999999
4.2212e-10,90938.59999999999
4.3572499999999996e-10,89542.3
4.4976500000000005e-10,88168.5
4.6426100000000007e-10,86816.20000000001
4.79221e-10,85485.79999999999
4.94666e-10,84176.2
5.10605e-10,82887.7
5.270620000000001e-10,81619.4
5.440450000000001e-10,80371.6
5.6158e-10,79143.3
5.796750000000001e-10,77934.8
5.98358e-10,76745.3
6.176389999999999e-10,75574.9
6.37545e-10,74422.9
6.58089e-10,73289.40000000001
6.79298e-10,72173.7
7.01188e-10,71075.9
7.237860000000001e-10,69995.4
7.47109e-10,68932.2
7.71188e-10,67885.8
7.960380000000001e-10,66856.09999999999
8.21693e-10,65842.59999999999
8.48171e-10,64845.4
8.75507e-10,63863.8
9.037190000000002e-10,62897.99999999999
9.32845e-10,61947.299999999996
9.62904e-10,61011.9
9.93937e-10,60091.200000000004
1.0259700000000001e-9,59185.2
1.05903e-9,58293.5
1.09316e-9,57416.0
1.12839e-9,56552.4
1.16475e-9,55702.5
1.2022900000000002e-9,54866.0
1.2410300000000002e-9,54042.899999999994
1.28103e-9,53232.7
1.3223100000000002e-9,52435.5
1.36492e-9,51650.799999999996
1.4089000000000002e-9,50878.7
1.4543100000000001e-9,50118.600000000006
1.5011699999999999e-9,49370.799999999996
1.5495600000000002e-9,48634.6
1.5994900000000002e-9,47910.2
1.6510400000000001e-9,47197.2
1.7042400000000001e-9,46495.6
1.75917e-9,45805.0
1.81585e-9,45125.4
1.87438e-9,44456.5
1.9347700000000003e-9,43798.3
1.99713e-9,43150.399999999994
2.06148e-9,42512.8
2.1279200000000002e-9,41885.3
