E(MeV),xs(mb)
1.0e-11,78031.1
1.03223e-11,76841.2
1.06549e-11,75671.2
1.0998399999999998e-11,74519.59999999999
1.13527e-11,73387.2
1.1718599999999999e-11,72272.9
1.2096199999999998e-11,71177.09999999999
1.24861e-11,70098.7
1.2888399999999999e-11,69038.4
1.3303799999999998e-11,67995.0
1.37325e-11,66969.1
1.41751e-11,65959.59999999999
1.4631799999999997e-11,64967.1
1.51034e-11,63990.5
1.5590099999999998e-11,63030.2
1.6092599999999998e-11,62085.5
1.66111e-11,61156.7
1.71465e-11,60242.899999999994
1.7699e-11,59344.6
1.8269399999999998e-11,58460.799999999996
1.88581e-11,57592.0
1.94659e-11,56737.3
2.00931e-11,55897.1
2.0740699999999998e-11,55070.7
2.1408999999999998e-11,54258.3
2.2099099999999997e-11,53459.3
2.28111e-11,52673.9
2.3546399999999998e-11,51901.4
2.4305099999999997e-11,51142.200000000004
2.50884e-11,50395.5
2.5896799999999997e-11,49661.7
2.67315e-11,48940.1
2.75928e-11,48230.899999999994
2.8482199999999998e-11,47533.6
2.93999e-11,46848.299999999996
3.0347499999999995e-11,46174.5
3.13253e-11,45512.49999999999
3.2335e-11,44861.6
3.33769e-11,44222.1
3.44526e-11,43593.4
3.56381e-11,42934.9
3.6864499999999996e-11,42288.6
3.8132999999999995e-11,41654.200000000004
3.94452e-11,41031.5
4.08026e-11,40420.5
4.22067e-11,39820.9
4.3659e-11,39232.5
4.5161399999999996e-11,38655.2
4.6715499999999995e-11,38088.799999999996
4.8322999999999994e-11,37533.1
4.998579999999999e-11,36987.9
5.1705899999999994e-11,36453.1
5.3485199999999996e-11,35928.5
5.53257e-11,35414.0
5.7229499999999995e-11,34909.4
5.919879999999999e-11,34414.6
6.12359e-11,33929.299999999996
6.33431e-11,33453.5
6.55228e-11,32987.0
6.77775e-11,32529.6
7.010979999999999e-11,32081.2
7.252239999999999e-11,31641.7
7.5018e-11,31210.9
7.75994e-11,30788.7
8.026969999999999e-11,30375.0
8.303190000000001e-11,29969.600000000002
8.58891e-11,29572.3
8.88447e-11,29183.1
9.190189999999999e-11,28801.899999999998
9.506439999999999e-11,28428.399999999998
9.85435e-11,28040.0
1.02151e-10,27660.0
1.0588900000000001e-10,27288.600000000002
1.0976500000000001e-10,26925.2
1.1378200000000001e-10,26570.0
1.1794700000000002e-10,26222.699999999997
1.22264e-10,25883.2
1.26739e-10,25551.300000000003
1.3137700000000002e-10,25227.0
1.36187e-10,24910.0
1.4117e-10,24600.399999999998
1.46338e-10,24297.8
1.51693e-10,24002.2
1.57246e-10,23713.4
1.63347e-10,23415.0
1.6968399999999999e-10,23124.1
1.76267e-10,22840.3
1.83105e-10,22563.6
1.9020800000000002e-10,22293.9
1.97587e-10,22031.0
2.0525300000000001e-10,21774.8
2.1321599999999998e-10,21525.1
2.21487e-10,21281.7
2.30566e-10,21031.7
2.40019e-10,20788.3
2.4985700000000003e-10,20551.7
2.60101e-10,20321.4
2.70762e-10,20097.6
2.81863e-10,19879.8
2.93416e-10,19668.1
3.06091e-10,19451.5
3.1931300000000003e-10,19241.3
3.3310700000000003e-10,19037.2
3.47496e-10,18839.1
3.62507e-10,18646.7
3.78968e-10,18450.8
3.96174e-10,18261.0
