E(MeV),xs(mb)
1.0e-11,7.55059e7
1.03223e-11,7.43176e7
1.06549e-11,7.31485e7
1.0998399999999998e-11,7.19972e7
1.13527e-11,7.08646e7
1.1718599999999999e-11,6.97493e7
1.2096199999999998e-11,6.8652e7
1.24861e-11,6.75715e7
1.2888399999999999e-11,6.65085e7
1.3303799999999998e-11,6.54618e7
1.37325e-11,6.443190000000001e7
1.41751e-11,6.34178e7
1.4631799999999997e-11,6.242009999999999e7
1.51034e-11,6.14377e7
1.5590099999999998e-11,6.04711e7
1.6092599999999998e-11,5.951939999999999e7
1.66111e-11,5.8583e7
1.71465e-11,5.7661e7
1.7699e-11,5.67538e7
1.8269399999999998e-11,5.58606e7
1.88581e-11,5.49817e7
1.94659e-11,5.41164e7
2.00931e-11,5.3265e7
2.0740699999999998e-11,5.242670000000001e7
2.1408999999999998e-11,5.160180000000001e7
2.2099099999999997e-11,5.07896e7
2.28111e-11,4.999050000000001e7
2.3546399999999998e-11,4.92037e7
2.4305099999999997e-11,4.84295e7
2.50884e-11,4.76673e7
2.5896799999999997e-11,4.69173e7
2.67315e-11,4.61789e7
2.75928e-11,4.545219999999999e7
2.8482199999999998e-11,4.473690000000001e7
2.93999e-11,4.40329e7
3.0347499999999995e-11,4.33399e7
3.13253e-11,4.26579e7
3.2335e-11,4.19865e7
3.33769e-11,4.13258e7
3.44526e-11,4.06754e7
3.55627e-11,4.003529999999999e7
3.67089e-11,3.94052e7
3.7891799999999997e-11,3.87851e7
3.9113e-11,3.81746e7
4.0373400000000003e-11,3.75739e7
4.1674599999999996e-11,3.69824e7
4.3017399999999996e-11,3.64004e7
4.440389999999999e-11,3.58275e7
4.58347e-11,3.52637e7
4.7311899999999994e-11,3.47086e7
4.883639999999999e-11,3.41623e7
5.0410399999999995e-11,3.36246e7
5.20348e-11,3.30954e7
5.37119e-11,3.25744e7
5.54426e-11,3.2061799999999996e7
5.7229499999999995e-11,3.1557e7
5.907359999999999e-11,3.10604e7
6.09775e-11,3.05714e7
6.29424e-11,3.00902e7
6.497099999999999e-11,2.96165e7
6.70645e-11,2.91504e7
6.9226e-11,2.8691399999999996e7
7.145659999999999e-11,2.82398e7
7.37596e-11,2.7795200000000004e7
7.61364e-11,2.73577e7
7.85902e-11,2.6927e7
8.11227e-11,2.65031e7
8.37372e-11,2.60858e7
8.643549999999999e-11,2.56751e7
8.922119999999998e-11,2.52709e7
9.209619999999999e-11,2.4873e7
9.506439999999999e-11,2.44814e7
9.81277e-11,2.40959e7
1.01291e-10,2.3716400000000004e7
1.04554e-10,2.33431e7
1.07924e-10,2.29754e7
1.11402e-10,2.26137e7
1.1499200000000001e-10,2.22575e7
1.1869700000000001e-10,2.19071e7
1.22523e-10,2.1562e7
1.26471e-10,2.1222500000000004e7
1.30547e-10,2.08882e7
1.34754e-10,2.05593e7
1.3909700000000002e-10,2.02354e7
1.43579e-10,1.99167e7
1.48207e-10,1.9603e7
1.52982e-10,1.92942e7
1.57913e-10,1.89902e7
1.6300100000000001e-10,1.86911e7
1.68254e-10,1.83966e7
1.73676e-10,1.81068e7
1.79274e-10,1.78215e7
1.8505000000000002e-10,1.75407e7
1.91014e-10,1.72643e7
1.97169e-10,1.69923e7
2.03524e-10,1.67245e7
2.1008200000000003e-10,1.64609e7
2.16853e-10,1.62015e7
2.2384e-10,1.59461e7
2.31055e-10,1.56948e7
2.385e-10,1.54474e7
2.46187e-10,1.52038e7
2.5412e-10,1.49642e7
2.6231e-10,1.47282e7
2.70762e-10,1.4496e7
2.7948900000000003e-10,1.4267399999999998e7
2.88494e-10,1.40424e7
2.9779300000000004e-10,1.38209e7
3.07388e-10,1.3603e7
3.1729500000000004e-10,1.33884e7
3.27519e-10,1.31772e7
3.38075e-10,1.29693e7
3.4896900000000003e-10,1.27647e7
3.6021600000000004e-10,1.2563200000000002e7
3.7182300000000004e-10,1.2365e7
3.83807e-10,1.21698e7
3.96174e-10,1.19777e7
4.08943e-10,1.17886e7
4.2212e-10,1.16025e7
4.3572499999999996e-10,1.1419299999999998e7
4.4976500000000005e-10,1.1238999999999998e7
4.6426100000000007e-10,1.1061399999999998e7
4.79221e-10,1.08867e7
4.94666e-10,1.07147e7
5.10605e-10,1.05454e7
5.270620000000001e-10,1.03787e7
5.440450000000001e-10,1.0214700000000002e7
5.6158e-10,1.00532e7
5.796750000000001e-10,9.8943e6
5.98358e-10,9.73783e6
6.176389999999999e-10,9.58383e6
6.37545e-10,9.43221e6
6.58089e-10,9.283e6
6.79298e-10,9.13608e6
7.01188e-10,8.9915e6
7.237860000000001e-10,8.84914e6
7.47109e-10,8.70903e6
7.71188e-10,8.57109e6
7.960380000000001e-10,8.43533e6
8.21693e-10,8.30166e6
8.48171e-10,8.170109999999999e6
8.75507e-10,8.04058e6
9.037190000000002e-10,7.9131e6
9.32845e-10,7.78759e6
9.62904e-10,7.66405e6
9.93937e-10,7.54242e6
1.0259700000000001e-9,7.42271e6
1.05903e-9,7.30484e6
1.09316e-9,7.18883e6
1.12839e-9,7.07461e6
1.16475e-9,6.96218e6
1.2022900000000002e-9,6.85149e6
1.2410300000000002e-9,6.74253e6
1.28103e-9,6.63526e6
1.3223100000000002e-9,6.52967e6
1.36492e-9,6.4257e6
1.4089000000000002e-9,6.32337e6
1.4543100000000001e-9,6.22261e6
1.5011699999999999e-9,6.12343e6
1.5495600000000002e-9,6.02578e6
1.5994900000000002e-9,5.92966e6
1.6510400000000001e-9,5.83501e6
1.7042400000000001e-9,5.74185e6
1.75917e-9,5.65011e6
1.81585e-9,5.55982e6
1.87438e-9,5.4709e6
1.9347700000000003e-9,5.38338e6
1.99713e-9,5.2972e6
2.06148e-9,5.21237e6
2.1279200000000002e-9,5.12884e6
2.19649e-9,5.04661e6
2.26728e-9,4.96564e6
2.3403400000000002e-9,4.88593e6
2.4157700000000002e-9,4.80744e6
2.49362e-9,4.73018e6
2.5739800000000002e-9,4.65409e6
2.65692e-9,4.5792e6
2.7425500000000002e-9,4.50544e6
2.8309300000000003e-9,4.43283e6
2.92217e-9,4.36134e6
3.01633e-9,4.29095e6
3.11354e-9,4.22163e6
3.21387e-9,4.1534000000000005e6
3.3174500000000004e-9,4.0862e6
3.42435e-9,4.02004e6
3.53471e-9,3.95489e6
3.6486100000000003e-9,3.89075e6
3.7662000000000005e-9,3.82759e6
3.88757e-9,3.7654e6
4.01286e-9,3.70416e6
4.14217e-9,3.64387e6
4.2756600000000005e-9,3.58449e6
4.41344e-9,3.52603e6
4.55568e-9,3.46846e6
4.7024800000000005e-9,3.41178e6
4.85404e-9,3.35597e6
5.01045e-9,3.30101e6
5.17193e-9,3.24689e6
5.338590000000001e-9,3.19361e6
5.510650000000001e-9,3.14114e6
5.688220000000001e-9,3.08948e6
5.871540000000001e-9,3.0386e6
6.06075e-9,2.98851e6
6.256080000000001e-9,2.93918e6
6.4576700000000005e-9,2.89061e6
6.665790000000001e-9,2.84279e6
6.8805900000000005e-9,2.7957e6
7.1023400000000005e-9,2.74932e6
7.33121e-9,2.70367e6
7.56748e-9,2.6587e6
7.81133e-9,2.61444e6
8.06308e-9,2.57084e6
8.32291e-9,2.52793e6
8.59114e-9,2.48567e6
8.86798e-9,2.44406e6
9.15378e-9,2.4031e6
9.44875e-9,2.36277e6
9.753270000000001e-9,2.32306e6
1.0046299999999999e-8,2.28656e6
1.03482e-8,2.2506e6
1.06591e-8,2.21515e6
1.0979300000000002e-8,2.18022e6
1.13092e-8,2.14581e6
1.1649e-8,2.1119e6
1.1999e-8,2.07849e6
1.23596e-8,2.04557e6
1.2730900000000001e-8,2.01314e6
1.31134e-8,1.9812e6
1.3507400000000002e-8,1.94972e6
1.39133e-8,1.91872e6
1.43313e-8,1.88818e6
1.47619e-8,1.85811e6
1.52054e-8,1.82848e6
1.56623e-8,1.79931e6
1.61329e-8,1.77058e6
1.66176e-8,1.7423e6
1.7116899999999998e-8,1.71445e6
1.7631200000000002e-8,1.68703e6
1.81609e-8,1.66005e6
1.87066e-8,1.63349e6
1.92686e-8,1.60736e6
1.98476e-8,1.58164e6
2.04439e-8,1.55634e6
2.10582e-8,1.53146e6
2.1690900000000003e-8,1.50698e6
2.23426e-8,1.48292e6
2.30139e-8,1.45926e6
2.37054e-8,1.436e6
2.44176e-8,1.41314e6
2.51513e-8,1.39069e6
2.52522e-8,1.38768e6
2.5299999999999998e-8,1.38626e6
2.60602e-8,1.36428e6
2.6843200000000002e-8,1.34269e6
2.76497e-8,1.32149e6
2.8480400000000003e-8,1.30069e6
2.93362e-8,1.28028e6
3.02176e-8,1.26026e6
3.11255e-8,1.24063e6
3.20607e-8,1.22138e6
3.3024e-8,1.20253e6
3.40162e-8,1.18406e6
3.5038299999999996e-8,1.16598e6
3.6091e-8,1.14828e6
3.71754e-8,1.13098e6
3.82924e-8,1.11407e6
3.94429e-8,1.09755e6
4.0542299999999996e-8,1.08256e6
4.1672099999999996e-8,1.06791e6
4.28336e-8,1.0536e6
4.4027300000000004e-8,1.03965e6
4.52544e-8,1.02603e6
4.65156e-8,1.01277e6
