E(MeV),xs(mb)
1.0e-11,2.0542600000000002e6
1.03223e-11,2.02202e6
1.06549e-11,1.99031e6
1.0998399999999998e-11,1.95908e6
1.13527e-11,1.92835e6
1.1718599999999999e-11,1.8981e6
1.2096199999999998e-11,1.86834e6
1.24861e-11,1.83904e6
1.2888399999999999e-11,1.81021e6
1.3303799999999998e-11,1.78182e6
1.37325e-11,1.7539e6
1.41751e-11,1.7264e6
1.4631799999999997e-11,1.69935e6
1.51034e-11,1.67271e6
1.5590099999999998e-11,1.64651e6
1.6092599999999998e-11,1.62071e6
1.66111e-11,1.59533e6
1.71465e-11,1.57033e6
1.7699e-11,1.54575e6
1.8269399999999998e-11,1.52154e6
1.88581e-11,1.49772e6
1.94659e-11,1.47428e6
2.00931e-11,1.45121e6
2.0740699999999998e-11,1.4285e6
2.1408999999999998e-11,1.40615e6
2.2099099999999997e-11,1.38415e6
2.28111e-11,1.36251e6
2.3546399999999998e-11,1.3412e6
2.4305099999999997e-11,1.32023e6
2.50884e-11,1.29959e6
2.5896799999999997e-11,1.27929e6
2.67315e-11,1.2593e6
2.75928e-11,1.23963e6
2.8482199999999998e-11,1.22027e6
2.93999e-11,1.20121e6
3.0347499999999995e-11,1.18246e6
3.13253e-11,1.16401e6
3.2335e-11,1.14585e6
3.33769e-11,1.12797e6
3.44526e-11,1.11038e6
3.55627e-11,1.09307e6
3.67089e-11,1.07603e6
3.7891799999999997e-11,1.05927e6
3.9113e-11,1.04277e6
4.0373400000000003e-11,1.02653e6
4.1674599999999996e-11,1.0105500000000001e6
4.3017399999999996e-11,994824.0
4.440389999999999e-11,979346.0
4.58347e-11,964115.9999999999
4.7311899999999994e-11,949126.0
4.883639999999999e-11,934376.9999999999
5.0410399999999995e-11,919858.9999999999
5.20348e-11,905575.0
5.37119e-11,891516.0
5.54426e-11,877683.0
5.7229499999999995e-11,864068.0
5.907359999999999e-11,850672.0
6.09775e-11,837486.0
6.29424e-11,824513.9999999999
6.497099999999999e-11,811745.0
6.70645e-11,799183.0
6.9226e-11,786818.0
7.145659999999999e-11,774653.0
7.37596e-11,762680.0
7.61364e-11,750900.0
7.85902e-11,739306.0
8.11227e-11,727899.0
8.37372e-11,716672.0
8.643549999999999e-11,705626.0
8.922119999999998e-11,694755.0
9.209619999999999e-11,684060.0
9.506439999999999e-11,673534.0
9.81277e-11,663178.0
1.01291e-10,652984.0
1.04554e-10,642959.0
1.07924e-10,633089.0
1.11402e-10,623381.0
1.1499200000000001e-10,613825.0
1.1869700000000001e-10,604426.0
1.22523e-10,595174.0
1.26471e-10,586073.0
1.30547e-10,577115.0
1.34754e-10,568304.0
1.3909700000000002e-10,559631.0
1.43579e-10,551101.0
1.48207e-10,542704.0
1.52982e-10,534445.0
1.57913e-10,526315.0
