E(MeV),xs(mb)
1.0e-11,47273.6
1.03223e-11,46544.299999999996
1.06549e-11,45827.0
1.0998399999999998e-11,45121.0
1.13527e-11,44426.6
1.1718599999999999e-11,43743.100000000006
1.2096199999999998e-11,43070.8
1.24861e-11,42409.100000000006
1.2888399999999999e-11,41758.4
1.3303799999999998e-11,41117.9
1.37325e-11,40487.9
1.41751e-11,39867.9
1.4631799999999997e-11,39258.2
1.51034e-11,38658.1
1.5590099999999998e-11,38067.9
1.6092599999999998e-11,37487.1
1.66111e-11,36915.9
1.71465e-11,36353.8
1.7699e-11,35801.1
1.8269399999999998e-11,35257.1
1.88581e-11,34722.200000000004
1.94659e-11,34195.799999999996
2.00931e-11,33678.2
2.0740699999999998e-11,33168.9
2.1408999999999998e-11,32668.1
2.2099099999999997e-11,32175.3
2.28111e-11,31690.800000000003
2.3546399999999998e-11,31214.0
2.4305099999999997e-11,30745.300000000003
2.50884e-11,30284.2
2.5896799999999997e-11,29830.7
2.67315e-11,29384.7
2.75928e-11,28946.100000000002
2.8482199999999998e-11,28514.7
2.93999e-11,28090.600000000002
3.0347499999999995e-11,27673.399999999998
3.13253e-11,27263.199999999997
3.2335e-11,26859.8
3.33769e-11,26463.199999999997
3.44526e-11,26073.2
3.55627e-11,25689.8
3.67089e-11,25312.800000000003
3.7891799999999997e-11,24942.1
3.9113e-11,24577.7
4.0373400000000003e-11,24219.5
4.1674599999999996e-11,23867.3
4.3017399999999996e-11,23521.100000000002
4.440389999999999e-11,23180.7
4.58347e-11,22846.199999999997
4.7311899999999994e-11,22517.399999999998
4.883639999999999e-11,22194.3
5.0410399999999995e-11,21876.600000000002
5.20348e-11,21564.5
5.37119e-11,21257.7
5.556009999999999e-11,20936.4
5.7472e-11,20621.0
5.94497e-11,20311.4
6.14954e-11,20007.600000000002
6.36116e-11,19709.5
6.58005e-11,19417.0
6.806479999999999e-11,19129.9
7.040699999999999e-11,18848.3
7.28298e-11,18572.0
7.53359e-11,18301.0
7.79283e-11,18035.1
8.06099e-11,17774.399999999998
8.33838e-11,17518.6
8.62531e-11,17267.8
8.922119999999998e-11,17021.8
9.229139999999999e-11,16780.600000000002
9.54673e-11,16544.2
9.87524e-11,16312.4
1.02151e-10,16085.1
1.05666e-10,15862.300000000001
1.0930200000000002e-10,15644.0
1.1306300000000001e-10,15430.0
1.16954e-10,15220.400000000001
1.20979e-10,15015.0
1.25142e-10,14813.7
1.29448e-10,14616.6
1.3390200000000001e-10,14423.4
1.3851e-10,14234.3
1.43276e-10,14049.1
1.48207e-10,13867.8
1.5363000000000002e-10,13679.300000000001
1.59254e-10,13494.900000000001
1.65082e-10,13314.8
1.71125e-10,13138.7
1.7738700000000002e-10,12966.7
1.8388100000000002e-10,12798.6
1.9061e-10,12634.4
1.97587e-10,12473.9
2.04818e-10,12317.3
2.1231600000000001e-10,12164.4
2.20086e-10,12015.1
2.28142e-10,11869.300000000001
2.3649100000000004e-10,11727.099999999999
2.45148e-10,11588.300000000001
2.5412e-10,11452.9
2.6397800000000004e-10,11313.2
2.74219e-10,11177.1
2.84857e-10,11044.6
2.9590800000000005e-10,10915.699999999999
3.07388e-10,10790.2
3.1931300000000003e-10,10668.1
3.31701e-10,10549.3
3.4457000000000003e-10,10433.8
3.5869600000000003e-10,10315.4
3.73399e-10,10200.400000000001
3.8870800000000003e-10,10088.8
4.04641e-10,9980.6
4.2123e-10,9875.619999999999
4.3849600000000005e-10,9773.84
4.56473e-10,9675.17
4.76192e-10,9574.58
4.967620000000001e-10,9477.29
5.182210000000001e-10,9383.19
5.40607e-10,9292.210000000001
5.65152e-10,9199.949999999999
5.90815e-10,9110.939999999999
6.176389999999999e-10,9025.09
6.45685e-10,8942.3
6.76432e-10,8858.76
7.086420000000001e-10,8778.39
7.42387e-10,8701.07
7.77738e-10,8626.71
8.16495e-10,8552.039999999999
8.57188e-10,8480.359999999999
9.01812e-10,8408.67
9.48759e-10,8340.02
9.981500000000001e-10,8274.279999999999
1.05233e-9,8208.79
1.10946e-9,8146.21
1.1721600000000002e-9,8084.08
1.23841e-9,8024.82
1.31117e-9,7966.2
1.3882100000000001e-9,7910.389999999999
1.47288e-9,7855.349999999999
1.5660200000000001e-9,7801.2300000000005
1.66506e-9,7749.88
1.7741100000000002e-9,7699.54
1.89429e-9,7650.31
2.02691e-9,7602.31
2.1734e-9,7555.61
2.3354100000000003e-9,7510.3099999999995
2.5148000000000005e-9,7466.46
2.7137e-9,7424.11
2.9345500000000004e-9,7383.3
3.18008e-9,7344.070000000001
3.4534400000000004e-9,7306.429999999999
3.7662000000000005e-9,7269.51
4.1159800000000005e-9,7234.3099999999995
4.51731e-9,7200.070000000001
4.9682500000000005e-9,7167.6
5.487390000000001e-9,7136.24
6.0864300000000005e-9,7106.07
6.77951e-9,7077.19
7.58348e-9,7049.65
8.53679e-9,7023.04
9.65068e-9,6997.91
1.0979300000000002e-8,6973.89
1.2597e-8,6950.74
1.4544999999999999e-8,6928.93
1.69368e-8,6908.21
1.98896e-8,6888.6900000000005
2.3605299999999998e-8,6870.21
2.52522e-8,6863.52
2.5299999999999998e-8,6863.34
3.05388e-8,6846.29
3.7333e-8,6830.38
4.6417400000000006e-8,6815.400000000001
5.86967e-8,6801.52
7.5811e-8,6788.610000000001
1.0021899999999999e-7,6776.73
1.36178e-7,6765.86
1.91407e-7,6755.93
2.80064e-7,6746.9400000000005
4.30206e-7,6738.870000000001
7.04121e-7,6731.6
1.2419599999999999e-6,6725.07
2.3706200000000004e-5,6689.49
0.00014752000000000002,6540.49
0.000212993,6421.610000000001
0.000256617,6312.610000000001
0.000259963,6323.0599999999995
0.000261781,6352.7300000000005
0.000262872,6400.070000000001
0.0002636,6466.8
0.000263963,6523.799999999999
0.00026432699999999996,6611.84
0.000264559,6695.98
0.000264791,6818.570000000001
0.000264945,6936.51
0.00026508200000000003,7082.77
0.000265173,7216.79
0.00026524100000000004,7347.2699999999995
0.00026530900000000003,7515.18
0.000265377,7736.49
0.00026542300000000004,7924.68
0.000265468,8155.64
0.000265514,8440.58
0.000265548,8697.88
0.000265582,9000.06
0.000265616,9354.95
0.00026565,9771.3
