E(MeV),xs(mb)
1.0e-11,5.63079e6
1.03223e-11,5.5422e6
1.06549e-11,5.45504e6
1.0998399999999998e-11,5.36922e6
1.13527e-11,5.28478e6
1.1718599999999999e-11,5.20164e6
1.2096199999999998e-11,5.11984e6
1.24861e-11,5.03929e6
1.2888399999999999e-11,4.96005e6
1.3303799999999998e-11,4.88202e6
1.37325e-11,4.80524e6
1.41751e-11,4.72965e6
1.4631799999999997e-11,4.65528e6
1.51034e-11,4.58205e6
1.5590099999999998e-11,4.51e6
1.6092599999999998e-11,4.43905e6
1.66111e-11,4.36925e6
1.71465e-11,4.30052e6
1.7699e-11,4.2329e6
1.8269399999999998e-11,4.16632e6
1.88581e-11,4.10081e6
1.94659e-11,4.0363100000000005e6
2.00931e-11,3.97284e6
2.0740699999999998e-11,3.91036e6
2.1408999999999998e-11,3.84888e6
2.2099099999999997e-11,3.78834e6
2.28111e-11,3.72878e6
2.3546399999999998e-11,3.67014e6
2.4305099999999997e-11,3.61243e6
2.50884e-11,3.55562e6
2.5896799999999997e-11,3.49972e6
2.67315e-11,3.44469e6
2.75928e-11,3.39053e6
2.8482199999999998e-11,3.33722e6
2.93999e-11,3.28476e6
3.0347499999999995e-11,3.23311e6
3.13253e-11,3.18228e6
3.2335e-11,3.13225e6
3.33769e-11,3.08301e6
3.44526e-11,3.03454e6
3.55627e-11,2.98684e6
3.67089e-11,2.93988e6
3.7891799999999997e-11,2.89367e6
3.9113e-11,2.84818e6
4.0373400000000003e-11,2.80342e6
4.1674599999999996e-11,2.75935e6
4.3017399999999996e-11,2.71598e6
4.440389999999999e-11,2.67329e6
4.58347e-11,2.63128e6
4.7311899999999994e-11,2.58992e6
4.883639999999999e-11,2.54923e6
5.0410399999999995e-11,2.50916e6
5.20348e-11,2.46973e6
5.37119e-11,2.43092e6
5.54426e-11,2.39273e6
5.7229499999999995e-11,2.35513e6
5.907359999999999e-11,2.31813e6
6.09775e-11,2.2817e6
6.29424e-11,2.24586e6
6.497099999999999e-11,2.21057e6
6.70645e-11,2.17585e6
6.9226e-11,2.14167e6
7.145659999999999e-11,2.10803e6
7.37596e-11,2.07492e6
7.61364e-11,2.0423300000000002e6
7.85902e-11,2.01025e6
8.11227e-11,1.97868e6
8.37372e-11,1.94761e6
8.643549999999999e-11,1.91703e6
8.922119999999998e-11,1.88693e6
9.209619999999999e-11,1.8573e6
9.506439999999999e-11,1.82814e6
9.81277e-11,1.79944e6
1.01291e-10,1.77119e6
1.04554e-10,1.74339e6
1.07924e-10,1.71602e6
1.11402e-10,1.68909e6
1.1499200000000001e-10,1.66258e6
1.1869700000000001e-10,1.63649e6
1.22523e-10,1.61081e6
1.26471e-10,1.58554e6
1.30547e-10,1.56066e6
1.34754e-10,1.53618e6
1.3909700000000002e-10,1.51208e6
1.43579e-10,1.48836e6
1.48207e-10,1.46501e6
1.52982e-10,1.44204e6
1.57913e-10,1.41942e6
1.6300100000000001e-10,1.39717e6
1.68254e-10,1.37526e6
1.73676e-10,1.3537e6
1.79274e-10,1.33248e6
1.8505000000000002e-10,1.3116e6
1.91014e-10,1.29104e6
1.97169e-10,1.27081e6
2.03524e-10,1.25089e6
2.1008200000000003e-10,1.23129e6
2.16853e-10,1.212e6
2.2384e-10,1.19302e6
2.31055e-10,1.17433e6
2.385e-10,1.15594e6
2.46187e-10,1.13784e6
2.5412e-10,1.12002e6
2.6231e-10,1.10248e6
2.70762e-10,1.08523e6
2.7948900000000003e-10,1.06824e6
2.88494e-10,1.05152e6
2.9779300000000004e-10,1.0350699999999999e6
3.07388e-10,1.01887e6
3.1729500000000004e-10,1.0029300000000001e6
3.27519e-10,987246.0
3.38075e-10,971803.0000000001
3.4896900000000003e-10,956608.0
3.6021600000000004e-10,941649.0
3.7182300000000004e-10,926929.0
3.83807e-10,912438.0
3.96174e-10,898179.0
4.08943e-10,884141.9999999999
4.2212e-10,870330.0
4.3572499999999996e-10,856732.0
4.4976500000000005e-10,843351.0
4.6426100000000007e-10,830179.0
4.79221e-10,817218.0000000001
4.94666e-10,804458.0
5.10605e-10,791902.0
5.270620000000001e-10,779542.0
5.440450000000001e-10,767379.0
5.6158e-10,755405.0
5.796750000000001e-10,743623.0
5.98358e-10,732024.0
6.176389999999999e-10,720610.0
6.37545e-10,709375.0
6.58089e-10,698318.0
6.79298e-10,687434.0
7.01188e-10,676724.0
7.237860000000001e-10,666180.0
7.47109e-10,655805.0
7.71188e-10,645591.0
7.960380000000001e-10,635541.0
8.21693e-10,625647.0
8.48171e-10,615910.0
8.75507e-10,606326.0
9.037190000000002e-10,596895.0
9.32845e-10,587610.0
9.62904e-10,578474.0
9.93937e-10,569480.0
1.0259700000000001e-9,560629.0
1.05903e-9,551917.0
1.09316e-9,543343.0
1.12839e-9,534903.0
1.16475e-9,526598.0
1.2022900000000002e-9,518422.0
1.2410300000000002e-9,510377.0
1.28103e-9,502456.0
1.3223100000000002e-9,494663.0
1.36492e-9,486990.00000000006
1.4089000000000002e-9,479440.00000000006
1.4543100000000001e-9,472008.0
1.5011699999999999e-9,464694.0
1.5495600000000002e-9,457495.00000000006
1.5994900000000002e-9,450410.0
1.6510400000000001e-9,443435.0
1.7042400000000001e-9,436571.99999999994
1.75917e-9,429814.99999999994
1.81585e-9,423167.0
1.87438e-9,416622.0
1.9347700000000003e-9,410181.00000000006
1.99713e-9,403841.0
2.06148e-9,397602.0
2.1279200000000002e-9,391460.0
2.19649e-9,385417.0
2.26728e-9,379467.0
2.3403400000000002e-9,373612.0
2.4157700000000002e-9,367849.0
2.49362e-9,362177.0
2.5739800000000002e-9,356594.0
2.65692e-9,351100.0
2.7425500000000002e-9,345692.0
2.8309300000000003e-9,340370.0
2.92217e-9,335131.0
3.01633e-9,329975.0
3.11354e-9,324900.0
3.21387e-9,319906.0
3.3174500000000004e-9,314990.0
3.42435e-9,310152.0
3.53471e-9,305389.0
3.6486100000000003e-9,300703.0
3.7662000000000005e-9,296089.0
3.88757e-9,291549.0
4.01286e-9,287080.0
4.14217e-9,282682.0
4.2756600000000005e-9,278353.0
4.41344e-9,274093.0
4.55568e-9,269900.0
4.7024800000000005e-9,265773.0
4.85404e-9,261710.99999999997
5.01045e-9,257714.0
5.17193e-9,253779.00000000003
5.338590000000001e-9,249907.0
5.510650000000001e-9,246095.0
5.688220000000001e-9,242343.99999999997
5.871540000000001e-9,238652.0
6.06075e-9,235019.0
6.256080000000001e-9,231442.0
6.4576700000000005e-9,227923.0
6.665790000000001e-9,224458.0
6.8805900000000005e-9,221049.0
7.1023400000000005e-9,217693.0
7.33121e-9,214391.0
7.56748e-9,211140.00000000003
7.81133e-9,207941.00000000003
8.06308e-9,204792.0
8.32291e-9,201693.0
8.59114e-9,198643.0
8.86798e-9,195641.0
9.15378e-9,192686.0
9.44875e-9,189779.0
9.753270000000001e-9,186917.0
1.0067600000000001e-8,184101.0
1.0392e-8,181329.0
1.07269e-8,178602.0
1.10726e-8,175917.0
1.1429400000000001e-8,173275.0
1.17978e-8,170675.0
1.21779e-8,168116.0
1.25704e-8,165598.0
1.29755e-8,163119.0
1.33937e-8,160680.0
1.3825300000000001e-8,158279.0
