E(MeV),xs(mb)
1.0e-11,1.03495e6
1.03223e-11,1.0186599999999999e6
1.06549e-11,1.00264e6
1.0998399999999998e-11,986866.0
1.13527e-11,971345.0
1.1718599999999999e-11,956062.0
1.2096199999999998e-11,941025.9999999999
1.24861e-11,926220.0
1.2888399999999999e-11,911652.9999999999
1.3303799999999998e-11,897310.0
1.37325e-11,883198.0
1.41751e-11,869303.0
1.4631799999999997e-11,855631.0
1.51034e-11,842170.0
1.5590099999999998e-11,828924.9999999999
1.6092599999999998e-11,815884.0
1.66111e-11,803053.0000000001
1.71465e-11,790420.0
1.7699e-11,777989.0
1.8269399999999998e-11,765750.0
1.88581e-11,753708.0
1.94659e-11,741851.0
2.00931e-11,730185.0
2.0740699999999998e-11,718699.0
2.1408999999999998e-11,707396.0
2.2099099999999997e-11,696269.0
2.28111e-11,685320.0
2.3546399999999998e-11,674540.0
2.4305099999999997e-11,663933.0
2.50884e-11,653490.0
2.5896799999999997e-11,643213.0
2.67315e-11,633096.0
2.75928e-11,623141.0
2.8482199999999998e-11,613340.0
2.93999e-11,603696.0
3.0347499999999995e-11,594202.0
3.13253e-11,584858.0
3.2335e-11,575660.0
3.33769e-11,566609.0
3.44526e-11,557698.0
3.55627e-11,548930.0
3.67089e-11,540297.0
3.7891799999999997e-11,531803.0
3.9113e-11,523440.0
4.0373400000000003e-11,515211.00000000006
4.1674599999999996e-11,507109.0
4.3017399999999996e-11,499137.0
4.440389999999999e-11,491289.0
4.58347e-11,483566.0
4.7311899999999994e-11,475962.99999999994
4.883639999999999e-11,468480.99999999994
5.0410399999999995e-11,461115.00000000006
5.20348e-11,453867.0
5.37119e-11,446732.0
5.54426e-11,439710.0
5.7229499999999995e-11,432796.99999999994
5.907359999999999e-11,425995.0
6.09775e-11,419299.0
6.29424e-11,412709.0
6.497099999999999e-11,406222.0
6.70645e-11,399838.0
6.9226e-11,393554.0
7.145659999999999e-11,387369.0
7.37596e-11,381281.0
7.61364e-11,375290.0
7.85902e-11,369392.0
8.11227e-11,363589.0
8.37372e-11,357875.0
8.643549999999999e-11,352253.0
8.922119999999998e-11,346718.0
9.209619999999999e-11,341271.0
9.506439999999999e-11,335910.0
9.81277e-11,330633.0
1.01291e-10,325438.0
1.04554e-10,320328.0
1.07924e-10,315295.0
1.11402e-10,310344.0
1.1499200000000001e-10,305469.0
1.1869700000000001e-10,300673.0
1.22523e-10,295950.0
1.26471e-10,291304.0
1.30547e-10,286729.0
1.34754e-10,282228.0
1.3909700000000002e-10,277797.0
1.43579e-10,273436.0
1.48207e-10,269143.0
1.52982e-10,264919.0
1.57913e-10,260761.00000000003
1.6300100000000001e-10,256669.0
1.68254e-10,252640.00000000003
1.73676e-10,248676.0
1.79274e-10,244774.0
1.8505000000000002e-10,240933.99999999997
1.91014e-10,237153.0
1.97169e-10,233433.0
2.03524e-10,229771.0
2.1008200000000003e-10,226168.0
2.16853e-10,222620.0
2.2384e-10,219130.0
2.31055e-10,215693.0
2.385e-10,212312.0
2.46187e-10,208983.0
2.5412e-10,205707.0
2.6231e-10,202482.0
2.70762e-10,199309.0
2.7948900000000003e-10,196185.0
2.88494e-10,193111.0
2.9779300000000004e-10,190085.0
3.07388e-10,187108.0
3.1729500000000004e-10,184176.0
3.27519e-10,181292.0
3.38075e-10,178453.0
3.4896900000000003e-10,175658.0
3.6021600000000004e-10,172908.0
3.7182300000000004e-10,170201.0
3.83807e-10,167537.0
3.96174e-10,164915.0
4.08943e-10,162334.0
4.2212e-10,159794.0
4.3572499999999996e-10,157294.0
4.4976500000000005e-10,154834.0
4.6426100000000007e-10,152412.0
4.79221e-10,150028.0
4.94666e-10,147682.0
5.10605e-10,145374.0
5.270620000000001e-10,143101.0
5.440450000000001e-10,140865.0
5.6158e-10,138663.0
5.796750000000001e-10,136497.0
5.98358e-10,134365.0
6.176389999999999e-10,132266.0
6.37545e-10,130200.0
6.58089e-10,128168.0
6.79298e-10,126167.0
7.01188e-10,124198.00000000001
7.237860000000001e-10,122259.0
7.47109e-10,120351.99999999999
7.71188e-10,118473.99999999999
7.960380000000001e-10,116626.99999999999
8.21693e-10,114808.0
8.48171e-10,113018.0
8.75507e-10,111256.0
9.037190000000002e-10,109522.00000000001
9.32845e-10,107816.0
9.62904e-10,106136.00000000001
9.93937e-10,104482.99999999999
1.0259700000000001e-9,102855.99999999999
1.05903e-9,101254.0
1.09316e-9,99678.40000000001
1.12839e-9,98127.0
1.16475e-9,96600.40000000001
1.2022900000000002e-9,95097.5
1.2410300000000002e-9,93618.7
1.28103e-9,92162.90000000001
1.3223100000000002e-9,90730.40000000001
1.36492e-9,89320.1
1.4089000000000002e-9,87932.40000000001
1.4543100000000001e-9,86566.4
1.5011699999999999e-9,85222.09999999999
1.5495600000000002e-9,83898.8
1.5994900000000002e-9,82596.5
1.6510400000000001e-9,81314.6
