E(MeV),xs(mb)
1.0e-11,31428.8
1.03223e-11,30941.6
1.06549e-11,30462.4
1.0998399999999998e-11,29990.600000000002
1.13527e-11,29526.6
1.1718599999999999e-11,29069.699999999997
1.2096199999999998e-11,28620.399999999998
1.24861e-11,28178.100000000002
1.2888399999999999e-11,27743.1
1.3303799999999998e-11,27314.8
1.37325e-11,26893.600000000002
1.41751e-11,26479.0
1.4631799999999997e-11,26071.2
1.51034e-11,25669.9
1.5590099999999998e-11,25275.1
1.6092599999999998e-11,24886.499999999996
1.66111e-11,24504.3
1.71465e-11,24128.1
1.7699e-11,23758.2
1.8269399999999998e-11,23394.1
1.88581e-11,23035.899999999998
1.94659e-11,22683.5
2.00931e-11,22336.9
2.0740699999999998e-11,21995.7
2.1408999999999998e-11,21660.2
2.2099099999999997e-11,21330.100000000002
2.28111e-11,21005.4
2.3546399999999998e-11,20685.899999999998
2.4305099999999997e-11,20371.600000000002
2.50884e-11,20062.5
2.5896799999999997e-11,19758.4
2.67315e-11,19459.2
2.75928e-11,19165.0
2.8482199999999998e-11,18875.5
2.93999e-11,18590.8
3.0347499999999995e-11,18310.7
3.13253e-11,18035.3
3.2335e-11,17764.3
3.33769e-11,17497.899999999998
3.44526e-11,17235.8
3.55627e-11,16978.100000000002
3.67089e-11,16724.5
3.7891799999999997e-11,16475.3
3.9113e-11,16230.1
4.0373400000000003e-11,15989.0
4.1674599999999996e-11,15751.900000000001
4.3017399999999996e-11,15518.8
4.440389999999999e-11,15289.5
4.58347e-11,15064.1
4.7311899999999994e-11,14842.4
4.883639999999999e-11,14624.5
5.0410399999999995e-11,14410.199999999999
5.20348e-11,14199.6
5.37119e-11,13992.4
5.54426e-11,13788.800000000001
5.7229499999999995e-11,13588.7
5.907359999999999e-11,13391.900000000001
6.09775e-11,13198.4
6.29424e-11,13008.3
6.497099999999999e-11,12821.400000000001
6.70645e-11,12637.8
6.9226e-11,12457.199999999999
7.145659999999999e-11,12279.800000000001
7.39156e-11,12093.9
7.64591e-11,11911.400000000001
7.90901e-11,11732.3
8.18117e-11,11556.5
8.46269e-11,11384.0
8.753909999999999e-11,11214.699999999999
9.05514e-11,11048.6
9.36674e-11,10885.6
9.689059999999999e-11,10725.6
1.0022500000000001e-10,10568.699999999999
1.03674e-10,10414.699999999999
1.0724100000000002e-10,10263.7
1.1093100000000001e-10,10115.5
1.14749e-10,9970.15
1.1869700000000001e-10,9827.6
1.22782e-10,9687.8
1.27007e-10,9550.689999999999
1.3137700000000002e-10,9416.25
1.3589800000000003e-10,9284.42
1.40575e-10,9155.16
1.45412e-10,9028.44
1.50416e-10,8904.220000000001
1.55592e-10,8782.45
1.60946e-10,8663.09
1.66484e-10,8546.12
1.72213e-10,8431.480000000001
1.78139e-10,8319.15
1.84269e-10,8209.08
1.9061e-10,8101.240000000001
1.97169e-10,7995.599999999999
2.04387e-10,7885.7
2.1186600000000003e-10,7778.22
2.19622e-10,7673.07
2.27659e-10,7570.25
2.35993e-10,7469.68
2.44629e-10,7371.37
2.53584e-10,7275.23
2.62864e-10,7181.26
2.72486e-10,7089.38
2.82458e-10,6999.6
2.92798e-10,6911.84
3.0351300000000005e-10,6826.09
3.14623e-10,6742.3
3.26137e-10,6660.4400000000005
3.38075e-10,6580.46
3.51191e-10,6497.81
3.64815e-10,6417.2
3.78968e-10,6338.58
3.9367000000000005e-10,6261.91
4.08943e-10,6187.160000000001
4.24808e-10,6114.29
4.4128800000000007e-10,6043.24
4.5840800000000006e-10,5974.0
4.76192e-10,5906.5
4.95711e-10,5837.12
5.16034e-10,5769.599999999999
5.371870000000001e-10,5703.92
5.592100000000001e-10,5640.0
5.821320000000001e-10,5577.82
6.059980000000001e-10,5517.33
6.308379999999999e-10,5458.490000000001
6.58089e-10,5398.29
6.865160000000001e-10,5339.83
