E(MeV),xs(mb)
1.0e-11,30851.8
1.03223e-11,30369.0
1.06549e-11,29894.2
1.0998399999999998e-11,29426.600000000002
1.13527e-11,28966.699999999997
1.1718599999999999e-11,28513.8
1.2096199999999998e-11,28068.300000000003
1.24861e-11,27629.7
1.2888399999999999e-11,27198.2
1.3303799999999998e-11,26773.4
1.37325e-11,26355.5
1.41751e-11,25943.999999999996
1.4631799999999997e-11,25539.2
1.51034e-11,25140.699999999997
1.5590099999999998e-11,24748.7
1.6092599999999998e-11,24362.7
1.66111e-11,23983.1
1.71465e-11,23609.300000000003
1.7699e-11,23241.5
1.8269399999999998e-11,22879.5
1.88581e-11,22523.399999999998
1.94659e-11,22172.800000000003
2.00931e-11,21827.899999999998
2.0740699999999998e-11,21488.399999999998
2.1408999999999998e-11,21154.4
2.2099099999999997e-11,20825.6
2.28111e-11,20502.2
2.3546399999999998e-11,20183.8
2.4305099999999997e-11,19870.5
2.50884e-11,19562.2
2.5896799999999997e-11,19258.9
2.67315e-11,18960.399999999998
2.75928e-11,18666.7
2.8482199999999998e-11,18377.600000000002
2.93999e-11,18093.2
3.0347499999999995e-11,17813.3
3.13253e-11,17537.899999999998
3.2335e-11,17266.9
3.33769e-11,17000.3
3.44526e-11,16737.899999999998
3.55627e-11,16479.7
3.67089e-11,16225.7
3.7891799999999997e-11,15975.699999999999
3.9113e-11,15729.800000000001
4.0373400000000003e-11,15487.800000000001
4.1674599999999996e-11,15249.699999999999
4.3017399999999996e-11,15015.5
4.440389999999999e-11,14785.0
4.58347e-11,14558.3
4.7311899999999994e-11,14335.199999999999
4.883639999999999e-11,14115.7
5.0410399999999995e-11,13899.699999999999
5.20348e-11,13687.3
5.37119e-11,13478.300000000001
5.54426e-11,13272.6
5.7229499999999995e-11,13070.3
5.907359999999999e-11,12871.300000000001
6.09775e-11,12675.6
6.29424e-11,12483.0
6.497099999999999e-11,12293.5
6.70645e-11,12107.2
6.9226e-11,11923.8
7.145659999999999e-11,11743.5
7.37596e-11,11566.099999999999
7.61364e-11,11391.6
7.85902e-11,11220.000000000002
8.11227e-11,11051.2
8.37372e-11,10885.199999999999
8.643549999999999e-11,10721.9
8.922119999999998e-11,10561.3
9.209619999999999e-11,10403.3
9.506439999999999e-11,10248.0
9.81277e-11,10095.199999999999
1.01291e-10,9944.94
1.04554e-10,9797.22
1.07924e-10,9651.9
1.11402e-10,9509.06
1.1499200000000001e-10,9368.539999999999
1.1869700000000001e-10,9230.42
1.22523e-10,9094.56
1.26471e-10,8961.029999999999
1.30547e-10,8829.7
1.34754e-10,8700.62
1.3909700000000002e-10,8573.67
1.43579e-10,8448.91
1.48207e-10,8326.22
1.52982e-10,8205.66
1.57913e-10,8087.099999999999
1.6300100000000001e-10,7970.6
1.68254e-10,7856.05
1.73676e-10,7743.5
1.79274e-10,7632.85
1.8505000000000002e-10,7524.13
1.91418e-10,7410.21
1.98005e-10,7298.4
2.04818e-10,7188.64
2.1186600000000003e-10,7080.92
2.1915700000000002e-10,6975.2
2.2669800000000004e-10,6871.46
2.34499e-10,6769.650000000001
2.42569e-10,6669.75
2.50916e-10,6571.73
2.5955e-10,6475.5599999999995
2.6848100000000005e-10,6381.21
2.7772e-10,6288.65
2.87277e-10,6197.849999999999
2.97163e-10,6108.79
3.07388e-10,6021.4400000000005
3.17966e-10,5935.7699999999995
3.2890700000000003e-10,5851.759999999999
3.4022500000000003e-10,5769.38
3.51933e-10,5688.6
3.64043e-10,5609.41
3.76571e-10,5531.76
3.8952900000000004e-10,5455.650000000001
4.02933e-10,5381.04
4.1679800000000003e-10,5307.91
4.3114100000000003e-10,5236.24
4.45977e-10,5166.01
4.6132400000000005e-10,5097.1900000000005
4.77198e-10,5029.759999999999
4.93619e-10,4963.69
5.10605e-10,4898.97
5.29296e-10,4831.65
5.48666e-10,4765.82
5.6875e-10,4701.41
5.89565e-10,4638.429999999999
6.11145e-10,4576.84
6.33512e-10,4516.62
6.56701e-10,4457.740000000001
6.80734e-10,4400.2
7.056520000000001e-10,4343.94
7.31477e-10,4288.96
7.58252e-10,4235.23
7.86002e-10,4182.7300000000005
8.14773e-10,4131.43
8.44592e-10,4081.3300000000004
8.75507e-10,4032.3700000000003
9.094720000000001e-10,3981.79
9.44755e-10,3932.45
9.81407e-10,3884.35
1.01948e-9,3837.44
1.05903e-9,3791.71
1.1001200000000001e-9,3747.1299999999997
1.1428e-9,3703.68
1.18713e-9,3661.34
1.23318e-9,3620.07
1.28373e-9,3577.65
1.3363600000000001e-9,3536.3799999999997
1.3911400000000002e-9,3496.24
1.44817e-9,3457.19
1.5075400000000002e-9,3419.2
1.56934e-9,3382.26
1.63367e-9,3346.33
1.7042400000000001e-9,3309.58
1.7778600000000001e-9,3273.8999999999996
1.85466e-9,3239.25
1.9347700000000003e-9,3205.61
2.01835e-9,3172.9599999999996
2.11e-9,3139.69
2.2058e-9,3107.45
2.3059599999999998e-9,3076.19
2.41066e-9,3045.89
2.52013e-9,3016.52
2.64013e-9,2986.71
2.76585e-9,2957.86
2.89755e-9,2929.9300000000003
3.0419500000000002e-9,2901.68
3.1935600000000003e-9,2874.38
3.3527000000000002e-9,2847.98
3.5198e-9,2822.45
3.70303e-9,2796.71
3.8958000000000005e-9,2771.86
4.09861e-9,2747.85
4.321100000000001e-9,2723.7200000000003
4.55568e-9,2700.43
4.8029700000000004e-9,2677.9700000000003
5.07442e-9,2655.44
5.361220000000001e-9,2633.74
5.6762200000000005e-9,2612.02
6.0097e-9,2591.12
6.3762600000000005e-9,2570.26
6.765170000000001e-9,2550.2
7.19302e-9,2530.23
7.647890000000001e-9,2511.05
8.14876e-9,2491.99
8.682430000000001e-9,2473.7
