E(MeV),xs(mb)
1.0e-11,310538.0
1.03223e-11,305662.0
1.06549e-11,300865.0
1.0998399999999998e-11,296142.0
1.13527e-11,291494.0
1.1718599999999999e-11,286919.0
1.2096199999999998e-11,282417.0
1.24861e-11,277985.0
1.2888399999999999e-11,273624.0
1.3303799999999998e-11,269330.0
1.37325e-11,265106.0
1.41751e-11,260947.0
1.4631799999999997e-11,256855.0
1.51034e-11,252826.0
1.5590099999999998e-11,248862.0
1.6092599999999998e-11,244959.00000000003
1.66111e-11,241120.0
1.71465e-11,237339.0
1.7699e-11,233619.99999999997
1.8269399999999998e-11,229958.00000000003
1.88581e-11,226355.0
1.94659e-11,222807.99999999997
2.00931e-11,219318.0
2.0740699999999998e-11,215882.0
2.1408999999999998e-11,212501.0
2.2099099999999997e-11,209173.0
2.28111e-11,205898.0
2.3546399999999998e-11,202674.00000000003
2.4305099999999997e-11,199503.0
2.50884e-11,196380.0
2.5896799999999997e-11,193308.0
2.67315e-11,190283.0
2.75928e-11,187307.0
2.8482199999999998e-11,184377.0
2.93999e-11,181495.0
3.0347499999999995e-11,178657.0
3.13253e-11,175865.0
3.2335e-11,173117.0
3.33769e-11,170412.0
3.44526e-11,167750.0
3.55627e-11,165131.0
3.67089e-11,162552.0
3.7891799999999997e-11,160016.0
3.9113e-11,157518.0
4.0373400000000003e-11,155061.0
4.1674599999999996e-11,152642.0
4.3017399999999996e-11,150263.0
4.440389999999999e-11,147920.0
4.58347e-11,145615.0
4.7311899999999994e-11,143346.0
4.883639999999999e-11,141114.0
5.0410399999999995e-11,138917.0
5.20348e-11,136755.0
5.37119e-11,134627.0
5.54426e-11,132533.0
5.7229499999999995e-11,130472.00000000001
5.907359999999999e-11,128444.0
6.09775e-11,126448.99999999999
6.29424e-11,124485.0
6.497099999999999e-11,122552.0
6.70645e-11,120649.99999999999
6.9226e-11,118778.99999999999
7.145659999999999e-11,116937.0
7.37596e-11,115125.00000000001
7.61364e-11,113341.0
7.85902e-11,111586.00000000001
8.11227e-11,109859.0
8.37372e-11,108159.99999999999
8.643549999999999e-11,106488.0
8.922119999999998e-11,104841.99999999999
9.209619999999999e-11,103223.0
9.506439999999999e-11,101628.99999999999
9.81277e-11,100061.0
1.01291e-10,98518.00000000001
1.04554e-10,97000.2
1.07924e-10,95506.0
1.11402e-10,94036.4
1.1499200000000001e-10,92589.7
1.1869700000000001e-10,91166.8
1.22523e-10,89766.1
1.26471e-10,88388.50000000001
1.30547e-10,87032.4
1.34754e-10,85698.7
1.3909700000000002e-10,84385.8
1.43579e-10,83094.59999999999
1.48207e-10,81823.59999999999
1.52982e-10,80573.5
1.57913e-10,79343.1
1.6300100000000001e-10,78132.90000000001
1.68254e-10,76941.9
1.73676e-10,75770.3
1.79274e-10,74617.4
1.8505000000000002e-10,73483.3
1.91014e-10,72367.2
1.97169e-10,71269.5
2.03524e-10,70189.1
2.1008200000000003e-10,69126.5
2.16853e-10,68080.8
2.2384e-10,67052.3
2.31055e-10,66040.09999999999
2.385e-10,65044.6
2.46187e-10,64064.9
2.5412e-10,63101.399999999994
2.6231e-10,62153.200000000004
