E(MeV),xs(mb)
1.0e-11,1.56643e6
1.03223e-11,1.54181e6
1.06549e-11,1.5176e6
1.0998399999999998e-11,1.49375e6
1.13527e-11,1.47029e6
1.1718599999999999e-11,1.44719e6
1.2096199999999998e-11,1.42447e6
1.24861e-11,1.40209e6
1.2888399999999999e-11,1.38007e6
1.3303799999999998e-11,1.3584e6
1.37325e-11,1.33707e6
1.41751e-11,1.31607e6
1.4631799999999997e-11,1.29541e6
1.51034e-11,1.27507e6
1.5590099999999998e-11,1.25506e6
1.6092599999999998e-11,1.23535e6
1.66111e-11,1.21597e6
1.71465e-11,1.19688e6
1.7699e-11,1.1781e6
1.8269399999999998e-11,1.15961e6
1.88581e-11,1.14141e6
1.94659e-11,1.1235e6
2.00931e-11,1.10588e6
2.0740699999999998e-11,1.08853e6
2.1408999999999998e-11,1.07146e6
2.2099099999999997e-11,1.05465e6
2.28111e-11,1.0381100000000001e6
2.3546399999999998e-11,1.02183e6
2.4305099999999997e-11,1.0058100000000001e6
2.50884e-11,990039.0
2.5896799999999997e-11,974521.0
2.67315e-11,959245.0
2.75928e-11,944213.0
2.8482199999999998e-11,929416.0
2.93999e-11,914855.0
3.0347499999999995e-11,900521.0
3.13253e-11,886417.0
3.2335e-11,872533.0
3.33769e-11,858871.0000000001
3.44526e-11,845421.9999999999
3.55627e-11,832189.0
3.67089e-11,819162.0
3.7891799999999997e-11,806344.0
3.9113e-11,793726.0
4.0373400000000003e-11,781311.0
4.1674599999999996e-11,769089.0
4.3017399999999996e-11,757063.0
4.440389999999999e-11,745225.0
4.58347e-11,733577.0
4.7311899999999994e-11,722110.0
4.883639999999999e-11,710828.0
5.0410399999999995e-11,699722.0
5.20348e-11,688795.0
5.37119e-11,678038.0
5.54426e-11,667454.0
5.7229499999999995e-11,657036.0
5.907359999999999e-11,646785.0
6.09775e-11,636695.0
6.29424e-11,626766.0
6.497099999999999e-11,616994.0
6.70645e-11,607378.0
6.9226e-11,597913.0
7.145659999999999e-11,588600.0
7.37596e-11,579434.0
7.61364e-11,570415.0
7.85902e-11,561538.0
8.11227e-11,552803.0
8.37372e-11,544206.0
8.643549999999999e-11,535747.0
8.922119999999998e-11,527421.0
9.209619999999999e-11,519229.0
9.506439999999999e-11,511165.99999999994
9.81277e-11,503233.0
1.01291e-10,495424.00000000006
1.04554e-10,487744.0
1.07924e-10,480182.0
1.11402e-10,472743.99999999994
1.1499200000000001e-10,465421.99999999994
1.1869700000000001e-10,458219.0
1.22523e-10,451129.0
1.26471e-10,444155.00000000006
1.30547e-10,437289.99999999994
1.34754e-10,430537.0
1.3909700000000002e-10,423890.0
1.43579e-10,417352.0
1.48207e-10,410916.0
1.52982e-10,404585.0
1.57913e-10,398354.0
1.6300100000000001e-10,392225.0
1.68254e-10,386193.0
1.73676e-10,380259.0
1.79274e-10,374418.0
1.8505000000000002e-10,368674.0
1.91014e-10,363020.0
1.97169e-10,357458.0
2.03524e-10,351985.0
2.1008200000000003e-10,346602.0
2.16853e-10,341303.0
2.2384e-10,336092.0
2.31055e-10,330964.0
2.385e-10,325919.0
2.46187e-10,320955.0
2.5412e-10,316073.0
2.6231e-10,311268.0
2.70762e-10,306543.0
2.7948900000000003e-10,301893.0
2.88494e-10,297319.0
2.9779300000000004e-10,292819.0
3.07388e-10,288393.0
3.1729500000000004e-10,284037.0
3.27519e-10,279754.0
3.38075e-10,275539.0
3.4896900000000003e-10,271394.0
3.6021600000000004e-10,267316.0
3.7182300000000004e-10,263305.0
3.83807e-10,259358.99999999997
3.96174e-10,255478.0
4.08943e-10,251660.0
4.2212e-10,247905.0
4.3572499999999996e-10,244211.0
4.4976500000000005e-10,240578.0
4.6426100000000007e-10,237004.0
4.79221e-10,233489.0
4.94666e-10,230032.0
5.10605e-10,226632.0
5.270620000000001e-10,223287.0
5.440450000000001e-10,219998.0
5.6158e-10,216763.0
5.796750000000001e-10,213581.00000000003
5.98358e-10,210452.0
6.176389999999999e-10,207375.0
6.37545e-10,204348.00000000003
6.58089e-10,201371.0
6.79298e-10,198444.0
7.01188e-10,195565.0
7.237860000000001e-10,192734.0
7.47109e-10,189950.0
7.71188e-10,187212.0
7.97725e-10,184342.0
8.251760000000001e-10,181522.0
8.53571e-10,178753.0
8.829430000000001e-10,176032.0
9.13327e-10,173360.0
9.44755e-10,170735.0
9.772650000000001e-10,168157.0
1.0108900000000002e-9,165625.0
1.04568e-9,163137.0
1.0816600000000002e-9,160694.0
1.1188800000000002e-9,158295.0
1.15739e-9,155938.0
1.1972100000000003e-9,153623.0
1.23841e-9,151349.0
1.28103e-9,149115.0
1.3251100000000002e-9,146922.0
1.3707100000000001e-9,144767.0
1.41787e-9,142651.0
1.4666600000000002e-9,140572.0
1.5171300000000001e-9,138531.0
1.56934e-9,136525.0
1.6233400000000001e-9,134556.0
1.6792000000000002e-9,132621.0
1.7369900000000002e-9,130721.0
1.7967600000000001e-9,128855.00000000001
1.85859e-9,127021.99999999999
1.92254e-9,125221.0
1.9887e-9,123452.0
2.05714e-9,121715.0
2.1279200000000002e-9,120009.00000000001
2.2011500000000004e-9,118332.0
2.27689e-9,116686.0
2.35524e-9,115069.0
2.43629e-9,113480.0
2.52013e-9,111920.0
2.6068500000000004e-9,110386.99999999999
2.70225e-9,108788.0
2.80116e-9,107219.0
2.90368e-9,105678.99999999999
3.0099600000000002e-9,104168.0
3.12012e-9,102686.00000000001
3.23433e-9,101231.0
3.3527000000000002e-9,99803.59999999999
3.4754200000000004e-9,98402.6
3.60262e-9,97028.0
3.7344800000000005e-9,95678.8
3.87116e-9,94354.9
4.01286e-9,93055.5
4.159720000000001e-9,91780.5
4.31198e-9,90529.0
4.46979e-9,89300.9
4.6334e-9,88095.5
4.8029700000000004e-9,86912.7
4.9787800000000005e-9,85751.6
5.16099e-9,84612.20000000001
5.3499e-9,83493.7
5.545700000000001e-9,82396.1
5.74869e-9,81318.59999999999
5.9590800000000005e-9,80261.20000000001
6.19027e-9,79162.9
6.43042e-9,78086.0
6.679890000000001e-9,77030.1
6.939030000000001e-9,75994.8
7.2082300000000004e-9,74979.7
7.48788e-9,73984.4
7.77837e-9,73008.5
8.08013e-9,72051.5
8.3936e-9,71113.2
8.71923e-9,70193.2
9.05749e-9,69291.0
9.40888e-9,68406.3
9.7739e-9,67538.8
1.0153099999999999e-8,66688.2
1.0547e-8,65854.0
1.09561e-8,65035.99999999999
1.14053e-8,64189.7
1.1872799999999999e-8,63360.8
1.23596e-8,62548.700000000004
1.2866200000000002e-8,61753.200000000004
1.33937e-8,60973.9
1.39427e-8,60210.600000000006
1.45143e-8,59462.700000000004
1.51092e-8,58730.1
1.5728700000000002e-8,58012.4
1.63734e-8,57309.299999999996
1.70447e-8,56620.5
1.77433e-8,55945.7
1.85098e-8,55250.2
1.9309400000000003e-8,54569.5
2.0143499999999998e-8,53903.4
2.10136e-8,53251.5
2.1921400000000003e-8,52613.5
2.2868300000000003e-8,51989.1
2.38562e-8,51378.1
2.48867e-8,50780.0
2.52522e-8,50576.8
2.5299999999999998e-8,50550.6
2.6392899999999998e-8,49970.100000000006
2.7533e-8,49402.100000000006
2.87832e-8,48818.5
3.00901e-8,48248.100000000006
3.14564e-8,47690.4
3.2884600000000005e-8,47145.1
3.43778e-8,46611.9
3.59387e-8,46090.7
3.7570600000000004e-8,45581.1
3.9276399999999996e-8,45082.899999999994
4.11467e-8,44572.799999999996
4.3106099999999994e-8,44074.600000000006
4.51587e-8,43587.9
4.7309099999999996e-8,43112.6
4.9561900000000005e-8,42648.4
5.1922e-8,42194.9
5.4394400000000006e-8,41751.899999999994
5.7105300000000004e-8,41299.700000000004
5.995110000000001e-8,40858.600000000006
6.2939e-8,40428.100000000006
6.60755e-8,40008.2
6.936860000000001e-8,39598.3
7.282549999999999e-8,39198.5
7.661660000000001e-8,38791.6
8.060520000000001e-8,38395.0
8.480130000000001e-8,38008.4
8.9216e-8,37631.6
9.38604e-8,37264.2
9.89558e-8,36891.3
1.0432699999999999e-7,36528.200000000004
1.09991e-7,36174.6
1.15962e-7,35830.2
1.2225699999999998e-7,35494.8
1.29167e-7,35155.3
1.36467e-7,34825.0
1.4417899999999998e-7,34503.7
1.5232799999999999e-7,34191.2
1.61277e-7,33875.6
1.70753e-7,33568.9
1.80785e-7,33270.8
1.91407e-7,32981.0
2.0308199999999997e-7,32689.0
2.1546899999999998e-7,32405.4
2.2861199999999998e-7,32130.100000000002
2.43069e-7,31853.3
2.58441e-7,31584.699999999997
2.74784e-7,31324.2
2.9278e-7,31062.8
3.11954e-7,30809.5
3.32385e-7,30564.0
3.54903e-7,30318.2
3.78946e-7,30080.100000000002
4.0547399999999994e-7,29842.0
4.3385999999999994e-7,29611.6
4.64233e-7,29388.7
4.97785e-7,29166.2
5.3376e-7,28950.999999999996
5.73547e-7,28736.600000000002
6.163e-7,28529.399999999998
6.636429999999999e-7,28323.2
7.14619e-7,28124.2
7.71142e-7,27926.3
8.32136e-7,27735.1
8.998559999999999e-7,27545.3
9.75146e-7,27357.100000000002
1.0571799999999999e-6,27174.7
1.19084e-6,26916.899999999998
1.38926e-6,26601.9
1.7262299999999999e-6,26188.4
2.33293e-6,25665.9
3.1974799999999998e-6,25165.1
4.50674e-6,24654.600000000002
6.48716e-6,24122.3
9.60318e-6,23524.600000000002
1.4723000000000001e-5,22784.5
2.2730500000000002e-5,21858.5
3.43626e-5,20723.1
4.91186e-5,19466.5
6.54581e-5,18230.8
8.364670000000001e-5,16995.899999999998
0.00010320800000000002,15805.499999999998
0.00012382500000000001,14676.7
0.000145468,13612.2
0.00016618,12693.7
0.000188512,11791.5
0.00021234600000000003,10923.8
0.00023753000000000004,10098.1
0.000263852,9321.580000000002
0.00028900000000000003,8653.029999999999
0.000312157,8090.360000000001
0.00033953000000000005,7483.679999999999
0.000366717,6937.96
0.00039332600000000005,6452.099999999999
0.000420177,6004.98
0.0004417360000000001,5679.02
0.000449371,5581.8099999999995
0.000453189,5557.67
0.000454761,5569.82
0.000455614,5592.82
0.000456468,5642.820000000001
0.000456917,5691.11
0.00045736600000000007,5770.04
0.000457703,5866.5599999999995
0.000457928,5962.06
0.000458096,6058.84
0.000458264,6185.82
0.00045841900000000006,6338.07
0.00045857400000000006,6534.23
0.000458678,6694.759999999999
0.000458794,6909.7699999999995
0.000458911,7164.79
0.00045904600000000006,7513.78
