E(MeV),xs(mb)
1.0e-11,2.13664e6
1.03223e-11,2.10303e6
1.06549e-11,2.06997e6
1.0998399999999998e-11,2.03741e6
1.13527e-11,2.0053800000000002e6
1.1718599999999999e-11,1.97384e6
1.2096199999999998e-11,1.94281e6
1.24861e-11,1.91225e6
1.2888399999999999e-11,1.88219e6
1.3303799999999998e-11,1.85259e6
1.37325e-11,1.82347e6
1.41751e-11,1.79479e6
1.4631799999999997e-11,1.76658e6
1.51034e-11,1.7388e6
1.5590099999999998e-11,1.71147e6
1.6092599999999998e-11,1.68456e6
1.66111e-11,1.65808e6
1.71465e-11,1.63201e6
1.7699e-11,1.60636e6
1.8269399999999998e-11,1.58111e6
1.88581e-11,1.55626e6
1.94659e-11,1.53179e6
2.00931e-11,1.50772e6
2.0740699999999998e-11,1.48402e6
2.1408999999999998e-11,1.4607e6
2.2099099999999997e-11,1.43774e6
2.28111e-11,1.41514e6
2.3546399999999998e-11,1.3929e6
2.4305099999999997e-11,1.37101e6
2.50884e-11,1.34947e6
2.5896799999999997e-11,1.32827e6
2.67315e-11,1.30739e6
2.75928e-11,1.28685e6
2.8482199999999998e-11,1.26663e6
2.93999e-11,1.24673e6
3.0347499999999995e-11,1.22715e6
3.13253e-11,1.20787e6
3.2335e-11,1.18889e6
3.33769e-11,1.17022e6
3.44526e-11,1.15184e6
3.55627e-11,1.13375e6
3.67089e-11,1.11594e6
3.7891799999999997e-11,1.09842e6
3.9113e-11,1.08117e6
4.0373400000000003e-11,1.06419e6
4.1674599999999996e-11,1.04748e6
4.3017399999999996e-11,1.03104e6
4.440389999999999e-11,1.01485e6
4.58347e-11,998919.0000000001
4.7311899999999994e-11,983236.9999999999
4.883639999999999e-11,967806.0
5.0410399999999995e-11,952615.0
5.20348e-11,937665.9999999999
5.37119e-11,922950.0
5.54426e-11,908470.0
5.7229499999999995e-11,894215.0
5.907359999999999e-11,880186.9999999999
6.09775e-11,866377.9999999999
6.29424e-11,852790.0000000001
6.497099999999999e-11,839413.0
6.70645e-11,826249.9999999999
6.9226e-11,813293.0
7.145659999999999e-11,800542.0000000001
7.37596e-11,787990.0
7.61364e-11,775639.0
7.85902e-11,763480.0
8.11227e-11,751516.0
8.37372e-11,739738.0
8.643549999999999e-11,728149.0
8.922119999999998e-11,716740.0
9.209619999999999e-11,705514.0
9.506439999999999e-11,694463.0
9.81277e-11,683588.0
1.01291e-10,672882.0
1.04554e-10,662350.0
1.07924e-10,651980.0
1.11402e-10,641778.0
1.1499200000000001e-10,631734.0
1.1869700000000001e-10,621852.0
1.22523e-10,612122.0
1.26471e-10,602550.0
1.30547e-10,593126.0
1.34754e-10,583854.0
1.3909700000000002e-10,574726.0
1.43579e-10,565745.0
1.48207e-10,556903.0
1.52982e-10,548205.0
1.57913e-10,539641.0
1.6300100000000001e-10,531215.0
1.68254e-10,522919.99999999994
1.73676e-10,514759.0
1.79274e-10,506724.99999999994
1.8505000000000002e-10,498820.99999999994
1.91014e-10,491038.99999999994
1.97169e-10,483383.0
2.03524e-10,475846.00000000006
2.1008200000000003e-10,468431.0
2.16853e-10,461130.99999999994
2.2384e-10,453949.0
2.31055e-10,446878.0
2.385e-10,439921.99999999994
2.46187e-10,433075.0
2.5412e-10,426337.0
2.6231e-10,419705.0
2.70762e-10,413180.0
2.7948900000000003e-10,406757.0
2.88494e-10,400437.0
2.9779300000000004e-10,394216.0
3.07388e-10,388096.0
3.1729500000000004e-10,382071.0
3.27519e-10,376143.0
3.38075e-10,370308.0
3.4896900000000003e-10,364567.0
3.6021600000000004e-10,358916.0
3.7182300000000004e-10,353357.0
3.83807e-10,347884.0
3.96174e-10,342499.0
4.08943e-10,337199.0
4.2212e-10,331984.0
4.3572499999999996e-10,326852.0
4.4976500000000005e-10,321801.0
4.6426100000000007e-10,316831.0
4.79221e-10,311940.0
4.94666e-10,307126.0
5.10605e-10,302390.0
5.270620000000001e-10,297728.0
5.440450000000001e-10,293141.0
5.6158e-10,288626.0
5.796750000000001e-10,284184.0
5.98358e-10,279812.0
6.176389999999999e-10,275510.0
6.37545e-10,271276.0
6.58089e-10,267110.0
6.79298e-10,263010.0
7.01188e-10,258976.0
7.237860000000001e-10,255005.00000000003
7.47109e-10,251098.0
7.71188e-10,247253.0
7.960380000000001e-10,243468.99999999997
8.21693e-10,239746.00000000003
8.48171e-10,236082.0
8.75507e-10,232476.0
9.037190000000002e-10,228927.0
9.32845e-10,225435.0
9.62904e-10,221999.0
9.93937e-10,218617.00000000003
1.0259700000000001e-9,215289.00000000003
1.05903e-9,212014.0
1.09316e-9,208792.0
1.12839e-9,205620.0
1.16475e-9,202498.99999999997
1.2022900000000002e-9,199428.0
1.2410300000000002e-9,196406.0
1.28103e-9,193431.0
1.3223100000000002e-9,190504.0
1.36492e-9,187623.0
1.4089000000000002e-9,184789.0
1.4543100000000001e-9,181999.0
1.5011699999999999e-9,179254.0
1.5495600000000002e-9,176552.0
1.5994900000000002e-9,173894.0
1.6510400000000001e-9,171277.0
1.7042400000000001e-9,168702.0
1.75917e-9,166168.0
1.81585e-9,163674.0
1.87438e-9,161220.0
1.9347700000000003e-9,158805.0
1.99713e-9,156428.0
2.06148e-9,154089.0
2.1279200000000002e-9,151787.0
2.19649e-9,149522.0
2.26728e-9,147293.0
2.3403400000000002e-9,145099.0
2.4157700000000002e-9,142939.0
2.49362e-9,140815.0
2.5739800000000002e-9,138723.0
2.65692e-9,136665.0
2.7425500000000002e-9,134640.0
2.8309300000000003e-9,132646.0
2.92217e-9,130685.0
3.01633e-9,128753.99999999999
3.11354e-9,126854.0
3.21387e-9,124984.0
3.3174500000000004e-9,123144.00000000001
3.42435e-9,121333.0
3.53471e-9,119550.0
3.6486100000000003e-9,117795.99999999999
3.7662000000000005e-9,116069.0
3.8958000000000005e-9,114258.0
4.02986e-9,112477.0
4.1685400000000006e-9,110725.99999999999
4.31198e-9,109005.0
4.46036e-9,107312.99999999999
4.61385e-9,105649.0
4.7726100000000005e-9,104014.0
4.93685e-9,102406.0
5.10673e-9,100825.00000000001
5.282460000000001e-9,99270.8
5.46423e-9,97742.90000000001
5.65226e-9,96240.7
5.84676e-9,94763.8
6.04796e-9,93311.8
6.256080000000001e-9,91884.20000000001
6.47135e-9,90480.8
6.694040000000001e-9,89101.0
6.92439e-9,87744.40000000001
7.162670000000001e-9,86410.59999999999
7.40914e-9,85099.40000000001
7.6641e-9,83810.2
7.92783e-9,82542.8
8.200640000000001e-9,81296.59999999999
8.482830000000001e-9,80071.5
8.77474e-9,78867.0
9.07668e-9,77682.8
9.38902e-9,76518.5
9.71211e-9,75373.8
1.0046299999999999e-8,74248.4
1.0392e-8,73141.9
1.07496e-8,72054.0
1.11195e-8,70984.5
1.15022e-8,69932.9
1.1898e-8,68899.1
1.2307399999999999e-8,67882.6
1.2730900000000001e-8,66883.2
1.3169e-8,65900.6
1.36222e-8,64934.6
1.40909e-8,63984.7
1.4575800000000002e-8,63050.8
1.5077400000000002e-8,62132.6
1.55962e-8,61229.8
1.61329e-8,60342.200000000004
1.6688e-8,59469.5
1.72623e-8,58611.4
1.78563e-8,57767.799999999996
1.84708e-8,56938.3
1.91064e-8,56122.7
1.97638e-8,55320.9
2.04439e-8,54532.5
2.11474e-8,53757.4
2.18751e-8,52995.299999999996
2.26279e-8,52245.9
2.3406500000000002e-8,51509.200000000004
2.4212e-8,50784.9
2.50451e-8,50072.700000000004
2.52522e-8,49901.1
2.5299999999999998e-8,49861.899999999994
2.61706e-8,49165.200000000004
2.7071200000000002e-8,48480.2
2.8062100000000002e-8,47764.9
2.9089100000000002e-8,47062.5
3.01538e-8,46372.4
3.12574e-8,45694.8
3.24015e-8,45029.1
3.3587400000000003e-8,44375.299999999996
3.48168e-8,43733.1
3.6091e-8,43102.299999999996
3.74121e-8,42482.7
3.8781300000000005e-8,41874.1
4.02008e-8,41276.200000000004
4.1672099999999996e-8,40689.0
4.31974e-8,40112.2
4.4778399999999994e-8,39545.7
4.6417400000000006e-8,38989.2
4.8116199999999996e-8,38442.7
4.98774e-8,37905.799999999996
5.17029e-8,37378.5
5.359530000000001e-8,36860.6
5.55568e-8,36351.9
5.7590399999999997e-8,35852.200000000004
5.96981e-8,35361.4
6.18833e-8,34879.3
6.41481e-8,34405.8
6.649610000000001e-8,33940.6
6.89298e-8,33483.6
7.14528e-8,33034.6
7.40679e-8,32593.6
7.6779e-8,32160.4
7.9589e-8,31734.8
8.26766e-8,31292.399999999998
8.58841e-8,30858.2
8.9216e-8,30432.100000000002
9.26771e-8,30014.1
9.62725e-8,29603.8
1.00007e-7,29201.199999999997
1.03887e-7,28806.1
1.0791699999999999e-7,28418.399999999998
1.12104e-7,28037.899999999998
1.16453e-7,27664.6
1.20971e-7,27298.300000000003
1.2566399999999998e-7,26938.7
1.30539e-7,26585.899999999998
1.35603e-7,26239.499999999996
1.4086399999999998e-7,25899.399999999998
1.4632899999999999e-7,25565.699999999997
1.52006e-7,25238.100000000002
1.5790299999999998e-7,24916.6
1.64029e-7,24601.0
1.70753e-7,24274.2
1.77753e-7,23953.899999999998
1.8504e-7,23639.7
1.92625e-7,23331.6
2.00522e-7,23029.5
2.0874199999999998e-7,22733.3
2.17299e-7,22442.8
2.2620699999999998e-7,22158.000000000004
2.3548e-7,21878.600000000002
2.45133e-7,21604.800000000003
2.5518299999999996e-7,21336.2
2.6564299999999997e-7,21072.8
2.76533e-7,20814.300000000003
2.87869e-7,20560.7
2.9967e-7,20312.0
3.1261499999999997e-7,20055.2
3.2612e-7,19803.7
3.40207e-7,19557.100000000002
3.54903e-7,19315.5
3.70234e-7,19078.7
3.86227e-7,18846.6
4.0291100000000003e-7,18619.1
4.2031599999999994e-7,18396.0
4.38473e-7,18177.399999999998
4.5741399999999997e-7,17963.0
4.77173e-7,17752.8
4.97785e-7,17546.8
5.20386e-7,17334.9
5.440159999999999e-7,17127.2
5.68716e-7,16923.600000000002
5.9454e-7,16724.0
6.21535e-7,16528.5
6.497569999999999e-7,16336.800000000001
6.79258e-7,16149.0
7.101019999999999e-7,15964.8
7.42343e-7,15784.199999999999
7.77692e-7,15598.8
8.14725e-7,15417.199999999999
8.535209999999999e-7,15239.199999999999
8.941639999999999e-7,15064.800000000001
9.36743e-7,14893.8
9.81349e-7,14726.2
1.02797e-6,14562.4
1.08722e-6,14368.4
1.16611e-6,14132.6
1.26837e-6,13858.2
1.3990599999999998e-6,13549.199999999999
1.56498e-6,13211.4
1.78772e-6,12826.3
2.0855800000000003e-6,12402.7
2.4330699999999996e-6,12002.3
2.8784999999999996e-6,11584.6
3.4294899999999997e-6,11170.0
4.08576e-6,10774.0
4.8678499999999995e-6,10393.699999999999
5.79936e-6,10025.800000000001
6.909469999999999e-6,9668.060000000001
8.28973e-6,9305.36
9.94572e-6,8952.03
1.19325e-5,8604.16
1.43162e-5,8264.12
1.7055800000000004e-5,7943.33
2.0178200000000003e-5,7642.179999999999
2.3872300000000005e-5,7348.320000000001
2.8046200000000003e-5,7073.0
3.2948300000000004e-5,6805.66
3.87091e-5,6545.8
4.5795700000000006e-5,6282.28
5.4179600000000006e-5,6025.05
6.45474e-5,5760.3
7.7988e-5,5469.13
9.96534e-5,5055.53
0.00010539700000000001,4963.8099999999995
0.000107242,4951.84
0.000108377,4962.2
0.00010929599999999999,4996.83
0.00010983600000000001,5041.38
0.000110221,5094.38
0.00011060700000000002,5178.67
0.00011087,5266.06
0.000111045,5345.41
0.00011122000000000001,5449.32
0.00011139900000000001,5591.66
0.00011153500000000001,5736.18
0.000111626,5856.290000000001
0.00011172100000000001,6007.6
0.00011181900000000001,6201.76
0.000111903,6407.69
0.000111973,6615.25
0.00011204400000000001,6864.099999999999
0.000112096,7083.9400000000005
0.00011214900000000001,7338.009999999999
0.000112201,7632.39
0.00011225400000000001,7973.99
0.000112306,8370.44
0.00011235900000000001,8829.81
0.000112411,9360.210000000001
0.00011246400000000001,9969.11
0.00011251700000000001,10662.400000000001
0.00011256900000000001,11443.300000000001
0.00011262200000000001,12311.099999999999
0.00011267400000000001,13259.5
0.000112744,14626.6
0.000112885,17495.1
0.000112937,18510.8
0.00011299,19428.8
0.000113032,20064.1
0.00011307400000000001,20589.2
0.000113109,20929.899999999998
0.000113144,21173.899999999998
0.00011318200000000002,21323.2
0.000113204,21351.6
0.00011324700000000001,21286.0
0.00011329000000000001,21062.5
0.000113333,20698.1
0.000113373,20224.1
0.000113414,19645.1
0.000113455,18978.9
0.000113509,17989.0
0.00011369400000000001,14327.8
0.000113757,13155.4
0.00011380600000000001,12311.8
0.00011385900000000001,11484.7
0.00011391100000000001,10741.099999999999
0.00011396400000000001,10080.6
0.00011401699999999999,9499.24
0.00011406900000000001,8991.08
0.00011412199999999999,8548.82
0.00011417400000000001,8164.870000000001
0.00011422699999999999,7831.719999999999
0.00011427900000000001,7542.37
0.00011433199999999999,7290.530000000001
